timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1783547329.305,121.69,9.72,8.0,80.4,111.97,16.0,2.2,0.0,0.0
1783547330.3056,121.69,9.76,8.0,80.36,111.93,16.0,2.2,0.0,0.0
1783547331.3061,121.69,10.11,8.3,80.01,111.58,16.0,2.2,0.0,0.0
1783547332.3066,121.69,10.11,8.3,80.01,111.58,16.0,2.2,0.0,0.0
1783547333.307,121.69,10.1,8.3,80.03,111.59,16.0,2.2,0.0,0.0
1783547334.3075,121.69,10.09,8.3,80.03,111.6,16.0,2.2,0.0,0.0
1783547335.3078,121.69,10.08,8.3,80.04,111.61,16.0,2.2,0.0,0.0
1783547336.3082,121.69,10.06,8.3,80.06,111.63,16.0,2.2,0.0,0.0
1783547337.3085,121.69,9.63,7.9,80.49,112.06,16.0,2.2,0.0,0.0
1783547338.3092,121.69,10.03,8.2,80.09,111.66,16.0,2.2,0.0,0.0
1783547339.3096,121.69,10.04,8.3,80.08,111.65,16.0,2.2,0.0,0.0
1783547340.3099,121.69,10.02,8.2,80.1,111.67,16.0,2.2,0.0,0.0
1783547341.3103,121.69,10.02,8.2,80.1,111.67,16.0,2.2,0.0,0.0
1783547342.3107,121.69,10.01,8.2,80.11,111.68,16.0,2.2,0.0,0.0
1783547343.311,121.69,9.73,8.0,80.39,111.96,16.0,2.2,0.0,0.0
1783547344.3113,121.69,9.64,7.9,80.48,112.05,16.0,2.2,0.0,0.0
1783547345.3115,121.69,10.02,8.2,80.1,111.67,16.0,2.2,0.0,0.0
1783547346.3117,121.69,10.03,8.2,80.09,111.66,16.0,2.2,0.0,0.0
1783547347.3119,121.69,10.03,8.2,80.09,111.66,16.0,2.2,0.0,0.0
1783547348.3121,121.69,10.03,8.2,80.09,111.66,16.0,2.2,0.0,0.0
1783547349.3124,121.69,10.03,8.2,80.09,111.66,16.0,2.2,0.0,0.0
1783547350.3128,121.69,9.57,7.9,80.55,112.12,16.0,2.2,0.0,0.0
1783547351.3138,121.69,9.99,8.2,80.13,111.7,16.0,2.2,0.0,0.0
1783547352.3141,121.69,10.0,8.2,80.12,111.69,16.0,2.2,0.0,0.0
1783547353.3149,121.69,10.0,8.2,80.12,111.69,16.0,2.2,0.0,0.0
1783547354.3152,121.69,10.0,8.2,80.12,111.69,16.0,2.2,0.0,0.0
1783547355.3156,121.69,9.99,8.2,80.14,111.7,16.0,2.2,0.0,0.0
1783547356.316,121.69,9.58,7.9,80.54,112.11,16.0,2.2,0.0,0.0
1783547357.3163,121.69,10.01,8.2,80.11,111.68,16.0,2.2,0.0,0.0
1783547358.3166,121.69,10.02,8.2,80.1,111.67,16.0,2.2,0.0,0.0
1783547359.3169,121.69,10.01,8.2,80.11,111.68,16.0,2.2,0.0,0.0
1783547360.3175,121.69,10.01,8.2,80.11,111.68,16.0,2.2,0.0,0.0
1783547361.3183,121.69,10.01,8.2,80.11,111.68,16.0,2.2,0.0,0.0
1783547362.3186,121.69,10.01,8.2,80.11,111.68,16.0,2.2,0.0,0.0
1783547363.3189,121.69,9.6,7.9,80.52,112.09,16.0,2.2,0.0,0.0
1783547364.3192,121.69,9.99,8.2,80.13,111.7,16.0,2.2,0.0,0.0
1783547365.3196,121.69,9.98,8.2,80.14,111.71,16.0,2.2,0.0,0.0
1783547366.3199,121.69,9.99,8.2,80.13,111.7,16.0,2.2,0.0,0.0
1783547367.3204,121.69,10.01,8.2,80.11,111.68,16.0,2.2,0.0,0.0
1783547368.3208,121.69,9.99,8.2,80.13,111.7,16.0,2.2,0.0,0.0
1783547369.3212,121.69,9.99,8.2,80.13,111.7,16.0,2.2,0.0,0.0
1783547370.3218,121.69,9.54,7.8,80.58,112.15,16.0,2.2,0.0,0.0
1783547371.3223,121.69,9.98,8.2,80.14,111.71,16.0,2.2,0.0,0.0
1783547372.3235,121.69,9.98,8.2,80.14,111.71,16.0,2.2,0.0,0.0
1783547373.3242,121.69,9.98,8.2,80.14,111.71,16.0,2.2,0.0,0.0
1783547374.3249,121.69,9.99,8.2,80.13,111.7,16.0,2.2,0.0,0.0
1783547375.3252,121.69,9.98,8.2,80.14,111.71,16.0,2.2,0.0,0.0
1783547376.3254,121.69,9.59,7.9,80.53,112.1,16.0,2.2,0.0,0.0
1783547377.3257,121.69,10.01,8.2,80.11,111.68,16.0,2.2,0.0,0.0
1783547378.3261,121.69,10.01,8.2,80.11,111.68,16.0,2.2,0.0,0.0
1783547379.3265,121.69,9.99,8.2,80.13,111.7,16.0,2.2,0.0,0.0
1783547380.3269,121.69,9.99,8.2,80.13,111.7,16.0,2.2,0.0,0.0
1783547381.3273,121.69,10.0,8.2,80.12,111.69,16.0,2.2,0.0,0.0
1783547382.3277,121.69,9.74,8.0,80.39,111.95,16.0,2.2,0.0,0.0
1783547383.3279,121.69,9.54,7.8,80.58,112.15,16.0,2.2,0.0,0.0
1783547384.3282,121.69,9.98,8.2,80.14,111.71,16.0,2.2,0.0,0.0
1783547385.3286,121.69,9.97,8.2,80.15,111.72,16.0,2.2,0.0,0.0
1783547386.329,121.69,9.97,8.2,80.15,111.72,16.0,2.2,0.0,0.0
1783547387.3295,121.69,9.98,8.2,80.14,111.71,16.0,2.2,0.0,0.0
1783547388.3298,121.69,9.75,8.0,80.37,111.94,16.0,2.2,0.0,0.0
1783547389.3302,121.69,9.58,7.9,80.54,112.11,16.0,2.2,0.0,0.0
1783547390.3305,121.69,10.02,8.2,80.1,111.67,16.0,2.2,0.0,0.0
1783547391.3309,121.69,10.02,8.2,80.1,111.67,16.0,2.2,0.0,0.0
1783547392.3317,121.69,10.01,8.2,80.11,111.68,16.0,2.2,0.0,0.0
1783547393.3319,121.69,10.0,8.2,80.12,111.69,16.0,2.2,0.0,0.0
1783547394.3323,121.69,10.0,8.2,80.12,111.69,16.0,2.2,0.0,0.0
1783547395.3327,121.69,9.6,7.9,80.52,112.09,16.0,2.2,0.0,0.0
1783547396.3331,121.69,10.02,8.2,80.1,111.67,16.0,2.2,0.0,0.0
1783547397.3335,121.69,10.02,8.2,80.1,111.67,16.0,2.2,0.0,0.0
