timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1784245702.5724,0.5,0.1,0.4,0.0,858.0,45.2,,0.81,0.97,0.99,1597,3,0
1784245703.5738,2.9,1.7,1.2,0.0,858.0,46.4,,0.81,0.97,0.99,2304,2,0
1784245704.5751,5.6,5.2,0.4,0.1,858.0,48.0,,0.81,0.97,0.99,2524,2,0
1784245705.5764,5.3,3.1,2.3,0.0,858.0,48.0,,0.81,0.97,0.99,2903,2,0
1784245706.5777,5.5,4.1,1.4,0.0,858.0,47.7,,0.82,0.97,0.99,2625,2,0
1784245707.5795,5.4,5.0,0.5,0.0,858.0,48.5,,0.82,0.97,0.99,2623,2,0
1784245708.5812,5.4,1.9,3.5,0.0,858.0,47.5,,0.82,0.97,0.99,2967,2,0
1784245709.5829,5.5,5.1,0.4,0.0,858.0,48.3,,0.82,0.97,0.99,2478,2,0
1784245710.5845,5.5,3.7,1.7,0.1,858.0,48.6,,0.82,0.97,0.99,2669,2,0
1784245711.5859,5.4,3.4,2.0,0.0,858.0,48.8,,0.84,0.97,0.99,2823,2,0
1784245712.5877,5.3,5.2,0.2,0.0,858.0,49.9,,0.84,0.97,0.99,2374,2,0
1784245713.5894,5.5,2.0,3.5,0.0,858.0,49.0,,0.84,0.97,0.99,3040,2,0
1784245714.5908,5.5,5.2,0.3,0.0,858.0,49.0,,0.84,0.97,0.99,2546,2,0
1784245715.5926,5.6,3.7,1.9,0.0,858.0,49.2,,0.84,0.97,0.99,2713,2,0
1784245716.5939,5.2,3.2,2.0,0.1,858.0,47.7,,0.85,0.97,0.99,2728,2,0
1784245717.5955,5.5,5.1,0.4,0.0,858.0,48.5,,0.85,0.97,0.99,2578,2,0
1784245718.5975,5.4,2.2,3.2,0.0,858.0,48.3,,0.85,0.97,0.99,2954,2,0
1784245719.5988,5.4,5.0,0.5,0.0,858.0,50.0,,0.85,0.97,0.99,2526,2,0
1784245720.6004,5.4,3.6,1.9,0.0,858.0,50.2,,0.85,0.97,0.99,2589,3,0
1784245721.6023,5.3,3.3,2.0,0.1,858.0,50.3,,0.86,0.97,0.99,2778,2,0
1784245722.6047,5.4,5.1,0.3,0.0,858.0,51.2,,0.86,0.97,0.99,2508,2,0
1784245723.6069,5.4,1.9,3.6,0.0,858.0,50.3,,0.86,0.97,0.99,2974,2,0
1784245724.6089,5.4,5.1,0.4,0.0,858.0,51.2,,0.86,0.97,0.99,2517,2,0
1784245725.6104,5.4,3.6,1.8,0.0,858.0,50.6,,0.86,0.97,0.99,2701,2,0
1784245726.6123,5.4,3.4,1.9,0.1,858.0,50.7,,0.95,0.99,0.99,2769,2,0
1784245727.6138,5.6,5.2,0.4,0.0,858.0,51.4,,0.95,0.99,0.99,2552,2,0
1784245728.6151,5.3,1.7,3.6,0.0,858.0,49.5,,0.95,0.99,0.99,3029,2,0
1784245729.6165,5.4,5.2,0.3,0.0,858.0,49.8,,0.95,0.99,0.99,2465,3,0
1784245730.6189,5.4,3.5,1.9,0.0,858.0,49.6,,0.95,0.99,0.99,2653,2,0
1784245731.6206,5.5,3.5,1.9,0.1,858.0,49.3,,0.96,0.99,1.0,2775,2,0
1784245732.6225,5.5,5.2,0.3,0.0,858.0,50.2,,0.96,0.99,1.0,2638,2,0
1784245733.6242,5.4,1.8,3.6,0.0,858.0,48.8,,0.96,0.99,1.0,2895,2,0
1784245734.6257,5.4,5.1,0.3,0.0,858.0,49.3,,0.96,0.99,1.0,2558,2,0
1784245735.6275,5.5,3.7,1.8,0.1,858.0,49.5,,0.96,0.99,1.0,2689,2,0
1784245736.63,5.4,3.4,2.1,0.0,858.0,48.9,,0.96,0.99,1.0,2781,2,0
1784245737.6313,5.5,5.2,0.3,0.0,858.0,49.9,,0.96,0.99,1.0,2593,2,0
1784245738.6327,5.4,2.1,3.3,0.1,858.0,49.1,,0.96,0.99,1.0,2926,3,0
1784245739.6341,5.4,5.1,0.3,0.0,858.0,49.9,,0.96,0.99,1.0,2449,2,0
1784245740.6365,5.6,3.6,2.0,0.0,858.0,49.1,,0.96,0.99,1.0,2774,2,0
1784245741.6386,5.2,3.2,2.1,0.0,858.0,50.2,,0.96,0.99,1.0,2720,2,0
