timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1784217306.797,121.69,3.07,2.5,116.15,118.62,16.0,0,0.0,0.0
1784217307.7974,121.69,3.42,2.8,115.8,118.27,16.0,0,0.0,0.0
1784217308.798,121.69,3.38,2.8,115.83,118.31,16.0,0,0.0,0.0
1784217309.7987,121.69,3.44,2.8,115.78,118.25,16.0,0,0.0,0.0
1784217310.7996,121.69,3.15,2.6,116.07,118.54,16.0,0,0.0,0.0
1784217311.8002,121.69,3.4,2.8,115.82,118.29,16.0,0,0.0,0.0
1784217312.8012,121.69,3.44,2.8,115.78,118.25,16.0,0,0.0,0.0
1784217313.8014,121.69,3.36,2.8,115.86,118.33,16.0,0,0.0,0.0
1784217314.8017,121.69,3.44,2.8,115.78,118.25,16.0,0,0.0,0.0
1784217315.8025,121.69,3.15,2.6,116.07,118.54,16.0,0,0.0,0.0
1784217316.8032,121.69,3.4,2.8,115.82,118.29,16.0,0,0.0,0.0
1784217317.8042,121.69,3.45,2.8,115.77,118.24,16.0,0,0.0,0.0
1784217318.8056,121.69,3.16,2.6,116.06,118.53,16.0,0,0.0,0.0
1784217319.8062,121.69,3.45,2.8,115.77,118.24,16.0,0,0.0,0.0
1784217320.8067,121.69,3.44,2.8,115.78,118.25,16.0,0,0.0,0.0
1784217321.807,121.69,3.41,2.8,115.81,118.28,16.0,0,0.0,0.0
1784217322.8073,121.69,3.42,2.8,115.8,118.27,16.0,0,0.0,0.0
1784217323.8079,121.69,3.15,2.6,116.07,118.54,16.0,0,0.0,0.0
1784217324.8088,121.69,3.41,2.8,115.81,118.28,16.0,0,0.0,0.0
1784217325.8097,121.69,3.45,2.8,115.77,118.24,16.0,0,0.0,0.0
1784217326.8099,121.69,3.16,2.6,116.06,118.53,16.0,0,0.0,0.0
1784217327.8102,121.69,3.45,2.8,115.77,118.24,16.0,0,0.0,0.0
1784217328.8104,121.69,3.33,2.7,115.89,118.36,16.0,0,0.0,0.0
1784217329.8111,121.69,3.4,2.8,115.82,118.29,16.0,0,0.0,0.0
1784217330.8116,121.69,3.43,2.8,115.79,118.26,16.0,0,0.0,0.0
1784217331.8123,121.69,3.14,2.6,116.07,118.55,16.0,0,0.0,0.0
1784217332.8129,121.69,3.41,2.8,115.81,118.28,16.0,0,0.0,0.0
1784217333.8138,121.69,3.44,2.8,115.78,118.25,16.0,0,0.0,0.0
1784217334.8141,121.69,3.13,2.6,116.09,118.56,16.0,0,0.0,0.0
1784217335.8144,121.69,3.44,2.8,115.78,118.25,16.0,0,0.0,0.0
1784217336.8146,121.69,3.16,2.6,116.06,118.53,16.0,0,0.0,0.0
1784217337.8154,121.69,3.43,2.8,115.79,118.26,16.0,0,0.0,0.0
1784217338.8159,121.69,3.46,2.8,115.76,118.23,16.0,0,0.0,0.0
1784217339.8166,121.69,3.15,2.6,116.06,118.54,16.0,0,0.0,0.0
1784217340.8173,121.69,3.42,2.8,115.8,118.27,16.0,0,0.0,0.0
1784217341.8179,121.69,3.45,2.8,115.77,118.24,16.0,0,0.0,0.0
1784217342.8185,121.69,3.42,2.8,115.8,118.27,16.0,0,0.0,0.0
1784217343.8188,121.69,3.45,2.8,115.77,118.24,16.0,0,0.0,0.0
1784217344.8198,121.69,3.17,2.6,116.05,118.52,16.0,0,0.0,0.0
1784217345.8206,121.69,3.43,2.8,115.79,118.26,16.0,0,0.0,0.0
1784217346.8216,121.69,3.46,2.8,115.76,118.23,16.0,0,0.0,0.0
1784217347.8218,121.69,3.16,2.6,116.05,118.53,16.0,0,0.0,0.0
1784217348.8227,121.69,3.46,2.8,115.76,118.23,16.0,0,0.0,0.0
1784217349.8236,121.69,3.46,2.8,115.76,118.23,16.0,0,0.0,0.0
1784217350.824,121.69,3.43,2.8,115.79,118.26,16.0,0,0.0,0.0
1784217351.8243,121.69,3.46,2.8,115.76,118.23,16.0,0,0.0,0.0
1784217352.825,121.69,3.14,2.6,116.07,118.55,16.0,0,0.0,0.0
1784217353.8257,121.69,3.41,2.8,115.81,118.28,16.0,0,0.0,0.0
1784217354.8267,121.69,3.44,2.8,115.78,118.25,16.0,0,0.0,0.0
1784217355.827,121.69,3.15,2.6,116.07,118.54,16.0,0,0.0,0.0
1784217356.8275,121.69,3.46,2.8,115.76,118.23,16.0,0,0.0,0.0
