timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1784235141.5047,0.5,0.2,0.3,0.0,858.0,54.3,,0.93,1.0,1.0,1590,3,0
1784235142.5058,3.1,1.4,1.7,0.0,858.0,55.8,,0.93,1.0,1.0,2541,2,0
1784235143.5068,5.6,3.9,1.7,0.0,858.0,58.3,,0.93,1.0,1.0,2652,2,0
1784235144.5077,5.5,5.1,0.3,0.1,858.0,59.6,,0.93,1.0,1.0,2427,3,0
1784235145.5088,5.6,5.2,0.5,0.0,858.0,60.4,,0.93,1.0,1.0,2614,3,0
1784235146.5098,5.4,1.9,3.5,0.0,858.0,58.4,,0.93,1.0,1.0,2937,2,0
1784235147.5108,5.6,5.3,0.4,0.0,858.0,59.7,,0.93,1.0,1.0,2756,3,0
1784235148.512,5.6,5.2,0.4,0.0,858.0,60.5,,0.93,1.0,1.0,2591,2,0
1784235149.5128,5.4,4.2,1.2,0.0,858.0,60.2,,0.94,1.0,1.0,2844,2,0
1784235150.5137,5.6,3.0,2.7,0.0,858.0,60.1,,0.94,1.0,1.0,2777,3,0
1784235151.5145,5.6,5.2,0.4,0.1,858.0,61.7,,0.94,1.0,1.0,2674,2,0
1784235152.516,5.3,5.1,0.3,0.0,858.0,62.4,,0.94,1.0,1.0,2457,2,0
1784235153.5169,5.4,3.2,2.3,0.0,858.0,60.6,,0.94,1.0,1.0,3021,3,0
1784235154.5178,5.5,4.1,1.4,0.0,858.0,61.0,,0.94,1.0,1.0,2566,2,0
1784235155.5188,5.5,5.2,0.4,0.0,858.0,61.6,,0.94,1.0,1.0,2601,3,0
1784235156.5198,5.5,4.9,0.7,0.0,858.0,61.9,,0.94,1.0,1.0,2638,2,0
1784235157.5212,5.5,2.4,3.1,0.1,858.0,61.0,,0.94,1.0,1.0,3048,2,0
1784235158.5222,5.6,5.2,0.4,0.0,858.0,61.9,,0.94,1.0,1.0,2548,2,0
1784235159.5236,5.5,5.2,0.3,0.0,858.0,62.3,,0.95,1.0,1.0,2571,2,0
1784235160.5251,5.4,4.2,1.3,0.0,858.0,61.6,,0.95,1.0,1.0,2861,2,0
1784235161.5267,5.5,3.0,2.5,0.0,858.0,61.1,,0.95,1.0,1.0,2748,2,0
1784235162.5284,5.7,5.2,0.4,0.1,858.0,62.0,,0.95,1.0,1.0,2546,2,0
1784235163.5298,5.5,5.2,0.3,0.0,858.0,62.6,,0.95,1.0,1.0,2628,2,0
1784235164.5314,5.4,2.7,2.7,0.0,858.0,60.6,,0.95,1.0,1.0,2963,2,0
1784235165.5326,5.6,4.3,1.4,0.0,858.0,61.5,,0.95,1.0,1.0,2553,2,0
1784235166.5335,5.6,5.2,0.4,0.0,858.0,62.3,,0.95,1.0,1.0,2525,2,0
1784235167.5344,5.3,4.5,0.8,0.0,858.0,62.6,,0.95,1.0,1.0,2777,2,0
1784235168.5354,5.5,2.7,2.8,0.0,858.0,62.2,,0.95,1.0,1.0,2760,2,0
1784235169.5364,5.5,5.2,0.3,0.1,858.0,63.2,,0.96,1.0,1.0,2666,2,0
1784235170.5373,5.5,5.2,0.3,0.0,858.0,63.7,,0.96,1.0,1.0,2555,2,0
1784235171.5387,5.4,3.8,1.6,0.0,858.0,62.4,,0.96,1.0,1.0,3069,2,0
1784235172.5398,5.6,3.5,2.1,0.0,858.0,62.2,,0.96,1.0,1.0,2646,2,0
1784235173.5414,5.5,5.2,0.3,0.0,858.0,62.6,,0.96,1.0,1.0,2546,2,0
1784235174.5423,5.4,5.1,0.4,0.0,858.0,62.9,,0.96,1.0,1.0,2572,2,0
1784235175.5434,5.3,2.3,3.1,0.0,858.0,62.9,,0.96,1.0,1.0,3065,3,0
1784235176.5442,5.4,4.7,0.7,0.0,858.0,64.4,,0.96,1.0,1.0,2580,2,0
