timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1784247656.5822,121.69,3.15,2.6,114.68,118.54,16.0,0,0.0,0.0
1784247657.5825,121.69,3.26,2.7,114.57,118.43,16.0,0,0.0,0.0
1784247658.5837,121.69,3.49,2.9,114.34,118.2,16.0,0,0.0,0.0
1784247659.5851,121.69,3.49,2.9,114.34,118.2,16.0,0,0.0,0.0
1784247660.5861,121.69,3.49,2.9,114.34,118.2,16.0,0,0.0,0.0
1784247661.5866,121.69,3.49,2.9,114.34,118.2,16.0,0,0.0,0.0
1784247662.587,121.69,3.48,2.9,114.34,118.21,16.0,0,0.0,0.0
1784247663.5874,121.69,3.39,2.8,114.44,118.3,16.0,0,0.0,0.0
1784247664.5877,121.69,3.48,2.9,114.35,118.21,16.0,0,0.0,0.0
1784247665.5883,121.69,3.5,2.9,114.33,118.19,16.0,0,0.0,0.0
1784247666.589,121.69,3.49,2.9,114.34,118.2,16.0,0,0.0,0.0
1784247667.5893,121.69,3.47,2.9,114.36,118.22,16.0,0,0.0,0.0
1784247668.5901,121.69,3.49,2.9,114.34,118.2,16.0,0,0.0,0.0
1784247669.5907,121.69,3.49,2.9,114.34,118.2,16.0,0,0.0,0.0
1784247670.591,121.69,3.49,2.9,114.34,118.2,16.0,0,0.0,0.0
1784247671.5913,121.69,3.2,2.6,114.63,118.49,16.0,0,0.0,0.0
1784247672.5924,121.69,3.49,2.9,114.34,118.2,16.0,0,0.0,0.0
1784247673.593,121.69,3.49,2.9,114.34,118.2,16.0,0,0.0,0.0
1784247674.5934,121.69,3.49,2.9,114.34,118.2,16.0,0,0.0,0.0
1784247675.5941,121.69,3.5,2.9,114.33,118.19,16.0,0,0.0,0.0
1784247676.5949,121.69,3.49,2.9,114.34,118.2,16.0,0,0.0,0.0
1784247677.5952,121.69,3.4,2.8,114.43,118.29,16.0,0,0.0,0.0
1784247678.5955,121.69,3.27,2.7,114.56,118.42,16.0,0,0.0,0.0
1784247679.5958,121.69,3.48,2.9,114.35,118.21,16.0,0,0.0,0.0
1784247680.5968,121.69,3.48,2.9,114.35,118.21,16.0,0,0.0,0.0
1784247681.5971,121.69,3.49,2.9,114.34,118.2,16.0,0,0.0,0.0
1784247682.5973,121.69,3.49,2.9,114.34,118.2,16.0,0,0.0,0.0
1784247683.5976,121.69,3.46,2.8,114.37,118.23,16.0,0,0.0,0.0
1784247684.5982,121.69,3.39,2.8,114.44,118.3,16.0,0,0.0,0.0
1784247685.5987,121.69,3.45,2.8,114.38,118.24,16.0,0,0.0,0.0
1784247686.5989,121.69,3.48,2.9,114.35,118.21,16.0,0,0.0,0.0
1784247687.5993,121.69,3.47,2.9,114.36,118.22,16.0,0,0.0,0.0
1784247688.6,121.69,3.47,2.9,114.36,118.22,16.0,0,0.0,0.0
1784247689.6008,121.69,3.47,2.9,114.36,118.22,16.0,0,0.0,0.0
1784247690.6015,121.69,3.48,2.9,114.35,118.21,16.0,0,0.0,0.0
1784247691.6018,121.69,3.18,2.6,114.65,118.51,16.0,0,0.0,0.0
1784247692.6021,121.69,3.49,2.9,114.34,118.2,16.0,0,0.0,0.0
1784247693.6024,121.69,3.49,2.9,114.34,118.2,16.0,0,0.0,0.0
1784247694.6027,121.69,3.49,2.9,114.34,118.2,16.0,0,0.0,0.0
1784247695.603,121.69,3.49,2.9,114.34,118.2,16.0,0,0.0,0.0
1784247696.6033,121.69,3.49,2.9,114.34,118.2,16.0,0,0.0,0.0
1784247697.6036,121.69,3.45,2.8,114.38,118.24,16.0,0,0.0,0.0
1784247698.6039,121.69,3.36,2.8,114.47,118.33,16.0,0,0.0,0.0
1784247699.6043,121.69,3.33,2.7,114.5,118.36,16.0,0,0.0,0.0
1784247700.6046,121.69,3.5,2.9,114.33,118.19,16.0,0,0.0,0.0
1784247701.6052,121.69,3.49,2.9,114.34,118.2,16.0,0,0.0,0.0
1784247702.6059,121.69,3.49,2.9,114.34,118.2,16.0,0,0.0,0.0
1784247703.6062,121.69,3.5,2.9,114.33,118.19,16.0,0,0.0,0.0
1784247704.6068,121.69,3.49,2.9,114.34,118.2,16.0,0,0.0,0.0
1784247705.6071,121.69,3.45,2.8,114.38,118.24,16.0,0,0.0,0.0
1784247706.6075,121.69,3.28,2.7,114.55,118.41,16.0,0,0.0,0.0
1784247707.6078,121.69,3.5,2.9,114.33,118.19,16.0,0,0.0,0.0
1784247708.6083,121.69,3.49,2.9,114.34,118.2,16.0,0,0.0,0.0
1784247709.6092,121.69,3.5,2.9,114.33,118.19,16.0,0,0.0,0.0
1784247710.6102,121.69,3.49,2.9,114.34,118.2,16.0,0,0.0,0.0
1784247711.6105,121.69,3.5,2.9,114.33,118.19,16.0,0,0.0,0.0
1784247712.6109,121.69,3.4,2.8,114.43,118.29,16.0,0,0.0,0.0
1784247713.6114,121.69,3.28,2.7,114.54,118.41,16.0,0,0.0,0.0
1784247714.6117,121.69,3.48,2.9,114.35,118.21,16.0,0,0.0,0.0
1784247715.6121,121.69,3.49,2.9,114.34,118.2,16.0,0,0.0,0.0
1784247716.6132,121.69,3.49,2.9,114.34,118.2,16.0,0,0.0,0.0
1784247717.6141,121.69,3.5,2.9,114.33,118.19,16.0,0,0.0,0.0
1784247718.6145,121.69,3.51,2.9,114.32,118.18,16.0,0,0.0,0.0
