timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1784219846.6353,121.69,3.08,2.5,116.09,118.61,16.0,0,0.0,0.0
1784219847.6356,121.69,3.4,2.8,115.78,118.29,16.0,0,0.0,0.0
1784219848.6359,121.69,3.11,2.6,116.06,118.58,16.0,0,0.0,0.0
1784219849.6362,121.69,3.43,2.8,115.76,118.26,16.0,0,0.0,0.0
1784219850.6364,121.69,3.42,2.8,115.76,118.27,16.0,0,0.0,0.0
1784219851.6368,121.69,3.4,2.8,115.78,118.29,16.0,0,0.0,0.0
1784219852.637,121.69,3.34,2.7,115.83,118.35,16.0,0,0.0,0.0
1784219853.6373,121.69,3.42,2.8,115.76,118.27,16.0,0,0.0,0.0
1784219854.6377,121.69,3.41,2.8,115.76,118.28,16.0,0,0.0,0.0
1784219855.638,121.69,3.12,2.6,116.06,118.57,16.0,0,0.0,0.0
1784219856.6383,121.69,3.44,2.8,115.75,118.25,16.0,0,0.0,0.0
1784219857.6389,121.69,3.41,2.8,115.76,118.28,16.0,0,0.0,0.0
1784219858.6395,121.69,3.4,2.8,115.78,118.29,16.0,0,0.0,0.0
1784219859.64,121.69,3.11,2.6,116.06,118.58,16.0,0,0.0,0.0
1784219860.6406,121.69,3.42,2.8,115.76,118.27,16.0,0,0.0,0.0
1784219861.6409,121.69,3.41,2.8,115.76,118.28,16.0,0,0.0,0.0
1784219862.6414,121.69,3.4,2.8,115.78,118.29,16.0,0,0.0,0.0
1784219863.6417,121.69,3.43,2.8,115.74,118.26,16.0,0,0.0,0.0
1784219864.642,121.69,3.45,2.8,115.73,118.24,16.0,0,0.0,0.0
1784219865.6423,121.69,3.46,2.8,115.71,118.23,16.0,0,0.0,0.0
1784219866.6426,121.69,3.17,2.6,116.01,118.52,16.0,0,0.0,0.0
1784219867.643,121.69,3.48,2.9,115.71,118.21,16.0,0,0.0,0.0
1784219868.6433,121.69,3.46,2.8,115.72,118.23,16.0,0,0.0,0.0
1784219869.6437,121.69,3.43,2.8,115.74,118.26,16.0,0,0.0,0.0
1784219870.6439,121.69,3.15,2.6,116.03,118.54,16.0,0,0.0,0.0
1784219871.6442,121.69,3.45,2.8,115.73,118.24,16.0,0,0.0,0.0
1784219872.6445,121.69,3.42,2.8,115.76,118.27,16.0,0,0.0,0.0
1784219873.6447,121.69,3.19,2.6,115.98,118.5,16.0,0,0.0,0.0
1784219874.6449,121.69,3.43,2.8,115.75,118.26,16.0,0,0.0,0.0
1784219875.6452,121.69,3.4,2.8,115.77,118.29,16.0,0,0.0,0.0
1784219876.6455,121.69,3.37,2.8,115.8,118.32,16.0,0,0.0,0.0
1784219877.6458,121.69,3.09,2.5,116.09,118.6,16.0,0,0.0,0.0
1784219878.6464,121.69,3.4,2.8,115.78,118.29,16.0,0,0.0,0.0
1784219879.6468,121.69,3.4,2.8,115.77,118.29,16.0,0,0.0,0.0
1784219880.647,121.69,3.39,2.8,115.78,118.3,16.0,0,0.0,0.0
1784219881.6477,121.69,3.42,2.8,115.75,118.27,16.0,0,0.0,0.0
1784219882.648,121.69,3.4,2.8,115.77,118.29,16.0,0,0.0,0.0
1784219883.6483,121.69,3.39,2.8,115.78,118.3,16.0,0,0.0,0.0
1784219884.6485,121.69,3.11,2.6,116.07,118.58,16.0,0,0.0,0.0
1784219885.649,121.69,3.42,2.8,115.77,118.27,16.0,0,0.0,0.0
1784219886.6493,121.69,3.4,2.8,115.78,118.29,16.0,0,0.0,0.0
1784219887.6495,121.69,3.39,2.8,115.78,118.3,16.0,0,0.0,0.0
1784219888.6497,121.69,3.1,2.5,116.08,118.59,16.0,0,0.0,0.0
