timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1784220607.6728,0.5,0.1,0.3,0.0,858.0,52.1,,0.73,0.9,0.95,1582,3,0
1784220608.6736,2.9,1.6,1.3,0.0,858.0,53.7,,0.73,0.9,0.95,2543,3,0
1784220609.6754,5.4,3.1,2.3,0.1,858.0,56.6,,0.73,0.9,0.95,2934,2,0
1784220610.6775,5.6,2.6,3.0,0.0,858.0,59.4,,0.73,0.9,0.95,2867,2,0
1784220611.6795,5.4,2.9,2.4,0.1,858.0,59.9,,0.75,0.9,0.95,3135,2,0
1784220612.6812,5.5,3.1,2.2,0.2,858.0,59.0,,0.75,0.9,0.95,3095,2,0
1784220613.6831,5.4,2.8,2.6,0.1,858.0,60.7,,0.75,0.9,0.95,3241,2,0
1784220614.6848,5.5,2.7,2.9,0.0,858.0,61.6,,0.75,0.9,0.95,2785,2,0
1784220615.6862,5.5,3.1,2.4,0.1,858.0,60.7,,0.75,0.9,0.95,3267,2,0
1784220616.6877,5.4,3.1,2.2,0.1,858.0,60.3,,0.77,0.91,0.95,3200,3,0
1784220617.6891,5.5,2.7,2.7,0.2,858.0,62.2,,0.77,0.91,0.95,2796,1,0
1784220618.6913,5.4,2.6,2.8,0.0,858.0,62.6,,0.77,0.91,0.95,2896,2,0
1784220619.6931,5.4,3.1,2.3,0.1,858.0,61.9,,0.77,0.91,0.95,3194,3,0
1784220620.6946,5.3,3.2,2.1,0.1,858.0,62.0,,0.77,0.91,0.95,2942,2,0
1784220621.6962,5.6,2.5,3.1,0.0,858.0,63.7,,0.79,0.91,0.95,2819,2,0
1784220622.6982,5.5,2.8,2.6,0.1,858.0,63.5,,0.79,0.91,0.95,3019,2,0
1784220623.7004,5.5,3.1,2.3,0.2,858.0,62.8,,0.79,0.91,0.95,3372,2,0
1784220624.702,5.4,3.1,2.3,0.1,858.0,63.1,,0.79,0.91,0.95,2874,2,0
1784220625.7036,5.3,2.4,2.9,0.0,858.0,64.5,,0.79,0.91,0.95,2766,2,0
1784220626.7054,5.3,2.8,2.4,0.1,858.0,63.6,,0.81,0.91,0.95,3105,2,0
1784220627.7072,5.3,3.0,2.2,0.1,858.0,62.8,,0.81,0.91,0.95,3158,2,0
1784220628.709,5.6,2.8,2.6,0.2,858.0,63.8,,0.81,0.91,0.95,3025,2,0
1784220629.7108,5.6,2.6,3.0,0.0,858.0,64.7,,0.81,0.91,0.95,2830,2,0
1784220630.7129,5.3,3.0,2.2,0.1,858.0,63.7,,0.81,0.91,0.95,3117,2,0
1784220631.7147,5.5,3.2,2.3,0.1,858.0,63.6,,0.82,0.91,0.95,3129,2,0
1784220632.7161,5.7,2.6,3.1,0.1,858.0,65.3,,0.82,0.91,0.95,3176,2,0
1784220633.7183,5.2,2.7,2.5,0.1,858.0,65.1,,0.82,0.91,0.95,2873,2,0
1784220634.7204,5.5,3.1,2.3,0.1,858.0,63.8,,0.82,0.91,0.95,3194,3,0
1784220635.7222,5.4,3.0,2.4,0.1,858.0,64.5,,0.82,0.91,0.95,2991,2,0
1784220636.7237,5.4,2.3,3.1,0.0,858.0,65.5,,0.84,0.91,0.95,2751,2,0
1784220637.7257,5.4,3.1,2.3,0.1,858.0,65.2,,0.84,0.91,0.95,3025,2,0
1784220638.7272,5.4,3.2,2.1,0.2,858.0,64.2,,0.84,0.91,0.95,3189,2,0
1784220639.7286,5.5,2.7,2.7,0.1,858.0,65.9,,0.84,0.91,0.95,2844,2,0
1784220640.7301,5.5,2.7,2.8,0.0,858.0,66.2,,0.84,0.91,0.95,3025,2,0
1784220641.7316,5.4,3.2,2.1,0.1,858.0,65.2,,0.85,0.91,0.95,3082,3,0
1784220642.7338,5.2,3.2,2.0,0.1,858.0,65.3,,0.85,0.91,0.95,2869,3,0
1784220643.7354,5.7,2.3,3.3,0.1,858.0,66.7,,0.85,0.91,0.95,2853,2,0
1784220644.7371,5.5,3.0,2.5,0.1,858.0,66.1,,0.85,0.91,0.95,3028,2,0
1784220645.7392,5.4,3.1,2.2,0.1,858.0,65.5,,0.85,0.91,0.95,3090,2,0
1784220646.741,5.5,2.8,2.7,0.1,858.0,66.0,,0.86,0.92,0.95,3010,2,0
1784220647.743,5.6,2.5,3.1,0.0,858.0,67.0,,0.86,0.92,0.95,2830,2,0
1784220648.7444,5.4,3.2,2.2,0.1,858.0,66.4,,0.86,0.92,0.95,3258,2,0
1784220649.7465,5.3,3.1,2.1,0.1,858.0,65.6,,0.86,0.92,0.95,2958,3,0
1784220650.7486,5.5,2.8,2.8,0.0,858.0,67.5,,0.86,0.92,0.95,2803,2,0
1784220651.7502,5.2,2.6,2.6,0.1,858.0,66.8,,1.03,0.95,0.97,3072,2,0
1784220652.7521,5.4,3.2,2.2,0.1,858.0,65.8,,1.03,0.95,0.97,3202,2,0
1784220653.7541,5.3,2.9,2.3,0.1,858.0,66.5,,1.03,0.95,0.97,3030,2,0
1784220654.7558,5.4,2.4,3.0,0.0,858.0,68.1,,1.03,0.95,0.97,3076,3,0
1784220655.7576,5.4,3.1,2.3,0.1,858.0,66.7,,1.03,0.95,0.97,3164,2,0
1784220656.7598,5.4,3.0,2.3,0.1,858.0,65.7,,1.11,0.97,0.97,3059,2,0
1784220657.7612,5.6,2.7,2.9,0.1,858.0,67.7,,1.11,0.97,0.97,2755,4,0
1784220658.7627,5.2,2.6,2.6,0.0,858.0,67.9,,1.11,0.97,0.97,3219,2,0
1784220659.7643,5.5,3.2,2.3,0.1,858.0,66.5,,1.11,0.97,0.97,3234,2,0
1784220660.7662,5.4,3.2,2.2,0.1,858.0,66.8,,1.11,0.97,0.97,2956,2,0
1784220661.7681,5.6,2.4,3.2,0.0,858.0,68.1,,1.1,0.97,0.97,2833,2,0
1784220662.7696,5.3,2.8,2.4,0.1,858.0,67.6,,1.1,0.97,0.97,3213,2,0
1784220663.7716,5.5,3.2,2.2,0.1,858.0,66.7,,1.1,0.97,0.97,3203,2,0
1784220664.7732,5.5,2.8,2.7,0.1,858.0,67.9,,1.1,0.97,0.97,2885,2,0
1784220665.7747,5.4,2.7,2.8,0.0,858.0,68.5,,1.1,0.97,0.97,2714,3,0
1784220666.7768,5.3,3.2,2.0,0.1,858.0,67.8,,1.09,0.97,0.97,3084,2,0
1784220667.7786,5.4,3.0,2.3,0.1,858.0,66.9,,1.09,0.97,0.97,3148,2,0
1784220668.7805,5.5,2.7,2.8,0.0,858.0,68.7,,1.09,0.97,0.97,2749,2,0
1784220669.7824,5.5,2.6,2.9,0.1,858.0,68.5,,1.09,0.97,0.97,3027,2,0
1784220670.7841,5.4,3.2,2.2,0.1,858.0,67.8,,1.09,0.97,0.97,3245,2,0
