timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1784252479.4757,0.5,0.1,0.3,0.0,858.0,56.1,,0.6,0.85,0.94,1583,3,0
1784252480.4764,3.0,2.2,0.8,0.0,858.0,57.5,,0.6,0.85,0.94,2447,2,0
1784252481.4772,5.5,5.2,0.3,0.0,858.0,59.8,,0.6,0.85,0.94,2728,3,0
1784252482.4785,5.4,5.2,0.3,0.0,858.0,61.8,,0.64,0.85,0.94,2555,2,0
1784252483.4793,5.3,4.2,1.1,0.0,858.0,60.6,,0.64,0.85,0.94,3126,2,0
1784252484.4806,5.5,5.1,0.4,0.1,858.0,62.5,,0.64,0.85,0.94,2566,2,0
1784252485.482,5.5,5.2,0.4,0.0,858.0,63.6,,0.64,0.85,0.94,2731,2,0
1784252486.4832,5.5,4.3,1.2,0.0,858.0,62.4,,0.64,0.85,0.94,2987,2,0
1784252487.4846,5.5,5.2,0.4,0.0,858.0,63.9,,0.66,0.85,0.94,2702,2,0
1784252488.4854,5.6,5.1,0.6,0.0,858.0,64.7,,0.66,0.85,0.94,2833,1,0
1784252489.4861,5.3,4.3,1.0,0.0,858.0,63.2,,0.66,0.85,0.94,2918,3,0
1784252490.487,5.5,5.1,0.4,0.0,858.0,65.0,,0.66,0.85,0.94,2608,2,0
1784252491.4884,5.5,4.9,0.6,0.1,858.0,65.3,,0.66,0.85,0.94,2973,2,0
1784252492.4897,5.5,4.6,0.9,0.0,858.0,64.1,,0.69,0.86,0.94,2849,3,0
1784252493.4907,5.6,5.2,0.4,0.0,858.0,65.5,,0.69,0.86,0.94,2750,2,0
1784252494.4923,5.1,4.5,0.7,0.0,858.0,65.7,,0.69,0.86,0.94,2946,2,0
1784252495.494,5.5,4.6,0.9,0.0,858.0,66.9,,0.69,0.86,0.94,2826,2,0
1784252496.4957,5.5,5.2,0.4,0.0,858.0,68.4,,0.69,0.86,0.94,2561,4,0
1784252497.4978,5.3,4.5,0.8,0.1,858.0,67.1,,0.72,0.86,0.95,2897,2,0
1784252498.4992,5.3,4.8,0.5,0.0,858.0,66.3,,0.72,0.86,0.95,2556,2,0
1784252499.5011,5.6,5.2,0.4,0.0,858.0,67.3,,0.72,0.86,0.95,2669,2,0
1784252500.5031,5.5,4.3,1.2,0.0,858.0,65.9,,0.72,0.86,0.95,3090,2,0
1784252501.5045,5.5,5.2,0.3,0.0,858.0,67.7,,0.72,0.86,0.95,2681,2,0
1784252502.5067,5.5,5.2,0.3,0.0,858.0,69.0,,0.82,0.88,0.95,2673,2,0
1784252503.5086,5.5,4.3,1.2,0.1,858.0,67.1,,0.82,0.88,0.95,3173,2,0
1784252504.5106,5.6,5.2,0.4,0.0,858.0,68.9,,0.82,0.88,0.95,2671,2,0
1784252505.5115,5.5,5.1,0.5,0.0,858.0,69.7,,0.82,0.88,0.95,2726,2,0
1784252506.5123,5.4,4.3,1.1,0.0,858.0,67.9,,0.82,0.88,0.95,2979,4,0
1784252507.5133,5.4,5.1,0.3,0.0,858.0,69.4,,0.83,0.88,0.95,2608,2,0
1784252508.5151,5.5,4.8,0.6,0.1,858.0,69.8,,0.83,0.88,0.95,2948,2,0
1784252509.5165,5.5,4.7,0.8,0.0,858.0,69.4,,0.83,0.88,0.95,2834,2,0
1784252510.5181,5.4,5.1,0.3,0.0,858.0,70.6,,0.83,0.88,0.95,2551,2,0
1784252511.5203,5.4,4.8,0.7,0.0,858.0,70.0,,0.83,0.88,0.95,2938,2,0
1784252512.5224,5.5,4.7,0.8,0.0,858.0,68.5,,0.93,0.9,0.96,2934,2,0
1784252513.5245,5.6,5.2,0.4,0.0,858.0,69.4,,0.93,0.9,0.96,2823,2,0
1784252514.5259,5.5,4.7,0.8,0.1,858.0,68.0,,0.93,0.9,0.96,2938,2,0
