timestamp_unix,cgroup_mem_anon_bytes,cgroup_mem_file_bytes,cgroup_mem_kernel_bytes,cgroup_mem_slab_bytes,cgroup_mem_swap_bytes,cgroup_mem_workingset_refault,cgroup_mem_kswapd_steal,cgroup_mem_direct_reclaim_steal
1784228958.7215,1102090240,4255637504,203407360,156528104,,,0,0
1784228959.7225,3004399616,4255641600,207597568,156681616,,,0,0
1784228960.7243,4073574400,4255641600,209694720,156687448,,,0,0
1784228961.7247,4377952256,4255641600,210305024,156714016,,,0,0
1784228962.725,4682747904,4255641600,211222528,156765384,,,0,0
1784228963.7262,4985688064,4255641600,211460096,156689824,,,0,0
1784228964.7271,5289422848,4255641600,212049920,156673856,,,0,0
1784228965.7282,5593022464,4255649792,212643840,156682904,,,0,0
1784228966.7292,5896605696,4255649792,213245952,156685048,,,0,0
1784228967.73,6200508416,4255649792,213852160,156683792,,,0,0
1784228968.7313,6504722432,4255649792,214454272,156685120,,,0,0
1784228969.7317,6808375296,4255649792,215048192,156679888,,,0,0
1784228970.732,7110463488,4255649792,215633920,156680008,,,0,0
1784228971.7324,7413989376,4255649792,216231936,156671800,,,0,0
1784228972.7327,7719342080,4255649792,217280512,156909408,,,0,0
1784228973.733,8021544960,4255649792,217387008,156665208,,,0,0
1784228974.7333,8325054464,4255649792,217989120,156680000,,,0,0
1784228975.7337,8629149696,4255649792,218591232,156675552,,,0,0
1784228976.7345,8933076992,4255649792,219185152,156671616,,,0,0
1784228977.7356,9235918848,4255649792,219762688,156671480,,,0,0
1784228978.7367,9539956736,4255649792,220348416,156668648,,,0,0
1784228979.7376,9843589120,4255649792,220958720,156676088,,,0,0
1784228980.7386,10147057664,4255649792,221560832,156684888,,,0,0
1784228981.7394,10449408000,4255649792,222162944,156685520,,,0,0
1784228982.7398,10752176128,4255649792,222781440,156720680,,,0,0
1784228983.7409,11054837760,4255649792,223330304,156664088,,,0,0
1784228984.742,11357302784,4255649792,223907840,156671584,,,0,0
1784228985.743,11660156928,4255649792,224514048,156670160,,,0,0
1784228986.7437,11962519552,4255649792,225103872,156673488,,,0,0
1784228987.7448,15185408000,4255649792,231407616,156667912,,,0,0
1784228988.7452,18591862784,4299886592,238800896,156879672,,,0,0
1784228989.7463,18591907840,4299886592,238809088,156892976,,,0,0
1784228990.7473,18591907840,4299886592,238800896,156896560,,,0,0
1784228991.7477,18591907840,4299886592,239087616,157023528,,,0,0
1784228992.7491,18591911936,4299886592,238813184,156887824,,,0,0
1784228993.7495,17411514368,4299886592,238809088,156881552,,,0,0
1784228994.7506,9527799808,4299894784,222781440,156886352,,,0,0
1784228995.7517,1161244672,4299894784,209944576,156895624,,,0,0
1784228996.7525,3857821696,4255657984,209235968,156665008,,,0,0
1784228997.7532,4175609856,4255657984,209874944,156688184,,,0,0
1784228998.754,4494909440,4255657984,210481152,156679192,,,0,0
1784228999.7544,4814979072,4255657984,211156992,156713400,,,0,0
1784229000.7549,5134999552,4255657984,211759104,156682728,,,0,0
1784229001.7555,5454979072,4255666176,212385792,156679296,,,0,0
1784229002.7561,5775409152,4255666176,213000192,156676016,,,0,0
1784229003.7568,6096289792,4255666176,213630976,156686984,,,0,0
1784229004.7575,6416846848,4255666176,214261760,156681512,,,0,0
1784229005.7582,6737784832,4255666176,214884352,156675216,,,0,0
1784229006.7585,7058161664,4255666176,215498752,156670528,,,0,0
1784229007.7588,7378976768,4255666176,216129536,156673880,,,0,0
1784229008.7592,7700713472,4255666176,217169920,156809384,,,0,0
1784229009.7595,8020983808,4255666176,217403392,156668768,,,0,0
1784229010.7599,8342200320,4255666176,218034176,156677936,,,0,0
1784229011.7606,8662618112,4255666176,218664960,156660784,,,0,0
1784229012.7613,8983494656,4255666176,219291648,156668192,,,0,0
1784229013.7619,9304326144,4255666176,219922432,156668992,,,0,0
1784229014.7625,9625112576,4255670272,220581888,156676552,,,0,0
1784229015.7631,9945710592,4255670272,221216768,156679400,,,0,0
1784229016.7636,10267607040,4255670272,222224384,156847760,,,0,0
1784229017.7645,10584784896,4255670272,222457856,156717080,,,0,0
1784229018.7651,10901446656,4255670272,223072256,156713400,,,0,0
1784229019.7655,11218481152,4255670272,223707136,156720552,,,0,0
1784229020.7659,11535822848,4255678464,224325632,156721992,,,0,0
1784229021.7663,11852562432,4255678464,224940032,156724840,,,0,0
1784229022.7673,13853687808,4255678464,228864000,156711136,,,0,0
1784229023.7677,17511579648,4255678464,236027904,156748464,,,0,0
1784229024.768,18591916032,4299915264,238866432,156940856,,,0,0
1784229025.7683,18591956992,4299915264,238850048,156933656,,,0,0
1784229026.7685,18591956992,4299915264,238850048,156939480,,,0,0
1784229027.7687,18591956992,4299915264,238854144,156943504,,,0,0
1784229028.7691,18591956992,4299915264,238862336,156948680,,,0,0
1784229029.7694,11324813312,4299923456,226029568,156942560,,,0,0
1784229030.7703,2083688448,4255686656,205807616,156724360,,,0,0
1784229031.7714,3984658432,4255686656,209539072,156724936,,,0,0
1784229032.7718,4295946240,4255686656,210358272,156855176,,,0,0
1784229033.7729,4608733184,4255686656,210763776,156736360,,,0,0
1784229034.7741,4920676352,4255686656,211382272,156737840,,,0,0
1784229035.7751,5233426432,4255686656,211996672,156738112,,,0,0
1784229036.7761,5545160704,4255694848,212578304,156732824,,,0,0
1784229037.7771,5857828864,4255694848,213209088,156742904,,,0,0
1784229038.778,6171574272,4255694848,213815296,156735176,,,0,0
1784229039.7792,6484754432,4255694848,214425600,156728456,,,0,0
1784229040.7803,6797099008,4255694848,215035904,156730192,,,0,0
1784229041.7806,7109754880,4255694848,216018944,156897096,,,0,0
1784229042.7815,7421792256,4255694848,216268800,156722224,,,0,0
1784229043.7824,7734153216,4255694848,216854528,156729352,,,0,0
1784229044.7838,8045862912,4255694848,217473024,156723400,,,0,0
1784229045.7841,8358293504,4255694848,218107904,156748960,,,0,0
1784229046.785,8671387648,4255694848,218718208,156748128,,,0,0
1784229047.7857,8947146752,4255694848,219271168,156746224,,,0,0
1784229048.7859,9295519744,4255694848,219947008,156739000,,,0,0
1784229049.7863,9607008256,4255694848,220553216,156729560,,,0,0
1784229050.7866,9918255104,4255694848,221163520,156744056,,,0,0
1784229051.7869,10228908032,4255703040,221753344,156739648,,,0,0
1784229052.7872,10538139648,4255703040,222371840,156728728,,,0,0
1784229053.7875,10846433280,4255703040,222953472,156710736,,,0,0
1784229054.7878,11155009536,4255703040,223559680,156723688,,,0,0
1784229055.7885,11463725056,4255703040,224157696,156722640,,,0,0
1784229056.7896,11772706816,4255703040,224768000,156729448,,,0,0
1784229057.7906,12804440064,4255703040,226799616,156737400,,,0,0
1784229058.7909,16592986112,4255703040,234201088,156736832,,,0,0
1784229059.7913,18593054720,4299939840,239255552,157156928,,,0,0
1784229060.7925,18591887360,4299939840,238850048,156962704,,,0,0
1784229061.7933,18591887360,4299939840,238841856,156973288,,,0,0
1784229062.794,18591887360,4299939840,238862336,156992664,,,0,0
1784229063.7942,18591887360,4299939840,238837760,156968160,,,0,0
1784229064.795,16887377920,4299939840,238854144,156978368,,,0,0
1784229065.7962,6316904448,4299939840,222822400,156963304,,,0,0
1784229066.7974,2525446144,4255703040,206675968,156727848,,,0,0
1784229067.7978,4014968832,4255703040,209608704,156741024,,,0,0
1784229068.7981,4321398784,4255703040,210505728,156779504,,,0,0
1784229069.7989,4627017728,4255703040,210796544,156730096,,,0,0
1784229070.7998,4932579328,4255703040,211398656,156736160,,,0,0
1784229071.8001,5238165504,4255703040,211996672,156740272,,,0,0
1784229072.801,5543718912,4255711232,212590592,156728184,,,0,0
1784229073.8019,5849485312,4255711232,213192704,156736328,,,0,0
1784229074.8029,6154719232,4255711232,213786624,156732856,,,0,0
1784229075.8032,6460477440,4255711232,214401024,156734912,,,0,0
1784229076.8035,6767349760,4255711232,215388160,156912904,,,0,0
1784229077.804,7071502336,4255711232,215580672,156712128,,,0,0
1784229078.805,7376769024,4255711232,216170496,156728008,,,0,0
1784229079.8053,2629324800,4255711232,216432640,156723976,,,0,0
