timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1784218348.8725,121.69,3.21,2.6,116.0,118.48,16.0,0,0.0,0.0
1784218349.8733,121.69,5.51,4.5,113.71,116.18,16.0,0,0.0,0.0
1784218350.8738,121.69,5.5,4.5,113.71,116.19,16.0,0,0.0,0.0
1784218351.8749,121.69,5.51,4.5,113.71,116.18,16.0,0,0.0,0.0
1784218352.8754,121.69,5.5,4.5,113.71,116.19,16.0,0,0.0,0.0
1784218353.8758,121.69,5.56,4.6,113.65,116.13,16.0,0,0.0,0.0
1784218354.8764,121.69,5.56,4.6,113.66,116.13,16.0,0,0.0,0.0
1784218355.8771,121.69,5.55,4.6,113.67,116.14,16.0,0,0.0,0.0
1784218356.8779,121.69,5.54,4.6,113.67,116.15,16.0,0,0.0,0.0
1784218357.879,121.69,5.95,4.9,113.26,115.74,16.0,0,0.0,0.0
1784218358.8794,121.69,5.95,4.9,113.27,115.74,16.0,0,0.0,0.0
1784218359.8797,121.69,5.95,4.9,113.27,115.74,16.0,0,0.0,0.0
1784218360.8802,121.69,5.94,4.9,113.28,115.75,16.0,0,0.0,0.0
1784218361.8819,121.69,6.0,4.9,113.22,115.69,16.0,0,0.0,0.0
1784218362.8827,121.69,5.99,4.9,113.22,115.7,16.0,0,0.0,0.0
1784218363.8829,121.69,5.98,4.9,113.24,115.71,16.0,0,0.0,0.0
1784218364.8837,121.69,5.97,4.9,113.24,115.72,16.0,0,0.0,0.0
1784218365.8841,121.69,6.44,5.3,112.77,115.25,16.0,0,0.0,0.0
1784218366.8844,121.69,6.43,5.3,112.79,115.26,16.0,0,0.0,0.0
1784218367.8848,121.69,6.41,5.3,112.81,115.28,16.0,0,0.0,0.0
1784218368.885,121.69,6.39,5.3,112.82,115.3,16.0,0,0.0,0.0
1784218369.886,121.69,6.8,5.6,112.42,114.89,16.0,0,0.0,0.0
1784218370.8863,121.69,6.78,5.6,112.44,114.91,16.0,0,0.0,0.0
1784218371.8868,121.69,6.76,5.6,112.45,114.93,16.0,0,0.0,0.0
1784218372.8871,121.69,6.74,5.5,112.48,114.95,16.0,0,0.0,0.0
1784218373.8877,121.69,6.76,5.6,112.46,114.93,16.0,0,0.0,0.0
1784218374.888,121.69,6.73,5.5,112.48,114.96,16.0,0,0.0,0.0
1784218375.8885,121.69,6.72,5.5,112.5,114.97,16.0,0,0.0,0.0
1784218376.8891,121.69,6.71,5.5,112.5,114.98,16.0,0,0.0,0.0
1784218377.8901,121.69,6.43,5.3,112.78,115.26,16.0,0,0.0,0.0
1784218378.8906,121.69,6.42,5.3,112.79,115.27,16.0,0,0.0,0.0
1784218379.8913,121.69,6.39,5.3,112.82,115.3,16.0,0,0.0,0.0
1784218380.892,121.69,6.38,5.2,112.84,115.31,16.0,0,0.0,0.0
1784218381.8926,121.69,6.51,5.3,112.7,115.18,16.0,0,0.0,0.0
1784218382.893,121.69,6.48,5.3,112.73,115.21,16.0,0,0.0,0.0
1784218383.8935,121.69,6.48,5.3,112.74,115.21,16.0,0,0.0,0.0
1784218384.8939,121.69,6.44,5.3,112.77,115.25,16.0,0,0.0,0.0
1784218385.8945,121.69,6.4,5.3,112.81,115.29,16.0,0,0.0,0.0
1784218386.8951,121.69,6.37,5.2,112.85,115.32,16.0,0,0.0,0.0
1784218387.8955,121.69,6.36,5.2,112.86,115.33,16.0,0,0.0,0.0
1784218388.8962,121.69,6.33,5.2,112.89,115.36,16.0,0,0.0,0.0
1784218389.8967,121.69,6.25,5.1,112.97,115.44,16.0,0,0.0,0.0
1784218390.8972,121.69,6.23,5.1,112.98,115.46,16.0,0,0.0,0.0
1784218391.8989,121.69,6.23,5.1,112.98,115.46,16.0,0,0.0,0.0
1784218392.8993,121.69,6.21,5.1,113.0,115.48,16.0,0,0.0,0.0
1784218393.8999,121.69,6.07,5.0,113.15,115.62,16.0,0,0.0,0.0
1784218394.9004,121.69,6.06,5.0,113.16,115.63,16.0,0,0.0,0.0
1784218395.9008,121.69,6.05,5.0,113.16,115.64,16.0,0,0.0,0.0
1784218396.9013,121.69,6.05,5.0,113.17,115.64,16.0,0,0.0,0.0
1784218397.9021,121.69,6.0,4.9,113.22,115.69,16.0,0,0.0,0.0
1784218398.9026,121.69,6.0,4.9,113.22,115.69,16.0,0,0.0,0.0
1784218399.9031,121.69,5.98,4.9,113.23,115.71,16.0,0,0.0,0.0
1784218400.9038,121.69,5.98,4.9,113.23,115.71,16.0,0,0.0,0.0
1784218401.9042,121.69,6.03,5.0,113.19,115.66,16.0,0,0.0,0.0
1784218402.9051,121.69,6.02,4.9,113.19,115.67,16.0,0,0.0,0.0
1784218403.9057,121.69,6.01,4.9,113.2,115.68,16.0,0,0.0,0.0
1784218404.9063,121.69,6.01,4.9,113.21,115.68,16.0,0,0.0,0.0
1784218405.9075,121.69,5.99,4.9,113.22,115.7,16.0,0,0.0,0.0
1784218406.9078,121.69,5.98,4.9,113.23,115.71,16.0,0,0.0,0.0
1784218407.9084,121.69,5.98,4.9,113.24,115.71,16.0,0,0.0,0.0
1784218408.909,121.69,5.97,4.9,113.25,115.72,16.0,0,0.0,0.0
1784218409.9099,121.69,5.98,4.9,113.24,115.71,16.0,0,0.0,0.0
1784218410.9104,121.69,5.96,4.9,113.25,115.73,16.0,0,0.0,0.0
1784218411.911,121.69,5.94,4.9,113.28,115.75,16.0,0,0.0,0.0
1784218412.9118,121.69,5.93,4.9,113.29,115.76,16.0,0,0.0,0.0
1784218413.9124,121.69,6.11,5.0,113.1,115.58,16.0,0,0.0,0.0
1784218414.9129,121.69,6.08,5.0,113.13,115.61,16.0,0,0.0,0.0
1784218415.9134,121.69,6.06,5.0,113.16,115.63,16.0,0,0.0,0.0
1784218416.9139,121.69,6.04,5.0,113.17,115.65,16.0,0,0.0,0.0
1784218417.9144,121.69,6.07,5.0,113.14,115.62,16.0,0,0.0,0.0
1784218418.9149,121.69,6.05,5.0,113.16,115.64,16.0,0,0.0,0.0
1784218419.9158,121.69,6.03,5.0,113.18,115.66,16.0,0,0.0,0.0
1784218420.9162,121.69,6.02,4.9,113.2,115.67,16.0,0,0.0,0.0
1784218421.9172,121.69,5.96,4.9,113.25,115.73,16.0,0,0.0,0.0
1784218422.9177,121.69,5.95,4.9,113.27,115.74,16.0,0,0.0,0.0
1784218423.9186,121.69,5.94,4.9,113.28,115.75,16.0,0,0.0,0.0
1784218424.9194,121.69,5.91,4.9,113.3,115.78,16.0,0,0.0,0.0
1784218425.9209,121.69,6.03,5.0,113.18,115.66,16.0,0,0.0,0.0
1784218426.9214,121.69,6.01,4.9,113.2,115.68,16.0,0,0.0,0.0
1784218427.9219,121.69,6.0,4.9,113.21,115.69,16.0,0,0.0,0.0
1784218428.9223,121.69,5.99,4.9,113.23,115.7,16.0,0,0.0,0.0
1784218429.9232,121.69,5.95,4.9,113.27,115.74,16.0,0,0.0,0.0
1784218430.9243,121.69,5.92,4.9,113.29,115.77,16.0,0,0.0,0.0
1784218431.9249,121.69,5.91,4.9,113.31,115.78,16.0,0,0.0,0.0
1784218432.9253,121.69,5.89,4.8,113.33,115.8,16.0,0,0.0,0.0
1784218433.9258,121.69,5.75,4.7,113.47,115.94,16.0,0,0.0,0.0
1784218434.9263,121.69,5.74,4.7,113.48,115.95,16.0,0,0.0,0.0
1784218435.9268,121.69,5.72,4.7,113.5,115.97,16.0,0,0.0,0.0
1784218436.9274,121.69,5.71,4.7,113.5,115.98,16.0,0,0.0,0.0
1784218437.9283,121.69,5.8,4.8,113.41,115.89,16.0,0,0.0,0.0
1784218438.9289,121.69,5.78,4.7,113.44,115.91,16.0,0,0.0,0.0
1784218439.9298,121.69,5.77,4.7,113.45,115.92,16.0,0,0.0,0.0
1784218440.9305,121.69,5.75,4.7,113.46,115.94,16.0,0,0.0,0.0
1784218441.9311,121.69,6.15,5.1,113.06,115.54,16.0,0,0.0,0.0
1784218442.9316,121.69,6.14,5.0,113.08,115.55,16.0,0,0.0,0.0
1784218443.9319,121.69,6.12,5.0,113.1,115.57,16.0,0,0.0,0.0
1784218444.9322,121.69,6.11,5.0,113.1,115.58,16.0,0,0.0,0.0
1784218445.9329,121.69,6.32,5.2,112.89,115.37,16.0,0,0.0,0.0
1784218446.9336,121.69,6.3,5.2,112.92,115.39,16.0,0,0.0,0.0
1784218447.9343,121.69,6.27,5.2,112.94,115.42,16.0,0,0.0,0.0
1784218448.9347,121.69,6.26,5.1,112.96,115.43,16.0,0,0.0,0.0
1784218449.9353,121.69,6.22,5.1,113.0,115.47,16.0,0,0.0,0.0
1784218450.9359,121.69,6.2,5.1,113.01,115.49,16.0,0,0.0,0.0
1784218451.9364,121.69,6.18,5.1,113.04,115.51,16.0,0,0.0,0.0
1784218452.9367,121.69,6.16,5.1,113.06,115.53,16.0,0,0.0,0.0
1784218453.9374,121.69,6.08,5.0,113.13,115.61,16.0,0,0.0,0.0
1784218454.938,121.69,6.06,5.0,113.16,115.63,16.0,0,0.0,0.0
1784218455.9384,121.69,6.05,5.0,113.16,115.64,16.0,0,0.0,0.0
1784218456.9389,121.69,6.04,5.0,113.18,115.65,16.0,0,0.0,0.0
1784218457.9399,121.69,6.03,5.0,113.19,115.66,16.0,0,0.0,0.0
1784218458.9407,121.69,5.99,4.9,113.23,115.7,16.0,0,0.0,0.0
1784218459.9414,121.69,5.98,4.9,113.24,115.71,16.0,0,0.0,0.0
1784218460.9418,121.69,5.94,4.9,113.27,115.75,16.0,0,0.0,0.0
1784218461.9425,121.69,6.29,5.2,112.93,115.4,16.0,0,0.0,0.0
1784218462.9434,121.69,6.27,5.2,112.94,115.42,16.0,0,0.0,0.0
1784218463.9439,121.69,6.24,5.1,112.97,115.45,16.0,0,0.0,0.0
1784218464.9443,121.69,6.24,5.1,112.97,115.45,16.0,0,0.0,0.0
1784218465.9449,121.69,6.07,5.0,113.14,115.62,16.0,0,0.0,0.0
1784218466.9458,121.69,6.06,5.0,113.15,115.63,16.0,0,0.0,0.0
1784218467.9465,121.69,6.04,5.0,113.17,115.65,16.0,0,0.0,0.0
1784218468.9476,121.69,6.02,4.9,113.19,115.67,16.0,0,0.0,0.0
