timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1784260301.1497,121.69,3.18,2.6,114.06,118.51,16.0,0,0.0,0.0
1784260302.1499,121.69,5.73,4.7,111.51,115.96,16.0,0,0.0,0.0
1784260303.1501,121.69,7.94,6.5,109.3,113.75,16.0,0,0.0,0.0
1784260304.1515,121.69,7.94,6.5,109.3,113.75,16.0,0,0.0,0.0
1784260305.1522,121.69,7.94,6.5,109.3,113.75,16.0,0,0.0,0.0
1784260306.1531,121.69,7.94,6.5,109.3,113.75,16.0,0,0.0,0.0
1784260307.1551,121.69,7.94,6.5,109.3,113.75,16.0,0,0.0,0.0
1784260308.1563,121.69,7.94,6.5,109.3,113.75,16.0,0,0.0,0.0
1784260309.1566,121.69,3.62,3.0,113.62,118.07,16.0,0,0.0,0.0
1784260310.1571,121.69,8.0,6.6,109.24,113.69,16.0,0,0.0,0.0
1784260311.1574,121.69,7.99,6.6,109.25,113.7,16.0,0,0.0,0.0
1784260312.1578,121.69,7.98,6.6,109.25,113.71,16.0,0,0.0,0.0
1784260313.1581,121.69,7.98,6.6,109.26,113.71,16.0,0,0.0,0.0
1784260314.1586,121.69,7.98,6.6,109.26,113.71,16.0,0,0.0,0.0
1784260315.1588,121.69,7.98,6.6,109.26,113.71,16.0,0,0.0,0.0
1784260316.1593,121.69,3.41,2.8,113.82,118.28,16.0,0,0.0,0.0
1784260317.1598,121.69,7.97,6.5,109.27,113.72,16.0,0,0.0,0.0
1784260318.1606,121.69,7.97,6.5,109.26,113.72,16.0,0,0.0,0.0
1784260319.1613,121.69,7.97,6.5,109.27,113.72,16.0,0,0.0,0.0
1784260320.1619,121.69,7.97,6.5,109.27,113.72,16.0,0,0.0,0.0
1784260321.163,121.69,7.96,6.5,109.27,113.73,16.0,0,0.0,0.0
1784260322.1635,121.69,7.96,6.5,109.28,113.73,16.0,0,0.0,0.0
1784260323.1637,121.69,7.96,6.5,109.28,113.73,16.0,0,0.0,0.0
1784260324.1644,121.69,7.94,6.5,109.3,113.75,16.0,0,0.0,0.0
1784260325.1652,121.69,7.97,6.5,109.27,113.72,16.0,0,0.0,0.0
1784260326.1664,121.69,7.96,6.5,109.28,113.73,16.0,0,0.0,0.0
1784260327.1671,121.69,7.96,6.5,109.28,113.73,16.0,0,0.0,0.0
1784260328.1679,121.69,7.95,6.5,109.29,113.74,16.0,0,0.0,0.0
1784260329.1684,121.69,7.95,6.5,109.29,113.74,16.0,0,0.0,0.0
1784260330.1686,121.69,7.95,6.5,109.29,113.74,16.0,0,0.0,0.0
1784260331.1689,121.69,4.19,3.4,113.05,117.5,16.0,0,0.0,0.0
1784260332.1696,121.69,8.04,6.6,109.2,113.65,16.0,0,0.0,0.0
1784260333.1709,121.69,8.02,6.6,109.22,113.67,16.0,0,0.0,0.0
1784260334.1712,121.69,8.02,6.6,109.22,113.67,16.0,0,0.0,0.0
1784260335.1717,121.69,8.01,6.6,109.23,113.68,16.0,0,0.0,0.0
1784260336.1721,121.69,8.0,6.6,109.24,113.69,16.0,0,0.0,0.0
1784260337.1724,121.69,8.0,6.6,109.24,113.69,16.0,0,0.0,0.0
1784260338.1729,121.69,4.08,3.4,113.16,117.61,16.0,0,0.0,0.0
1784260339.1732,121.69,8.03,6.6,109.21,113.66,16.0,0,0.0,0.0
1784260340.1736,121.69,8.02,6.6,109.22,113.67,16.0,0,0.0,0.0
1784260341.1738,121.69,8.01,6.6,109.23,113.68,16.0,0,0.0,0.0
1784260342.1741,121.69,8.0,6.6,109.23,113.69,16.0,0,0.0,0.0
1784260343.1748,121.69,8.0,6.6,109.23,113.69,16.0,0,0.0,0.0
1784260344.1756,121.69,8.0,6.6,109.24,113.69,16.0,0,0.0,0.0
1784260345.1764,121.69,4.68,3.8,112.56,117.01,16.0,0,0.0,0.0
1784260346.1768,121.69,7.98,6.6,109.26,113.71,16.0,0,0.0,0.0
1784260347.1773,121.69,7.97,6.5,109.26,113.72,16.0,0,0.0,0.0
1784260348.1778,121.69,7.97,6.5,109.27,113.72,16.0,0,0.0,0.0
1784260349.178,121.69,7.96,6.5,109.27,113.73,16.0,0,0.0,0.0
1784260350.1785,121.69,7.97,6.5,109.27,113.72,16.0,0,0.0,0.0
1784260351.1794,121.69,7.96,6.5,109.28,113.73,16.0,0,0.0,0.0
1784260352.1801,121.69,7.96,6.5,109.28,113.73,16.0,0,0.0,0.0
1784260353.1808,121.69,7.94,6.5,109.3,113.75,16.0,0,0.0,0.0
1784260354.1815,121.69,7.94,6.5,109.3,113.75,16.0,0,0.0,0.0
1784260355.1822,121.69,7.94,6.5,109.3,113.75,16.0,0,0.0,0.0
1784260356.183,121.69,7.94,6.5,109.3,113.75,16.0,0,0.0,0.0
1784260357.1836,121.69,7.94,6.5,109.3,113.75,16.0,0,0.0,0.0
