timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1784256857.1859,121.69,3.15,2.6,114.11,118.54,16.0,0,0.0,0.0
1784256858.1863,121.69,3.48,2.9,113.78,118.21,16.0,0,0.0,0.0
1784256859.1865,121.69,3.48,2.9,113.78,118.21,16.0,0,0.0,0.0
1784256860.1868,121.69,3.49,2.9,113.77,118.2,16.0,0,0.0,0.0
1784256861.1876,121.69,3.49,2.9,113.77,118.2,16.0,0,0.0,0.0
1784256862.188,121.69,3.49,2.9,113.77,118.2,16.0,0,0.0,0.0
1784256863.1887,121.69,3.49,2.9,113.77,118.2,16.0,0,0.0,0.0
1784256864.1896,121.69,3.5,2.9,113.76,118.19,16.0,0,0.0,0.0
1784256865.1898,121.69,3.5,2.9,113.76,118.19,16.0,0,0.0,0.0
1784256866.1908,121.69,3.5,2.9,113.76,118.19,16.0,0,0.0,0.0
1784256867.1918,121.69,3.49,2.9,113.77,118.2,16.0,0,0.0,0.0
1784256868.1923,121.69,3.49,2.9,113.77,118.2,16.0,0,0.0,0.0
1784256869.193,121.69,3.49,2.9,113.77,118.2,16.0,0,0.0,0.0
1784256870.1933,121.69,3.49,2.9,113.77,118.2,16.0,0,0.0,0.0
1784256871.1941,121.69,3.49,2.9,113.77,118.2,16.0,0,0.0,0.0
1784256872.1951,121.69,3.49,2.9,113.77,118.2,16.0,0,0.0,0.0
1784256873.1954,121.69,3.49,2.9,113.77,118.2,16.0,0,0.0,0.0
1784256874.1957,121.69,3.49,2.9,113.77,118.2,16.0,0,0.0,0.0
1784256875.1959,121.69,3.49,2.9,113.77,118.2,16.0,0,0.0,0.0
1784256876.1963,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256877.1969,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256878.1972,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256879.1978,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256880.1981,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256881.1984,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256882.199,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256883.1993,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256884.1997,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256885.2,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256886.2003,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256887.2005,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256888.2009,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256889.2012,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256890.2015,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256891.2021,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256892.2024,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256893.2027,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256894.2032,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256895.2041,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256896.2045,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256897.2049,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256898.2054,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256899.2059,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256900.2069,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256901.2079,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256902.2088,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256903.2096,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256904.2106,121.69,3.5,2.9,113.76,118.19,16.0,0,0.0,0.0
1784256905.2109,121.69,3.5,2.9,113.76,118.19,16.0,0,0.0,0.0
1784256906.2114,121.69,3.5,2.9,113.76,118.19,16.0,0,0.0,0.0
1784256907.212,121.69,3.5,2.9,113.76,118.19,16.0,0,0.0,0.0
1784256908.2129,121.69,3.5,2.9,113.76,118.19,16.0,0,0.0,0.0
1784256909.2132,121.69,3.5,2.9,113.76,118.19,16.0,0,0.0,0.0
1784256910.2141,121.69,3.5,2.9,113.76,118.19,16.0,0,0.0,0.0
1784256911.2143,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256912.2152,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256913.2154,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256914.2162,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256915.2166,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256916.2176,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256917.2187,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256918.219,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256919.2197,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256920.2199,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256921.2202,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256922.2212,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256923.2219,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256924.2228,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256925.2236,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256926.2239,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256927.2243,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256928.2249,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256929.2255,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256930.2261,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256931.2265,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256932.2268,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256933.2272,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256934.2278,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256935.2283,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256936.2289,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256937.2294,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256938.2298,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256939.2302,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256940.2308,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256941.2311,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256942.2317,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256943.2319,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256944.2325,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256945.2331,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256946.2334,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256947.2343,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256948.2352,121.69,3.53,2.9,113.73,118.16,16.0,0,0.0,0.0
1784256949.236,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256950.2366,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256951.2374,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256952.2382,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256953.2387,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256954.2391,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256955.2402,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256956.241,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256957.2418,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256958.2425,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256959.2435,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256960.2443,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256961.2447,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256962.245,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256963.2452,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256964.2455,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256965.2461,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256966.2467,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256967.2473,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256968.2478,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256969.2482,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256970.2488,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256971.2491,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256972.2497,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256973.25,121.69,3.52,2.9,113.74,118.17,16.0,0,0.0,0.0
1784256974.2506,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256975.2512,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256976.2516,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
1784256977.2518,121.69,3.51,2.9,113.75,118.18,16.0,0,0.0,0.0
