timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1784250221.5179,121.69,3.17,2.6,114.59,118.52,16.0,0,0.0,0.0
1784250222.5186,121.69,3.54,2.9,114.22,118.15,16.0,0,0.0,0.0
1784250223.519,121.69,3.76,3.1,114.0,117.93,16.0,0,0.0,0.0
1784250224.5197,121.69,3.98,3.3,113.78,117.71,16.0,0,0.0,0.0
1784250225.52,121.69,3.32,2.7,114.44,118.37,16.0,0,0.0,0.0
1784250226.5206,121.69,3.66,3.0,114.1,118.03,16.0,0,0.0,0.0
1784250227.5213,121.69,3.88,3.2,113.88,117.81,16.0,0,0.0,0.0
1784250228.5221,121.69,4.09,3.4,113.67,117.6,16.0,0,0.0,0.0
1784250229.5225,121.69,3.57,2.9,114.19,118.12,16.0,0,0.0,0.0
1784250230.5232,121.69,3.78,3.1,113.97,117.91,16.0,0,0.0,0.0
1784250231.5236,121.69,4.0,3.3,113.76,117.69,16.0,0,0.0,0.0
1784250232.5242,121.69,3.48,2.9,114.28,118.21,16.0,0,0.0,0.0
1784250233.5246,121.69,3.69,3.0,114.06,118.0,16.0,0,0.0,0.0
1784250234.5252,121.69,3.92,3.2,113.84,117.77,16.0,0,0.0,0.0
1784250235.5255,121.69,4.11,3.4,113.65,117.58,16.0,0,0.0,0.0
1784250236.5262,121.69,3.6,3.0,114.15,118.09,16.0,0,0.0,0.0
1784250237.5268,121.69,3.82,3.1,113.94,117.87,16.0,0,0.0,0.0
1784250238.5272,121.69,4.04,3.3,113.72,117.65,16.0,0,0.0,0.0
1784250239.5275,121.69,3.53,2.9,114.22,118.16,16.0,0,0.0,0.0
1784250240.5277,121.69,3.76,3.1,114.0,117.93,16.0,0,0.0,0.0
1784250241.5285,121.69,3.99,3.3,113.76,117.7,16.0,0,0.0,0.0
1784250242.5287,121.69,3.41,2.8,114.35,118.28,16.0,0,0.0,0.0
1784250243.5292,121.69,3.83,3.1,113.93,117.86,16.0,0,0.0,0.0
1784250244.5297,121.69,4.05,3.3,113.71,117.64,16.0,0,0.0,0.0
1784250245.5303,121.69,4.26,3.5,113.5,117.43,16.0,0,0.0,0.0
1784250246.5308,121.69,3.74,3.1,114.02,117.95,16.0,0,0.0,0.0
1784250247.5312,121.69,3.95,3.2,113.8,117.74,16.0,0,0.0,0.0
1784250248.5315,121.69,4.18,3.4,113.58,117.51,16.0,0,0.0,0.0
1784250249.5319,121.69,3.79,3.1,113.97,117.9,16.0,0,0.0,0.0
1784250250.5327,121.69,4.01,3.3,113.75,117.68,16.0,0,0.0,0.0
1784250251.5333,121.69,4.23,3.5,113.53,117.46,16.0,0,0.0,0.0
1784250252.5337,121.69,3.47,2.9,114.29,118.22,16.0,0,0.0,0.0
1784250253.5344,121.69,3.87,3.2,113.89,117.82,16.0,0,0.0,0.0
1784250254.5358,121.69,4.08,3.4,113.68,117.61,16.0,0,0.0,0.0
1784250255.5363,121.69,4.3,3.5,113.46,117.39,16.0,0,0.0,0.0
1784250256.5368,121.69,3.67,3.0,114.09,118.02,16.0,0,0.0,0.0
1784250257.5371,121.69,3.9,3.2,113.86,117.79,16.0,0,0.0,0.0
1784250258.5374,121.69,4.12,3.4,113.63,117.57,16.0,0,0.0,0.0
1784250259.5377,121.69,3.56,2.9,114.2,118.13,16.0,0,0.0,0.0
1784250260.5385,121.69,3.79,3.1,113.97,117.9,16.0,0,0.0,0.0
1784250261.5388,121.69,4.01,3.3,113.75,117.68,16.0,0,0.0,0.0
1784250262.539,121.69,3.29,2.7,114.47,118.4,16.0,0,0.0,0.0
1784250263.5399,121.69,3.71,3.0,114.05,117.98,16.0,0,0.0,0.0
1784250264.5414,121.69,3.93,3.2,113.82,117.76,16.0,0,0.0,0.0
1784250265.5418,121.69,4.14,3.4,113.62,117.55,16.0,0,0.0,0.0
