timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1784239528.2068,121.69,3.2,2.6,115.37,118.49,16.0,0,0.0,0.0
1784239529.2071,121.69,5.04,4.1,113.53,116.65,16.0,0,0.0,0.0
1784239530.2078,121.69,9.44,7.8,109.13,112.25,16.0,0,0.0,0.0
1784239531.2086,121.69,12.64,10.4,105.93,109.05,16.0,0,0.0,0.0
1784239532.2096,121.69,15.59,12.8,102.98,106.1,16.0,0,0.0,0.0
1784239533.2102,121.69,18.48,15.2,100.09,103.21,16.0,0,0.0,0.0
1784239534.2106,121.69,33.91,27.9,84.66,87.78,16.0,0,0.0,0.0
1784239535.211,121.69,36.06,29.6,82.51,85.63,16.0,0,0.0,0.0
1784239536.2117,121.69,39.39,32.4,79.18,82.3,16.0,0,0.0,0.0
1784239537.2124,121.69,41.43,34.0,77.14,80.26,16.0,0,0.0,0.0
1784239538.2127,121.69,41.43,34.0,77.14,80.26,16.0,0,0.0,0.0
1784239539.213,121.69,41.43,34.0,77.14,80.26,16.0,0,0.0,0.0
1784239540.2135,121.69,41.43,34.0,77.14,80.26,16.0,0,0.0,0.0
1784239541.214,121.69,36.98,30.4,81.59,84.71,16.0,0,0.0,0.0
1784239542.215,121.69,29.22,24.0,89.35,92.47,16.0,0,0.0,0.0
1784239543.2159,121.69,22.36,18.4,96.2,99.33,16.0,0,0.0,0.0
1784239544.2165,121.69,5.05,4.1,113.52,116.64,16.0,0,0.0,0.0
1784239545.2168,121.69,8.52,7.0,110.05,113.17,16.0,0,0.0,0.0
1784239546.2175,121.69,11.82,9.7,106.75,109.87,16.0,0,0.0,0.0
1784239547.2178,121.69,14.6,12.0,103.97,107.09,16.0,0,0.0,0.0
1784239548.2181,121.69,17.39,14.3,101.18,104.3,16.0,0,0.0,0.0
1784239549.2184,121.69,34.22,28.1,84.34,87.47,16.0,0,0.0,0.0
1784239550.2187,121.69,35.0,28.8,83.57,86.69,16.0,0,0.0,0.0
1784239551.219,121.69,38.48,31.6,80.09,83.21,16.0,0,0.0,0.0
1784239552.2193,121.69,41.78,34.3,76.79,79.91,16.0,0,0.0,0.0
1784239553.2196,121.69,41.77,34.3,76.8,79.92,16.0,0,0.0,0.0
1784239554.2199,121.69,41.77,34.3,76.8,79.92,16.0,0,0.0,0.0
1784239555.2202,121.69,41.76,34.3,76.81,79.93,16.0,0,0.0,0.0
1784239556.2204,121.69,37.81,31.1,80.76,83.88,16.0,0,0.0,0.0
1784239557.2207,121.69,27.7,22.8,90.87,93.99,16.0,0,0.0,0.0
1784239558.2211,121.69,4.16,3.4,114.41,117.53,16.0,0,0.0,0.0
1784239559.2214,121.69,7.1,5.8,111.47,114.59,16.0,0,0.0,0.0
