timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1784239835.1076,0.5,0.1,0.4,0.0,858.0,46.1,,0.75,0.91,0.97,1567,3,0
1784239836.1092,2.9,0.2,2.7,0.0,858.0,46.9,,0.75,0.91,0.97,2473,3,0
1784239837.1117,5.5,0.4,5.2,0.0,858.0,48.1,,0.75,0.91,0.97,2579,2,0
1784239838.1128,5.5,0.6,4.9,0.1,858.0,48.6,,0.75,0.91,0.97,2495,2,0
1784239839.114,5.5,1.4,4.2,0.0,858.0,48.9,,0.75,0.91,0.97,2570,2,0
1784239840.115,5.5,1.3,4.2,0.0,858.0,49.1,,0.77,0.91,0.97,2476,2,0
1784239841.1162,5.8,1.0,4.8,0.0,858.0,48.6,,0.77,0.91,0.97,2674,2,0
1784239842.1177,5.6,3.9,1.7,0.0,858.0,49.2,,0.77,0.91,0.97,2535,2,0
1784239843.1188,5.5,0.7,4.8,0.0,858.0,49.5,,0.77,0.91,0.97,2597,2,0
1784239844.1197,5.6,0.8,4.8,0.1,858.0,49.7,,0.77,0.91,0.97,2541,2,0
1784239845.121,5.4,4.1,1.4,0.0,858.0,50.0,,0.79,0.91,0.97,2524,3,0
1784239846.1226,5.5,5.2,0.3,0.0,858.0,50.2,,0.79,0.91,0.97,2584,2,0
1784239847.1238,5.5,5.2,0.3,0.0,858.0,50.3,,0.79,0.91,0.97,2637,2,0
1784239848.1251,5.4,5.2,0.3,0.0,858.0,50.6,,0.79,0.91,0.97,2573,2,0
1784239849.1258,5.4,0.4,5.1,0.0,858.0,49.8,,0.79,0.91,0.97,2490,3,0
1784239850.1272,5.4,0.2,5.2,0.0,858.0,49.5,,0.8,0.92,0.97,2453,2,0
1784239851.1286,5.5,0.2,5.4,0.0,858.0,49.4,,0.8,0.92,0.97,2538,2,0
1784239852.1295,5.4,0.3,5.1,0.0,858.0,49.5,,0.8,0.92,0.97,2696,2,0
1784239853.1309,5.6,0.4,5.2,0.0,858.0,50.3,,0.8,0.92,0.97,2611,2,0
1784239854.1319,5.6,1.3,4.3,0.1,858.0,50.8,,0.8,0.92,0.97,2463,2,0
1784239855.1329,5.5,1.4,4.1,0.1,858.0,51.0,,0.82,0.92,0.98,2558,2,0
1784239856.1338,5.4,1.0,4.4,0.0,858.0,50.7,,0.82,0.92,0.98,2749,2,0
1784239857.1352,5.6,3.9,1.7,0.0,858.0,49.3,,0.82,0.92,0.98,2749,3,0
1784239858.1363,5.5,0.9,4.6,0.0,858.0,49.6,,0.82,0.92,0.98,2542,2,0
1784239859.1378,5.6,0.7,4.9,0.0,858.0,49.7,,0.82,0.92,0.98,2622,4,0
1784239860.1387,5.5,3.2,2.3,0.0,858.0,50.0,,0.83,0.92,0.98,2552,3,0
1784239861.1399,5.6,5.2,0.4,0.0,858.0,50.2,,0.83,0.92,0.98,2540,2,0
1784239862.1416,5.5,5.1,0.4,0.0,858.0,50.4,,0.83,0.92,0.98,2499,2,0
1784239863.1425,5.4,5.1,0.3,0.0,858.0,50.5,,0.83,0.92,0.98,2526,2,0
1784239864.1438,5.5,1.5,4.0,0.0,858.0,49.9,,0.83,0.92,0.98,2567,2,0
1784239865.1446,5.5,0.2,5.4,0.0,858.0,49.5,,0.85,0.92,0.98,2624,3,0
1784239866.1457,5.4,0.2,5.2,0.0,858.0,49.3,,0.85,0.92,0.98,2411,2,0
1784239867.1482,5.3,0.3,5.0,0.0,858.0,48.7,,0.85,0.92,0.98,2791,2,0
1784239868.1501,5.6,0.4,5.2,0.0,858.0,49.8,,0.85,0.92,0.98,2557,2,0
1784239869.1512,5.5,0.7,4.8,0.0,858.0,50.2,,0.85,0.92,0.98,2618,2,0
1784239870.1525,5.4,1.4,4.1,0.0,858.0,50.3,,0.86,0.92,0.98,2484,2,0
1784239871.1541,5.5,1.4,4.2,0.0,858.0,50.2,,0.86,0.92,0.98,2559,2,0
1784239872.1553,5.8,0.9,4.8,0.1,858.0,50.3,,0.86,0.92,0.98,2731,2,0
1784239873.1563,5.5,4.1,1.4,0.0,858.0,51.0,,0.86,0.92,0.98,2617,2,0
1784239874.157,5.5,0.7,4.8,0.0,858.0,50.9,,0.86,0.92,0.98,2468,3,0
1784239875.1581,5.4,0.8,4.7,0.0,858.0,50.8,,0.95,0.94,0.98,2478,3,0
1784239876.1589,5.6,3.9,1.7,0.0,858.0,51.1,,0.95,0.94,0.98,2526,2,0
1784239877.1605,5.5,5.2,0.3,0.0,858.0,51.2,,0.95,0.94,0.98,2616,2,0
1784239878.1632,5.5,5.2,0.3,0.0,858.0,51.3,,0.95,0.94,0.98,2517,2,0
1784239879.164,5.5,5.2,0.3,0.0,858.0,51.5,,0.95,0.94,0.98,2633,2,0
1784239880.1651,5.4,1.1,4.4,0.0,858.0,50.8,,0.96,0.94,0.98,2564,2,0
1784239881.1666,5.4,0.1,5.3,0.0,858.0,50.6,,0.96,0.94,0.98,2564,2,0
1784239882.1675,5.3,0.1,5.2,0.0,858.0,50.3,,0.96,0.94,0.98,2710,2,0
1784239883.1683,5.4,0.4,5.0,0.0,858.0,50.5,,0.96,0.94,0.98,2491,3,0
1784239884.1692,5.4,0.4,5.0,0.0,858.0,51.0,,0.96,0.94,0.98,2415,2,0
1784239885.1701,5.5,1.5,4.0,0.1,858.0,51.3,,0.96,0.94,0.98,2619,2,0
1784239886.171,5.4,1.5,3.9,0.0,858.0,51.3,,0.96,0.94,0.98,2587,2,0
1784239887.1722,5.6,2.0,3.6,0.0,858.0,50.1,,0.96,0.94,0.98,2906,2,0
1784239888.1736,5.5,2.9,2.6,0.0,858.0,50.9,,0.96,0.94,0.98,2692,2,0
1784239889.1753,5.4,0.7,4.8,0.0,858.0,50.9,,0.96,0.94,0.98,2559,2,0
1784239890.1765,5.5,0.8,4.8,0.0,858.0,51.0,,0.96,0.94,0.98,2608,2,0
1784239891.1776,5.4,5.0,0.4,0.0,858.0,51.4,,0.96,0.94,0.98,2577,3,0
1784239892.1785,5.4,5.2,0.3,0.0,858.0,51.5,,0.96,0.94,0.98,2551,2,0
1784239893.1792,5.4,5.2,0.2,0.0,858.0,51.6,,0.96,0.94,0.98,2527,3,0
1784239894.1802,5.4,4.3,1.1,0.0,858.0,51.6,,0.96,0.94,0.98,2464,2,0
1784239895.1815,5.4,0.2,5.3,0.0,858.0,50.9,,0.97,0.94,0.98,2690,2,0
1784239896.1833,5.4,0.1,5.3,0.0,858.0,50.6,,0.97,0.94,0.98,2549,2,0
1784239897.1849,5.5,0.1,5.4,0.0,858.0,50.4,,0.97,0.94,0.98,2650,2,0
1784239898.1872,5.2,0.3,4.9,0.0,858.0,50.5,,0.97,0.94,0.98,2727,2,0
1784239899.1888,5.5,0.4,5.1,0.1,858.0,50.7,,0.97,0.94,0.98,2572,2,0
1784239900.1907,5.5,1.3,4.2,0.0,858.0,50.9,,0.97,0.95,0.99,2605,2,0
1784239901.192,5.5,1.5,4.0,0.0,858.0,50.9,,0.97,0.95,0.99,2570,2,0
1784239902.193,5.5,1.2,4.4,0.0,858.0,50.9,,0.97,0.95,0.99,2613,3,0
1784239903.1945,5.4,3.8,1.7,0.0,858.0,51.4,,0.97,0.95,0.99,2525,2,0
1784239904.1955,5.7,0.9,4.8,0.1,858.0,51.4,,0.97,0.95,0.99,2649,2,0
1784239905.197,5.4,0.7,4.8,0.0,858.0,51.2,,0.97,0.95,0.99,2533,2,0
1784239906.1989,5.5,3.4,2.1,0.0,858.0,51.5,,0.97,0.95,0.99,2538,2,0
1784239907.2008,5.5,5.2,0.3,0.0,858.0,51.6,,0.97,0.95,0.99,2594,2,0
1784239908.2027,5.5,5.2,0.3,0.0,858.0,51.7,,0.97,0.95,0.99,2637,2,0
1784239909.2045,5.5,5.2,0.3,0.0,858.0,51.8,,0.97,0.95,0.99,2571,2,0
1784239910.2061,5.4,1.2,4.2,0.0,858.0,51.2,,0.97,0.95,0.99,2625,2,0
1784239911.2076,5.4,0.2,5.3,0.0,858.0,50.8,,0.97,0.95,0.99,2671,2,0
1784239912.2083,5.5,0.2,5.3,0.0,858.0,50.6,,0.97,0.95,0.99,2498,3,0
1784239913.2097,5.2,0.3,5.0,0.0,858.0,50.2,,0.97,0.95,0.99,2639,2,0
1784239914.2106,5.5,0.4,5.1,0.1,858.0,50.9,,0.97,0.95,0.99,2492,3,0
1784239915.2119,5.5,1.0,4.5,0.0,858.0,51.1,,0.98,0.95,0.99,2551,2,0
1784239916.2129,5.5,1.4,4.1,0.0,858.0,51.2,,0.98,0.95,0.99,2529,2,0
1784239917.2139,5.4,1.4,4.0,0.0,858.0,51.2,,0.98,0.95,0.99,2642,2,0
1784239918.2149,5.9,2.7,3.2,0.0,858.0,51.2,,0.98,0.95,0.99,2785,2,0
1784239919.2158,5.6,1.8,3.8,0.0,858.0,51.9,,0.98,0.95,0.99,2799,2,0
1784239920.2168,5.5,0.7,4.9,0.0,858.0,51.9,,0.98,0.95,0.99,2553,2,0
1784239921.2178,5.3,2.3,3.0,0.0,858.0,52.0,,0.98,0.95,0.99,2510,3,0
1784239922.2187,5.5,5.1,0.4,0.0,858.0,52.3,,0.98,0.95,0.99,2569,2,0
1784239923.2201,5.5,5.2,0.3,0.0,858.0,52.5,,0.98,0.95,0.99,2701,2,0
1784239924.2214,5.5,5.2,0.3,0.0,858.0,52.7,,0.98,0.95,0.99,2566,2,0
1784239925.2223,5.4,1.8,3.6,0.0,858.0,52.1,,1.06,0.97,0.99,2783,2,0
1784239926.2233,5.4,0.1,5.3,0.0,858.0,51.3,,1.06,0.97,0.99,2536,3,0
1784239927.2244,5.4,0.3,5.2,0.0,858.0,50.3,,1.06,0.97,0.99,2834,2,0
1784239928.2253,5.5,0.5,5.1,0.0,858.0,51.0,,1.06,0.97,0.99,2636,2,0
1784239929.2264,5.6,0.9,4.7,0.0,858.0,51.6,,1.06,0.97,0.99,2595,2,0
1784239930.2272,5.4,1.6,3.8,0.0,858.0,51.8,,1.06,0.97,0.99,2520,3,0
1784239931.2282,5.5,1.5,4.0,0.0,858.0,51.8,,1.06,0.97,0.99,2564,2,0
1784239932.2292,5.4,2.9,2.5,0.0,858.0,51.9,,1.06,0.97,0.99,2670,2,0
1784239933.23,5.7,1.5,4.2,0.1,858.0,52.4,,1.06,0.97,0.99,2770,2,0
1784239934.2317,5.5,0.7,4.8,0.0,858.0,52.3,,1.06,0.97,0.99,2537,2,0
1784239935.2329,5.6,2.3,3.3,0.0,858.0,52.4,,1.05,0.97,0.99,2668,2,0
1784239936.2338,5.6,5.2,0.4,0.0,858.0,52.8,,1.05,0.97,0.99,2543,2,0
1784239937.2346,5.5,5.2,0.3,0.0,858.0,52.9,,1.05,0.97,0.99,2580,2,0
1784239938.2356,5.5,5.2,0.3,0.0,858.0,53.1,,1.05,0.97,0.99,2770,3,0
1784239939.237,5.4,1.9,3.5,0.0,858.0,52.8,,1.05,0.97,0.99,2552,2,0
1784239940.2378,5.4,0.1,5.3,0.0,858.0,52.1,,1.05,0.97,0.99,2591,2,0
1784239941.2388,5.4,0.3,5.1,0.0,858.0,50.6,,1.05,0.97,0.99,2826,2,0
