timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1784227882.7728,121.69,3.11,2.6,115.5,118.58,16.0,0,0.0,0.0
1784227883.7741,121.69,5.59,4.6,113.03,116.1,16.0,0,0.0,0.0
1784227884.7745,121.69,5.59,4.6,113.03,116.1,16.0,0,0.0,0.0
1784227885.7749,121.69,5.59,4.6,113.03,116.1,16.0,0,0.0,0.0
1784227886.7761,121.69,5.59,4.6,113.03,116.1,16.0,0,0.0,0.0
1784227887.7768,121.69,5.59,4.6,113.03,116.1,16.0,0,0.0,0.0
1784227888.7771,121.69,5.59,4.6,113.03,116.1,16.0,0,0.0,0.0
1784227889.7783,121.69,5.59,4.6,113.03,116.1,16.0,0,0.0,0.0
1784227890.7787,121.69,5.59,4.6,113.03,116.1,16.0,0,0.0,0.0
1784227891.7795,121.69,5.59,4.6,113.03,116.1,16.0,0,0.0,0.0
1784227892.7801,121.69,5.58,4.6,113.03,116.11,16.0,0,0.0,0.0
1784227893.7806,121.69,5.58,4.6,113.19,116.11,16.0,0,0.0,0.0
1784227894.781,121.69,5.59,4.6,113.1,116.1,16.0,0,0.0,0.0
1784227895.7815,121.69,5.59,4.6,113.02,116.1,16.0,0,0.0,0.0
1784227896.7824,121.69,5.76,4.7,112.86,115.93,16.0,0,0.0,0.0
1784227897.7828,121.69,5.75,4.7,112.86,115.94,16.0,0,0.0,0.0
1784227898.7836,121.69,5.75,4.7,112.86,115.94,16.0,0,0.0,0.0
1784227899.7845,121.69,5.75,4.7,112.87,115.94,16.0,0,0.0,0.0
1784227900.7851,121.69,5.74,4.7,112.88,115.95,16.0,0,0.0,0.0
1784227901.7856,121.69,5.74,4.7,112.88,115.95,16.0,0,0.0,0.0
1784227902.7866,121.69,5.73,4.7,112.88,115.96,16.0,0,0.0,0.0
1784227903.7871,121.69,5.72,4.7,112.89,115.97,16.0,0,0.0,0.0
1784227904.7876,121.69,5.72,4.7,112.89,115.97,16.0,0,0.0,0.0
1784227905.7879,121.69,5.7,4.7,113.11,115.99,16.0,0,0.0,0.0
1784227906.7881,121.69,5.71,4.7,113.03,115.98,16.0,0,0.0,0.0
1784227907.7889,121.69,5.7,4.7,112.96,115.99,16.0,0,0.0,0.0
1784227908.7903,121.69,5.69,4.7,112.92,116.0,16.0,0,0.0,0.0
1784227909.7912,121.69,5.69,4.7,112.92,116.0,16.0,0,0.0,0.0
1784227910.7919,121.69,5.69,4.7,112.93,116.0,16.0,0,0.0,0.0
1784227911.7928,121.69,5.68,4.7,112.94,116.01,16.0,0,0.0,0.0
1784227912.7937,121.69,5.68,4.7,112.94,116.01,16.0,0,0.0,0.0
1784227913.7947,121.69,5.67,4.7,112.94,116.02,16.0,0,0.0,0.0
1784227914.7951,121.69,5.66,4.7,112.95,116.03,16.0,0,0.0,0.0
1784227915.7956,121.69,5.65,4.6,112.96,116.04,16.0,0,0.0,0.0
1784227916.7964,121.69,5.65,4.6,112.96,116.04,16.0,0,0.0,0.0
1784227917.7971,121.69,5.65,4.6,112.97,116.04,16.0,0,0.0,0.0
1784227918.7978,121.69,5.64,4.6,113.15,116.05,16.0,0,0.0,0.0
1784227919.7981,121.69,5.64,4.6,113.07,116.05,16.0,0,0.0,0.0
1784227920.7984,121.69,5.63,4.6,113.0,116.06,16.0,0,0.0,0.0
1784227921.7991,121.69,5.77,4.7,112.85,115.92,16.0,0,0.0,0.0
1784227922.7999,121.69,5.76,4.7,112.85,115.93,16.0,0,0.0,0.0
1784227923.8004,121.69,5.76,4.7,112.86,115.93,16.0,0,0.0,0.0
1784227924.8007,121.69,5.76,4.7,112.86,115.93,16.0,0,0.0,0.0
1784227925.803,121.69,5.75,4.7,112.86,115.94,16.0,0,0.0,0.0
1784227926.8036,121.69,5.75,4.7,112.87,115.94,16.0,0,0.0,0.0
1784227927.8039,121.69,5.74,4.7,112.87,115.95,16.0,0,0.0,0.0
1784227928.8043,121.69,5.73,4.7,112.89,115.96,16.0,0,0.0,0.0
1784227929.805,121.69,5.73,4.7,112.89,115.96,16.0,0,0.0,0.0
1784227930.8057,121.69,5.72,4.7,112.9,115.97,16.0,0,0.0,0.0
1784227931.8062,121.69,5.72,4.7,113.04,115.97,16.0,0,0.0,0.0
1784227932.8064,121.69,5.72,4.7,112.97,115.97,16.0,0,0.0,0.0
1784227933.8067,121.69,3.7,3.0,114.92,117.99,16.0,0,0.0,0.0
1784227934.8076,121.69,5.86,4.8,112.75,115.83,16.0,0,0.0,0.0
1784227935.8086,121.69,5.85,4.8,112.76,115.84,16.0,0,0.0,0.0
1784227936.8093,121.69,5.85,4.8,112.76,115.84,16.0,0,0.0,0.0
1784227937.8097,121.69,5.85,4.8,112.77,115.84,16.0,0,0.0,0.0
1784227938.8108,121.69,5.84,4.8,112.78,115.85,16.0,0,0.0,0.0
1784227939.8114,121.69,5.83,4.8,112.79,115.86,16.0,0,0.0,0.0
1784227940.8118,121.69,5.82,4.8,112.8,115.87,16.0,0,0.0,0.0
1784227941.8121,121.69,5.82,4.8,112.8,115.87,16.0,0,0.0,0.0
1784227942.8131,121.69,5.81,4.8,112.81,115.88,16.0,0,0.0,0.0
1784227943.8133,121.69,5.75,4.7,113.07,115.94,16.0,0,0.0,0.0
1784227944.8138,121.69,5.75,4.7,112.99,115.94,16.0,0,0.0,0.0
1784227945.8141,121.69,5.75,4.7,112.91,115.94,16.0,0,0.0,0.0
1784227946.8147,121.69,5.89,4.8,112.73,115.8,16.0,0,0.0,0.0
1784227947.8151,121.69,5.89,4.8,112.72,115.8,16.0,0,0.0,0.0
