timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1784244813.2571,2802,0,0,0,0,0
1784244813.7575,18730,0,0,0,0,0
1784244814.2605,301131,0,0,0,0,0
1784244814.7614,2320,0,0,0,0,0
1784244815.2628,2301,0,0,0,0,0
1784244815.7652,2301,0,0,0,0,0
1784244816.266,2314,0,0,0,0,0
1784244816.7669,293,0,0,0,0,0
1784244817.2681,2113,0,0,0,0,0
1784244817.7692,2309,0,0,0,0,0
1784244818.2701,2318,0,0,0,0,0
1784244818.7711,2311,0,0,0,0,0
1784244819.2722,2307,0,0,0,0,0
1784244819.7734,2311,0,0,0,0,0
1784244820.2741,2245,0,0,0,0,0
1784244820.7751,146,0,0,0,0,0
1784244821.2758,2301,0,0,0,0,0
1784244821.777,2233,0,0,0,0,0
1784244822.2781,2235,0,0,0,0,0
1784244822.7789,175345,0,0,0,0,0
1784244823.2793,308036,0,0,0,0,0
1784244823.7808,85426,0,0,0,0,0
1784244824.2814,2315,0,0,0,0,0
1784244824.7822,1258,0,0,0,0,0
1784244825.2831,1134,0,0,0,0,0
1784244825.7844,2310,0,0,0,0,0
1784244826.2856,2350,0,0,0,0,0
1784244826.7867,2341,0,0,0,0,0
1784244827.288,2312,0,0,0,0,0
1784244827.7891,2315,0,0,0,0,0
1784244828.2896,2136,0,0,0,0,0
1784244828.7911,247,0,0,0,0,0
1784244829.2922,2315,0,0,0,0,0
1784244829.7933,2307,0,0,0,0,0
1784244830.2946,2306,0,0,0,0,0
1784244830.7961,2275,0,0,0,0,0
1784244831.2975,2236,0,0,0,0,0
1784244831.7984,2234,0,0,0,0,0
1784244832.2987,264049,0,0,0,0,0
1784244832.7991,299732,0,0,0,0,0
1784244833.3001,3138,0,0,0,0,0
1784244833.8013,2314,0,0,0,0,0
1784244834.302,2311,0,0,0,0,0
1784244834.8041,2304,0,0,0,0,0
1784244835.3059,2308,0,0,0,0,0
1784244835.8071,2334,0,0,0,0,0
1784244836.3079,2310,0,0,0,0,0
1784244836.8086,1390,0,0,0,0,0
1784244837.3095,1000,0,0,0,0,0
1784244837.8109,2308,0,0,0,0,0
1784244838.3118,2364,0,0,0,0,0
1784244838.8132,2314,0,0,0,0,0
1784244839.3145,2314,0,0,0,0,0
1784244839.8156,2315,0,0,0,0,0
1784244840.3164,2234,0,0,0,0,0
1784244840.8174,36,0,0,0,0,0
1784244841.3184,2242,0,0,0,0,0
1784244841.8187,264212,0,0,0,0,0
1784244842.3202,302014,0,0,0,0,0
1784244842.8215,2306,0,0,0,0,0
1784244843.323,2317,0,0,0,0,0
1784244843.8248,2308,0,0,0,0,0
1784244844.3257,2318,0,0,0,0,0
1784244844.8264,789,0,0,0,0,0
1784244845.3271,1629,0,0,0,0,0
1784244845.8285,2312,0,0,0,0,0
1784244846.3301,2306,0,0,0,0,0
1784244846.8319,2308,0,0,0,0,0
1784244847.3332,2310,0,0,0,0,0
1784244847.8341,2314,0,0,0,0,0
1784244848.3347,2147,0,0,0,0,0
1784244848.8356,248,0,0,0,0,0
1784244849.3371,2309,0,0,0,0,0
1784244849.8383,2267,0,0,0,0,0
1784244850.3396,2276,0,0,0,0,0
1784244850.841,3697,0,0,0,0,0
1784244851.3417,263998,0,0,0,0,0
1784244851.843,302156,0,0,0,0,0
1784244852.3438,2306,0,0,0,0,0
1784244852.8447,1396,0,0,0,0,0
1784244853.3457,998,0,0,0,0,0
1784244853.8464,2309,0,0,0,0,0
1784244854.3476,2306,0,0,0,0,0
1784244854.8493,2336,0,0,0,0,0
1784244855.3505,2307,0,0,0,0,0
1784244855.8517,2307,0,0,0,0,0
1784244856.3521,2312,0,0,0,0,0
1784244856.8531,555,0,0,0,0,0
1784244857.3547,1822,0,0,0,0,0
1784244857.8559,2310,0,0,0,0,0
1784244858.3571,2312,0,0,0,0,0
1784244858.8587,2305,0,0,0,0,0
1784244859.3599,2252,0,0,0,0,0
1784244859.8611,2233,0,0,0,0,0
1784244860.3619,2085,0,0,0,0,0
1784244860.8628,261853,0,0,0,0,0
1784244861.364,302170,0,0,0,0,0
1784244861.8654,2306,0,0,0,0,0
1784244862.3666,2352,0,0,0,0,0
1784244862.8677,2313,0,0,0,0,0
1784244863.3689,2305,0,0,0,0,0
1784244863.87,2305,0,0,0,0,0
1784244864.371,1437,0,0,0,0,0
1784244864.8724,975,0,0,0,0,0
1784244865.3733,2312,0,0,0,0,0
1784244865.8747,2314,0,0,0,0,0
1784244866.3761,2311,0,0,0,0,0
1784244866.8772,2315,0,0,0,0,0
1784244867.3786,2310,0,0,0,0,0
1784244867.8795,2312,0,0,0,0,0
1784244868.3803,397,0,0,0,0,0
1784244868.8817,1921,0,0,0,0,0
1784244869.3827,2238,0,0,0,0,0
1784244869.8841,2232,0,0,0,0,0
1784244870.3843,276772,0,0,0,0,0
1784244870.8855,289747,0,0,0,0,0
1784244871.3869,2309,0,0,0,0,0
1784244871.8878,2304,0,0,0,0,0
1784244872.3887,1248,0,0,0,0,0
1784244872.8901,1145,0,0,0,0,0
1784244873.3913,2308,0,0,0,0,0
1784244873.892,2331,0,0,0,0,0
1784244874.3927,2347,0,0,0,0,0
1784244874.8939,2312,0,0,0,0,0
1784244875.3946,2311,0,0,0,0,0
1784244875.8954,2314,0,0,0,0,0
1784244876.3964,309,0,0,0,0,0
