timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1784270727.2588,6.9,5.1,1.8,0.0,858.0,63.7,,1.37,1.2,1.07,2351,3,0
1784270728.2618,4.8,2.5,2.3,0.0,858.0,64.1,,1.37,1.2,1.07,3556,2,0
1784270729.264,8.0,5.4,2.6,0.0,858.0,66.2,,1.37,1.2,1.07,3579,2,0
1784270730.2664,7.3,5.3,2.0,0.0,858.0,67.3,,1.37,1.2,1.07,3157,2,0
1784270731.2683,7.4,5.3,2.1,0.0,858.0,67.7,,1.34,1.2,1.07,3397,3,0
1784270732.27,7.4,5.4,2.0,0.0,858.0,67.9,,1.34,1.2,1.07,3293,2,1
1784270733.2715,7.6,5.3,2.3,0.1,858.0,68.0,,1.34,1.2,1.07,3280,2,0
1784270734.2734,7.0,5.3,1.7,0.0,858.0,68.1,,1.34,1.2,1.07,3145,2,0
1784270735.2753,7.5,5.4,2.1,0.0,858.0,68.2,,1.34,1.2,1.07,3373,2,0
1784270736.2771,7.4,5.3,2.1,0.0,858.0,68.2,,1.31,1.19,1.07,3228,2,0
1784270737.2788,7.2,5.4,1.8,0.0,858.0,68.3,,1.31,1.19,1.07,3221,3,0
1784270738.2813,7.1,5.2,1.9,0.0,858.0,68.4,,1.31,1.19,1.07,3178,2,0
1784270739.2834,7.7,5.6,2.1,0.0,858.0,68.5,,1.31,1.19,1.07,3472,2,0
1784270740.286,7.4,5.3,2.1,0.0,858.0,68.4,,1.31,1.19,1.07,3237,3,0
1784270741.2881,7.4,5.4,2.1,0.0,858.0,68.4,,1.28,1.19,1.07,3273,4,0
1784270742.2899,7.1,5.3,1.9,0.0,858.0,68.5,,1.28,1.19,1.07,3190,2,0
1784270743.2919,7.6,5.4,2.3,0.0,858.0,68.5,,1.28,1.19,1.07,3296,2,0
1784270744.2937,7.3,5.3,2.0,0.1,858.0,68.5,,1.28,1.19,1.07,3312,2,0
1784270745.2955,7.5,5.4,2.1,0.0,858.0,68.6,,1.28,1.19,1.07,3273,2,0
1784270746.2982,7.7,5.0,2.7,0.0,858.0,68.8,,1.26,1.19,1.07,3281,2,0
1784270747.3007,7.3,5.4,2.0,0.0,858.0,68.9,,1.26,1.19,1.07,3336,2,0
1784270748.3024,7.5,5.4,2.1,0.0,858.0,69.0,,1.26,1.19,1.07,3252,2,0
1784270749.3046,7.5,5.4,2.1,0.1,858.0,69.1,,1.26,1.19,1.07,3295,2,0
1784270750.3061,6.9,5.2,1.7,0.0,858.0,69.0,,1.26,1.19,1.07,3141,2,0
1784270751.3077,7.3,5.4,1.9,0.0,858.0,69.0,,1.24,1.18,1.07,3353,2,0
1784270752.3099,7.4,5.4,2.1,0.0,858.0,69.1,,1.24,1.18,1.07,3395,2,0
1784270753.3119,7.5,5.4,2.1,0.0,858.0,69.1,,1.24,1.18,1.07,3280,2,0
1784270754.3144,6.8,5.4,1.4,0.0,858.0,69.2,,1.24,1.18,1.07,3115,2,0
1784270755.3162,7.2,5.3,1.9,0.0,858.0,69.2,,1.24,1.18,1.07,3352,3,0
1784270756.3177,7.2,5.4,1.8,0.0,858.0,69.3,,1.38,1.21,1.08,3256,2,0
1784270757.3197,7.4,5.6,1.8,0.0,858.0,69.4,,1.38,1.21,1.08,3381,2,0
1784270758.3214,6.9,5.3,1.7,0.0,858.0,69.3,,1.38,1.21,1.08,3213,3,0
1784270759.3231,7.1,5.3,1.8,0.0,858.0,69.3,,1.38,1.21,1.08,3259,2,0
1784270760.3247,7.2,5.4,1.8,0.0,858.0,69.3,,1.38,1.21,1.08,3280,2,0
1784270761.3261,7.2,5.3,1.9,0.0,858.0,69.3,,1.43,1.23,1.09,3265,2,0
1784270762.3287,7.0,5.3,1.7,0.0,858.0,69.3,,1.43,1.23,1.09,3193,3,0
1784270763.331,7.3,5.4,1.8,0.1,858.0,69.4,,1.43,1.23,1.09,3302,4,0
1784270764.3329,7.2,5.5,1.8,0.0,858.0,69.4,,1.43,1.23,1.09,3216,3,0
1784270765.3356,7.3,5.4,2.0,0.0,858.0,69.5,,1.43,1.23,1.09,3297,3,0
1784270766.3372,7.1,5.3,1.8,0.0,858.0,69.4,,1.4,1.22,1.09,3264,3,0
1784270767.3393,7.0,5.3,1.8,0.0,858.0,69.5,,1.4,1.22,1.09,3213,2,0
1784270768.3411,7.1,5.3,1.8,0.0,858.0,69.6,,1.4,1.22,1.09,3309,2,0
