timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1784286767.3113,42838,0,0,0,0,0
1784286767.812,66197,0,0,0,0,0
1784286768.3123,81572,0,0,0,0,0
1784286768.8128,61688,0,0,0,0,0
1784286769.3131,51330,0,0,0,0,0
1784286769.8135,62527,0,0,0,0,0
1784286770.3139,53837,0,0,0,0,0
1784286770.8143,53453,0,0,0,0,0
1784286771.3147,53480,0,0,0,0,0
1784286771.8151,56716,0,0,0,0,0
1784286772.3153,59683,0,0,0,0,0
1784286772.8158,79138,0,0,0,0,0
1784286773.3162,90836,0,0,0,0,0
1784286773.8167,55236,0,0,0,0,0
1784286774.3171,85625,0,0,0,0,0
1784286774.8175,55018,0,0,0,0,0
1784286775.3178,53366,0,0,0,0,0
1784286775.8182,62392,0,0,0,0,0
1784286776.3184,53683,0,0,0,0,0
1784286776.8189,53310,0,0,0,0,0
1784286777.3192,51122,0,0,0,0,0
1784286777.8196,62792,0,0,0,0,0
1784286778.32,53328,0,0,0,0,0
1784286778.8205,127887,0,0,0,0,0
1784286779.3213,39978,0,0,0,0,0
1784286779.8218,64153,0,0,0,0,0
1784286780.3222,79845,0,0,0,0,0
1784286780.8228,53401,0,0,0,0,0
1784286781.3234,53390,0,0,0,0,0
1784286781.8238,62880,0,0,0,0,0
1784286782.3241,53423,0,0,0,0,0
1784286782.8249,53400,0,0,0,0,0
1784286783.3255,53401,0,0,0,0,0
1784286783.826,62858,0,0,0,0,0
1784286784.3263,53429,0,0,0,0,0
1784286784.8268,125730,0,0,0,0,0
1784286785.3271,39024,0,0,0,0,0
1784286785.8276,68739,0,0,0,0,0
1784286786.3279,75819,0,0,0,0,0
1784286786.8283,53351,0,0,0,0,0
1784286787.3286,53342,0,0,0,0,0
1784286787.8289,62817,0,0,0,0,0
1784286788.3293,53371,0,0,0,0,0
1784286788.8298,53337,0,0,0,0,0
1784286789.3302,53356,0,0,0,0,0
1784286789.8306,62820,0,0,0,0,0
