timestamp_unix,cgroup_mem_anon_bytes,cgroup_mem_file_bytes,cgroup_mem_kernel_bytes,cgroup_mem_slab_bytes,cgroup_mem_swap_bytes,cgroup_mem_workingset_refault,cgroup_mem_kswapd_steal,cgroup_mem_direct_reclaim_steal
1784262257.3738,1139113984,5714198528,251174912,211388008,,,0,0
1784262258.3753,1209716736,5758435328,252141568,211640928,,,0,0
1784262259.376,1209716736,5758435328,252166144,211662520,,,0,0
1784262260.3765,1209720832,5758435328,252211200,211719248,,,0,0
1784262261.377,1214304256,5757968384,252174336,211685304,,,0,0
1784262262.3778,1209651200,5758443520,252145664,211656920,,,0,0
1784262263.3783,1194508288,5714210816,251899904,211521520,,,0,0
1784262264.3791,1209651200,5758447616,252190720,211666784,,,0,0
1784262265.3799,1209647104,5758447616,252137472,211634264,,,0,0
1784262266.3805,1214304256,5758373888,252153856,211646384,,,0,0
1784262267.3812,1209655296,5758459904,252223488,211671568,,,0,0
1784262268.3819,1181368320,5714223104,251379712,211407520,,,0,0
1784262269.3822,1231441920,5757894656,252612608,211723136,,,0,0
1784262270.3832,1209729024,5758459904,252162048,211622208,,,0,0
1784262271.3835,1214644224,5758205952,252452864,211713568,,,0,0
1784262272.3843,1209884672,5758472192,252473344,211745864,,,0,0
1784262273.3847,1175191552,5714235392,251969536,211510432,,,0,0
1784262274.3854,1210585088,5758472192,252891136,211844712,,,0,0
1784262275.3862,1209569280,5758472192,252145664,211627688,,,0,0
1784262276.3865,1214431232,5757779968,252178432,211672336,,,0,0
1784262277.3873,1209774080,5758484480,252182528,211663920,,,0,0
1784262278.3885,1175457792,5714247680,251387904,211437632,,,0,0
1784262279.3892,1209765888,5758484480,252174336,211666896,,,0,0
1784262280.3897,1208225792,5758488576,252145664,211675240,,,0,0
1784262281.3901,1217499136,5756825600,252907520,211751160,,,0,0
1784262282.3906,1209761792,5758496768,252444672,211699320,,,0,0
1784262283.391,1176326144,5714259968,251531264,211448208,,,0,0
1784262284.3916,1224564736,5758500864,252575744,211728488,,,0,0
1784262285.3929,1209774080,5758500864,252112896,211637944,,,0,0
1784262286.3934,1214447616,5758251008,252129280,211628736,,,0,0
1784262287.3942,1209774080,5758509056,252268544,211684912,,,0,0
1784262288.3949,1180946432,5714272256,251375616,211433736,,,0,0
1784262289.3954,1214435328,5758185472,252231680,211691280,,,0,0
1784262290.3962,1209778176,5758513152,252170240,211650688,,,0,0
1784262291.3967,1187454976,5758525440,252588032,211691152,,,0,0
1784262292.3978,1209786368,5758521344,252194816,211656296,,,0,0
1784262293.3989,1183305728,5714284544,251396096,211442160,,,0,0
1784262294.3993,1214435328,5755711488,252284928,211662144,,,0,0
1784262295.4001,1209794560,5758525440,252145664,211640888,,,0,0
1784262296.4005,1190125568,5714292736,251973632,211534152,,,0,0
1784262297.4011,1209716736,5758529536,252182528,211656040,,,0,0
1784262298.4017,1211076608,5727227904,252309504,211586480,,,0,0
1784262299.4024,1214455808,5758439424,252162048,211661304,,,0,0
1784262300.4031,1226854400,5758533632,252624896,211762912,,,0,0
1784262301.4037,1181233152,5714300928,251408384,211440240,,,0,0
1784262302.404,1231499264,5758033920,252665856,211730080,,,0,0
1784262303.4051,1209815040,5758537728,252162048,211642920,,,0,0
1784262304.4056,1170460672,5758545920,251478016,211604312,,,0,0
1784262305.4064,1209806848,5758541824,252174336,211670160,,,0,0
1784262306.4072,1184784384,5714313216,251392000,211434280,,,0,0
1784262307.4076,1214455808,5756641280,252162048,211658968,,,0,0
1784262308.4082,1209806848,5758550016,252252160,211686960,,,0,0
1784262309.4087,1174323200,5714317312,251883520,211503376,,,0,0
1784262310.4092,1222025216,5758554112,252571648,211723792,,,0,0
1784262311.4095,1185529856,5714325504,251826176,211505528,,,0,0
1784262312.4098,1214472192,5756428288,252141568,211614944,,,0,0
1784262313.4105,1226776576,5758566400,252448768,211773792,,,0,0
1784262314.4109,1175949312,5714329600,251682816,211519944,,,0,0
1784262315.4118,1221890048,5758566400,252604416,211719168,,,0,0
1784262316.4123,1195147264,5752025088,251953152,211598536,,,0,0
1784262317.4128,1214472192,5757362176,252186624,211662464,,,0,0
1784262318.4134,1209810944,5758578688,252170240,211652088,,,0,0
1784262319.414,1194733568,5714341888,251936768,211545344,,,0,0
1784262320.4144,1214476288,5757988864,252178432,211652984,,,0,0
1784262321.4153,1227517952,5758586880,252776448,211831328,,,0,0
1784262322.4157,1170399232,5758595072,252268544,211690432,,,0,0
1784262323.4163,1209741312,5758590976,252252160,211693008,,,0,0
1784262324.4174,1182543872,5714354176,251392000,211441560,,,0,0
1784262325.4181,1209741312,5758595072,252215296,211714808,,,0,0
1784262326.4189,1215193088,5758603264,252657664,211731880,,,0,0
1784262327.4193,1170489344,5727158272,251785216,211669680,,,0,0
1784262328.4201,1209831424,5758603264,252178432,211658872,,,0,0
1784262329.4206,1184641024,5714366464,251420672,211419808,,,0,0
1784262330.4213,1214488576,5756129280,252100608,211588504,,,0,0
1784262331.422,1225752576,5758615552,252497920,211743504,,,0,0
1784262332.4225,1171267584,5714378752,252067840,211649912,,,0,0
1784262333.4232,1209831424,5758615552,252502016,211699248,,,0,0
1784262334.4238,1186394112,5714378752,251764736,211536912,,,0,0
1784262335.424,1214439424,5756870656,252375040,211648528,,,0,0
1784262336.4261,1209835520,5758627840,252162048,211625008,,,0,0
1784262337.4268,1173598208,5714391040,251375616,211418440,,,0,0
1784262338.4275,1209827328,5758627840,252170240,211669088,,,0,0
1784262339.4279,1225285632,5758631936,252694528,211740912,,,0,0
1784262340.4283,1214357504,5757698048,252194816,211693248,,,0,0
1784262341.4294,1209700352,5758631936,252174336,211667392,,,0,0
1784262342.4302,1174478848,5714395136,251375616,211418624,,,0,0
1784262343.4313,1209696256,5758631936,252116992,211653080,,,0,0
1784262344.4322,1224232960,5758636032,252547072,211702088,,,0,0
1784262345.4325,1214353408,5758001152,252194816,211676312,,,0,0
1784262346.4332,1209778176,5758636032,252473344,211712936,,,0,0
1784262347.4337,1179926528,5714399232,251375616,211421432,,,0,0
1784262348.4342,1214443520,5757779968,252407808,211658384,,,0,0
1784262349.4351,1209790464,5758640128,252149760,211660816,,,0,0
1784262350.4362,1214443520,5758136320,252149760,211630624,,,0,0
1784262351.4369,1209774080,5758640128,252178432,211630152,,,0,0
1784262352.4373,1198641152,5714411520,251854848,211501864,,,0,0
1784262353.4377,1214443520,5758132224,252153856,211629032,,,0,0
1784262354.4384,1223520256,5758652416,252735488,211817344,,,0,0
1784262355.4388,1214443520,5758337024,252182528,211686008,,,0,0
1784262356.4393,1209786368,5758652416,252190720,211689544,,,0,0
1784262357.4398,1182261248,5714423808,251715584,211517408,,,0,0
1784262358.4407,1209798656,5758660608,252170240,211668472,,,0,0
1784262359.4414,1179566080,5714423808,251383808,211419240,,,0,0
1784262360.4418,1214451712,5758296064,252211200,211686648,,,0,0
1784262361.4426,1216729088,5758660608,252874752,211828048,,,0,0
1784262362.4429,1171763200,5758676992,252428288,211735680,,,0,0
1784262363.4436,1209790464,5758672896,252174336,211666224,,,0,0
1784262364.4441,1180762112,5714436096,251891712,211519256,,,0,0
1784262365.4445,1214443520,5757878272,252162048,211640872,,,0,0
1784262366.4455,1209880576,5758676992,252407808,211749304,,,0,0
1784262367.4458,1187508224,5758689280,251809792,211732064,,,0,0
1784262368.4465,1209802752,5758685184,252129280,211646352,,,0,0
1784262369.4469,1196077056,5714448384,251895808,211514880,,,0,0
1784262370.4476,1214398464,5757931520,252162048,211631984,,,0,0
1784262371.4482,1209749504,5758689280,252239872,211660520,,,0,0
1784262372.4486,1171353600,5714460672,251387904,211466056,,,0,0
1784262373.4493,1209749504,5758717952,252203008,211665632,,,0,0
1784262374.4498,1182785536,5714485248,251441152,211467688,,,0,0
1784262375.4503,1227218944,5758279680,252989440,211796392,,,0,0
1784262376.4509,1209741312,5758722048,252162048,211646968,,,0,0
1784262377.4516,1214398464,5758271488,252174336,211656672,,,0,0
