timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1784299874.3923,1.1,0.2,0.8,0.0,858.0,39.4,,0.75,1.04,1.06,2245,3,0
1784299875.3931,3.4,2.6,0.9,0.0,858.0,40.9,,0.75,1.04,1.06,3015,3,0
1784299876.394,5.9,4.9,1.0,0.0,858.0,42.8,,0.75,1.04,1.06,3151,2,0
1784299877.3952,6.0,5.2,0.8,0.0,858.0,43.8,,0.77,1.04,1.06,3166,2,0
1784299878.3959,6.1,5.2,0.9,0.0,858.0,44.2,,0.77,1.04,1.06,3139,2,0
1784299879.3967,6.2,5.3,0.9,0.1,858.0,44.5,,0.77,1.04,1.06,3230,2,0
1784299880.3982,5.9,5.2,0.8,0.0,858.0,44.5,,0.77,1.04,1.06,3211,2,0
1784299881.3992,6.1,5.2,0.9,0.0,858.0,44.5,,0.77,1.04,1.06,3147,3,0
1784299882.4002,5.9,5.2,0.8,0.0,858.0,44.4,,0.79,1.04,1.06,3224,2,0
1784299883.4011,6.0,5.2,0.8,0.0,858.0,44.6,,0.79,1.04,1.06,3241,2,0
1784299884.4021,5.8,4.0,1.9,0.0,858.0,44.2,,0.79,1.04,1.06,3309,3,0
1784299885.4033,6.6,1.8,4.8,0.1,858.0,44.2,,0.79,1.04,1.06,3351,2,0
1784299886.4042,6.3,4.9,1.4,0.0,858.0,44.7,,0.79,1.04,1.06,3550,2,0
1784299887.4051,6.3,5.2,1.1,0.0,858.0,44.8,,0.81,1.04,1.06,3664,2,0
1784299888.406,6.4,5.2,1.2,0.0,858.0,44.8,,0.81,1.04,1.06,3634,3,0
1784299889.4069,5.9,4.6,1.3,0.0,858.0,44.5,,0.81,1.04,1.06,3365,2,0
1784299890.4079,6.0,5.2,0.9,0.0,858.0,44.8,,0.81,1.04,1.06,3247,3,0
1784299891.4088,6.1,5.0,1.0,0.1,858.0,44.9,,0.81,1.04,1.06,3177,2,0
1784299892.4098,6.0,5.2,0.8,0.0,858.0,45.0,,0.82,1.04,1.06,3200,3,0
1784299893.4112,6.0,5.3,0.7,0.0,858.0,45.0,,0.82,1.04,1.06,3111,3,0
1784299894.4122,6.1,5.2,0.9,0.0,858.0,45.1,,0.82,1.04,1.06,3202,2,0
1784299895.4132,6.0,5.2,0.8,0.0,858.0,45.1,,0.82,1.04,1.06,3193,2,0
1784299896.4141,6.2,5.2,1.0,0.0,858.0,45.0,,0.82,1.04,1.06,3179,4,0
1784299897.415,6.0,5.2,0.9,0.0,858.0,45.1,,0.92,1.05,1.06,3145,2,0
1784299898.416,6.0,4.0,2.0,0.0,858.0,44.8,,0.92,1.05,1.06,3289,3,0
1784299899.4171,6.5,1.8,4.7,0.0,858.0,44.7,,0.92,1.05,1.06,3513,2,0
1784299900.4183,6.2,4.9,1.3,0.0,858.0,45.3,,0.92,1.05,1.06,3414,2,0
1784299901.4195,6.5,5.2,1.3,0.0,858.0,45.3,,0.92,1.05,1.06,3646,2,0
1784299902.4204,6.4,5.2,1.2,0.0,858.0,45.2,,0.93,1.05,1.06,3564,2,0
1784299903.4218,5.9,4.7,1.3,0.0,858.0,44.2,,0.93,1.05,1.06,3583,3,0
1784299904.4232,6.0,5.0,1.0,0.0,858.0,45.7,,0.93,1.05,1.06,3176,2,0
1784299905.4247,6.1,5.1,1.0,0.1,858.0,46.8,,0.93,1.05,1.06,3237,2,0
1784299906.4261,6.0,5.2,0.9,0.0,858.0,47.1,,0.93,1.05,1.06,3223,2,0
1784299907.4276,6.0,5.3,0.8,0.0,858.0,47.3,,0.93,1.05,1.06,3197,3,0
1784299908.4291,6.1,5.3,0.8,0.0,858.0,47.3,,0.93,1.05,1.06,3218,2,0
1784299909.4313,6.1,5.2,0.9,0.0,858.0,47.2,,0.93,1.05,1.06,3217,2,0
1784299910.4327,6.2,5.3,0.9,0.1,858.0,47.1,,0.93,1.05,1.06,3222,2,0
1784299911.4341,6.1,5.2,0.9,0.1,858.0,47.3,,0.93,1.05,1.06,3179,4,0
1784299912.4368,6.2,3.7,2.5,0.0,858.0,46.7,,1.02,1.07,1.07,3381,2,0
1784299913.4382,6.8,3.0,3.8,0.0,858.0,46.9,,1.02,1.07,1.07,3458,3,0
1784299914.4395,6.3,5.2,1.2,0.0,858.0,47.2,,1.02,1.07,1.07,3678,3,0
1784299915.4416,6.2,5.2,1.1,0.0,858.0,47.2,,1.02,1.07,1.07,3603,4,0
1784299916.4435,6.2,5.2,1.0,0.0,858.0,47.3,,1.02,1.07,1.07,3459,2,0
1784299917.4449,5.7,4.4,1.3,0.0,858.0,47.0,,1.02,1.07,1.07,3421,2,0
1784299918.4468,6.0,5.0,1.0,0.1,858.0,47.2,,1.02,1.07,1.07,3148,2,0
1784299919.4482,6.1,5.2,0.9,0.0,858.0,47.2,,1.02,1.07,1.07,3255,2,0
1784299920.4506,6.2,5.3,0.9,0.0,858.0,47.4,,1.02,1.07,1.07,3243,2,0
1784299921.4519,6.1,5.2,0.9,0.0,858.0,47.5,,1.02,1.07,1.07,3179,3,0
1784299922.4534,6.0,5.2,0.8,0.0,858.0,47.5,,1.02,1.07,1.07,3174,2,0
1784299923.455,5.9,5.2,0.7,0.0,858.0,47.4,,1.02,1.07,1.07,3065,4,0
1784299924.4564,6.1,5.2,0.9,0.0,858.0,47.3,,1.02,1.07,1.07,3235,2,0
1784299925.4577,5.9,5.2,0.7,0.0,858.0,47.5,,1.02,1.07,1.07,3108,3,0
1784299926.4605,6.2,2.9,3.2,0.0,858.0,46.6,,1.02,1.07,1.07,3439,2,0
1784299927.4618,6.8,3.4,3.4,0.0,858.0,47.1,,1.17,1.1,1.08,3589,3,0
1784299928.4632,6.4,5.2,1.2,0.0,858.0,47.6,,1.17,1.1,1.08,3656,2,0
1784299929.4653,6.3,5.2,1.1,0.0,858.0,47.7,,1.17,1.1,1.08,3598,2,0
1784299930.4668,6.0,4.7,1.4,0.0,858.0,47.1,,1.17,1.1,1.08,3586,1,0
1784299931.4682,5.7,4.9,0.9,0.0,858.0,45.1,,1.17,1.1,1.08,3216,2,0
1784299932.4702,6.1,4.9,1.1,0.1,858.0,45.6,,1.16,1.1,1.08,3195,2,0
1784299933.4717,6.0,5.2,0.8,0.0,858.0,45.7,,1.16,1.1,1.08,3314,2,0
1784299934.4738,6.0,5.2,0.8,0.0,858.0,45.7,,1.16,1.1,1.08,3197,2,0
1784299935.4752,6.1,5.3,0.9,0.0,858.0,45.7,,1.16,1.1,1.08,3251,2,0
1784299936.477,6.0,5.2,0.8,0.0,858.0,45.8,,1.16,1.1,1.08,3181,2,0
1784299937.4785,6.1,5.2,0.9,0.0,858.0,45.7,,1.15,1.09,1.08,3256,2,0
1784299938.4799,6.1,5.2,0.9,0.0,858.0,45.7,,1.15,1.09,1.08,3053,3,0
1784299939.4813,6.0,5.2,0.8,0.0,858.0,45.9,,1.15,1.09,1.08,3179,2,0
1784299940.4839,6.8,2.2,4.6,0.0,858.0,45.7,,1.15,1.09,1.08,3389,3,0
1784299941.4859,6.3,4.6,1.8,0.0,858.0,46.1,,1.15,1.09,1.08,3559,2,0
1784299942.4872,6.5,5.2,1.3,0.0,858.0,46.2,,1.13,1.09,1.08,3677,3,0
1784299943.4888,6.3,5.2,1.1,0.0,858.0,46.1,,1.13,1.09,1.08,3550,2,0
1784299944.4902,6.0,4.7,1.3,0.0,858.0,44.4,,1.13,1.09,1.08,3491,3,0
1784299945.4916,6.0,5.2,0.7,0.1,858.0,44.2,,1.13,1.09,1.08,3176,2,0
1784299946.493,6.1,5.0,1.1,0.0,858.0,44.7,,1.13,1.09,1.08,3169,4,0
1784299947.4953,5.9,5.2,0.8,0.0,858.0,45.0,,1.12,1.09,1.08,3122,2,0
1784299948.4968,6.1,5.3,0.8,0.0,858.0,45.1,,1.12,1.09,1.08,3312,2,0
1784299949.4988,6.0,5.2,0.9,0.0,858.0,45.2,,1.12,1.09,1.08,3177,3,0
1784299950.5007,6.1,5.2,0.9,0.0,858.0,45.1,,1.12,1.09,1.08,3189,5,0
1784299951.5022,6.2,5.2,1.0,0.0,858.0,45.0,,1.12,1.09,1.08,3303,2,0
1784299952.5043,6.1,5.2,0.8,0.1,858.0,45.2,,1.11,1.09,1.08,3186,2,0
1784299953.5059,6.1,4.1,2.0,0.0,858.0,44.8,,1.11,1.09,1.08,3391,2,0
1784299954.5074,6.5,1.8,4.7,0.0,858.0,44.8,,1.11,1.09,1.08,3393,2,0
1784299955.5089,6.3,5.1,1.2,0.0,858.0,45.3,,1.11,1.09,1.08,3606,2,0
1784299956.5108,6.3,5.2,1.1,0.0,858.0,45.3,,1.11,1.09,1.08,3580,2,0
1784299957.5123,6.5,5.3,1.2,0.0,858.0,45.4,,1.1,1.09,1.08,3642,2,0
1784299958.5144,5.9,4.7,1.2,0.0,858.0,43.7,,1.1,1.09,1.08,3428,2,0
1784299959.5159,6.1,5.0,1.1,0.0,858.0,45.1,,1.1,1.09,1.08,3192,2,0
1784299960.5176,6.2,5.3,0.9,0.1,858.0,45.8,,1.1,1.09,1.08,3317,2,0
1784299961.5192,6.0,5.2,0.8,0.0,858.0,46.0,,1.1,1.09,1.08,3104,4,0
1784299962.5205,6.0,5.2,0.8,0.0,858.0,46.1,,1.1,1.08,1.08,3202,2,0
1784299963.5222,6.0,5.2,0.8,0.0,858.0,46.1,,1.1,1.08,1.08,3177,4,0
1784299964.5237,6.1,5.3,0.9,0.0,858.0,46.0,,1.1,1.08,1.08,3319,2,0
1784299965.5257,6.0,5.3,0.8,0.0,858.0,45.9,,1.1,1.08,1.08,3155,2,0
1784299966.5271,6.1,5.2,0.9,0.0,858.0,46.1,,1.1,1.08,1.08,3203,2,0
1784299967.5285,6.0,3.7,2.3,0.0,858.0,45.6,,1.09,1.08,1.07,3402,3,0
1784299968.5299,6.6,1.9,4.7,0.0,858.0,45.6,,1.09,1.08,1.07,3561,2,0
1784299969.5312,6.2,5.1,1.1,0.0,858.0,46.2,,1.09,1.08,1.07,3551,3,0
1784299970.5327,6.4,5.2,1.2,0.0,858.0,46.3,,1.09,1.08,1.07,3694,2,0
1784299971.5343,6.4,5.2,1.2,0.0,858.0,46.2,,1.09,1.08,1.07,3668,2,0
1784299972.5358,5.8,4.6,1.2,0.0,858.0,44.8,,1.08,1.08,1.07,3409,2,0
1784299973.5372,6.0,4.9,1.1,0.0,858.0,45.4,,1.08,1.08,1.07,3209,2,0
1784299974.5387,6.1,5.2,0.9,0.1,858.0,46.1,,1.08,1.08,1.07,3243,2,0
1784299975.5403,6.1,5.3,0.9,0.0,858.0,46.4,,1.08,1.08,1.07,3311,2,0
1784299976.542,6.1,5.2,0.8,0.1,858.0,46.5,,1.08,1.08,1.07,3153,2,0
1784299977.5435,6.1,5.3,0.9,0.0,858.0,46.6,,1.07,1.08,1.07,3283,2,0
1784299978.545,5.9,5.1,0.8,0.0,858.0,46.6,,1.07,1.08,1.07,3176,4,0
1784299979.5465,6.0,5.2,0.8,0.0,858.0,46.5,,1.07,1.08,1.07,3146,3,0
1784299980.5481,6.1,5.2,0.9,0.0,858.0,46.6,,1.07,1.08,1.07,3246,2,0
1784299981.5506,6.2,1.9,4.3,0.0,858.0,43.7,,1.07,1.08,1.07,3385,3,0
1784299982.5521,6.6,3.5,3.1,0.0,858.0,45.6,,1.15,1.1,1.08,3501,3,0
1784299983.5534,6.3,5.3,1.0,0.0,858.0,46.4,,1.15,1.1,1.08,3607,3,0
1784299984.5547,6.5,5.3,1.2,0.0,858.0,46.6,,1.15,1.1,1.08,3581,2,0
1784299985.5561,6.0,4.6,1.4,0.0,858.0,46.3,,1.15,1.1,1.08,3646,2,0
1784299986.5575,6.0,5.1,0.9,0.0,858.0,45.0,,1.15,1.1,1.08,3156,3,0
