timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1784270092.373,45062,0,0,0,0,0
1784270092.8732,56806,0,0,0,0,0
1784270093.3739,186241,0,0,0,0,0
1784270093.8743,64314,0,0,0,0,0
1784270094.3751,57895,0,0,0,0,0
1784270094.8755,40379,0,0,0,0,0
1784270095.3762,39986,0,0,0,0,0
1784270095.8767,39976,0,0,0,0,0
1784270096.3771,39998,0,0,0,0,0
1784270096.8775,45900,0,0,0,0,0
1784270097.3778,43559,0,0,0,0,0
1784270097.8783,40001,0,0,0,0,0
1784270098.3789,39965,0,0,0,0,0
1784270098.8793,39982,0,0,0,0,0
1784270099.3797,49440,0,0,0,0,0
1784270099.8801,40016,0,0,0,0,0
1784270100.3804,39995,0,0,0,0,0
1784270100.881,37755,0,0,0,0,0
1784270101.3814,50386,0,0,0,0,0
1784270101.8817,39991,0,0,0,0,0
1784270102.3821,40008,0,0,0,0,0
1784270102.8828,39986,0,0,0,0,0
1784270103.3832,49062,0,0,0,0,0
1784270103.8836,40365,0,0,0,0,0
1784270104.3842,40016,0,0,0,0,0
1784270104.8849,40011,0,0,0,0,0
1784270105.3852,49073,0,0,0,0,0
1784270105.8857,40355,0,0,0,0,0
1784270106.3861,40004,0,0,0,0,0
1784270106.8865,40000,0,0,0,0,0
1784270107.3868,40565,0,0,0,0,0
1784270107.887,48900,0,0,0,0,0
1784270108.3873,40013,0,0,0,0,0
1784270108.8876,37808,0,0,0,0,0
1784270109.3878,40018,0,0,0,0,0
1784270109.8882,49450,0,0,0,0,0
1784270110.3884,40015,0,0,0,0,0
1784270110.8887,39991,0,0,0,0,0
1784270111.3889,40021,0,0,0,0,0
1784270111.8893,49438,0,0,0,0,0
1784270112.3895,40033,0,0,0,0,0
1784270112.8898,40010,0,0,0,0,0
1784270113.3902,40009,0,0,0,0,0
1784270113.8905,49430,0,0,0,0,0
1784270114.3908,40010,0,0,0,0,0
1784270114.8911,40032,0,0,0,0,0
1784270115.3914,40013,0,0,0,0,0
1784270115.8917,45533,0,0,0,0,0
1784270116.3921,43772,0,0,0,0,0
1784270116.8924,37927,0,0,0,0,0
1784270117.3928,39996,0,0,0,0,0
1784270117.893,40011,0,0,0,0,0
1784270118.3933,49436,0,0,0,0,0
1784270118.8937,39999,0,0,0,0,0
1784270119.394,40012,0,0,0,0,0
1784270119.8943,40017,0,0,0,0,0
1784270120.3946,49080,0,0,0,0,0
1784270120.895,81347,0,0,0,0,0
1784270121.3953,83749,0,0,0,0,0
1784270121.8957,55132,0,0,0,0,0
1784270122.396,142121,0,0,0,0,0
1784270122.8963,155875,0,0,0,0,0
1784270123.3967,57549,0,0,0,0,0
1784270123.8969,43900,0,0,0,0,0
1784270124.3972,43312,0,0,0,0,0
1784270124.8976,39995,0,0,0,0,0
1784270125.3984,39953,0,0,0,0,0
1784270125.8986,44430,0,0,0,0,0
1784270126.3988,45067,0,0,0,0,0
1784270126.8991,40012,0,0,0,0,0
1784270127.3994,41459,0,0,0,0,0
1784270127.8999,47883,0,0,0,0,0
1784270128.4002,41566,0,0,0,0,0
1784270128.9005,40010,0,0,0,0,0
1784270129.401,40014,0,0,0,0,0
1784270129.9013,49087,0,0,0,0,0
1784270130.4017,40369,0,0,0,0,0
1784270130.902,40020,0,0,0,0,0
1784270131.4022,39866,0,0,0,0,0
1784270131.9026,47019,0,0,0,0,0
1784270132.4028,40380,0,0,0,0,0
1784270132.9032,40009,0,0,0,0,0
1784270133.4039,39969,0,0,0,0,0
1784270133.9043,49453,0,0,0,0,0
1784270134.4047,40006,0,0,0,0,0
1784270134.9053,39968,0,0,0,0,0
1784270135.4061,39976,0,0,0,0,0
1784270135.9066,49450,0,0,0,0,0
1784270136.4069,40015,0,0,0,0,0
1784270136.9075,39987,0,0,0,0,0
1784270137.4086,39950,0,0,0,0,0
1784270137.9089,49460,0,0,0,0,0
1784270138.4093,40000,0,0,0,0,0
1784270138.9097,40016,0,0,0,0,0
1784270139.4101,39829,0,0,0,0,0
1784270139.9104,47400,0,0,0,0,0
1784270140.4109,40049,0,0,0,0,0
1784270140.9118,39969,0,0,0,0,0
1784270141.4128,39958,0,0,0,0,0
1784270141.9131,49453,0,0,0,0,0
1784270142.4134,40010,0,0,0,0,0
1784270142.9141,39987,0,0,0,0,0
1784270143.4151,39953,0,0,0,0,0
1784270143.9154,49187,0,0,0,0,0
1784270144.4158,40286,0,0,0,0,0
1784270144.9163,40014,0,0,0,0,0
1784270145.4174,39944,0,0,0,0,0
