timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1784296551.058,1.1,0.2,0.8,0.0,858.0,44.4,,0.91,1.12,1.08,2220,4,0
1784296552.0588,3.4,2.1,1.3,0.0,858.0,46.0,,0.91,1.12,1.08,3033,2,0
1784296553.0599,6.1,5.2,1.0,0.0,858.0,46.7,,0.91,1.12,1.08,3457,2,0
1784296554.0607,6.4,5.3,1.2,0.0,858.0,49.2,,0.91,1.12,1.08,3687,2,0
1784296555.0616,6.6,5.3,1.2,0.1,858.0,49.6,,0.91,1.12,1.08,3729,2,0
1784296556.0625,6.2,4.3,1.9,0.0,858.0,48.5,,0.92,1.12,1.08,3922,2,0
1784296557.0634,6.5,5.3,1.2,0.0,858.0,49.1,,0.92,1.12,1.08,3745,3,0
1784296558.0641,6.4,5.2,1.2,0.0,858.0,49.4,,0.92,1.12,1.08,3643,2,0
1784296559.0649,6.3,4.7,1.6,0.0,858.0,50.4,,0.92,1.12,1.08,3788,3,0
1784296560.0658,6.5,4.9,1.6,0.1,858.0,50.2,,0.92,1.12,1.08,3850,2,0
1784296561.0665,6.4,5.2,1.2,0.0,858.0,51.4,,1.01,1.13,1.09,3645,3,0
1784296562.0673,6.3,5.0,1.4,0.0,858.0,51.9,,1.01,1.13,1.09,3869,1,0
1784296563.0684,6.3,4.5,1.9,0.0,858.0,50.0,,1.01,1.13,1.09,3714,3,0
1784296564.0692,6.4,5.2,1.2,0.0,858.0,51.6,,1.01,1.13,1.09,3603,2,0
1784296565.0702,6.5,5.3,1.2,0.1,858.0,52.3,,1.01,1.13,1.09,3717,2,0
1784296566.0709,6.1,4.8,1.4,0.0,858.0,51.2,,1.01,1.13,1.09,3771,3,0
1784296567.0718,6.2,4.7,1.5,0.0,858.0,51.4,,1.01,1.13,1.09,3757,4,0
1784296568.0727,6.5,5.2,1.3,0.0,858.0,51.7,,1.01,1.13,1.09,3707,2,0
1784296569.0737,6.4,5.2,1.3,0.0,858.0,51.9,,1.01,1.13,1.09,3697,3,0
1784296570.0745,6.4,4.4,1.9,0.1,858.0,51.4,,1.01,1.13,1.09,3958,2,0
1784296571.076,6.6,5.3,1.3,0.0,858.0,51.3,,1.09,1.14,1.09,3846,2,0
1784296572.0775,6.5,5.3,1.2,0.0,858.0,52.7,,1.09,1.14,1.09,3636,3,0
1784296573.0791,6.4,4.9,1.5,0.0,858.0,52.2,,1.09,1.14,1.09,3963,2,0
1784296574.0807,6.2,4.8,1.5,0.0,858.0,52.4,,1.09,1.14,1.09,3600,2,0
1784296575.0823,6.5,5.3,1.1,0.1,858.0,54.3,,1.09,1.14,1.09,3679,3,0
1784296576.0837,6.5,5.2,1.3,0.0,858.0,54.1,,1.08,1.14,1.09,3604,2,0
1784296577.0853,6.3,4.4,1.9,0.0,858.0,51.7,,1.08,1.14,1.09,3853,2,0
1784296578.0873,6.5,5.3,1.2,0.0,858.0,53.0,,1.08,1.14,1.09,3677,2,0
1784296579.0888,6.5,5.3,1.2,0.0,858.0,53.3,,1.08,1.14,1.09,3732,2,0
1784296580.0902,6.3,4.4,1.9,0.1,858.0,52.8,,1.08,1.14,1.09,3994,3,0
1784296581.0917,6.5,5.3,1.2,0.0,858.0,54.1,,1.07,1.14,1.09,3601,2,0
1784296582.0932,6.5,5.3,1.2,0.0,858.0,55.5,,1.07,1.14,1.09,3729,2,0
1784296583.0945,6.2,4.8,1.5,0.0,858.0,55.0,,1.07,1.14,1.09,3913,4,0
1784296584.0961,6.4,4.8,1.6,0.0,858.0,53.0,,1.07,1.14,1.09,3716,2,0
1784296585.0976,6.4,5.2,1.2,0.0,858.0,54.9,,1.07,1.14,1.09,3622,2,0
1784296586.0991,6.7,5.3,1.4,0.1,858.0,54.6,,1.15,1.15,1.1,3786,2,0
1784296587.1005,6.1,4.3,1.8,0.0,858.0,52.8,,1.15,1.15,1.1,3874,3,0
1784296588.102,6.6,5.3,1.3,0.0,858.0,53.9,,1.15,1.15,1.1,3870,2,0
1784296589.1038,6.3,5.2,1.1,0.0,858.0,54.4,,1.15,1.15,1.1,3659,2,0
1784296590.1052,6.2,4.6,1.6,0.0,858.0,53.9,,1.15,1.15,1.1,3907,2,0
1784296591.1065,6.3,4.8,1.5,0.1,858.0,53.4,,1.13,1.15,1.09,3620,3,0
1784296592.108,6.5,5.3,1.2,0.0,858.0,54.0,,1.13,1.15,1.09,3706,2,0
1784296593.1094,6.4,5.3,1.2,0.0,858.0,55.4,,1.13,1.15,1.09,3701,3,0
1784296594.1107,6.1,4.2,1.9,0.0,858.0,52.9,,1.13,1.15,1.09,3908,3,0
1784296595.1122,6.4,5.3,1.2,0.0,858.0,53.2,,1.13,1.15,1.09,3576,2,0
1784296596.1135,6.4,5.3,1.0,0.2,858.0,55.2,,1.12,1.15,1.09,3639,2,0
1784296597.1152,6.3,4.8,1.6,0.0,858.0,54.4,,1.12,1.15,1.09,3788,2,0
1784296598.1166,6.5,4.8,1.7,0.0,858.0,53.7,,1.12,1.15,1.09,3740,2,0
1784296599.118,6.3,5.2,1.1,0.0,858.0,55.1,,1.12,1.15,1.09,3530,3,0
1784296600.1195,6.5,5.3,1.3,0.0,858.0,55.6,,1.12,1.15,1.09,3760,2,0
1784296601.1209,6.3,4.8,1.5,0.1,858.0,54.7,,1.11,1.14,1.09,3825,3,0
1784296602.1224,6.4,4.8,1.7,0.0,858.0,54.4,,1.11,1.14,1.09,3826,2,0
1784296603.1243,6.5,5.3,1.2,0.0,858.0,54.6,,1.11,1.14,1.09,3689,3,0
1784296604.1261,6.4,5.3,1.2,0.0,858.0,54.9,,1.11,1.14,1.09,3674,2,0
1784296605.1279,6.1,4.4,1.8,0.0,858.0,54.6,,1.11,1.14,1.09,3890,2,0
1784296606.1294,6.6,5.1,1.5,0.1,858.0,54.2,,1.18,1.16,1.1,3791,2,0
1784296607.1309,6.3,5.2,1.1,0.0,858.0,55.5,,1.18,1.16,1.1,3620,2,0
1784296608.1326,6.0,4.6,1.4,0.0,858.0,55.8,,1.18,1.16,1.1,3835,2,0
1784296609.134,6.4,4.7,1.7,0.0,858.0,55.2,,1.18,1.16,1.1,3596,3,0
1784296610.1353,6.4,5.2,1.2,0.0,858.0,56.2,,1.18,1.16,1.1,3677,2,0
1784296611.1368,6.6,5.2,1.3,0.1,858.0,56.4,,1.17,1.16,1.1,3753,3,0
1784296612.1383,6.3,4.7,1.6,0.0,858.0,55.5,,1.17,1.16,1.1,3844,2,0
1784296613.1397,6.3,4.8,1.6,0.0,858.0,56.3,,1.17,1.16,1.1,3906,3,0
1784296614.1412,6.7,5.3,1.4,0.0,858.0,56.2,,1.17,1.16,1.1,3869,2,0
1784296615.1426,6.0,4.6,1.4,0.0,858.0,56.0,,1.17,1.16,1.1,3881,2,0
1784296616.144,6.5,4.7,1.8,0.1,858.0,55.5,,1.16,1.15,1.1,3750,3,0
1784296617.1454,6.4,5.2,1.2,0.0,858.0,55.9,,1.16,1.15,1.1,3618,2,0
1784296618.1468,6.5,5.3,1.3,0.0,858.0,57.0,,1.16,1.15,1.1,3549,3,0
1784296619.1484,6.5,4.4,2.1,0.0,858.0,55.3,,1.16,1.15,1.1,4025,3,0
1784296620.1498,6.3,5.3,1.0,0.0,858.0,56.7,,1.16,1.15,1.1,3591,3,0
1784296621.1513,6.5,5.3,1.2,0.1,858.0,57.2,,1.14,1.15,1.09,3742,2,0
1784296622.1527,6.3,4.3,2.0,0.0,858.0,55.2,,1.14,1.15,1.09,3818,2,0
1784296623.1541,6.3,5.2,1.1,0.0,858.0,55.7,,1.14,1.15,1.09,3451,2,0
1784296624.1555,6.4,5.3,1.1,0.0,858.0,57.2,,1.14,1.15,1.09,3664,3,0
1784296625.157,6.4,5.2,1.2,0.0,858.0,56.8,,1.14,1.15,1.09,3641,2,0
1784296626.1586,6.0,4.1,1.9,0.1,858.0,56.3,,1.13,1.15,1.09,3937,2,0
1784296627.1599,6.5,5.2,1.3,0.0,858.0,56.7,,1.13,1.15,1.09,3779,4,0
1784296628.1614,6.5,5.2,1.3,0.0,858.0,56.7,,1.13,1.15,1.09,3590,2,0
1784296629.1632,6.4,4.8,1.6,0.0,858.0,56.8,,1.13,1.15,1.09,3910,3,0
1784296630.1646,6.5,4.8,1.7,0.0,858.0,56.2,,1.13,1.15,1.09,3869,2,0
1784296631.1661,6.4,5.3,1.1,0.1,858.0,58.0,,1.12,1.14,1.09,3640,2,0
