timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1784275461.4885,1.0,0.2,0.8,0.0,858.0,45.6,,0.82,1.01,1.02,2329,3,0
1784275462.4899,3.6,2.4,1.2,0.0,858.0,46.4,,0.75,0.99,1.01,3319,2,0
1784275463.4907,6.1,5.2,0.9,0.0,858.0,48.0,,0.75,0.99,1.01,3648,2,0
1784275464.4919,6.3,5.2,1.0,0.1,858.0,48.6,,0.75,0.99,1.01,3582,2,0
1784275465.4926,6.4,5.2,1.2,0.0,858.0,49.1,,0.75,0.99,1.01,3726,3,0
1784275466.4933,6.0,5.1,0.9,0.0,858.0,49.1,,0.75,0.99,1.01,3408,2,0
1784275467.494,6.4,5.3,1.1,0.0,858.0,49.1,,0.77,0.99,1.01,3795,2,0
1784275468.4948,6.4,5.2,1.2,0.0,858.0,49.2,,0.77,0.99,1.01,3646,2,0
1784275469.4963,6.3,5.2,1.0,0.1,858.0,49.3,,0.77,0.99,1.01,3542,2,0
1784275470.497,6.5,5.3,1.2,0.0,858.0,49.4,,0.77,0.99,1.01,3650,3,0
1784275471.4979,6.5,5.3,1.3,0.0,858.0,49.5,,0.77,0.99,1.01,3789,2,0
1784275472.4987,6.2,5.2,1.0,0.0,858.0,49.5,,0.87,1.01,1.02,3634,2,0
1784275473.4997,6.4,5.3,1.1,0.0,858.0,49.6,,0.87,1.01,1.02,3711,2,0
1784275474.5004,6.4,5.3,1.1,0.1,858.0,49.5,,0.87,1.01,1.02,3674,4,0
1784275475.5011,6.1,5.3,0.9,0.0,858.0,49.5,,0.87,1.01,1.02,3558,2,0
1784275476.5019,6.4,5.3,1.2,0.0,858.0,49.6,,0.87,1.01,1.02,3754,2,0
1784275477.5026,6.4,5.2,1.2,0.0,858.0,49.6,,0.88,1.01,1.01,3685,2,0
1784275478.5033,6.2,5.2,1.1,0.0,858.0,49.6,,0.88,1.01,1.01,3600,2,0
1784275479.5041,6.5,5.2,1.2,0.1,858.0,49.8,,0.88,1.01,1.01,3775,2,0
1784275480.5048,6.4,5.2,1.2,0.0,858.0,49.8,,0.88,1.01,1.01,3807,2,0
1784275481.5055,6.3,5.3,1.1,0.0,858.0,49.7,,0.88,1.01,1.01,3564,2,0
1784275482.5062,6.2,5.2,1.0,0.0,858.0,49.8,,0.89,1.0,1.01,3648,3,0
1784275483.5069,6.4,5.2,1.2,0.0,858.0,49.9,,0.89,1.0,1.01,3733,3,0
1784275484.5076,6.3,5.2,1.0,0.1,858.0,49.8,,0.89,1.0,1.01,3582,2,0
1784275485.5084,6.5,5.3,1.2,0.0,858.0,49.9,,0.89,1.0,1.01,3846,2,0
1784275486.5091,6.4,5.3,1.1,0.0,858.0,49.9,,0.89,1.0,1.01,3700,2,0
1784275487.5098,6.2,5.2,1.1,0.0,858.0,49.8,,0.98,1.02,1.02,3676,2,0
1784275488.5106,6.4,5.2,1.2,0.0,858.0,50.0,,0.98,1.02,1.02,3673,2,0
1784275489.5113,6.6,5.3,1.3,0.1,858.0,50.1,,0.98,1.02,1.02,3789,2,0
1784275490.5121,6.1,5.2,0.9,0.0,858.0,50.1,,0.98,1.02,1.02,3512,3,0
1784275491.5128,6.3,5.2,1.1,0.0,858.0,50.0,,0.98,1.02,1.02,3712,2,0
1784275492.5136,6.3,5.2,1.1,0.0,858.0,50.1,,0.98,1.02,1.02,3705,2,0
