timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1784267216.0891,1.1,0.2,0.8,0.0,858.0,56.1,,0.75,0.99,1.05,2396,4,0
1784267217.0905,3.6,2.4,1.2,0.0,858.0,57.3,,0.75,0.99,1.05,3211,2,0
1784267218.0927,6.1,5.2,0.9,0.0,858.0,60.0,,0.75,0.99,1.05,3562,3,0
1784267219.0942,6.1,5.2,0.9,0.0,858.0,63.3,,0.75,0.99,1.05,3723,2,0
1784267220.0955,6.2,5.3,0.9,0.0,858.0,64.9,,0.75,0.99,1.05,3645,3,0
1784267221.0969,6.1,5.2,0.9,0.1,858.0,66.2,,0.77,0.99,1.05,3661,2,0
1784267222.0991,5.8,4.5,1.3,0.0,858.0,65.4,,0.77,0.99,1.05,3907,2,0
1784267223.1003,6.2,5.2,1.0,0.0,858.0,66.6,,0.77,0.99,1.05,3748,2,0
1784267224.1018,6.0,5.2,0.8,0.0,858.0,67.4,,0.77,0.99,1.05,3662,3,0
1784267225.1037,5.9,5.2,0.8,0.0,858.0,68.2,,0.77,0.99,1.05,3597,2,0
1784267226.1053,6.0,4.6,1.4,0.0,858.0,67.7,,0.87,1.01,1.06,3983,2,0
1784267227.1074,6.1,5.2,0.9,0.0,858.0,68.3,,0.87,1.01,1.06,3702,2,0
1784267228.1087,6.0,5.2,0.8,0.1,858.0,69.1,,0.87,1.01,1.06,3686,2,0
1784267229.1106,6.2,5.3,0.9,0.0,858.0,69.6,,0.87,1.01,1.06,3654,2,0
1784267230.1115,6.1,5.2,0.9,0.0,858.0,70.2,,0.87,1.01,1.06,3587,2,0
1784267231.1127,6.1,4.5,1.6,0.0,858.0,69.8,,0.88,1.01,1.06,4094,2,0
1784267232.1135,6.1,5.2,0.9,0.0,858.0,70.7,,0.88,1.01,1.06,3727,2,0
1784267233.1144,5.8,5.1,0.7,0.0,858.0,71.2,,0.88,1.01,1.06,3514,4,0
1784267234.1158,6.1,5.2,0.9,0.0,858.0,71.3,,0.88,1.01,1.06,3667,2,0
1784267235.117,5.6,4.4,1.2,0.0,858.0,71.0,,0.88,1.01,1.06,3898,2,0
1784267236.1179,6.4,5.2,1.2,0.1,858.0,71.3,,0.97,1.02,1.06,3861,2,0
1784267237.1186,6.2,5.3,0.9,0.0,858.0,71.7,,0.97,1.02,1.06,3731,2,0
1784267238.1202,6.1,5.3,0.8,0.0,858.0,71.9,,0.97,1.02,1.06,3483,2,0
1784267239.1215,6.1,4.7,1.4,0.0,858.0,71.6,,0.97,1.02,1.06,4050,3,0
1784267240.1228,6.3,5.3,1.0,0.0,858.0,72.0,,0.97,1.02,1.06,3809,2,0
1784267241.1241,6.0,5.3,0.7,0.1,858.0,72.5,,0.97,1.02,1.06,3549,2,0
1784267242.1255,5.9,5.2,0.8,0.0,858.0,73.0,,0.97,1.02,1.06,3472,3,0
1784267243.1271,6.0,5.1,0.9,0.0,858.0,73.3,,0.97,1.02,1.06,3807,1,0
1784267244.1284,5.9,4.5,1.5,0.0,858.0,72.8,,0.97,1.02,1.06,4084,2,0
1784267245.1298,6.1,5.3,0.8,0.0,858.0,74.1,,0.97,1.02,1.06,3573,2,0
1784267246.1312,6.2,5.2,1.0,0.0,858.0,74.6,,0.98,1.02,1.06,3698,2,0
1784267247.133,6.0,5.2,0.8,0.0,858.0,74.6,,0.98,1.02,1.06,3667,2,0
1784267248.1347,5.9,4.6,1.3,0.0,858.0,73.2,,0.98,1.02,1.06,3984,2,0
1784267249.1361,6.0,5.2,0.8,0.0,858.0,73.7,,0.98,1.02,1.06,3650,4,1
1784267250.1375,6.1,5.2,0.8,0.1,858.0,73.8,,0.98,1.02,1.06,3564,2,0
1784267251.1391,6.1,5.2,1.0,0.0,858.0,74.3,,0.98,1.02,1.06,3630,2,0
1784267252.1404,6.1,4.6,1.6,0.0,858.0,73.0,,0.98,1.02,1.06,4169,3,0
1784267253.1419,6.3,5.3,1.0,0.0,858.0,73.8,,0.98,1.02,1.06,3856,2,0
1784267254.1441,6.0,5.2,0.8,0.0,858.0,74.8,,0.98,1.02,1.06,3505,4,0
1784267255.1456,6.1,5.2,0.9,0.0,858.0,75.2,,0.98,1.02,1.06,3702,2,0
1784267256.147,6.0,4.8,1.2,0.1,858.0,75.0,,0.98,1.02,1.06,3863,3,0
1784267257.1484,6.1,5.0,1.1,0.0,858.0,74.2,,0.98,1.02,1.06,3771,2,0
1784267258.1498,6.1,5.2,0.9,0.0,858.0,74.5,,0.98,1.02,1.06,3604,2,0
1784267259.1518,6.1,5.2,0.9,0.0,858.0,74.6,,0.98,1.02,1.06,3688,2,0
1784267260.1539,6.0,5.2,0.8,0.0,858.0,75.1,,0.98,1.02,1.06,3628,2,0
1784267261.1553,5.9,4.5,1.4,0.0,858.0,74.1,,0.98,1.02,1.06,3927,3,0
1784267262.1568,6.2,5.2,1.0,0.1,858.0,75.2,,0.98,1.02,1.06,3601,2,0
1784267263.158,6.1,5.2,0.9,0.0,858.0,75.9,,0.98,1.02,1.06,3614,3,0
1784267264.1589,5.9,5.2,0.8,0.0,858.0,76.3,,0.98,1.02,1.06,3565,3,0
1784267265.1603,5.9,4.6,1.3,0.0,858.0,74.9,,0.98,1.02,1.06,3943,2,0
1784267266.1612,6.3,5.3,1.0,0.0,858.0,75.6,,1.06,1.04,1.07,3795,2,0
1784267267.1619,6.3,5.3,0.9,0.1,858.0,76.4,,1.06,1.04,1.07,3890,2,0
1784267268.1628,6.0,5.2,0.9,0.0,858.0,76.6,,1.06,1.04,1.07,3611,4,0
1784267269.1637,5.8,4.4,1.4,0.0,858.0,76.3,,1.06,1.04,1.07,3939,2,0
1784267270.1645,6.2,5.3,0.8,0.1,858.0,75.6,,1.06,1.04,1.07,3682,3,0
1784267271.1652,6.2,5.3,0.9,0.0,858.0,76.3,,1.06,1.04,1.06,3743,2,0
1784267272.1661,5.9,5.1,0.8,0.1,858.0,76.5,,1.06,1.04,1.06,3511,2,0
1784267273.167,6.0,5.2,0.8,0.0,858.0,76.8,,1.06,1.04,1.06,3598,2,0
1784267274.1679,6.2,4.6,1.6,0.0,858.0,76.2,,1.06,1.04,1.06,4150,2,0
1784267275.1687,5.9,5.2,0.8,0.0,858.0,76.7,,1.06,1.04,1.06,3638,2,0
1784267276.1694,6.0,5.2,0.8,0.0,858.0,77.0,,1.14,1.05,1.07,3599,2,0
1784267277.1703,6.0,5.1,0.8,0.1,858.0,77.0,,1.14,1.05,1.07,3653,3,0
1784267278.1711,5.9,4.7,1.3,0.0,858.0,76.4,,1.14,1.05,1.07,3975,2,0
1784267279.1719,6.0,5.2,0.8,0.0,858.0,76.7,,1.14,1.05,1.07,3646,3,0
1784267280.1727,6.1,5.2,0.9,0.0,858.0,76.8,,1.14,1.05,1.07,3663,2,0
1784267281.1734,5.8,5.2,0.7,0.0,858.0,76.8,,1.12,1.05,1.07,3513,3,0
1784267282.1743,5.9,4.6,1.3,0.0,858.0,76.2,,1.12,1.05,1.07,3882,2,0
1784267283.1754,6.0,5.2,0.8,0.1,858.0,76.3,,1.12,1.05,1.07,3608,2,0
1784267284.1763,6.1,5.3,0.8,0.0,858.0,76.6,,1.12,1.05,1.07,3648,3,0
1784267285.1771,6.0,5.2,0.8,0.0,858.0,77.0,,1.12,1.05,1.07,3589,2,0
1784267286.1779,6.1,5.2,0.9,0.0,858.0,77.1,,1.11,1.05,1.07,3611,2,0
