timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1784287823.507,1.0,0.2,0.8,0.0,858.0,40.4,,0.98,1.11,1.07,2202,3,0
1784287824.5084,3.6,2.5,1.2,0.0,858.0,41.5,,0.99,1.11,1.07,3236,2,0
1784287825.5098,6.2,4.7,1.4,0.1,858.0,43.2,,0.99,1.11,1.07,3271,2,0
1784287826.5112,6.0,4.8,1.2,0.0,858.0,43.7,,0.99,1.11,1.07,3205,3,0
1784287827.5129,5.9,4.7,1.2,0.0,858.0,44.0,,0.99,1.11,1.07,3151,3,0
1784287828.5143,6.0,4.8,1.2,0.0,858.0,44.0,,0.99,1.11,1.07,3321,2,0
1784287829.5159,6.1,4.8,1.3,0.0,858.0,44.0,,0.99,1.11,1.07,3253,2,0
1784287830.5172,6.0,4.9,1.2,0.0,858.0,44.0,,0.99,1.11,1.07,3266,2,0
1784287831.5185,6.1,4.8,1.4,0.0,858.0,44.1,,0.99,1.11,1.07,3245,2,0
1784287832.5202,6.0,4.7,1.2,0.1,858.0,44.1,,0.99,1.11,1.07,3212,2,0
1784287833.5217,6.0,4.7,1.3,0.0,858.0,44.0,,0.99,1.11,1.07,3333,2,0
1784287834.5231,6.0,4.8,1.2,0.0,858.0,44.0,,0.99,1.11,1.06,3173,3,0
1784287835.5246,6.0,4.7,1.3,0.0,858.0,44.0,,0.99,1.11,1.06,3233,2,0
1784287836.526,6.1,4.9,1.2,0.0,858.0,44.0,,0.99,1.11,1.06,3233,2,0
1784287837.5277,6.1,4.4,1.8,0.0,858.0,42.9,,0.99,1.11,1.06,3413,2,0
1784287838.5292,6.1,5.2,0.9,0.0,858.0,44.0,,0.99,1.11,1.06,3366,2,0
1784287839.5306,6.0,5.2,0.8,0.0,858.0,47.8,,0.99,1.11,1.06,3340,2,0
1784287840.5319,5.9,3.2,2.7,0.0,858.0,47.4,,0.99,1.11,1.06,3523,2,0
1784287841.5334,6.4,4.8,1.7,0.0,858.0,45.9,,0.99,1.11,1.06,3578,3,0
1784287842.5349,6.4,4.8,1.6,0.0,858.0,45.4,,0.99,1.11,1.06,3611,3,0
1784287843.5363,6.2,4.9,1.3,0.0,858.0,45.2,,0.99,1.11,1.06,3357,2,0
1784287844.5378,6.1,4.7,1.4,0.1,858.0,44.9,,1.07,1.12,1.07,3203,2,0
1784287845.5396,5.9,4.7,1.2,0.0,858.0,44.8,,1.07,1.12,1.07,3249,3,0
1784287846.541,6.0,4.7,1.4,0.0,858.0,44.7,,1.07,1.12,1.07,3231,2,0
1784287847.5424,5.9,4.7,1.3,0.0,858.0,44.6,,1.07,1.12,1.07,3291,2,0
1784287848.5439,6.2,4.9,1.3,0.0,858.0,44.5,,1.07,1.12,1.07,3305,2,0
1784287849.5453,6.1,4.8,1.3,0.0,858.0,44.5,,1.07,1.12,1.07,3263,2,0
1784287850.5466,6.0,4.6,1.3,0.1,858.0,44.5,,1.07,1.12,1.07,3259,3,0
1784287851.5482,6.0,4.7,1.2,0.1,858.0,44.4,,1.07,1.12,1.07,3239,2,0
1784287852.5497,6.0,4.7,1.3,0.0,858.0,44.4,,1.07,1.12,1.07,3302,2,0
1784287853.5515,6.0,4.8,1.3,0.0,858.0,44.4,,1.07,1.12,1.07,3254,2,0
1784287854.5529,6.1,4.6,1.6,0.0,858.0,43.4,,1.06,1.12,1.07,3581,2,0
1784287855.5543,6.0,5.3,0.7,0.0,858.0,47.7,,1.06,1.12,1.07,3367,2,0
1784287856.5558,6.1,4.8,1.3,0.0,858.0,49.9,,1.06,1.12,1.07,3328,2,0
