timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1784281629.7507,1.0,0.2,0.8,0.0,858.0,51.9,,0.94,1.08,1.04,2331,3,0
1784281630.752,3.6,0.7,2.9,0.0,858.0,53.2,,0.94,1.08,1.04,3235,2,0
1784281631.7529,6.1,0.9,5.2,0.0,858.0,55.0,,0.94,1.08,1.04,3399,2,0
1784281632.7539,6.0,0.9,5.2,0.0,858.0,55.8,,0.94,1.08,1.04,3367,2,0
1784281633.7548,6.2,1.7,4.5,0.0,858.0,56.1,,0.94,1.08,1.04,3418,2,0
1784281634.7564,7.1,5.2,1.9,0.1,858.0,56.8,,0.94,1.08,1.04,3477,2,0
1784281635.7578,7.3,5.3,2.0,0.0,858.0,57.7,,0.94,1.08,1.04,3435,3,0
1784281636.7595,7.0,5.4,1.6,0.0,858.0,58.2,,0.94,1.08,1.04,3250,2,0
1784281637.761,7.2,5.4,1.9,0.0,858.0,58.7,,0.94,1.08,1.04,3357,2,0
1784281638.762,6.7,3.1,3.6,0.0,858.0,58.4,,0.95,1.08,1.04,3367,2,0
1784281639.7629,6.4,0.2,6.2,0.1,858.0,57.4,,0.95,1.08,1.04,3747,2,0
1784281640.7638,6.5,0.7,5.9,0.0,858.0,56.1,,0.95,1.08,1.04,3919,3,0
1784281641.7645,6.3,0.6,5.7,0.0,858.0,55.4,,0.95,1.08,1.04,3659,2,0
1784281642.7653,5.8,0.7,5.2,0.0,858.0,55.2,,0.95,1.08,1.04,3308,2,0
1784281643.7669,5.9,0.8,5.1,0.0,858.0,55.1,,0.95,1.08,1.04,3386,2,0
1784281644.7691,6.3,5.0,1.2,0.1,858.0,55.6,,0.95,1.08,1.04,3485,2,0
1784281645.7705,7.2,5.3,1.9,0.0,858.0,56.6,,0.95,1.08,1.04,3357,2,0
1784281646.7722,7.5,5.5,2.1,0.0,858.0,57.3,,0.95,1.08,1.04,3313,2,0
1784281647.7736,7.2,5.3,2.0,0.0,858.0,57.6,,0.95,1.08,1.04,3316,2,0
1784281648.7745,6.8,4.9,1.9,0.0,858.0,57.8,,1.04,1.09,1.04,3222,2,0
1784281649.7753,6.4,0.3,6.0,0.1,858.0,56.8,,1.04,1.09,1.04,3607,3,0
1784281650.7761,6.1,0.4,5.7,0.0,858.0,56.2,,1.04,1.09,1.04,4041,2,0
1784281651.777,6.4,0.9,5.5,0.0,858.0,56.1,,1.04,1.09,1.04,3714,2,0
1784281652.7779,6.0,0.8,5.2,0.0,858.0,56.0,,1.04,1.09,1.04,3330,3,0
1784281653.7787,6.0,0.7,5.3,0.0,858.0,55.8,,1.03,1.09,1.04,3354,2,0
1784281654.7803,6.3,3.9,2.4,0.0,858.0,56.0,,1.03,1.09,1.04,3512,2,0
1784281655.7817,7.1,5.2,1.8,0.1,858.0,57.0,,1.03,1.09,1.04,3269,2,0
1784281656.7833,7.3,5.3,2.0,0.0,858.0,57.6,,1.03,1.09,1.04,3340,2,0
1784281657.7848,7.2,5.3,1.9,0.0,858.0,58.1,,1.03,1.09,1.04,3264,2,0
1784281658.7862,7.2,5.4,1.8,0.0,858.0,58.5,,1.11,1.11,1.05,3340,3,0
1784281659.787,6.3,0.7,5.7,0.0,858.0,57.8,,1.11,1.11,1.05,3740,3,0
1784281660.7877,6.1,0.4,5.7,0.0,858.0,56.4,,1.11,1.11,1.05,3881,5,0
1784281661.7885,6.8,0.9,6.0,0.0,858.0,56.9,,1.11,1.11,1.05,3559,3,0
1784281662.7899,6.0,0.7,5.3,0.0,858.0,57.1,,1.11,1.11,1.05,3355,2,0
1784281663.7908,6.0,0.8,5.2,0.0,858.0,57.1,,1.1,1.1,1.05,3398,2,0
1784281664.7925,6.3,4.6,1.7,0.1,858.0,57.3,,1.1,1.1,1.05,3463,2,0
1784281665.794,7.5,5.4,2.0,0.1,858.0,58.4,,1.1,1.1,1.05,3312,2,0
1784281666.7954,7.3,5.3,2.0,0.1,858.0,58.9,,1.1,1.1,1.05,3342,4,0
1784281667.7973,7.1,5.3,1.9,0.0,858.0,59.5,,1.1,1.1,1.05,3214,2,0
1784281668.799,7.2,5.1,2.1,0.0,858.0,59.7,,1.09,1.1,1.05,3272,3,0
1784281669.7997,6.5,0.4,6.0,0.1,858.0,58.4,,1.09,1.1,1.05,3749,2,0
1784281670.8006,6.1,0.5,5.6,0.0,858.0,56.8,,1.09,1.1,1.05,4049,2,0
1784281671.8013,6.3,0.9,5.4,0.0,858.0,57.1,,1.09,1.1,1.05,3632,2,0
1784281672.8025,6.0,0.8,5.2,0.0,858.0,57.2,,1.09,1.1,1.05,3398,2,0
1784281673.8033,6.0,1.1,4.9,0.0,858.0,57.4,,1.09,1.1,1.05,3338,4,0
1784281674.805,6.8,5.2,1.5,0.1,858.0,58.0,,1.09,1.1,1.05,3390,3,0
1784281675.8063,7.4,5.3,2.2,0.0,858.0,58.9,,1.09,1.1,1.05,3487,2,0
1784281676.8076,7.1,5.3,1.8,0.0,858.0,59.5,,1.09,1.1,1.05,3273,2,0
1784281677.8094,7.1,5.3,1.8,0.0,858.0,59.8,,1.09,1.1,1.05,3305,2,0
1784281678.8101,6.5,3.6,2.9,0.0,858.0,59.7,,1.08,1.1,1.05,3222,2,0
1784281679.8112,6.2,0.2,6.0,0.1,858.0,58.4,,1.08,1.1,1.05,3635,3,0
1784281680.8121,6.3,0.7,5.6,0.0,858.0,57.5,,1.08,1.1,1.05,3903,5,0
1784281681.8131,6.5,0.9,5.6,0.0,858.0,57.7,,1.08,1.1,1.05,3752,2,0
1784281682.8142,6.1,0.9,5.2,0.0,858.0,57.6,,1.08,1.1,1.05,3402,2,0
1784281683.8152,6.1,1.0,5.1,0.0,858.0,57.5,,1.15,1.11,1.05,3492,2,0
1784281684.8166,6.7,5.2,1.5,0.0,858.0,58.4,,1.15,1.11,1.05,3395,2,0
1784281685.8179,7.4,5.3,2.0,0.1,858.0,59.1,,1.15,1.11,1.05,3260,4,0
1784281686.8191,7.0,5.2,1.8,0.0,858.0,59.7,,1.15,1.11,1.05,3225,2,0
1784281687.8207,7.2,5.3,1.9,0.0,858.0,60.1,,1.15,1.11,1.05,3382,2,0
1784281688.8218,6.7,3.5,3.2,0.0,858.0,60.0,,1.22,1.13,1.06,3336,3,0
1784281689.8228,6.0,0.3,5.7,0.0,858.0,58.8,,1.22,1.13,1.06,3710,1,0
1784281690.8235,6.6,0.9,5.6,0.1,858.0,57.1,,1.22,1.13,1.06,3826,2,0
1784281691.8243,6.4,0.8,5.6,0.0,858.0,57.2,,1.22,1.13,1.06,3639,3,0
1784281692.8252,5.9,0.7,5.2,0.0,858.0,57.2,,1.22,1.13,1.06,3282,2,0
1784281693.8261,5.9,2.0,3.9,0.0,858.0,57.1,,1.2,1.13,1.06,3376,2,0
1784281694.8277,6.9,5.3,1.6,0.0,858.0,57.8,,1.2,1.13,1.06,3428,3,0
1784281695.8294,7.1,5.3,1.8,0.0,858.0,58.7,,1.2,1.13,1.06,3326,2,0
1784281696.8316,7.1,5.3,1.8,0.1,858.0,59.2,,1.2,1.13,1.06,3282,3,0
1784281697.8332,6.7,5.3,1.5,0.0,858.0,59.5,,1.2,1.13,1.06,3204,4,0
1784281698.8344,6.5,2.8,3.7,0.0,858.0,59.2,,1.19,1.12,1.06,3408,2,0
1784281699.8351,6.5,0.3,6.2,0.0,858.0,58.3,,1.19,1.12,1.06,3827,2,0
1784281700.8361,6.2,0.7,5.5,0.0,858.0,58.4,,1.19,1.12,1.06,3814,2,0
1784281701.8371,6.2,0.9,5.3,0.0,858.0,59.3,,1.19,1.12,1.06,3427,2,0
1784281702.838,6.0,0.7,5.3,0.0,858.0,59.3,,1.19,1.12,1.06,3383,3,0
1784281703.8389,6.1,3.0,3.1,0.1,858.0,59.5,,1.17,1.12,1.06,3526,4,0
1784281704.8403,7.4,5.4,2.0,0.0,858.0,60.2,,1.17,1.12,1.06,3258,3,0
1784281705.8417,7.4,5.3,2.1,0.0,858.0,60.9,,1.17,1.12,1.06,3220,3,0
1784281706.843,7.2,5.4,1.8,0.0,858.0,61.3,,1.17,1.12,1.06,3264,3,0
1784281707.8443,7.5,5.3,2.2,0.0,858.0,61.5,,1.17,1.12,1.06,3322,2,0
1784281708.8451,6.3,1.3,5.0,0.1,858.0,60.6,,1.16,1.12,1.06,3456,2,0
1784281709.8459,6.2,0.2,6.0,0.0,858.0,59.7,,1.16,1.12,1.06,3858,1,0
1784281710.8467,6.4,0.9,5.5,0.0,858.0,58.5,,1.16,1.12,1.06,3747,3,0
