timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1784268719.1597,1.0,0.2,0.8,0.0,858.0,45.2,,1.05,1.06,1.06,2346,3,0
1784268720.1612,3.5,2.6,0.9,0.0,858.0,45.7,,1.05,1.06,1.06,3283,2,0
1784268721.1627,5.9,4.7,1.2,0.0,858.0,46.7,,1.04,1.05,1.06,3328,2,0
1784268722.1642,6.1,5.3,0.8,0.0,858.0,47.5,,1.04,1.05,1.06,3330,2,0
1784268723.1658,6.1,5.3,0.9,0.0,858.0,47.9,,1.04,1.05,1.06,3431,3,0
1784268724.1672,6.2,5.3,1.0,0.0,858.0,48.2,,1.04,1.05,1.06,3393,2,0
1784268725.169,6.1,5.2,0.8,0.1,858.0,48.4,,1.04,1.05,1.06,3300,2,0
1784268726.1704,6.1,5.1,1.0,0.0,858.0,48.5,,1.04,1.05,1.06,3440,1,0
1784268727.1722,5.8,4.8,1.0,0.0,858.0,47.3,,1.04,1.05,1.06,3373,4,0
1784268728.1736,6.0,4.9,1.1,0.0,858.0,48.2,,1.04,1.05,1.06,3446,2,0
1784268729.175,5.9,5.2,0.7,0.0,858.0,48.7,,1.04,1.05,1.06,3298,4,0
1784268730.1765,6.1,5.2,0.9,0.0,858.0,49.0,,1.04,1.05,1.06,3271,2,0
1784268731.1789,6.0,5.2,0.8,0.0,858.0,49.2,,1.12,1.07,1.06,3324,2,0
1784268732.1802,6.2,5.2,0.9,0.1,858.0,49.3,,1.12,1.07,1.06,3326,2,0
1784268733.1824,5.9,4.8,1.2,0.0,858.0,48.3,,1.12,1.07,1.06,3519,2,0
1784268734.1839,6.0,4.8,1.3,0.0,858.0,48.6,,1.12,1.07,1.06,3430,2,0
1784268735.1861,6.1,5.3,0.9,0.0,858.0,49.8,,1.12,1.07,1.06,3415,2,0
1784268736.1874,6.1,5.2,0.9,0.0,858.0,50.3,,1.11,1.07,1.06,3354,2,0
1784268737.1897,5.9,5.2,0.7,0.0,858.0,50.6,,1.11,1.07,1.06,3262,2,0
1784268738.191,6.1,5.3,0.8,0.1,858.0,50.7,,1.11,1.07,1.06,3284,5,0
1784268739.1927,6.0,5.2,0.8,0.0,858.0,50.8,,1.11,1.07,1.06,3345,2,0
1784268740.1941,5.9,4.8,1.2,0.0,858.0,48.7,,1.11,1.07,1.06,3525,3,0
1784268741.1957,6.1,4.9,1.2,0.0,858.0,49.0,,1.1,1.07,1.06,3410,2,0
1784268742.1971,6.1,5.2,0.9,0.0,858.0,49.2,,1.1,1.07,1.06,3435,2,0
1784268743.1986,6.0,5.2,0.8,0.0,858.0,49.4,,1.1,1.07,1.06,3388,2,0
1784268744.2,6.1,5.2,0.9,0.0,858.0,49.5,,1.1,1.07,1.06,3306,3,0
1784268745.2015,6.1,5.2,0.9,0.0,858.0,49.6,,1.1,1.07,1.06,3356,2,1
1784268746.203,6.0,4.8,1.1,0.1,858.0,49.3,,1.09,1.07,1.06,3546,2,0
1784268747.2045,5.8,4.8,1.1,0.0,858.0,49.0,,1.09,1.07,1.06,3555,2,0
1784268748.2059,6.1,5.3,0.8,0.0,858.0,49.4,,1.09,1.07,1.06,3366,2,0
1784268749.2072,6.1,5.3,0.8,0.0,858.0,49.6,,1.09,1.07,1.06,3335,3,0
1784268750.2087,6.2,5.3,0.9,0.0,858.0,49.7,,1.09,1.07,1.06,3372,2,0
1784268751.21,6.0,5.2,0.8,0.0,858.0,49.8,,1.08,1.06,1.06,3375,2,0
1784268752.2113,6.1,5.2,0.9,0.1,858.0,49.8,,1.08,1.06,1.06,3379,3,0
1784268753.2127,5.9,4.8,1.2,0.0,858.0,47.9,,1.08,1.06,1.06,3516,2,0
1784268754.214,6.1,4.9,1.3,0.0,858.0,48.6,,1.08,1.06,1.06,3463,2,0
1784268755.2154,6.1,5.2,0.8,0.1,858.0,49.2,,1.08,1.06,1.06,3282,2,0
1784268756.2177,6.0,5.3,0.8,0.0,858.0,49.4,,1.08,1.06,1.06,3297,2,0
1784268757.219,6.1,5.3,0.9,0.0,858.0,49.6,,1.08,1.06,1.06,3322,2,0
1784268758.2206,6.2,5.2,0.9,0.1,858.0,49.5,,1.08,1.06,1.06,3276,2,0
1784268759.2219,6.0,4.9,1.2,0.0,858.0,49.3,,1.08,1.06,1.06,3607,2,0
1784268760.2233,6.0,4.9,1.1,0.0,858.0,48.3,,1.08,1.06,1.06,3376,2,0
1784268761.2247,6.1,5.0,1.1,0.0,858.0,49.2,,1.15,1.08,1.06,3393,2,0
1784268762.2261,6.1,5.2,0.9,0.0,858.0,49.7,,1.15,1.08,1.06,3286,2,0
