timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1784305315.7571,44188,0,0,0,0,0
1784305316.2574,60887,0,0,0,0,0
1784305316.7578,86497,0,0,0,0,0
1784305317.2583,40027,0,0,0,0,0
1784305317.7595,95542,0,0,0,0,0
1784305318.2599,122650,0,0,0,0,0
1784305318.7603,61488,0,0,0,0,0
1784305319.2608,91738,0,0,0,0,0
1784305319.7612,122706,0,0,0,0,0
1784305320.2616,111174,0,0,0,0,0
1784305320.7619,67100,0,0,0,0,0
1784305321.2624,95618,0,0,0,0,0
1784305321.7629,122717,0,0,0,0,0
1784305322.2632,104292,0,0,0,0,0
1784305322.7637,76125,0,0,0,0,0
1784305323.2641,95594,0,0,0,0,0
1784305323.7645,104252,0,0,0,0,0
1784305324.265,122751,0,0,0,0,0
1784305324.7653,70118,0,0,0,0,0
1784305325.2658,94142,0,0,0,0,0
1784305325.7662,111792,0,0,0,0,0
1784305326.2667,112360,0,0,0,0,0
1784305326.7671,67942,0,0,0,0,0
1784305327.2676,103773,0,0,0,0,0
1784305327.768,112030,0,0,0,0,0
1784305328.2685,113671,0,0,0,0,0
1784305328.7688,75623,0,0,0,0,0
1784305329.2693,91215,0,0,0,0,0
1784305329.7697,109196,0,0,0,0,0
1784305330.2702,122303,0,0,0,0,0
1784305330.7708,58023,0,0,0,0,0
1784305331.2712,104819,0,0,0,0,0
1784305331.7715,113385,0,0,0,0,0
1784305332.2719,113659,0,0,0,0,0
1784305332.7722,69376,0,0,0,0,0
1784305333.2725,100158,0,0,0,0,0
1784305333.7728,106585,0,0,0,0,0
1784305334.2732,122745,0,0,0,0,0
1784305334.7735,57621,0,0,0,0,0
1784305335.2745,93417,0,0,0,0,0
1784305335.7748,122371,0,0,0,0,0
1784305336.2753,104651,0,0,0,0,0
1784305336.7757,75606,0,0,0,0,0
1784305337.2762,95651,0,0,0,0,0
1784305337.7766,104308,0,0,0,0,0
1784305338.2769,104788,0,0,0,0,0
1784305338.7773,76052,0,0,0,0,0
1784305339.2776,95754,0,0,0,0,0
1784305339.7782,104252,0,0,0,0,0
1784305340.2786,104289,0,0,0,0,0
1784305340.779,76110,0,0,0,0,0
1784305341.2795,86760,0,0,0,0,0
1784305341.7798,122446,0,0,0,0,0
1784305342.2802,104694,0,0,0,0,0
1784305342.7806,76055,0,0,0,0,0
1784305343.281,93402,0,0,0,0,0
1784305343.7817,104262,0,0,0,0,0
1784305344.2821,122754,0,0,0,0,0
1784305344.7825,70584,0,0,0,0,0
1784305345.283,92345,0,0,0,0,0
1784305345.7833,113239,0,0,0,0,0
1784305346.2838,104332,0,0,0,0,0
1784305346.7842,76118,0,0,0,0,0
1784305347.2846,104336,0,0,0,0,0
1784305347.7849,104749,0,0,0,0,0
1784305348.2854,113347,0,0,0,0,0
1784305348.7858,66963,0,0,0,0,0
1784305349.2863,95727,0,0,0,0,0
1784305349.7867,122742,0,0,0,0,0
1784305350.2871,104290,0,0,0,0,0
1784305350.7875,52187,0,0,0,0,0
1784305351.288,90277,0,0,0,0,0
1784305351.7888,113579,0,0,0,0,0
1784305352.2892,113363,0,0,0,0,0
1784305352.7897,67119,0,0,0,0,0
1784305353.2902,104558,0,0,0,0,0
1784305353.7906,113363,0,0,0,0,0
1784305354.2915,113577,0,0,0,0,0
1784305354.7919,76052,0,0,0,0,0
1784305355.2924,95619,0,0,0,0,0
1784305355.7931,104188,0,0,0,0,0
1784305356.2936,122694,0,0,0,0,0
1784305356.794,67303,0,0,0,0,0
1784305357.2945,95590,0,0,0,0,0
1784305357.7948,113204,0,0,0,0,0
1784305358.2951,104175,0,0,0,0,0
1784305358.7955,74042,0,0,0,0,0
1784305359.2959,95742,0,0,0,0,0
1784305359.7962,113423,0,0,0,0,0
1784305360.2966,113709,0,0,0,0,0
1784305360.7971,57639,0,0,0,0,0
1784305361.2978,95689,0,0,0,0,0
1784305361.7982,122259,0,0,0,0,0
1784305362.2989,104631,0,0,0,0,0
1784305362.7994,86504,0,0,0,0,0
1784305363.2998,49699,0,0,0,0,0
1784305363.8002,86240,0,0,0,0,0
1784305364.3007,122741,0,0,0,0,0
1784305364.801,106823,0,0,0,0,0
1784305365.3014,73693,0,0,0,0,0
1784305365.8019,94730,0,0,0,0,0
1784305366.3024,102949,0,0,0,0,0
1784305366.8028,122763,0,0,0,0,0
1784305367.3032,62228,0,0,0,0,0
1784305367.8036,100064,0,0,0,0,0
1784305368.3041,113065,0,0,0,0,0
1784305368.8045,113935,0,0,0,0,0
1784305369.305,75670,0,0,0,0,0
1784305369.8054,92530,0,0,0,0,0
1784305370.3064,107825,0,0,0,0,0
1784305370.8068,104521,0,0,0,0,0
1784305371.3073,75847,0,0,0,0,0
1784305371.8077,97177,0,0,0,0,0
1784305372.308,105502,0,0,0,0,0
1784305372.8083,121650,0,0,0,0,0
1784305373.3086,74708,0,0,0,0,0
1784305373.8089,85569,0,0,0,0,0
1784305374.3094,113691,0,0,0,0,0
1784305374.8098,122418,0,0,0,0,0
1784305375.3105,57944,0,0,0,0,0
1784305375.8111,95661,0,0,0,0,0
1784305376.3115,116967,0,0,0,0,0
1784305376.8123,109971,0,0,0,0,0
1784305377.3128,76053,0,0,0,0,0
1784305377.8131,95730,0,0,0,0,0
1784305378.3135,104968,0,0,0,0,0
1784305378.8139,122146,0,0,0,0,0
1784305379.3144,66693,0,0,0,0,0
1784305379.8148,97760,0,0,0,0,0
1784305380.3152,111537,0,0,0,0,0
1784305380.8157,122227,0,0,0,0,0
1784305381.3164,55866,0,0,0,0,0
1784305381.8176,95624,0,0,0,0,0
1784305382.318,122742,0,0,0,0,0
1784305382.8184,106564,0,0,0,0,0
1784305383.3195,73705,0,0,0,0,0
1784305383.82,95679,0,0,0,0,0
1784305384.3204,113352,0,0,0,0,0
1784305384.8207,113637,0,0,0,0,0
1784305385.3217,57547,0,0,0,0,0
1784305385.8226,95658,0,0,0,0,0
1784305386.323,122731,0,0,0,0,0
1784305386.8234,122312,0,0,0,0,0
1784305387.3241,58075,0,0,0,0,0
1784305387.8245,104773,0,0,0,0,0
1784305388.3249,113329,0,0,0,0,0
1784305388.8253,112768,0,0,0,0,0
1784305389.3258,74826,0,0,0,0,0
1784305389.8262,95369,0,0,0,0,0
1784305390.3271,104538,0,0,0,0,0
1784305390.8275,122768,0,0,0,0,0
