timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1784377515.3093,0.5,0.1,0.3,0.0,858.0,50.5,,0.74,0.89,0.96,1553,4,0
1784377516.3102,3.1,2.5,0.6,0.0,858.0,51.9,,0.74,0.89,0.96,2378,2,0
1784377517.313,5.5,5.0,0.5,0.0,858.0,53.9,,0.76,0.89,0.96,2632,2,0
1784377518.3143,5.6,5.1,0.5,0.1,858.0,54.7,,0.76,0.89,0.96,2592,2,0
1784377519.3162,5.4,4.9,0.5,0.0,858.0,55.0,,0.76,0.89,0.96,2590,2,0
1784377520.318,5.4,4.9,0.5,0.1,858.0,55.1,,0.76,0.89,0.96,2517,2,0
1784377521.3194,5.5,4.7,0.8,0.0,858.0,54.8,,0.76,0.89,0.96,2788,2,0
1784377522.3217,5.4,4.4,1.0,0.0,858.0,53.6,,0.94,0.93,0.97,2762,2,0
1784377523.3231,5.5,5.0,0.5,0.0,858.0,54.4,,0.94,0.93,0.97,2496,3,0
1784377524.3248,5.4,4.9,0.6,0.0,858.0,55.0,,0.94,0.93,0.97,2439,2,0
1784377525.3261,5.5,4.9,0.6,0.0,858.0,55.2,,0.94,0.93,0.97,2537,2,0
1784377526.3274,5.5,5.0,0.5,0.1,858.0,55.2,,0.94,0.93,0.97,2559,2,0
1784377527.3295,5.6,4.7,0.9,0.0,858.0,53.8,,0.94,0.93,0.97,2813,2,0
1784377528.3308,5.2,4.2,1.0,0.0,858.0,54.6,,0.94,0.93,0.97,2810,2,0
1784377529.3331,5.5,5.0,0.5,0.0,858.0,56.0,,0.94,0.93,0.97,2502,2,0
1784377530.3344,5.4,5.0,0.4,0.0,858.0,56.6,,0.94,0.93,0.97,2512,2,0
1784377531.336,5.5,5.0,0.5,0.0,858.0,56.8,,0.94,0.93,0.97,2717,2,0
1784377532.3376,5.4,5.0,0.4,0.0,858.0,56.9,,0.95,0.93,0.97,2708,2,0
1784377533.3393,5.3,4.2,1.0,0.1,858.0,53.9,,0.95,0.93,0.97,2981,2,0
1784377534.3409,5.6,4.9,0.7,0.0,858.0,54.7,,0.95,0.93,0.97,2532,2,0
1784377535.3423,5.5,5.0,0.5,0.0,858.0,55.5,,0.95,0.93,0.97,2585,2,0
1784377536.344,5.6,5.1,0.6,0.0,858.0,56.0,,0.95,0.93,0.97,2602,2,0
1784377537.3456,5.5,5.1,0.5,0.0,858.0,56.1,,0.95,0.93,0.98,2568,2,0
1784377538.3471,5.5,4.8,0.8,0.0,858.0,56.0,,0.95,0.93,0.98,2647,2,0
1784377539.349,5.5,4.4,1.0,0.1,858.0,53.2,,0.95,0.93,0.98,2977,2,0
1784377540.3503,5.4,4.9,0.5,0.0,858.0,55.4,,0.95,0.93,0.98,2522,2,0
1784377541.3516,5.4,5.0,0.4,0.0,858.0,56.5,,0.95,0.93,0.98,2484,3,0
1784377542.353,5.4,5.0,0.4,0.0,858.0,56.9,,0.96,0.93,0.98,2531,2,0
