timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1784353177.6763,121.69,3.4,2.8,112.26,118.29,16.0,0,0.0,0.0
1784353178.6769,121.69,3.75,3.1,111.92,117.94,16.0,0,0.0,0.0
1784353179.6773,121.69,3.71,3.0,111.95,117.98,16.0,0,0.0,0.0
1784353180.6781,121.69,3.73,3.1,111.93,117.96,16.0,0,0.0,0.0
1784353181.6784,121.69,3.42,2.8,112.24,118.27,16.0,0,0.0,0.0
1784353182.679,121.69,3.7,3.0,111.97,117.99,16.0,0,0.0,0.0
1784353183.6799,121.69,3.76,3.1,111.9,117.93,16.0,0,0.0,0.0
1784353184.6801,121.69,3.45,2.8,112.22,118.24,16.0,0,0.0,0.0
1784353185.6808,121.69,3.73,3.1,111.93,117.96,16.0,0,0.0,0.0
1784353186.6812,121.69,3.45,2.8,112.21,118.24,16.0,0,0.0,0.0
1784353187.6822,121.69,3.73,3.1,111.94,117.96,16.0,0,0.0,0.0
1784353188.6832,121.69,3.77,3.1,111.9,117.92,16.0,0,0.0,0.0
1784353189.6836,121.69,3.73,3.1,111.93,117.96,16.0,0,0.0,0.0
1784353190.684,121.69,3.76,3.1,111.9,117.93,16.0,0,0.0,0.0
1784353191.6843,121.69,3.48,2.9,112.18,118.21,16.0,0,0.0,0.0
1784353192.6846,121.69,3.73,3.1,111.93,117.96,16.0,0,0.0,0.0
1784353193.685,121.69,3.76,3.1,111.9,117.93,16.0,0,0.0,0.0
1784353194.6856,121.69,3.47,2.9,112.19,118.22,16.0,0,0.0,0.0
1784353195.6864,121.69,3.78,3.1,111.88,117.91,16.0,0,0.0,0.0
1784353196.6868,121.69,3.79,3.1,111.88,117.9,16.0,0,0.0,0.0
1784353197.6871,121.69,3.75,3.1,111.91,117.94,16.0,0,0.0,0.0
1784353198.6878,121.69,3.79,3.1,111.88,117.9,16.0,0,0.0,0.0
1784353199.6884,121.69,3.5,2.9,112.17,118.19,16.0,0,0.0,0.0
1784353200.6889,121.69,3.75,3.1,111.91,117.94,16.0,0,0.0,0.0
1784353201.6901,121.69,3.78,3.1,111.89,117.91,16.0,0,0.0,0.0
1784353202.6905,121.69,3.71,3.0,111.95,117.98,16.0,0,0.0,0.0
1784353203.6923,121.69,3.78,3.1,111.89,117.91,16.0,0,0.0,0.0
1784353204.694,121.69,3.55,2.9,112.11,118.14,16.0,0,0.0,0.0
1784353205.6942,121.69,3.74,3.1,111.93,117.95,16.0,0,0.0,0.0
1784353206.6955,121.69,3.77,3.1,111.89,117.92,16.0,0,0.0,0.0
1784353207.6963,121.69,3.49,2.9,112.17,118.2,16.0,0,0.0,0.0
1784353208.6971,121.69,3.74,3.1,111.92,117.95,16.0,0,0.0,0.0
1784353209.6979,121.69,3.78,3.1,111.89,117.91,16.0,0,0.0,0.0
1784353210.6982,121.69,3.48,2.9,112.18,118.21,16.0,0,0.0,0.0
1784353211.6989,121.69,3.77,3.1,111.89,117.92,16.0,0,0.0,0.0
1784353212.6992,121.69,3.49,2.9,112.17,118.2,16.0,0,0.0,0.0
1784353213.6994,121.69,3.73,3.1,111.93,117.96,16.0,0,0.0,0.0
1784353214.7001,121.69,3.77,3.1,111.89,117.92,16.0,0,0.0,0.0
1784353215.7007,121.69,3.48,2.9,112.18,118.21,16.0,0,0.0,0.0
1784353216.701,121.69,3.73,3.1,111.93,117.96,16.0,0,0.0,0.0
1784353217.7014,121.69,3.75,3.1,111.91,117.94,16.0,0,0.0,0.0
1784353218.7018,121.69,3.66,3.0,112.0,118.03,16.0,0,0.0,0.0
1784353219.7022,121.69,3.75,3.1,111.91,117.94,16.0,0,0.0,0.0
1784353220.7024,121.69,3.47,2.9,112.19,118.22,16.0,0,0.0,0.0
1784353221.7028,121.69,3.72,3.1,111.95,117.97,16.0,0,0.0,0.0
1784353222.7034,121.69,3.76,3.1,111.9,117.93,16.0,0,0.0,0.0
1784353223.704,121.69,3.67,3.0,111.99,118.02,16.0,0,0.0,0.0
1784353224.7051,121.69,3.77,3.1,111.89,117.92,16.0,0,0.0,0.0
1784353225.7057,121.69,3.49,2.9,112.17,118.2,16.0,0,0.0,0.0
1784353226.7061,121.69,3.73,3.1,111.93,117.96,16.0,0,0.0,0.0
1784353227.7069,121.69,3.76,3.1,111.9,117.93,16.0,0,0.0,0.0
1784353228.7075,121.69,3.46,2.8,112.2,118.23,16.0,0,0.0,0.0
1784353229.7086,121.69,3.72,3.1,111.95,117.97,16.0,0,0.0,0.0
1784353230.709,121.69,3.76,3.1,111.91,117.93,16.0,0,0.0,0.0
1784353231.7098,121.69,3.72,3.1,111.95,117.97,16.0,0,0.0,0.0
1784353232.7103,121.69,3.76,3.1,111.9,117.93,16.0,0,0.0,0.0
1784353233.7106,121.69,3.49,2.9,112.17,118.2,16.0,0,0.0,0.0
1784353234.7113,121.69,3.74,3.1,111.92,117.95,16.0,0,0.0,0.0
1784353235.7117,121.69,3.78,3.1,111.89,117.91,16.0,0,0.0,0.0
1784353236.7124,121.69,3.47,2.9,112.19,118.22,16.0,0,0.0,0.0
1784353237.7138,121.69,3.79,3.1,111.88,117.9,16.0,0,0.0,0.0
1784353238.7149,121.69,3.49,2.9,112.17,118.2,16.0,0,0.0,0.0
1784353239.7152,121.69,3.74,3.1,111.92,117.95,16.0,0,0.0,0.0
1784353240.7155,121.69,3.78,3.1,111.88,117.91,16.0,0,0.0,0.0
1784353241.7161,121.69,3.49,2.9,112.17,118.2,16.0,0,0.0,0.0
1784353242.7173,121.69,3.78,3.1,111.88,117.91,16.0,0,0.0,0.0
1784353243.7187,121.69,3.8,3.1,111.86,117.89,16.0,0,0.0,0.0
1784353244.7193,121.69,3.76,3.1,111.9,117.93,16.0,0,0.0,0.0
1784353245.7206,121.69,3.79,3.1,111.87,117.9,16.0,0,0.0,0.0
1784353246.7209,121.69,3.5,2.9,112.16,118.19,16.0,0,0.0,0.0
1784353247.7212,121.69,3.75,3.1,111.91,117.94,16.0,0,0.0,0.0
1784353248.7222,121.69,3.78,3.1,111.89,117.91,16.0,0,0.0,0.0
1784353249.7229,121.69,3.49,2.9,112.18,118.2,16.0,0,0.0,0.0
1784353250.724,121.69,3.78,3.1,111.88,117.91,16.0,0,0.0,0.0
1784353251.7247,121.69,3.56,2.9,112.11,118.13,16.0,0,0.0,0.0
1784353252.7257,121.69,3.74,3.1,111.92,117.95,16.0,0,0.0,0.0
1784353253.7262,121.69,3.77,3.1,111.89,117.92,16.0,0,0.0,0.0
1784353254.7266,121.69,3.48,2.9,112.18,118.21,16.0,0,0.0,0.0
1784353255.7279,121.69,3.78,3.1,111.89,117.91,16.0,0,0.0,0.0
1784353256.7287,121.69,3.75,3.1,111.91,117.94,16.0,0,0.0,0.0
1784353257.7311,121.69,3.71,3.0,111.95,117.98,16.0,0,0.0,0.0
1784353258.732,121.69,3.75,3.1,111.91,117.94,16.0,0,0.0,0.0
1784353259.7323,121.69,3.45,2.8,112.21,118.24,16.0,0,0.0,0.0
1784353260.7325,121.69,3.72,3.1,111.94,117.97,16.0,0,0.0,0.0
1784353261.7339,121.69,3.75,3.1,111.91,117.94,16.0,0,0.0,0.0
1784353262.7349,121.69,3.72,3.1,111.94,117.97,16.0,0,0.0,0.0
1784353263.7358,121.69,3.75,3.1,111.91,117.94,16.0,0,0.0,0.0
1784353264.7363,121.69,3.46,2.8,112.2,118.23,16.0,0,0.0,0.0
