timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1784371014.4702,0.5,0.2,0.3,0.0,858.0,58.2,,0.86,0.99,0.99,1578,3,0
1784371015.472,3.1,1.5,1.6,0.0,858.0,59.1,,0.86,0.99,0.99,2581,2,0
1784371016.4741,5.7,3.9,1.8,0.1,858.0,61.0,,0.87,0.99,0.99,2736,2,0
1784371017.4756,5.5,5.2,0.4,0.0,858.0,62.5,,0.87,0.99,0.99,2559,2,0
1784371018.4774,5.4,5.2,0.3,0.0,858.0,63.2,,0.87,0.99,0.99,2534,2,0
1784371019.4789,5.1,1.9,3.2,0.0,858.0,62.3,,0.87,0.99,0.99,3108,2,0
1784371020.4805,5.6,5.0,0.6,0.0,858.0,63.1,,0.87,0.99,0.99,2756,2,0
1784371021.4816,5.5,5.1,0.4,0.0,858.0,63.7,,0.96,1.01,1.0,2601,2,0
1784371022.4836,5.5,4.4,1.1,0.0,858.0,63.2,,0.96,1.01,1.0,2945,2,0
1784371023.4859,5.5,2.9,2.6,0.0,858.0,62.3,,0.96,1.01,1.0,2829,2,0
1784371024.488,5.6,5.2,0.4,0.1,858.0,63.1,,0.96,1.01,1.0,2606,2,0
1784371025.4895,5.5,5.2,0.3,0.0,858.0,63.8,,0.96,1.01,1.0,2571,3,0
1784371026.4917,5.2,3.1,2.1,0.0,858.0,62.7,,0.97,1.01,1.0,2884,2,0
1784371027.4935,5.6,4.1,1.5,0.0,858.0,63.7,,0.97,1.01,1.0,2649,2,0
1784371028.4955,5.7,5.2,0.5,0.0,858.0,64.1,,0.97,1.01,1.0,2635,2,0
1784371029.4968,5.5,5.1,0.4,0.0,858.0,64.3,,0.97,1.01,1.0,2561,2,0
1784371030.4983,5.4,2.0,3.4,0.0,858.0,63.3,,0.97,1.01,1.0,3055,2,0
1784371031.5001,5.6,5.2,0.4,0.0,858.0,64.1,,0.97,1.01,1.0,2673,2,0
1784371032.5019,5.5,5.1,0.3,0.1,858.0,64.3,,0.97,1.01,1.0,2583,2,0
1784371033.5028,5.3,4.2,1.1,0.0,858.0,63.6,,0.97,1.01,1.0,2737,3,0
1784371034.5038,5.5,2.8,2.7,0.0,858.0,63.4,,0.97,1.01,1.0,2725,2,0
