timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1784371624.3581,2820,0,0,0,0,0
1784371624.859,16780,0,0,0,0,0
1784371625.3594,302663,0,0,0,0,0
1784371625.8603,2268,0,0,0,0,0
1784371626.3612,2236,0,0,0,0,0
1784371626.8621,2230,0,0,0,0,0
1784371627.3625,2244,0,0,0,0,0
1784371627.8633,2236,0,0,0,0,0
1784371628.3637,2240,0,0,0,0,0
1784371628.8647,289138,0,0,0,0,0
1784371629.3651,15616,0,0,0,0,0
1784371629.8655,2242,0,0,0,0,0
1784371630.366,0,0,0,0,0,0
1784371630.8669,2236,0,0,0,0,0
1784371631.3672,2239,0,0,0,0,0
1784371631.8681,2232,0,0,0,0,0
1784371632.3684,121503,0,0,0,0,0
1784371632.8688,183556,0,0,0,0,0
1784371633.3692,2300,0,0,0,0,0
1784371633.8696,2240,0,0,0,0,0
1784371634.3699,2236,0,0,0,0,0
1784371634.8703,2240,0,0,0,0,0
1784371635.3709,2235,0,0,0,0,0
1784371635.8713,46750,0,0,0,0,0
1784371636.3721,258045,0,0,0,0,0
1784371636.8726,2258,0,0,0,0,0
1784371637.3729,2243,0,0,0,0,0
1784371637.8732,1313,0,0,0,0,0
1784371638.3735,921,0,0,0,0,0
1784371638.8745,2230,0,0,0,0,0
1784371639.3748,2334,0,0,0,0,0
1784371639.8755,302496,0,0,0,0,0
1784371640.3766,2267,0,0,0,0,0
1784371640.8775,2242,0,0,0,0,0
1784371641.3785,2241,0,0,0,0,0
1784371641.8794,2232,0,0,0,0,0
1784371642.3804,2235,0,0,0,0,0
1784371642.8808,2238,0,0,0,0,0
1784371643.3812,176634,0,0,0,0,0
1784371643.8815,128426,0,0,0,0,0
1784371644.3819,2246,0,0,0,0,0
1784371644.8822,2240,0,0,0,0,0
1784371645.3826,1363,0,0,0,0,0
1784371645.8829,925,0,0,0,0,0
1784371646.3833,2234,0,0,0,0,0
1784371646.884,72963,0,0,0,0,0
1784371647.3847,231859,0,0,0,0,0
1784371647.8854,2251,0,0,0,0,0
1784371648.386,2235,0,0,0,0,0
1784371648.8866,2237,0,0,0,0,0
1784371649.3872,2237,0,0,0,0,0
1784371649.8879,2235,0,0,0,0,0
1784371650.3885,2335,0,0,0,0,0
1784371650.8894,302382,0,0,0,0,0
1784371651.3903,2268,0,0,0,0,0
1784371651.8913,2235,0,0,0,0,0
1784371652.3918,2242,0,0,0,0,0
1784371652.8923,2246,0,0,0,0,0
1784371653.3927,679,0,0,0,0,0
1784371653.8931,3022,0,0,0,0,0
1784371654.3934,253244,0,0,0,0,0
1784371654.8941,51799,0,0,0,0,0
1784371655.3949,2236,0,0,0,0,0
1784371655.8956,2243,0,0,0,0,0
1784371656.3964,2236,0,0,0,0,0
1784371656.8975,2235,0,0,0,0,0
1784371657.3983,2241,0,0,0,0,0
1784371657.8994,75808,0,0,0,0,0
1784371658.3998,229112,0,0,0,0,0
1784371658.9001,2252,0,0,0,0,0
1784371659.4012,2233,0,0,0,0,0
1784371659.9023,2233,0,0,0,0,0
1784371660.403,2243,0,0,0,0,0
1784371660.9034,1537,0,0,0,0,0
1784371661.4038,801,0,0,0,0,0
1784371661.9043,302621,0,0,0,0,0
1784371662.4049,2271,0,0,0,0,0
1784371662.9056,2237,0,0,0,0,0
1784371663.4062,2233,0,0,0,0,0
1784371663.9065,2245,0,0,0,0,0
1784371664.407,2238,0,0,0,0,0
1784371664.9074,2232,0,0,0,0,0
1784371665.4083,180480,0,0,0,0,0
1784371665.9094,124182,0,0,0,0,0
1784371666.4098,2247,0,0,0,0,0
1784371666.9101,2232,0,0,0,0,0
1784371667.4112,2235,0,0,0,0,0
1784371667.9116,2240,0,0,0,0,0
1784371668.4119,2242,0,0,0,0,0
1784371668.9122,58162,0,0,0,0,0
1784371669.4131,244452,0,0,0,0,0
1784371669.9135,2260,0,0,0,0,0
1784371670.4139,2236,0,0,0,0,0
1784371670.9143,2244,0,0,0,0,0
1784371671.4146,2238,0,0,0,0,0
1784371671.915,2234,0,0,0,0,0
1784371672.4154,2332,0,0,0,0,0
1784371672.9159,302572,0,0,0,0,0
