timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1784360238.5434,5.1,4.7,0.4,0.0,858.0,57.7,,1.2,1.02,0.99,1710,3,0
1784360239.5447,3.1,1.5,1.6,0.0,858.0,57.4,,1.1,1.0,0.98,2738,2,0
1784360240.546,5.7,5.1,0.7,0.0,858.0,58.8,,1.1,1.0,0.98,2613,2,0
1784360241.5477,5.7,5.2,0.5,0.1,858.0,59.4,,1.1,1.0,0.98,2650,2,0
1784360242.5491,5.6,5.2,0.4,0.1,858.0,59.7,,1.1,1.0,0.98,2620,2,0
1784360243.5505,5.5,5.2,0.3,0.0,858.0,59.8,,1.1,1.0,0.98,2588,2,0
1784360244.552,5.6,5.2,0.4,0.1,858.0,59.9,,1.18,1.02,0.99,2573,2,0
1784360245.5535,5.5,5.2,0.3,0.0,858.0,59.8,,1.18,1.02,0.99,2575,2,0
1784360246.555,5.5,5.2,0.4,0.0,858.0,59.9,,1.18,1.02,0.99,2615,2,0
1784360247.5563,5.5,5.2,0.4,0.0,858.0,59.9,,1.18,1.02,0.99,2661,2,0
1784360248.5577,5.3,5.1,0.2,0.0,858.0,59.9,,1.18,1.02,0.99,2437,2,0
1784360249.5591,5.5,5.2,0.4,0.0,858.0,59.9,,1.16,1.02,0.99,2535,2,0
1784360250.5603,5.6,5.3,0.3,0.0,858.0,59.9,,1.16,1.02,0.99,2630,2,0
1784360251.5619,5.5,5.2,0.3,0.0,858.0,59.9,,1.16,1.02,0.99,2620,2,0
1784360252.5632,5.5,5.2,0.4,0.0,858.0,59.9,,1.16,1.02,0.99,2597,2,0
1784360253.5647,5.6,5.2,0.4,0.0,858.0,60.0,,1.16,1.02,0.99,2551,2,0
1784360254.5661,5.5,5.2,0.4,0.0,858.0,59.9,,1.15,1.02,0.99,2561,2,0
1784360255.5674,5.5,5.2,0.3,0.0,858.0,60.0,,1.15,1.02,0.99,2609,3,0
1784360256.5689,5.4,5.2,0.3,0.0,858.0,60.0,,1.15,1.02,0.99,2543,3,0
1784360257.5702,5.5,5.2,0.4,0.0,858.0,60.0,,1.15,1.02,0.99,2561,2,0
1784360258.5717,5.5,5.2,0.3,0.0,858.0,60.1,,1.15,1.02,0.99,2560,2,0
1784360259.5731,5.5,5.2,0.4,0.0,858.0,60.1,,1.22,1.03,0.99,2638,2,0
1784360260.5743,5.5,5.2,0.3,0.0,858.0,60.2,,1.22,1.03,0.99,2621,2,0
1784360261.5755,5.6,5.2,0.4,0.0,858.0,60.2,,1.22,1.03,0.99,2606,2,0
1784360262.5769,5.5,5.2,0.3,0.0,858.0,60.2,,1.22,1.03,0.99,2610,3,0
1784360263.5784,5.5,5.2,0.4,0.0,858.0,60.3,,1.22,1.03,0.99,2576,2,0
1784360264.5795,5.4,5.1,0.3,0.0,858.0,60.3,,1.2,1.03,0.99,2624,2,0
1784360265.5806,5.5,5.1,0.4,0.0,858.0,60.4,,1.2,1.03,0.99,2587,2,0
1784360266.582,5.8,4.9,0.8,0.1,858.0,60.6,,1.2,1.03,0.99,2784,2,0
1784360267.5839,5.8,4.6,1.2,0.0,858.0,62.8,,1.2,1.03,0.99,3071,2,0
1784360268.5856,5.6,3.7,2.0,0.0,858.0,60.5,,1.2,1.03,0.99,3155,2,0
1784360269.5871,5.6,5.2,0.4,0.1,858.0,60.3,,1.26,1.05,1.0,2632,2,0
1784360270.5887,5.6,5.1,0.5,0.0,858.0,60.3,,1.26,1.05,1.0,2606,3,0
1784360271.5903,5.3,5.1,0.2,0.0,858.0,60.4,,1.26,1.05,1.0,2532,2,0
1784360272.5916,5.4,5.1,0.3,0.0,858.0,60.3,,1.26,1.05,1.0,2601,2,0
1784360273.5935,5.5,5.2,0.3,0.0,858.0,60.2,,1.26,1.05,1.0,2615,2,0
1784360274.5957,5.4,5.2,0.3,0.0,858.0,60.2,,1.24,1.05,1.0,2648,2,0
1784360275.5977,5.5,5.2,0.3,0.0,858.0,60.2,,1.24,1.05,1.0,2592,2,0
1784360276.5997,5.5,5.2,0.3,0.1,858.0,60.2,,1.24,1.05,1.0,2713,2,0
1784360277.6016,5.4,5.2,0.3,0.0,858.0,60.2,,1.24,1.05,1.0,2582,2,0
1784360278.6041,5.4,5.1,0.3,0.0,858.0,60.2,,1.24,1.05,1.0,2625,2,0
1784360279.6059,5.4,5.2,0.2,0.0,858.0,60.2,,1.22,1.05,1.0,2585,2,0
1784360280.6073,5.4,5.1,0.3,0.0,858.0,60.2,,1.22,1.05,1.0,2608,3,0
1784360281.6095,5.4,5.1,0.3,0.0,858.0,60.2,,1.22,1.05,1.0,2480,2,0
1784360282.6109,5.5,5.2,0.3,0.0,858.0,60.2,,1.22,1.05,1.0,2671,2,0
1784360283.6129,5.4,5.1,0.3,0.0,858.0,60.3,,1.22,1.05,1.0,2656,2,0
1784360284.6149,5.4,5.1,0.3,0.0,858.0,60.3,,1.2,1.05,1.0,2615,2,0
