timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1784387900.9945,0.5,0.2,0.3,0.0,858.0,60.5,,0.94,0.96,0.99,1577,5,0
1784387901.9952,3.0,2.2,0.8,0.0,858.0,61.7,,0.94,0.96,0.99,2443,2,0
1784387902.9965,5.4,5.1,0.3,0.0,858.0,64.1,,0.94,0.96,0.99,2650,2,0
1784387903.9977,5.5,5.2,0.3,0.0,858.0,66.1,,0.94,0.96,0.99,2775,2,0
1784387904.9986,5.4,4.3,1.1,0.0,858.0,65.8,,0.94,0.96,0.99,3048,2,0
1784387905.9996,5.6,5.2,0.4,0.0,858.0,67.6,,0.94,0.96,0.99,2571,2,0
1784387907.0005,5.5,5.2,0.3,0.1,858.0,68.9,,0.94,0.96,0.99,2597,2,0
1784387908.0016,5.5,4.3,1.2,0.0,858.0,68.1,,0.94,0.96,0.99,3087,3,0
1784387909.0032,5.5,5.2,0.4,0.0,858.0,70.1,,0.94,0.96,0.99,2542,2,0
1784387910.0046,5.4,4.8,0.6,0.0,858.0,70.5,,0.95,0.96,0.99,2748,3,0
1784387911.006,5.3,4.5,0.8,0.0,858.0,67.9,,0.95,0.96,0.99,2688,2,0
1784387912.0069,5.5,5.2,0.3,0.0,858.0,69.3,,0.95,0.96,0.99,2761,2,0
1784387913.0081,5.5,4.8,0.7,0.1,858.0,69.3,,0.95,0.96,0.99,2940,3,0
1784387914.0095,5.4,4.7,0.7,0.0,858.0,68.7,,0.95,0.96,0.99,2841,3,0
1784387915.0108,5.6,5.2,0.4,0.0,858.0,69.7,,0.95,0.96,0.99,2687,3,0
1784387916.0122,5.4,4.6,0.8,0.0,858.0,68.9,,0.95,0.96,0.99,2958,2,0
1784387917.0135,5.5,4.8,0.8,0.0,858.0,69.9,,0.95,0.96,0.99,2879,2,0
1784387918.0143,5.5,5.1,0.4,0.0,858.0,71.8,,0.95,0.96,0.99,2744,2,0
1784387919.0152,5.4,4.3,1.0,0.1,858.0,70.0,,0.95,0.96,0.99,2938,3,0
1784387920.0163,5.5,5.2,0.3,0.0,858.0,69.9,,0.96,0.96,0.99,2744,3,0
1784387921.0173,5.5,5.1,0.4,0.0,858.0,70.9,,0.96,0.96,0.99,2699,2,0
1784387922.0182,5.4,4.3,1.1,0.0,858.0,69.7,,0.96,0.96,0.99,3095,2,0
1784387923.0196,5.6,5.2,0.4,0.0,858.0,71.0,,0.96,0.96,0.99,2760,2,0
1784387924.0206,5.5,5.1,0.3,0.1,858.0,71.9,,0.96,0.96,0.99,2685,2,0
1784387925.0217,5.3,4.2,1.1,0.0,858.0,70.8,,0.96,0.96,0.99,3217,3,0
1784387926.0227,5.5,5.2,0.3,0.0,858.0,71.8,,0.96,0.96,0.99,2584,2,0
1784387927.0236,5.4,4.9,0.5,0.0,858.0,72.5,,0.96,0.96,0.99,2694,2,0
1784387928.0245,5.2,4.3,1.0,0.0,858.0,70.7,,0.96,0.96,0.99,2935,2,0
1784387929.0254,5.6,5.2,0.4,0.0,858.0,72.2,,0.96,0.96,0.99,2610,2,0
1784387930.0264,5.5,4.8,0.7,0.1,858.0,72.4,,0.96,0.96,0.99,2952,2,0
1784387931.0275,5.5,4.6,0.9,0.0,858.0,72.1,,0.96,0.96,0.99,2801,2,0
1784387932.0285,5.5,5.2,0.3,0.0,858.0,73.1,,0.96,0.96,0.99,2620,2,0
1784387933.0298,5.4,4.8,0.7,0.0,858.0,72.6,,0.96,0.96,0.99,2920,2,0
1784387934.0308,5.5,4.7,0.8,0.0,858.0,72.5,,0.96,0.96,0.99,2833,3,0
1784387935.0317,5.5,5.1,0.4,0.0,858.0,73.4,,0.97,0.97,0.99,2653,4,0
1784387936.0326,5.2,4.3,0.8,0.1,858.0,71.6,,0.97,0.97,0.99,2795,2,0
1784387937.0336,5.6,5.0,0.6,0.1,858.0,72.7,,0.97,0.97,0.99,2725,2,0
1784387938.0348,5.4,5.1,0.3,0.0,858.0,73.8,,0.97,0.97,0.99,2584,3,0
1784387939.0359,5.3,4.2,1.1,0.0,858.0,72.1,,0.97,0.97,0.99,3074,2,0
1784387940.0368,5.6,5.2,0.4,0.0,858.0,73.3,,0.97,0.97,0.99,2777,3,0
1784387941.0378,5.6,5.2,0.4,0.1,858.0,74.1,,0.97,0.97,0.99,2622,2,0
1784387942.039,5.4,4.2,1.2,0.0,858.0,72.3,,0.97,0.97,0.99,3119,2,0
1784387943.04,5.5,5.2,0.4,0.0,858.0,73.7,,0.97,0.97,0.99,2691,3,0
1784387944.0409,5.6,5.1,0.5,0.0,858.0,74.4,,0.97,0.97,0.99,2769,2,0
1784387945.0418,5.2,4.3,0.9,0.0,858.0,73.2,,0.97,0.97,0.99,2832,2,0
1784387946.0428,5.6,5.2,0.4,0.0,858.0,74.3,,0.97,0.97,0.99,2648,2,0
1784387947.044,5.4,4.7,0.6,0.1,858.0,74.3,,0.97,0.97,0.99,3035,2,0
1784387948.0452,5.5,4.6,0.9,0.0,858.0,73.1,,0.97,0.97,0.99,2858,2,0
1784387949.0466,5.5,5.2,0.4,0.0,858.0,73.9,,0.97,0.97,0.99,2815,2,0
1784387950.0479,5.4,4.8,0.6,0.0,858.0,73.3,,0.97,0.97,0.99,2931,2,0
1784387951.049,5.5,4.8,0.7,0.0,858.0,73.3,,0.97,0.97,0.99,2931,2,0
1784387952.0498,5.5,5.2,0.4,0.0,858.0,74.3,,0.97,0.97,0.99,2714,2,0
1784387953.0507,5.4,4.6,0.7,0.2,858.0,73.1,,0.97,0.97,0.99,2913,6,0
1784387954.0521,5.6,4.8,0.8,0.0,858.0,73.8,,0.97,0.97,0.99,2806,2,0
1784387955.0534,5.5,5.1,0.4,0.0,858.0,74.6,,0.98,0.97,1.0,2739,2,0
1784387956.0549,5.4,4.3,1.1,0.0,858.0,72.9,,0.98,0.97,1.0,3136,3,0
1784387957.0562,5.6,5.2,0.5,0.0,858.0,74.1,,0.98,0.97,1.0,2737,2,0
1784387958.0576,5.6,5.2,0.4,0.0,858.0,74.9,,0.98,0.97,1.0,2666,2,0
1784387959.0588,5.4,4.2,1.2,0.1,858.0,73.1,,0.98,0.97,1.0,3194,3,0
1784387960.0595,5.5,5.2,0.4,0.0,858.0,74.4,,0.98,0.97,1.0,2814,2,0
1784387961.0602,5.4,5.1,0.3,0.0,858.0,75.4,,0.98,0.97,1.0,2681,3,0
1784387962.0615,5.3,4.2,1.1,0.0,858.0,73.7,,0.98,0.97,1.0,2893,2,0
1784387963.0626,5.6,5.2,0.4,0.0,858.0,75.0,,0.98,0.97,1.0,2773,2,0
1784387964.0642,5.8,5.2,0.5,0.1,858.0,75.8,,0.98,0.97,1.0,2934,2,0
