timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1784388205.4288,121.69,3.47,2.9,112.11,118.22,16.0,0,0.0,0.0
1784388206.4294,121.69,3.69,3.0,111.88,118.0,16.0,0,0.0,0.0
1784388207.4296,121.69,3.98,3.3,111.6,117.71,16.0,0,0.0,0.0
1784388208.4305,121.69,3.98,3.3,111.6,117.71,16.0,0,0.0,0.0
1784388209.4309,121.69,4.0,3.3,111.57,117.69,16.0,0,0.0,0.0
1784388210.4314,121.69,4.01,3.3,111.57,117.68,16.0,0,0.0,0.0
1784388211.432,121.69,4.01,3.3,111.57,117.68,16.0,0,0.0,0.0
1784388212.4323,121.69,3.98,3.3,111.6,117.71,16.0,0,0.0,0.0
1784388213.4325,121.69,3.98,3.3,111.6,117.71,16.0,0,0.0,0.0
1784388214.4328,121.69,3.65,3.0,111.93,118.04,16.0,0,0.0,0.0
1784388215.4332,121.69,4.17,3.4,111.41,117.52,16.0,0,0.0,0.0
1784388216.4338,121.69,4.16,3.4,111.41,117.53,16.0,0,0.0,0.0
1784388217.4342,121.69,3.66,3.0,111.92,118.03,16.0,0,0.0,0.0
1784388218.4347,121.69,4.09,3.4,111.49,117.6,16.0,0,0.0,0.0
1784388219.4353,121.69,4.09,3.4,111.48,117.6,16.0,0,0.0,0.0
1784388220.4356,121.69,3.78,3.1,111.79,117.91,16.0,0,0.0,0.0
1784388221.4359,121.69,4.09,3.4,111.48,117.6,16.0,0,0.0,0.0
1784388222.4361,121.69,4.07,3.3,111.5,117.62,16.0,0,0.0,0.0
1784388223.4368,121.69,3.79,3.1,111.78,117.9,16.0,0,0.0,0.0
1784388224.4372,121.69,4.11,3.4,111.46,117.58,16.0,0,0.0,0.0
1784388225.4379,121.69,4.11,3.4,111.46,117.58,16.0,0,0.0,0.0
1784388226.4382,121.69,4.2,3.5,111.38,117.49,16.0,0,0.0,0.0
1784388227.4384,121.69,4.18,3.4,111.4,117.51,16.0,0,0.0,0.0
1784388228.4393,121.69,4.18,3.4,111.4,117.51,16.0,0,0.0,0.0
1784388229.4401,121.69,4.29,3.5,111.29,117.4,16.0,0,0.0,0.0
1784388230.4411,121.69,4.29,3.5,111.29,117.4,16.0,0,0.0,0.0
1784388231.4414,121.69,4.17,3.4,111.41,117.52,16.0,0,0.0,0.0
1784388232.4416,121.69,4.45,3.7,111.12,117.24,16.0,0,0.0,0.0
1784388233.4419,121.69,4.43,3.6,111.14,117.26,16.0,0,0.0,0.0
1784388234.4423,121.69,3.98,3.3,111.6,117.71,16.0,0,0.0,0.0
1784388235.4431,121.69,4.37,3.6,111.2,117.32,16.0,0,0.0,0.0
1784388236.4436,121.69,4.36,3.6,111.22,117.33,16.0,0,0.0,0.0
1784388237.4438,121.69,3.96,3.3,111.62,117.73,16.0,0,0.0,0.0
1784388238.4445,121.69,4.34,3.6,111.24,117.35,16.0,0,0.0,0.0
1784388239.4448,121.69,4.31,3.5,111.27,117.38,16.0,0,0.0,0.0
1784388240.4451,121.69,3.91,3.2,111.67,117.78,16.0,0,0.0,0.0
1784388241.4454,121.69,4.33,3.6,111.24,117.36,16.0,0,0.0,0.0
1784388242.4457,121.69,4.32,3.6,111.25,117.37,16.0,0,0.0,0.0
1784388243.4467,121.69,3.8,3.1,111.77,117.89,16.0,0,0.0,0.0
1784388244.4469,121.69,4.2,3.5,111.37,117.49,16.0,0,0.0,0.0
1784388245.4475,121.69,4.2,3.5,111.38,117.49,16.0,0,0.0,0.0
1784388246.4477,121.69,4.22,3.5,111.36,117.47,16.0,0,0.0,0.0
1784388247.4482,121.69,4.21,3.5,111.37,117.48,16.0,0,0.0,0.0
1784388248.4484,121.69,4.19,3.4,111.38,117.5,16.0,0,0.0,0.0
1784388249.4487,121.69,4.22,3.5,111.36,117.47,16.0,0,0.0,0.0
1784388250.4511,121.69,4.2,3.5,111.37,117.49,16.0,0,0.0,0.0
1784388251.4517,121.69,4.19,3.4,111.39,117.5,16.0,0,0.0,0.0
1784388252.452,121.69,4.2,3.5,111.38,117.49,16.0,0,0.0,0.0
1784388253.4527,121.69,4.18,3.4,111.4,117.51,16.0,0,0.0,0.0
1784388254.4535,121.69,4.15,3.4,111.42,117.54,16.0,0,0.0,0.0
1784388255.4543,121.69,4.16,3.4,111.42,117.53,16.0,0,0.0,0.0
1784388256.4545,121.69,4.14,3.4,111.43,117.55,16.0,0,0.0,0.0
1784388257.4548,121.69,3.99,3.3,111.58,117.7,16.0,0,0.0,0.0
1784388258.4554,121.69,4.28,3.5,111.3,117.41,16.0,0,0.0,0.0
1784388259.4561,121.69,4.26,3.5,111.31,117.43,16.0,0,0.0,0.0
1784388260.457,121.69,3.85,3.2,111.72,117.84,16.0,0,0.0,0.0
1784388261.4577,121.69,4.28,3.5,111.29,117.41,16.0,0,0.0,0.0
1784388262.4584,121.69,4.26,3.5,111.32,117.43,16.0,0,0.0,0.0
