timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1784385819.2581,121.69,3.58,2.9,112.0,118.11,16.0,0,0.0,0.0
1784385820.2583,121.69,4.11,3.4,111.47,117.58,16.0,0,0.0,0.0
1784385821.2588,121.69,4.1,3.4,111.48,117.59,16.0,0,0.0,0.0
1784385822.2593,121.69,4.25,3.5,111.33,117.44,16.0,0,0.0,0.0
1784385823.2603,121.69,4.22,3.5,111.36,117.47,16.0,0,0.0,0.0
1784385824.2606,121.69,4.22,3.5,111.36,117.47,16.0,0,0.0,0.0
1784385825.2608,121.69,4.3,3.5,111.28,117.39,16.0,0,0.0,0.0
1784385826.2611,121.69,4.16,3.4,111.42,117.53,16.0,0,0.0,0.0
1784385827.2614,121.69,4.16,3.4,111.42,117.53,16.0,0,0.0,0.0
1784385828.2618,121.69,4.16,3.4,111.43,117.53,16.0,0,0.0,0.0
1784385829.2621,121.69,4.55,3.7,111.03,117.14,16.0,0,0.0,0.0
1784385830.2624,121.69,4.34,3.6,111.24,117.35,16.0,0,0.0,0.0
1784385831.2632,121.69,4.1,3.4,111.48,117.59,16.0,0,0.0,0.0
1784385832.2641,121.69,4.23,3.5,111.35,117.46,16.0,0,0.0,0.0
1784385833.265,121.69,4.31,3.5,111.27,117.38,16.0,0,0.0,0.0
1784385834.2653,121.69,4.16,3.4,111.42,117.53,16.0,0,0.0,0.0
1784385835.2659,121.69,4.47,3.7,111.11,117.22,16.0,0,0.0,0.0
1784385836.2662,121.69,4.18,3.4,111.4,117.51,16.0,0,0.0,0.0
1784385837.2665,121.69,4.08,3.4,111.5,117.61,16.0,0,0.0,0.0
1784385838.2669,121.69,4.13,3.4,111.46,117.56,16.0,0,0.0,0.0
1784385839.2672,121.69,4.0,3.3,111.58,117.69,16.0,0,0.0,0.0
1784385840.2679,121.69,3.93,3.2,111.65,117.76,16.0,0,0.0,0.0
1784385841.2682,121.69,4.51,3.7,111.07,117.18,16.0,0,0.0,0.0
1784385842.2687,121.69,4.52,3.7,111.06,117.17,16.0,0,0.0,0.0
1784385843.269,121.69,4.53,3.7,111.05,117.16,16.0,0,0.0,0.0
1784385844.2693,121.69,4.53,3.7,111.05,117.16,16.0,0,0.0,0.0
1784385845.2698,121.69,4.52,3.7,111.06,117.17,16.0,0,0.0,0.0
1784385846.2706,121.69,4.28,3.5,111.3,117.41,16.0,0,0.0,0.0
1784385847.2709,121.69,4.22,3.5,111.36,117.47,16.0,0,0.0,0.0
1784385848.2714,121.69,4.13,3.4,111.45,117.56,16.0,0,0.0,0.0
1784385849.2718,121.69,4.12,3.4,111.47,117.57,16.0,0,0.0,0.0
1784385850.2721,121.69,4.19,3.4,111.39,117.5,16.0,0,0.0,0.0
1784385851.2725,121.69,4.0,3.3,111.58,117.69,16.0,0,0.0,0.0
1784385852.2728,121.69,4.01,3.3,111.57,117.68,16.0,0,0.0,0.0
1784385853.273,121.69,3.94,3.2,111.64,117.75,16.0,0,0.0,0.0
1784385854.2732,121.69,3.98,3.3,111.6,117.71,16.0,0,0.0,0.0
1784385855.2739,121.69,3.98,3.3,111.6,117.71,16.0,0,0.0,0.0
1784385856.2745,121.69,3.97,3.3,111.61,117.72,16.0,0,0.0,0.0
1784385857.2749,121.69,3.91,3.2,111.67,117.78,16.0,0,0.0,0.0
1784385858.2757,121.69,3.91,3.2,111.67,117.78,16.0,0,0.0,0.0
1784385859.2762,121.69,4.19,3.4,111.39,117.5,16.0,0,0.0,0.0
1784385860.2769,121.69,4.54,3.7,111.04,117.15,16.0,0,0.0,0.0
1784385861.2771,121.69,4.57,3.8,111.01,117.12,16.0,0,0.0,0.0
1784385862.2777,121.69,4.52,3.7,111.06,117.17,16.0,0,0.0,0.0
1784385863.2785,121.69,4.54,3.7,111.04,117.15,16.0,0,0.0,0.0
1784385864.2794,121.69,4.56,3.7,111.02,117.13,16.0,0,0.0,0.0
1784385865.2798,121.69,4.56,3.7,111.02,117.13,16.0,0,0.0,0.0
1784385866.2803,121.69,4.59,3.8,110.99,117.1,16.0,0,0.0,0.0
1784385867.2809,121.69,4.62,3.8,110.96,117.07,16.0,0,0.0,0.0
1784385868.2817,121.69,4.6,3.8,110.98,117.09,16.0,0,0.0,0.0
1784385869.2819,121.69,4.45,3.7,111.13,117.24,16.0,0,0.0,0.0
1784385870.2824,121.69,4.48,3.7,111.1,117.21,16.0,0,0.0,0.0
1784385871.2828,121.69,4.49,3.7,111.09,117.2,16.0,0,0.0,0.0
1784385872.2834,121.69,4.34,3.6,111.24,117.35,16.0,0,0.0,0.0
1784385873.2839,121.69,4.34,3.6,111.24,117.35,16.0,0,0.0,0.0
1784385874.2844,121.69,4.33,3.6,111.25,117.36,16.0,0,0.0,0.0
1784385875.2853,121.69,4.23,3.5,111.35,117.46,16.0,0,0.0,0.0
1784385876.286,121.69,4.21,3.5,111.37,117.48,16.0,0,0.0,0.0
1784385877.2863,121.69,4.22,3.5,111.36,117.47,16.0,0,0.0,0.0
1784385878.2865,121.69,4.03,3.3,111.55,117.66,16.0,0,0.0,0.0
1784385879.2869,121.69,4.36,3.6,111.22,117.33,16.0,0,0.0,0.0
1784385880.2871,121.69,4.03,3.3,111.55,117.66,16.0,0,0.0,0.0
1784385881.2874,121.69,4.0,3.3,111.58,117.69,16.0,0,0.0,0.0
1784385882.2885,121.69,3.97,3.3,111.61,117.72,16.0,0,0.0,0.0
1784385883.2894,121.69,4.07,3.3,111.51,117.62,16.0,0,0.0,0.0
1784385884.2898,121.69,4.4,3.6,111.18,117.29,16.0,0,0.0,0.0
1784385885.2901,121.69,4.38,3.6,111.2,117.31,16.0,0,0.0,0.0
1784385886.2903,121.69,4.05,3.3,111.53,117.64,16.0,0,0.0,0.0
1784385887.2906,121.69,4.04,3.3,111.55,117.65,16.0,0,0.0,0.0
1784385888.2914,121.69,4.02,3.3,111.56,117.67,16.0,0,0.0,0.0
1784385889.2919,121.69,4.02,3.3,111.56,117.67,16.0,0,0.0,0.0
1784385890.2922,121.69,3.98,3.3,111.6,117.71,16.0,0,0.0,0.0
1784385891.2924,121.69,3.99,3.3,111.59,117.7,16.0,0,0.0,0.0
1784385892.2927,121.69,3.98,3.3,111.6,117.71,16.0,0,0.0,0.0
1784385893.2929,121.69,3.98,3.3,111.6,117.71,16.0,0,0.0,0.0
1784385894.2931,121.69,3.97,3.3,111.61,117.72,16.0,0,0.0,0.0
1784385895.2933,121.69,3.96,3.3,111.62,117.73,16.0,0,0.0,0.0
1784385896.2937,121.69,3.96,3.3,111.62,117.73,16.0,0,0.0,0.0
1784385897.2939,121.69,3.97,3.3,111.61,117.72,16.0,0,0.0,0.0
1784385898.2941,121.69,3.96,3.3,111.62,117.73,16.0,0,0.0,0.0
1784385899.2944,121.69,3.95,3.2,111.63,117.74,16.0,0,0.0,0.0
1784385900.2947,121.69,3.94,3.2,111.64,117.75,16.0,0,0.0,0.0
1784385901.2956,121.69,4.19,3.4,111.39,117.5,16.0,0,0.0,0.0
1784385902.2957,121.69,4.07,3.3,111.51,117.62,16.0,0,0.0,0.0
1784385903.2961,121.69,4.05,3.3,111.53,117.64,16.0,0,0.0,0.0
1784385904.2965,121.69,4.06,3.3,111.52,117.63,16.0,0,0.0,0.0
1784385905.2972,121.69,4.27,3.5,111.31,117.42,16.0,0,0.0,0.0
1784385906.2975,121.69,4.26,3.5,111.32,117.43,16.0,0,0.0,0.0
1784385907.2979,121.69,4.39,3.6,111.19,117.3,16.0,0,0.0,0.0
1784385908.2982,121.69,4.38,3.6,111.2,117.31,16.0,0,0.0,0.0
1784385909.2991,121.69,4.61,3.8,110.97,117.08,16.0,0,0.0,0.0
1784385910.2994,121.69,4.28,3.5,111.31,117.41,16.0,0,0.0,0.0
1784385911.2996,121.69,4.03,3.3,111.55,117.66,16.0,0,0.0,0.0
1784385912.3004,121.69,4.02,3.3,111.56,117.67,16.0,0,0.0,0.0
1784385913.3008,121.69,3.88,3.2,111.7,117.81,16.0,0,0.0,0.0
1784385914.3011,121.69,3.98,3.3,111.6,117.71,16.0,0,0.0,0.0
1784385915.3015,121.69,4.05,3.3,111.53,117.64,16.0,0,0.0,0.0
1784385916.3018,121.69,4.02,3.3,111.56,117.67,16.0,0,0.0,0.0
1784385917.3021,121.69,3.98,3.3,111.6,117.71,16.0,0,0.0,0.0
1784385918.3029,121.69,3.81,3.1,111.77,117.88,16.0,0,0.0,0.0
1784385919.3032,121.69,3.67,3.0,111.91,118.02,16.0,0,0.0,0.0
1784385920.3034,121.69,3.83,3.1,111.76,117.86,16.0,0,0.0,0.0
1784385921.3038,121.69,4.2,3.5,111.38,117.49,16.0,0,0.0,0.0
1784385922.3041,121.69,4.58,3.8,111.0,117.11,16.0,0,0.0,0.0
1784385923.3044,121.69,4.54,3.7,111.04,117.15,16.0,0,0.0,0.0
1784385924.3047,121.69,4.64,3.8,110.94,117.05,16.0,0,0.0,0.0
1784385925.305,121.69,4.63,3.8,110.95,117.06,16.0,0,0.0,0.0
1784385926.3055,121.69,4.42,3.6,111.16,117.27,16.0,0,0.0,0.0
1784385927.3058,121.69,4.39,3.6,111.19,117.3,16.0,0,0.0,0.0
1784385928.3061,121.69,4.38,3.6,111.2,117.31,16.0,0,0.0,0.0
1784385929.3067,121.69,4.37,3.6,111.21,117.32,16.0,0,0.0,0.0
1784385930.307,121.69,4.34,3.6,111.24,117.35,16.0,0,0.0,0.0
1784385931.3073,121.69,4.32,3.6,111.26,117.37,16.0,0,0.0,0.0
1784385932.3076,121.69,4.04,3.3,111.54,117.65,16.0,0,0.0,0.0
