timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1784355285.3753,0.5,0.1,0.4,0.0,858.0,55.2,,0.69,0.9,0.97,1600,3,0
1784355286.3775,3.2,0.6,2.6,0.0,858.0,55.6,,0.69,0.9,0.97,2636,2,0
1784355287.3795,5.7,1.7,4.1,0.0,858.0,58.5,,0.69,0.9,0.97,2576,2,0
1784355288.3813,5.8,1.6,4.2,0.0,858.0,60.0,,0.72,0.91,0.97,2656,3,0
1784355289.3831,5.8,1.8,4.1,0.0,858.0,60.8,,0.72,0.91,0.97,2642,2,0
1784355290.3858,5.6,1.3,4.2,0.1,858.0,59.3,,0.72,0.91,0.97,3007,2,0
1784355291.3878,5.7,1.7,4.0,0.0,858.0,60.8,,0.72,0.91,0.97,2653,2,0
1784355292.3893,5.6,1.8,3.9,0.0,858.0,61.6,,0.72,0.91,0.97,2558,3,0
1784355293.3913,5.7,1.8,4.0,0.0,858.0,62.0,,0.74,0.91,0.97,2482,2,0
1784355294.3938,5.5,1.4,4.1,0.0,858.0,60.5,,0.74,0.91,0.97,3038,2,0
1784355295.396,6.0,1.8,4.2,0.1,858.0,61.6,,0.74,0.91,0.97,2690,2,0
1784355296.3978,5.8,1.7,4.1,0.0,858.0,62.4,,0.74,0.91,0.97,2588,2,0
1784355297.3992,5.8,1.8,4.0,0.0,858.0,62.8,,0.74,0.91,0.97,2587,2,0
1784355298.4018,5.3,1.3,4.0,0.0,858.0,61.7,,0.76,0.91,0.97,2862,2,0
1784355299.4038,5.9,1.9,4.0,0.0,858.0,62.6,,0.76,0.91,0.97,2674,3,0
1784355300.4056,5.9,1.8,4.1,0.0,858.0,63.1,,0.76,0.91,0.97,2697,2,0
1784355301.4073,5.8,1.8,4.0,0.1,858.0,63.3,,0.76,0.91,0.97,2611,2,0
1784355302.4097,5.6,1.2,4.4,0.0,858.0,61.5,,0.76,0.91,0.97,3136,2,0
1784355303.4112,5.7,1.7,3.9,0.1,858.0,62.5,,0.78,0.91,0.97,2467,2,0
1784355304.413,5.8,1.7,4.2,0.0,858.0,63.4,,0.78,0.91,0.97,2643,2,0
1784355305.4147,5.8,1.8,4.0,0.0,858.0,63.7,,0.78,0.91,0.97,2610,2,0
1784355306.4178,5.5,1.4,4.1,0.0,858.0,62.3,,0.78,0.91,0.97,3064,2,0
1784355307.4199,6.0,1.9,4.1,0.1,858.0,63.4,,0.78,0.91,0.97,2676,2,0
1784355308.4217,5.6,1.9,3.7,0.1,858.0,63.8,,0.8,0.91,0.97,2494,4,0
1784355309.4233,5.8,1.9,4.0,0.0,858.0,64.2,,0.8,0.91,0.97,2583,2,0
1784355310.4261,5.3,1.1,4.2,0.0,858.0,61.7,,0.8,0.91,0.97,3015,2,0
1784355311.4277,5.9,1.8,4.1,0.0,858.0,63.3,,0.8,0.91,0.97,2612,2,0
1784355312.4295,5.8,1.8,4.1,0.0,858.0,64.2,,0.8,0.91,0.97,2611,2,0
1784355313.4312,5.5,1.7,3.8,0.0,858.0,64.5,,0.81,0.92,0.97,2446,3,0
1784355314.434,5.6,1.3,4.4,0.0,858.0,62.8,,0.81,0.92,0.97,3024,2,0
1784355315.4357,5.9,1.7,4.1,0.1,858.0,64.2,,0.81,0.92,0.97,2708,4,0
1784355316.4374,5.8,1.8,4.0,0.0,858.0,64.8,,0.81,0.92,0.97,2587,2,0
1784355317.4388,5.8,1.6,4.2,0.0,858.0,64.9,,0.81,0.92,0.97,2570,2,0
1784355318.4411,5.6,1.4,4.2,0.0,858.0,63.1,,0.83,0.92,0.97,3029,3,0
1784355319.4432,5.6,1.8,3.9,0.0,858.0,65.0,,0.83,0.92,0.97,2594,2,0
1784355320.4447,5.8,1.8,4.0,0.0,858.0,65.7,,0.83,0.92,0.97,2622,2,0
1784355321.4463,5.7,1.8,4.0,0.0,858.0,66.0,,0.83,0.92,0.97,2574,2,0
1784355322.4491,5.7,1.4,4.3,0.0,858.0,63.3,,0.83,0.92,0.97,3189,2,0
1784355323.4507,5.9,1.9,4.0,0.1,858.0,64.2,,0.84,0.92,0.97,2671,2,0
1784355324.4525,5.6,1.8,3.9,0.0,858.0,65.2,,0.84,0.92,0.97,2557,2,0
1784355325.4541,5.9,1.8,4.1,0.0,858.0,65.6,,0.84,0.92,0.97,2748,2,0
1784355326.4567,5.6,1.4,4.3,0.0,858.0,63.3,,0.84,0.92,0.97,3050,2,0
1784355327.4588,5.8,2.0,3.9,0.0,858.0,64.9,,0.84,0.92,0.97,2706,2,0
1784355328.4602,5.8,1.8,4.0,0.0,858.0,65.6,,0.86,0.92,0.97,2616,2,0
1784355329.4619,5.5,1.9,3.6,0.0,858.0,65.8,,0.86,0.92,0.97,2510,2,0
1784355330.4651,5.5,1.0,4.5,0.0,858.0,63.5,,0.86,0.92,0.97,3036,2,0
1784355331.4682,6.0,1.7,4.2,0.1,858.0,64.4,,0.86,0.92,0.97,2668,2,0
1784355332.4713,5.9,1.9,4.0,0.0,858.0,64.9,,0.86,0.92,0.97,2634,2,0
1784355333.4732,5.7,2.0,3.8,0.0,858.0,65.1,,0.87,0.92,0.97,2584,2,0
1784355334.4758,5.5,1.2,4.3,0.0,858.0,64.1,,0.87,0.92,0.97,3006,3,0
1784355335.4775,5.7,1.7,4.1,0.0,858.0,65.2,,0.87,0.92,0.97,2557,2,0
1784355336.4791,6.0,1.9,4.1,0.0,858.0,65.8,,0.87,0.92,0.97,2722,2,0
1784355337.481,5.7,2.0,3.8,0.0,858.0,66.0,,0.87,0.92,0.97,2715,2,0
1784355338.4834,5.6,1.2,4.5,0.0,858.0,64.0,,0.96,0.94,0.98,3045,2,0
1784355339.4854,5.8,1.6,4.1,0.1,858.0,65.8,,0.96,0.94,0.98,2728,2,0
1784355340.4883,5.6,1.7,3.9,0.0,858.0,66.6,,0.96,0.94,0.98,2520,2,0
1784355341.4897,5.7,1.7,4.0,0.0,858.0,66.9,,0.96,0.94,0.98,2568,2,0
1784355342.4927,5.6,1.2,4.4,0.0,858.0,65.4,,0.96,0.94,0.98,3020,2,0
1784355343.495,5.9,1.7,4.2,0.0,858.0,66.6,,0.96,0.94,0.98,2626,2,0
1784355344.4976,5.8,1.8,4.0,0.0,858.0,67.0,,0.96,0.94,0.98,2609,3,0
1784355345.4999,5.6,1.9,3.8,0.0,858.0,67.2,,0.96,0.94,0.98,2447,2,0
1784355346.5023,5.4,1.2,4.3,0.0,858.0,64.3,,0.96,0.94,0.98,3051,2,0
1784355347.5041,5.9,1.8,4.0,0.1,858.0,65.4,,0.96,0.94,0.98,2677,2,0
1784355348.5055,5.8,1.8,4.0,0.0,858.0,66.3,,0.96,0.94,0.98,2606,2,0
1784355349.5074,5.7,1.8,3.9,0.0,858.0,66.6,,0.96,0.94,0.98,2644,2,0
1784355350.5097,5.7,1.2,4.5,0.0,858.0,65.0,,0.96,0.94,0.98,2986,3,0
1784355351.5113,5.5,1.8,3.8,0.0,858.0,66.1,,0.96,0.94,0.98,2532,2,0
1784355352.513,5.8,1.7,4.1,0.0,858.0,66.7,,0.96,0.94,0.98,2599,2,0
1784355353.5146,5.7,1.7,4.0,0.0,858.0,66.8,,0.97,0.94,0.98,2596,2,0
1784355354.5175,5.6,1.5,4.2,0.0,858.0,64.5,,0.97,0.94,0.98,3045,2,0
1784355355.5197,5.8,1.8,4.0,0.1,858.0,65.3,,0.97,0.94,0.98,2618,2,0
1784355356.5227,5.5,1.6,3.9,0.0,858.0,65.7,,0.97,0.94,0.98,2470,2,0
1784355357.5249,5.7,1.9,3.8,0.0,858.0,65.9,,0.97,0.94,0.98,2595,3,0
1784355358.5279,5.6,1.3,4.3,0.0,858.0,64.8,,0.97,0.94,0.98,3069,3,0
1784355359.5308,5.8,1.8,4.0,0.0,858.0,65.7,,0.97,0.94,0.98,2597,2,0
1784355360.5335,5.9,2.0,4.0,0.0,858.0,65.9,,0.97,0.94,0.98,2656,2,0
1784355361.5352,5.6,1.9,3.7,0.0,858.0,66.0,,0.97,0.94,0.98,2480,3,0
1784355362.5378,5.3,1.0,4.3,0.0,858.0,64.1,,0.97,0.94,0.98,2848,3,0
1784355363.5401,5.9,1.8,4.1,0.1,858.0,65.3,,0.97,0.95,0.98,2598,2,0
1784355364.5428,5.7,1.6,4.1,0.0,858.0,65.8,,0.97,0.95,0.98,2537,2,0
1784355365.5451,5.7,1.9,3.8,0.0,858.0,66.1,,0.97,0.95,0.98,2553,2,0
1784355366.5483,5.6,1.1,4.5,0.0,858.0,64.9,,0.97,0.95,0.98,3041,2,0
1784355367.5505,5.6,1.7,3.9,0.0,858.0,65.7,,0.97,0.95,0.98,2522,3,0
1784355368.5534,5.7,1.7,4.0,0.0,858.0,66.0,,0.98,0.95,0.98,2519,2,0
1784355369.555,5.7,2.0,3.8,0.0,858.0,66.3,,0.98,0.95,0.98,2556,2,0
1784355370.5583,5.6,1.1,4.5,0.0,858.0,65.0,,0.98,0.95,0.98,2955,2,0
1784355371.5606,6.1,2.0,4.0,0.1,858.0,65.8,,0.98,0.95,0.98,2670,2,0
1784355372.5624,5.8,1.8,4.0,0.0,858.0,66.2,,0.98,0.95,0.98,2611,2,0
1784355373.5638,5.5,2.0,3.6,0.0,858.0,66.4,,0.98,0.95,0.98,2452,2,0
1784355374.5666,5.5,1.1,4.4,0.0,858.0,65.1,,0.98,0.95,0.98,2961,2,0
1784355375.5698,5.8,1.7,4.1,0.0,858.0,65.9,,0.98,0.95,0.98,2650,2,0
1784355376.5728,5.8,1.7,4.2,0.0,858.0,66.4,,0.98,0.95,0.98,2656,2,0
1784355377.5748,5.8,2.0,3.8,0.0,858.0,66.5,,0.98,0.95,0.98,2731,2,0
1784355378.5768,5.5,1.2,4.4,0.0,858.0,64.7,,0.98,0.95,0.98,2997,2,0
1784355379.5795,5.6,1.7,3.9,0.1,858.0,65.8,,0.98,0.95,0.98,2516,2,0
1784355380.5817,5.8,1.9,4.0,0.0,858.0,66.5,,0.98,0.95,0.98,2575,2,0
1784355381.5831,5.7,2.0,3.8,0.0,858.0,66.8,,0.98,0.95,0.98,2580,2,0
1784355382.5856,5.6,1.1,4.5,0.0,858.0,65.6,,0.98,0.95,0.98,3043,2,0
1784355383.5876,5.8,1.6,4.2,0.0,858.0,66.4,,0.98,0.95,0.98,2572,2,0
1784355384.5907,5.7,1.7,4.0,0.0,858.0,66.6,,0.98,0.95,0.98,2533,2,0
1784355385.5926,5.8,2.0,3.8,0.0,858.0,66.8,,0.98,0.95,0.98,2592,2,0
1784355386.5954,5.6,1.2,4.4,0.1,858.0,64.7,,0.98,0.95,0.98,3007,2,0
1784355387.5983,5.8,1.8,4.0,0.0,858.0,66.9,,0.98,0.95,0.98,2812,2,0
1784355388.6008,5.7,1.6,4.2,0.0,858.0,67.8,,1.06,0.97,0.99,2969,2,0
1784355389.6022,5.7,1.9,3.8,0.0,858.0,68.1,,1.06,0.97,0.99,2522,2,0
1784355390.6051,5.2,1.1,4.2,0.0,858.0,64.9,,1.06,0.97,0.99,2811,2,0
1784355391.6081,6.0,1.8,4.1,0.1,858.0,65.7,,1.06,0.97,0.99,2678,2,0
1784355392.611,5.7,1.8,4.0,0.0,858.0,66.3,,1.06,0.97,0.99,2557,2,0
1784355393.6133,5.8,1.9,3.9,0.0,858.0,66.6,,1.06,0.97,0.99,2590,2,0
1784355394.6159,5.6,1.2,4.4,0.0,858.0,65.4,,1.06,0.97,0.99,2981,3,0
1784355395.6182,5.7,1.8,3.9,0.0,858.0,66.2,,1.06,0.97,0.99,2482,3,0
