timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1784392276.5968,0.5,0.1,0.4,0.0,858.0,57.8,,0.68,1.03,1.03,1614,3,0
1784392277.5975,3.0,0.9,2.1,0.0,858.0,59.7,,0.68,1.03,1.03,2684,3,0
1784392278.5987,5.5,1.7,3.7,0.1,858.0,62.6,,0.68,1.03,1.03,2721,2,0
1784392279.5996,5.5,1.7,3.8,0.0,858.0,63.9,,0.68,1.03,1.03,2705,2,0
1784392280.6004,5.5,1.7,3.9,0.0,858.0,64.6,,0.71,1.03,1.03,2688,2,0
1784392281.6012,5.5,1.7,3.8,0.0,858.0,65.0,,0.71,1.03,1.03,2584,2,0
1784392282.6022,5.5,1.5,4.0,0.0,858.0,65.2,,0.71,1.03,1.03,2694,2,0
1784392283.6029,5.4,1.7,3.8,0.0,858.0,65.4,,0.71,1.03,1.03,2718,2,0
1784392284.6039,5.5,1.7,3.8,0.0,858.0,65.4,,0.71,1.03,1.03,2679,2,0
1784392285.6048,5.4,1.7,3.8,0.0,858.0,65.6,,0.73,1.03,1.02,2606,3,0
1784392286.6057,5.4,2.8,2.6,0.0,858.0,65.8,,0.73,1.03,1.02,2538,3,0
1784392287.6064,5.5,1.6,3.9,0.1,858.0,66.0,,0.73,1.03,1.02,2508,2,0
1784392288.6073,5.5,1.6,3.9,0.0,858.0,66.0,,0.73,1.03,1.02,2596,2,0
1784392289.6082,5.4,1.6,3.9,0.0,858.0,66.1,,0.73,1.03,1.02,2557,2,0
1784392290.609,5.3,1.8,3.6,0.0,858.0,66.3,,0.75,1.03,1.02,2544,2,0
1784392291.6102,5.5,1.6,3.9,0.0,858.0,66.3,,0.75,1.03,1.02,2595,2,0
1784392292.611,5.4,1.6,3.8,0.0,858.0,66.4,,0.75,1.03,1.02,2564,2,0
1784392293.6119,5.5,1.6,3.9,0.0,858.0,66.5,,0.75,1.03,1.02,2640,2,0
1784392294.6126,5.5,2.6,2.9,0.0,858.0,66.7,,0.75,1.03,1.02,2557,2,0
1784392295.6137,5.2,2.0,3.2,0.0,858.0,65.2,,0.77,1.03,1.02,2948,3,0
1784392296.6149,5.5,1.7,3.8,0.1,858.0,65.0,,0.77,1.03,1.02,2545,2,0
1784392297.6157,5.4,1.7,3.8,0.0,858.0,65.1,,0.77,1.03,1.02,2592,2,0
1784392298.6166,5.5,1.6,3.9,0.0,858.0,65.2,,0.77,1.03,1.02,2558,2,0
1784392299.618,5.5,1.5,4.0,0.0,858.0,65.3,,0.77,1.03,1.02,2612,2,0
1784392300.6192,5.5,1.7,3.8,0.0,858.0,65.4,,0.79,1.03,1.02,2541,2,0
1784392301.6204,5.4,1.7,3.8,0.0,858.0,65.4,,0.79,1.03,1.02,2602,2,0
1784392302.6216,5.5,1.7,3.9,0.0,858.0,65.6,,0.79,1.03,1.02,2602,2,0
1784392303.6225,5.6,2.7,2.8,0.1,858.0,65.7,,0.79,1.03,1.02,2601,2,0
1784392304.6236,5.3,1.9,3.4,0.0,858.0,65.8,,0.79,1.03,1.02,2491,2,0
1784392305.6244,5.6,1.7,3.8,0.1,858.0,65.9,,0.89,1.04,1.03,2552,2,0
1784392306.6257,5.5,1.7,3.8,0.0,858.0,66.0,,0.89,1.04,1.03,2571,2,0
1784392307.6265,5.6,1.7,3.9,0.0,858.0,66.0,,0.89,1.04,1.03,2596,2,0
1784392308.6276,5.5,1.8,3.7,0.0,858.0,66.0,,0.89,1.04,1.03,2612,2,0
1784392309.6285,5.5,1.7,3.8,0.0,858.0,66.1,,0.89,1.04,1.03,2569,2,0
1784392310.6301,5.4,1.6,3.8,0.0,858.0,66.1,,0.9,1.04,1.03,2538,2,0
1784392311.6309,5.6,1.6,3.9,0.1,858.0,66.1,,0.9,1.04,1.03,2604,2,0
1784392312.6317,5.3,2.8,2.5,0.0,858.0,66.0,,0.9,1.04,1.03,2859,2,0
1784392313.6326,5.3,1.7,3.7,0.0,858.0,65.9,,0.9,1.04,1.03,2570,2,0
1784392314.6334,5.5,1.8,3.8,0.0,858.0,66.2,,0.9,1.04,1.03,2601,2,0
1784392315.6342,5.4,1.8,3.7,0.0,858.0,66.4,,0.91,1.04,1.03,2637,2,0
1784392316.635,5.5,1.6,3.9,0.0,858.0,66.5,,0.91,1.04,1.03,2706,2,0
1784392317.6357,5.5,1.7,3.8,0.0,858.0,66.6,,0.91,1.04,1.03,2995,2,0
1784392318.6367,5.5,1.8,3.7,0.1,858.0,66.7,,0.91,1.04,1.03,2605,2,0
1784392319.6374,5.3,1.5,3.9,0.0,858.0,66.8,,0.91,1.04,1.03,2581,2,0
1784392320.6382,5.5,1.8,3.8,0.0,858.0,67.1,,0.91,1.04,1.03,2599,2,0
1784392321.6391,5.4,2.9,2.5,0.0,858.0,67.2,,0.91,1.04,1.03,2606,2,0
1784392322.6399,5.3,1.6,3.8,0.0,858.0,67.1,,0.91,1.04,1.03,2469,2,0
1784392323.6407,5.4,1.6,3.8,0.0,858.0,67.1,,0.91,1.04,1.03,2587,2,0
1784392324.6414,5.4,1.7,3.8,0.0,858.0,67.2,,0.91,1.04,1.03,2704,2,0
1784392325.6422,5.5,1.7,3.8,0.0,858.0,67.3,,0.92,1.04,1.03,2501,2,0
1784392326.643,5.5,1.7,3.8,0.0,858.0,67.4,,0.92,1.04,1.03,2633,2,0
1784392327.6438,5.5,1.7,3.8,0.0,858.0,67.4,,0.92,1.04,1.03,2674,2,0
1784392328.6445,5.5,1.7,3.8,0.0,858.0,67.4,,0.92,1.04,1.03,2624,2,0
1784392329.6454,5.5,1.6,3.9,0.1,858.0,67.5,,0.92,1.04,1.03,2587,2,0
1784392330.6461,5.4,2.9,2.6,0.0,858.0,66.8,,0.93,1.04,1.03,2962,2,0
1784392331.6475,5.3,1.6,3.8,0.0,858.0,67.3,,0.93,1.04,1.03,2462,2,0
1784392332.6486,5.5,1.7,3.8,0.0,858.0,67.7,,0.93,1.04,1.03,2617,2,0
1784392333.6495,5.5,1.7,3.8,0.0,858.0,67.9,,0.93,1.04,1.03,2519,2,0
1784392334.6504,5.4,1.6,3.8,0.0,858.0,68.0,,0.93,1.04,1.03,2516,2,0
1784392335.6513,5.4,1.7,3.8,0.0,858.0,68.0,,0.93,1.04,1.03,2524,2,0
1784392336.6528,5.5,1.6,3.9,0.1,858.0,68.1,,0.93,1.04,1.03,2559,2,0
1784392337.654,5.5,1.6,3.9,0.0,858.0,68.1,,0.93,1.04,1.03,2580,3,0
1784392338.6555,5.5,1.7,3.8,0.0,858.0,68.1,,0.93,1.04,1.03,2558,2,0
1784392339.6563,5.4,3.0,2.4,0.0,858.0,68.2,,0.93,1.04,1.03,2642,2,0
1784392340.6571,5.4,1.7,3.7,0.0,858.0,68.1,,0.94,1.04,1.03,2464,3,0
1784392341.6582,5.4,1.5,3.9,0.0,858.0,68.1,,0.94,1.04,1.03,2416,2,0
1784392342.6594,5.5,1.8,3.7,0.1,858.0,68.1,,0.94,1.04,1.03,2621,2,0
1784392343.6603,5.4,1.6,3.8,0.0,858.0,68.1,,0.94,1.04,1.03,2490,2,0
1784392344.6616,5.4,1.7,3.7,0.0,858.0,68.1,,0.94,1.04,1.03,2512,3,0
1784392345.663,5.5,1.8,3.7,0.0,858.0,68.1,,0.94,1.03,1.02,2498,2,0
1784392346.6645,5.4,1.6,3.8,0.0,858.0,68.1,,0.94,1.03,1.02,2657,2,0
1784392347.6657,5.6,1.8,3.7,0.1,858.0,68.1,,0.94,1.03,1.02,2669,2,0
1784392348.6672,5.3,2.8,2.5,0.0,858.0,67.0,,0.94,1.03,1.02,2959,2,0
1784392349.6679,5.5,1.7,3.9,0.0,858.0,66.8,,0.94,1.03,1.02,2552,2,0
1784392350.6692,5.3,1.6,3.7,0.0,858.0,67.0,,0.95,1.03,1.02,2477,2,0
1784392351.6707,5.5,1.7,3.8,0.0,858.0,67.1,,0.95,1.03,1.02,2644,2,0
1784392352.6721,5.4,1.6,3.8,0.0,858.0,67.2,,0.95,1.03,1.02,2527,2,0
1784392353.6735,5.4,1.7,3.8,0.0,858.0,67.2,,0.95,1.03,1.02,2556,2,0
1784392354.6743,5.6,1.7,3.8,0.2,858.0,67.2,,0.95,1.03,1.02,2652,3,0
1784392355.6754,5.5,1.7,3.8,0.0,858.0,67.3,,0.95,1.03,1.02,2544,2,0
1784392356.6771,5.5,1.8,3.7,0.0,858.0,67.4,,0.95,1.03,1.02,2529,2,0
1784392357.6784,5.4,2.9,2.5,0.0,858.0,67.5,,0.95,1.03,1.02,2538,2,0
1784392358.6793,5.5,1.6,3.9,0.0,858.0,67.4,,0.95,1.03,1.02,2567,2,0
1784392359.6807,5.3,1.6,3.7,0.0,858.0,67.4,,0.95,1.03,1.02,2469,2,0
1784392360.682,5.5,1.6,3.9,0.1,858.0,67.4,,0.96,1.03,1.02,2596,2,0
1784392361.6834,5.5,1.9,3.7,0.0,858.0,67.5,,0.96,1.03,1.02,2540,2,0
1784392362.6847,5.4,1.7,3.7,0.0,858.0,67.6,,0.96,1.03,1.02,2651,2,0
1784392363.6862,5.4,1.6,3.8,0.0,858.0,67.6,,0.96,1.03,1.02,2610,2,0
1784392364.6876,5.5,1.6,3.9,0.0,858.0,67.7,,0.96,1.03,1.02,2533,2,0
1784392365.689,5.4,1.9,3.6,0.0,858.0,67.7,,0.96,1.03,1.02,2589,2,0
1784392366.6899,5.2,2.8,2.5,0.0,858.0,66.4,,0.96,1.03,1.02,3004,2,0
1784392367.691,5.6,1.7,3.9,0.0,858.0,66.8,,0.96,1.03,1.02,2540,3,0
1784392368.6919,5.4,1.8,3.6,0.0,858.0,67.0,,0.96,1.03,1.02,2509,2,0
1784392369.6934,5.5,1.7,3.8,0.0,858.0,67.2,,0.96,1.03,1.02,2495,2,0
1784392370.6947,5.4,1.8,3.6,0.0,858.0,67.3,,0.96,1.03,1.02,2586,2,0
1784392371.6962,5.4,1.6,3.9,0.0,858.0,67.3,,0.96,1.03,1.02,2546,2,0
1784392372.6971,5.5,1.7,3.7,0.1,858.0,67.3,,0.96,1.03,1.02,2543,2,0
1784392373.6983,5.5,1.7,3.9,0.0,858.0,67.4,,0.96,1.03,1.02,2684,2,0
1784392374.6995,5.4,2.0,3.4,0.0,858.0,67.4,,0.96,1.03,1.02,2541,2,0
1784392375.7009,5.5,2.7,2.8,0.0,858.0,67.4,,0.97,1.03,1.02,2620,2,0
1784392376.7016,5.5,1.7,3.8,0.0,858.0,67.4,,0.97,1.03,1.02,2657,2,0
1784392377.7025,5.4,1.8,3.7,0.0,858.0,67.4,,0.97,1.03,1.02,2433,2,0
1784392378.7036,5.4,1.7,3.7,0.0,858.0,67.4,,0.97,1.03,1.02,2601,2,0
1784392379.7048,5.4,1.6,3.8,0.0,858.0,67.4,,0.97,1.03,1.02,2565,2,0
1784392380.7062,5.5,1.6,3.9,0.0,858.0,67.4,,1.05,1.05,1.03,2597,2,0
1784392381.7073,5.5,1.7,3.8,0.0,858.0,67.4,,1.05,1.05,1.03,2522,3,0
1784392382.709,5.5,1.6,3.8,0.1,858.0,67.4,,1.05,1.05,1.03,2548,2,0
1784392383.7103,5.5,2.6,2.9,0.0,858.0,67.5,,1.05,1.05,1.03,2601,2,0
