timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1784386554.5695,121.69,3.45,2.8,112.13,118.24,16.0,0,0.0,0.0
1784386555.5699,121.69,3.85,3.2,111.73,117.84,16.0,0,0.0,0.0
1784386556.5703,121.69,4.07,3.3,111.51,117.62,16.0,0,0.0,0.0
1784386557.5711,121.69,4.29,3.5,111.29,117.4,16.0,0,0.0,0.0
1784386558.5721,121.69,3.77,3.1,111.81,117.92,16.0,0,0.0,0.0
1784386559.5731,121.69,3.99,3.3,111.59,117.7,16.0,0,0.0,0.0
1784386560.5735,121.69,4.21,3.5,111.37,117.48,16.0,0,0.0,0.0
1784386561.5746,121.69,4.39,3.6,111.19,117.3,16.0,0,0.0,0.0
1784386562.5757,121.69,3.92,3.2,111.66,117.77,16.0,0,0.0,0.0
1784386563.5763,121.69,4.14,3.4,111.44,117.55,16.0,0,0.0,0.0
1784386564.5767,121.69,4.37,3.6,111.21,117.32,16.0,0,0.0,0.0
1784386565.5774,121.69,3.86,3.2,111.72,117.83,16.0,0,0.0,0.0
1784386566.5782,121.69,4.08,3.4,111.5,117.61,16.0,0,0.0,0.0
1784386567.5794,121.69,4.31,3.5,111.27,117.38,16.0,0,0.0,0.0
1784386568.5803,121.69,3.77,3.1,111.81,117.92,16.0,0,0.0,0.0
1784386569.5812,121.69,4.0,3.3,111.58,117.69,16.0,0,0.0,0.0
1784386570.5822,121.69,4.23,3.5,111.35,117.46,16.0,0,0.0,0.0
1784386571.5828,121.69,4.42,3.6,111.16,117.27,16.0,0,0.0,0.0
1784386572.5831,121.69,3.95,3.2,111.63,117.74,16.0,0,0.0,0.0
1784386573.5834,121.69,4.16,3.4,111.42,117.53,16.0,0,0.0,0.0
1784386574.5842,121.69,4.4,3.6,111.18,117.29,16.0,0,0.0,0.0
1784386575.585,121.69,3.91,3.2,111.67,117.78,16.0,0,0.0,0.0
1784386576.5855,121.69,4.12,3.4,111.46,117.57,16.0,0,0.0,0.0
1784386577.5859,121.69,4.34,3.6,111.24,117.35,16.0,0,0.0,0.0
1784386578.5865,121.69,3.83,3.1,111.75,117.86,16.0,0,0.0,0.0
1784386579.5868,121.69,4.05,3.3,111.53,117.64,16.0,0,0.0,0.0
1784386580.5872,121.69,4.27,3.5,111.31,117.42,16.0,0,0.0,0.0
1784386581.5875,121.69,4.47,3.7,111.11,117.22,16.0,0,0.0,0.0
1784386582.5879,121.69,3.98,3.3,111.6,117.71,16.0,0,0.0,0.0
1784386583.5882,121.69,4.2,3.5,111.38,117.49,16.0,0,0.0,0.0
1784386584.5885,121.69,4.42,3.6,111.16,117.27,16.0,0,0.0,0.0
1784386585.5892,121.69,3.92,3.2,111.66,117.77,16.0,0,0.0,0.0
1784386586.5896,121.69,4.14,3.4,111.44,117.55,16.0,0,0.0,0.0
1784386587.59,121.69,4.36,3.6,111.22,117.33,16.0,0,0.0,0.0
1784386588.5904,121.69,4.49,3.7,111.09,117.2,16.0,0,0.0,0.0
1784386589.5908,121.69,4.38,3.6,111.2,117.31,16.0,0,0.0,0.0
1784386590.5917,121.69,4.6,3.8,110.98,117.09,16.0,0,0.0,0.0
1784386591.5921,121.69,4.81,4.0,110.76,116.88,16.0,0,0.0,0.0
1784386592.5925,121.69,4.26,3.5,111.32,117.43,16.0,0,0.0,0.0
1784386593.5931,121.69,4.47,3.7,111.11,117.22,16.0,0,0.0,0.0
1784386594.5938,121.69,4.69,3.9,110.89,117.0,16.0,0,0.0,0.0
1784386595.5944,121.69,4.18,3.4,111.4,117.51,16.0,0,0.0,0.0
1784386596.5946,121.69,4.38,3.6,111.2,117.31,16.0,0,0.0,0.0
1784386597.596,121.69,4.6,3.8,110.98,117.09,16.0,0,0.0,0.0
1784386598.5963,121.69,4.73,3.9,110.84,116.96,16.0,0,0.0,0.0
1784386599.5966,121.69,4.33,3.6,111.25,117.36,16.0,0,0.0,0.0
1784386600.5971,121.69,4.54,3.7,111.04,117.15,16.0,0,0.0,0.0
1784386601.5977,121.69,4.75,3.9,110.83,116.94,16.0,0,0.0,0.0
1784386602.5984,121.69,4.35,3.6,111.23,117.34,16.0,0,0.0,0.0
1784386603.5993,121.69,4.56,3.7,111.02,117.13,16.0,0,0.0,0.0
1784386604.5997,121.69,4.76,3.9,110.81,116.93,16.0,0,0.0,0.0
1784386605.5999,121.69,4.18,3.4,111.4,117.51,16.0,0,0.0,0.0
1784386606.6009,121.69,4.39,3.6,111.19,117.3,16.0,0,0.0,0.0
1784386607.6018,121.69,4.61,3.8,110.96,117.08,16.0,0,0.0,0.0
1784386608.6027,121.69,4.8,3.9,110.78,116.89,16.0,0,0.0,0.0
1784386609.6033,121.69,4.23,3.5,111.35,117.46,16.0,0,0.0,0.0
1784386610.6043,121.69,4.45,3.7,111.13,117.24,16.0,0,0.0,0.0
1784386611.6051,121.69,4.66,3.8,110.92,117.03,16.0,0,0.0,0.0
1784386612.6062,121.69,4.12,3.4,111.46,117.57,16.0,0,0.0,0.0
1784386613.6064,121.69,4.34,3.6,111.23,117.35,16.0,0,0.0,0.0
1784386614.6073,121.69,4.55,3.7,111.03,117.14,16.0,0,0.0,0.0
1784386615.608,121.69,4.02,3.3,111.55,117.67,16.0,0,0.0,0.0
1784386616.6082,121.69,4.23,3.5,111.35,117.46,16.0,0,0.0,0.0
1784386617.6085,121.69,4.43,3.6,111.15,117.26,16.0,0,0.0,0.0
1784386618.6093,121.69,4.66,3.8,110.92,117.03,16.0,0,0.0,0.0
1784386619.61,121.69,4.12,3.4,111.46,117.57,16.0,0,0.0,0.0
1784386620.6106,121.69,4.32,3.6,111.26,117.37,16.0,0,0.0,0.0
1784386621.611,121.69,4.52,3.7,111.05,117.17,16.0,0,0.0,0.0
1784386622.6113,121.69,4.29,3.5,111.29,117.4,16.0,0,0.0,0.0
1784386623.612,121.69,4.49,3.7,111.09,117.2,16.0,0,0.0,0.0
1784386624.6126,121.69,4.7,3.9,110.88,116.99,16.0,0,0.0,0.0
