timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1784363447.4018,2763,0,0,0,0,0
1784363447.903,19260,0,0,0,0,0
1784363448.4036,165868,0,0,0,0,0
1784363448.9043,2241,0,0,0,0,0
1784363449.4053,2238,0,0,0,0,0
1784363449.9058,2096,0,0,0,0,0
1784363450.4066,148,0,0,0,0,0
1784363450.9073,2231,0,0,0,0,0
1784363451.408,2243,0,0,0,0,0
1784363451.909,2236,0,0,0,0,0
1784363452.4097,2241,0,0,0,0,0
1784363452.9105,2234,0,0,0,0,0
1784363453.4111,2233,0,0,0,0,0
1784363453.9119,976,0,0,0,0,0
1784363454.4135,1272,0,0,0,0,0
1784363454.9142,2235,0,0,0,0,0
1784363455.4155,2288,0,0,0,0,0
1784363455.9163,2244,0,0,0,0,0
1784363456.417,2237,0,0,0,0,0
1784363456.9181,2237,0,0,0,0,0
1784363457.4186,2108,0,0,0,0,0
1784363457.919,134,0,0,0,0,0
1784363458.42,2234,0,0,0,0,0
1784363458.921,2237,0,0,0,0,0
1784363459.4216,2237,0,0,0,0,0
1784363459.9227,2235,0,0,0,0,0
1784363460.4237,2240,0,0,0,0,0
1784363460.9248,165762,0,0,0,0,0
1784363461.4257,2240,0,0,0,0,0
1784363461.9263,2237,0,0,0,0,0
1784363462.427,2235,0,0,0,0,0
1784363462.9275,2240,0,0,0,0,0
1784363463.428,188,0,0,0,0,0
1784363463.9286,2050,0,0,0,0,0
1784363464.4293,2241,0,0,0,0,0
1784363464.9301,2243,0,0,0,0,0
1784363465.4306,2244,0,0,0,0,0
1784363465.9311,2244,0,0,0,0,0
1784363466.4319,2241,0,0,0,0,0
1784363466.9323,2128,0,0,0,0,0
1784363467.4332,114,0,0,0,0,0
1784363467.9341,2236,0,0,0,0,0
1784363468.4349,2240,0,0,0,0,0
1784363468.9354,2238,0,0,0,0,0
1784363469.4362,2236,0,0,0,0,0
1784363469.9367,2236,0,0,0,0,0
1784363470.4371,2246,0,0,0,0,0
1784363470.9376,2240,0,0,0,0,0
1784363471.438,2240,0,0,0,0,0
1784363471.9385,679,0,0,0,0,0
1784363472.4392,1562,0,0,0,0,0
1784363472.9401,2236,0,0,0,0,0
1784363473.4406,129080,0,0,0,0,0
1784363473.9416,39096,0,0,0,0,0
1784363474.4424,2236,0,0,0,0,0
1784363474.9429,2238,0,0,0,0,0
1784363475.4435,2235,0,0,0,0,0
1784363475.9444,2238,0,0,0,0,0
1784363476.445,2237,0,0,0,0,0
1784363476.9454,1315,0,0,0,0,0
1784363477.4459,927,0,0,0,0,0
1784363477.9465,2240,0,0,0,0,0
1784363478.4469,2242,0,0,0,0,0
1784363478.9474,2240,0,0,0,0,0
1784363479.4479,2290,0,0,0,0,0
1784363479.9485,2239,0,0,0,0,0
1784363480.4489,2246,0,0,0,0,0
1784363480.9494,2070,0,0,0,0,0
1784363481.4499,168,0,0,0,0,0
1784363481.9507,2236,0,0,0,0,0
1784363482.4511,2236,0,0,0,0,0
1784363482.9519,2236,0,0,0,0,0
1784363483.4523,2236,0,0,0,0,0
1784363483.9527,2238,0,0,0,0,0
1784363484.453,2240,0,0,0,0,0
1784363484.9534,2240,0,0,0,0,0
1784363485.4541,2237,0,0,0,0,0
1784363485.9551,2237,0,0,0,0,0
1784363486.4558,165913,0,0,0,0,0
1784363486.9563,1309,0,0,0,0,0
1784363487.4569,929,0,0,0,0,0
1784363487.9573,2238,0,0,0,0,0
1784363488.4578,2236,0,0,0,0,0
1784363488.9584,3698,0,0,0,0,0
1784363489.4588,2240,0,0,0,0,0
1784363489.9593,2244,0,0,0,0,0
1784363490.4599,2243,0,0,0,0,0
1784363490.9603,554,0,0,0,0,0
1784363491.4608,1738,0,0,0,0,0
1784363491.9613,2234,0,0,0,0,0
1784363492.4619,2241,0,0,0,0,0
1784363492.9623,2246,0,0,0,0,0
1784363493.4628,2236,0,0,0,0,0
1784363493.9632,2244,0,0,0,0,0
1784363494.4635,2236,0,0,0,0,0
1784363494.9639,1315,0,0,0,0,0
1784363495.4643,929,0,0,0,0,0
1784363495.965,2235,0,0,0,0,0
1784363496.4657,2241,0,0,0,0,0
1784363496.9662,2240,0,0,0,0,0
1784363497.4666,2242,0,0,0,0,0
1784363497.9669,2234,0,0,0,0,0
1784363498.4676,2239,0,0,0,0,0
1784363498.968,105507,0,0,0,0,0
1784363499.4687,62705,0,0,0,0,0
1784363499.9694,2239,0,0,0,0,0
1784363500.47,1316,0,0,0,0,0
1784363500.9708,920,0,0,0,0,0
1784363501.4717,2236,0,0,0,0,0
1784363501.9725,2242,0,0,0,0,0
1784363502.4734,2236,0,0,0,0,0
1784363502.9743,2238,0,0,0,0,0
1784363503.4752,2240,0,0,0,0,0
1784363503.9758,2237,0,0,0,0,0
1784363504.4762,2072,0,0,0,0,0
1784363504.977,170,0,0,0,0,0
1784363505.4782,2235,0,0,0,0,0
1784363505.979,2234,0,0,0,0,0
1784363506.4799,2244,0,0,0,0,0
1784363506.9804,2240,0,0,0,0,0
1784363507.4812,2234,0,0,0,0,0
1784363507.9821,2230,0,0,0,0,0
1784363508.4826,2236,0,0,0,0,0
1784363508.983,2082,0,0,0,0,0
1784363509.4837,160,0,0,0,0,0
1784363509.9843,2238,0,0,0,0,0
1784363510.485,2237,0,0,0,0,0
1784363510.9854,2236,0,0,0,0,0
1784363511.4861,2239,0,0,0,0,0
1784363511.9871,165819,0,0,0,0,0
1784363512.4882,2237,0,0,0,0,0
1784363512.989,2234,0,0,0,0,0
1784363513.4898,2236,0,0,0,0,0
1784363513.9909,2235,0,0,0,0,0
1784363514.4915,1310,0,0,0,0,0
1784363514.992,931,0,0,0,0,0
1784363515.493,2283,0,0,0,0,0
1784363515.9938,2234,0,0,0,0,0
1784363516.4945,2233,0,0,0,0,0
1784363516.9953,2238,0,0,0,0,0
1784363517.4965,2235,0,0,0,0,0
1784363517.9969,2238,0,0,0,0,0
1784363518.4974,1315,0,0,0,0,0
1784363518.9983,922,0,0,0,0,0
1784363519.499,2237,0,0,0,0,0
1784363519.9998,2245,0,0,0,0,0
1784363520.5004,2241,0,0,0,0,0
1784363521.0008,2234,0,0,0,0,0
1784363521.5014,2238,0,0,0,0,0
1784363522.0018,2234,0,0,0,0,0
1784363522.5023,2238,0,0,0,0,0
1784363523.0027,1339,0,0,0,0,0
1784363523.5032,903,0,0,0,0,0
1784363524.0039,2239,0,0,0,0,0
1784363524.5046,2337,0,0,0,0,0
1784363525.0054,165797,0,0,0,0,0
1784363525.5068,2236,0,0,0,0,0
1784363526.0078,2242,0,0,0,0,0
1784363526.5091,2234,0,0,0,0,0
1784363527.0099,2240,0,0,0,0,0
1784363527.5106,2293,0,0,0,0,0
1784363528.0114,1326,0,0,0,0,0
1784363528.5122,913,0,0,0,0,0
1784363529.0128,2241,0,0,0,0,0
1784363529.5141,2235,0,0,0,0,0
1784363530.0149,2240,0,0,0,0,0
1784363530.5157,2231,0,0,0,0,0
1784363531.0165,2236,0,0,0,0,0
1784363531.5172,2239,0,0,0,0,0
1784363532.0179,2113,0,0,0,0,0
1784363532.5185,126,0,0,0,0,0
1784363533.0192,2241,0,0,0,0,0
1784363533.52,2242,0,0,0,0,0
1784363534.0209,2238,0,0,0,0,0
1784363534.5215,2235,0,0,0,0,0
1784363535.0219,2236,0,0,0,0,0
1784363535.5222,2240,0,0,0,0,0
1784363536.0226,2238,0,0,0,0,0
1784363536.5229,2236,0,0,0,0,0
1784363537.0233,2242,0,0,0,0,0
1784363537.5241,165577,0,0,0,0,0
1784363538.0246,304,0,0,0,0,0
1784363538.5251,2238,0,0,0,0,0
1784363539.026,2240,0,0,0,0,0
1784363539.5265,2286,0,0,0,0,0
1784363540.0269,2236,0,0,0,0,0
1784363540.5277,2235,0,0,0,0,0
1784363541.0282,2234,0,0,0,0,0
1784363541.5287,2062,0,0,0,0,0
1784363542.0298,174,0,0,0,0,0
1784363542.5306,2240,0,0,0,0,0
1784363543.0314,2234,0,0,0,0,0
1784363543.5319,2244,0,0,0,0,0
1784363544.0328,2236,0,0,0,0,0
1784363544.5334,2235,0,0,0,0,0
1784363545.0338,2236,0,0,0,0,0
1784363545.5341,2216,0,0,0,0,0
1784363546.0345,22,0,0,0,0,0
1784363546.5353,2235,0,0,0,0,0
1784363547.0357,2238,0,0,0,0,0
1784363547.5364,2237,0,0,0,0,0
1784363548.0368,2240,0,0,0,0,0
1784363548.5371,2238,0,0,0,0,0
1784363549.0378,3701,0,0,0,0,0
1784363549.5382,2240,0,0,0,0,0
1784363550.039,49536,0,0,0,0,0
1784363550.5397,118602,0,0,0,0,0
1784363551.0403,2235,0,0,0,0,0
1784363551.5411,52,0,0,0,0,0
1784363552.0416,2234,0,0,0,0,0
1784363552.5423,2247,0,0,0,0,0
1784363553.043,2241,0,0,0,0,0
1784363553.5438,2235,0,0,0,0,0
1784363554.0443,2235,0,0,0,0,0
1784363554.5448,2244,0,0,0,0,0
1784363555.0451,2122,0,0,0,0,0
1784363555.5456,114,0,0,0,0,0
1784363556.0461,2236,0,0,0,0,0
1784363556.5466,2240,0,0,0,0,0
1784363557.047,2242,0,0,0,0,0
1784363557.5473,2238,0,0,0,0,0
1784363558.0477,2234,0,0,0,0,0
1784363558.5482,2240,0,0,0,0,0
1784363559.0486,2126,0,0,0,0,0
1784363559.5493,114,0,0,0,0,0
1784363560.0497,2236,0,0,0,0,0
1784363560.5504,2235,0,0,0,0,0
1784363561.0508,2236,0,0,0,0,0
1784363561.5511,2240,0,0,0,0,0
1784363562.0515,2250,0,0,0,0,0
1784363562.5518,2234,0,0,0,0,0
1784363563.0528,165824,0,0,0,0,0
1784363563.5537,2284,0,0,0,0,0
1784363564.0545,2238,0,0,0,0,0
1784363564.555,2234,0,0,0,0,0
1784363565.0555,158,0,0,0,0,0
1784363565.5565,2082,0,0,0,0,0
1784363566.0573,2244,0,0,0,0,0
1784363566.5581,2246,0,0,0,0,0
1784363567.0591,2234,0,0,0,0,0
1784363567.5596,2239,0,0,0,0,0
