timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1784380992.2769,3638,0,0,0,0,0
1784380992.7776,19273,0,0,0,0,0
1784380993.2808,300954,0,0,0,0,0
1784380993.7821,2308,0,0,0,0,0
1784380994.2831,2311,0,0,0,0,0
1784380994.7845,2314,0,0,0,0,0
1784380995.2854,2308,0,0,0,0,0
1784380995.7865,2309,0,0,0,0,0
1784380996.2872,1424,0,0,0,0,0
1784380996.7883,988,0,0,0,0,0
1784380997.2896,2306,0,0,0,0,0
1784380997.791,2317,0,0,0,0,0
1784380998.2923,2316,0,0,0,0,0
1784380998.7939,2319,0,0,0,0,0
1784380999.295,2313,0,0,0,0,0
1784380999.7959,2312,0,0,0,0,0
1784381000.2965,1382,0,0,0,0,0
1784381000.798,921,0,0,0,0,0
1784381001.2996,2235,0,0,0,0,0
1784381001.7999,92746,0,0,0,0,0
1784381002.3006,272792,0,0,0,0,0
1784381002.8016,203181,0,0,0,0,0
1784381003.3027,2317,0,0,0,0,0
1784381003.8035,2314,0,0,0,0,0
1784381004.304,1388,0,0,0,0,0
1784381004.8053,998,0,0,0,0,0
1784381005.3065,2317,0,0,0,0,0
1784381005.8072,2340,0,0,0,0,0
1784381006.3083,2309,0,0,0,0,0
1784381006.81,2308,0,0,0,0,0
1784381007.312,2313,0,0,0,0,0
1784381007.8128,2282,0,0,0,0,0
1784381008.3135,110,0,0,0,0,0
1784381008.8148,2312,0,0,0,0,0
1784381009.3156,2315,0,0,0,0,0
1784381009.8164,2304,0,0,0,0,0
1784381010.3173,2238,0,0,0,0,0
1784381010.819,2232,0,0,0,0,0
1784381011.3193,117682,0,0,0,0,0
1784381011.8197,225298,0,0,0,0,0
1784381012.3204,225094,0,0,0,0,0
1784381012.8211,1002,0,0,0,0,0
1784381013.3215,2316,0,0,0,0,0
1784381013.8224,2310,0,0,0,0,0
1784381014.3229,2310,0,0,0,0,0
1784381014.8234,2315,0,0,0,0,0
1784381015.3239,2336,0,0,0,0,0
1784381015.8244,1387,0,0,0,0,0
1784381016.3249,1003,0,0,0,0,0
1784381016.8254,2312,0,0,0,0,0
1784381017.3263,2370,0,0,0,0,0
1784381017.8267,2318,0,0,0,0,0
1784381018.3275,2312,0,0,0,0,0
1784381018.8281,2321,0,0,0,0,0
1784381019.3287,1484,0,0,0,0,0
1784381019.8295,2278,0,0,0,0,0
1784381020.3299,2242,0,0,0,0,0
1784381020.8305,134723,0,0,0,0,0
1784381021.3313,255791,0,0,0,0,0
1784381021.8326,178047,0,0,0,0,0
1784381022.3342,2312,0,0,0,0,0
1784381022.8358,2313,0,0,0,0,0
1784381023.3365,1402,0,0,0,0,0
1784381023.8377,986,0,0,0,0,0
1784381024.3392,2307,0,0,0,0,0
1784381024.8402,2339,0,0,0,0,0
1784381025.342,2304,0,0,0,0,0
1784381025.8439,2311,0,0,0,0,0
1784381026.3452,2310,0,0,0,0,0
1784381026.8459,2317,0,0,0,0,0
1784381027.3467,1384,0,0,0,0,0
1784381027.8482,1009,0,0,0,0,0
1784381028.3491,2316,0,0,0,0,0
1784381028.8505,2289,0,0,0,0,0
1784381029.3518,2284,0,0,0,0,0
1784381029.8527,2234,0,0,0,0,0
1784381030.3539,191234,0,0,0,0,0
1784381030.8543,269480,0,0,0,0,0
1784381031.355,107097,0,0,0,0,0
1784381031.8567,989,0,0,0,0,0
1784381032.3575,2302,0,0,0,0,0
1784381032.8587,2308,0,0,0,0,0
1784381033.3601,2307,0,0,0,0,0
1784381033.8616,2309,0,0,0,0,0
1784381034.3632,2329,0,0,0,0,0
1784381034.8639,2315,0,0,0,0,0
1784381035.3645,631,0,0,0,0,0
1784381035.8658,1751,0,0,0,0,0
1784381036.3671,2314,0,0,0,0,0
1784381036.8688,2306,0,0,0,0,0
1784381037.3698,2305,0,0,0,0,0
1784381037.8715,2306,0,0,0,0,0
1784381038.373,2281,0,0,0,0,0
1784381038.8737,2201,0,0,0,0,0
1784381039.3745,32,0,0,0,0,0
1784381039.8755,261603,0,0,0,0,0
1784381040.3763,269022,0,0,0,0,0
1784381040.878,37918,0,0,0,0,0
1784381041.3793,2362,0,0,0,0,0
1784381041.8805,2313,0,0,0,0,0
1784381042.3821,2312,0,0,0,0,0
1784381042.8828,2291,0,0,0,0,0
1784381043.3845,92,0,0,0,0,0
1784381043.8861,2333,0,0,0,0,0
1784381044.3874,2310,0,0,0,0,0
1784381044.889,2312,0,0,0,0,0
1784381045.3907,2310,0,0,0,0,0
1784381045.8923,2309,0,0,0,0,0
1784381046.393,2311,0,0,0,0,0
1784381046.8937,1390,0,0,0,0,0
1784381047.3951,991,0,0,0,0,0
1784381047.8968,2278,0,0,0,0,0
1784381048.3978,2235,0,0,0,0,0
1784381048.8991,2234,0,0,0,0,0
1784381049.4002,263777,0,0,0,0,0
1784381049.9009,302195,0,0,0,0,0
1784381050.4024,2547,0,0,0,0,0
1784381050.9032,2185,0,0,0,0,0
1784381051.4042,208,0,0,0,0,0
1784381051.9056,2314,0,0,0,0,0
1784381052.4071,2305,0,0,0,0,0
1784381052.9082,2339,0,0,0,0,0
1784381053.4097,2365,0,0,0,0,0
1784381053.9109,2308,0,0,0,0,0
1784381054.4117,2314,0,0,0,0,0
1784381054.9124,1384,0,0,0,0,0
1784381055.4139,1001,0,0,0,0,0
1784381055.9151,2307,0,0,0,0,0
1784381056.4167,2309,0,0,0,0,0
1784381056.918,2310,0,0,0,0,0
1784381057.419,2270,0,0,0,0,0
1784381057.921,2233,0,0,0,0,0
1784381058.4218,2241,0,0,0,0,0
1784381058.9221,263257,0,0,0,0,0
1784381059.4232,300674,0,0,0,0,0
1784381059.9249,2548,0,0,0,0,0
1784381060.4263,2311,0,0,0,0,0
1784381060.9278,2311,0,0,0,0,0
1784381061.4292,2308,0,0,0,0,0
1784381061.9307,2303,0,0,0,0,0
1784381062.4313,2355,0,0,0,0,0
1784381062.932,312,0,0,0,0,0
1784381063.4334,2066,0,0,0,0,0
1784381063.9348,2317,0,0,0,0,0
1784381064.4361,2302,0,0,0,0,0
1784381064.9377,2310,0,0,0,0,0
1784381065.4392,2361,0,0,0,0,0
1784381065.9403,2313,0,0,0,0,0
1784381066.4412,2180,0,0,0,0,0
1784381066.9428,165,0,0,0,0,0
1784381067.4444,2237,0,0,0,0,0
1784381067.9458,2238,0,0,0,0,0
1784381068.4467,263902,0,0,0,0,0
1784381068.9483,301989,0,0,0,0,0
1784381069.449,2310,0,0,0,0,0
1784381069.9498,2316,0,0,0,0,0
1784381070.4508,2309,0,0,0,0,0
1784381070.9514,1386,0,0,0,0,0
1784381071.4522,1000,0,0,0,0,0
1784381071.9528,2341,0,0,0,0,0
1784381072.4537,2306,0,0,0,0,0
1784381072.9544,2381,0,0,0,0,0
1784381073.4552,2310,0,0,0,0,0
1784381073.9562,2316,0,0,0,0,0
1784381074.457,2312,0,0,0,0,0
1784381074.9578,1400,0,0,0,0,0
1784381075.4583,995,0,0,0,0,0
1784381075.9591,2320,0,0,0,0,0
1784381076.46,2266,0,0,0,0,0
1784381076.9611,2231,0,0,0,0,0
1784381077.4618,2295,0,0,0,0,0
1784381077.9625,264017,0,0,0,0,0
1784381078.464,302065,0,0,0,0,0
1784381078.9651,2309,0,0,0,0,0
1784381079.4659,1398,0,0,0,0,0
1784381079.9667,2448,0,0,0,0,0
1784381080.4676,2310,0,0,0,0,0
1784381080.9684,2310,0,0,0,0,0
1784381081.4692,2336,0,0,0,0,0
1784381081.9703,2307,0,0,0,0,0
1784381082.4707,2318,0,0,0,0,0
1784381082.9712,2314,0,0,0,0,0
1784381083.4718,1390,0,0,0,0,0
1784381083.9726,994,0,0,0,0,0
1784381084.4731,2317,0,0,0,0,0
1784381084.9737,2316,0,0,0,0,0
1784381085.4744,2316,0,0,0,0,0
1784381085.975,2261,0,0,0,0,0
1784381086.4756,2234,0,0,0,0,0
1784381086.9766,2238,0,0,0,0,0
1784381087.477,264148,0,0,0,0,0
1784381087.9781,301399,0,0,0,0,0
1784381088.479,992,0,0,0,0,0
1784381088.9796,2313,0,0,0,0,0
1784381089.4804,2364,0,0,0,0,0
1784381089.9812,2312,0,0,0,0,0
1784381090.4818,2313,0,0,0,0,0
1784381090.9824,2341,0,0,0,0,0
1784381091.4829,757,0,0,0,0,0
1784381091.9835,1628,0,0,0,0,0
1784381092.4844,2314,0,0,0,0,0
1784381092.9852,2312,0,0,0,0,0
1784381093.486,2304,0,0,0,0,0
1784381093.9869,2316,0,0,0,0,0
1784381094.4874,2322,0,0,0,0,0
1784381094.9879,2144,0,0,0,0,0
1784381095.4885,190,0,0,0,0,0
1784381095.9894,2236,0,0,0,0,0
1784381096.4904,2240,0,0,0,0,0
1784381096.991,264022,0,0,0,0,0
1784381097.492,302388,0,0,0,0,0
1784381097.9927,2312,0,0,0,0,0
1784381098.4934,2315,0,0,0,0,0
1784381098.9938,2320,0,0,0,0,0
1784381099.4944,1388,0,0,0,0,0
1784381099.9953,1006,0,0,0,0,0
1784381100.496,2343,0,0,0,0,0
1784381100.997,2311,0,0,0,0,0
1784381101.4975,3286,0,0,0,0,0
1784381101.9984,2312,0,0,0,0,0
1784381102.4989,2313,0,0,0,0,0
1784381102.9994,1389,0,0,0,0,0
1784381103.5001,1003,0,0,0,0,0
1784381104.0008,2309,0,0,0,0,0
