timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1784381145.0432,121.69,3.89,3.2,111.7,117.8,16.0,0,0.0,0.0
1784381146.0478,121.69,5.69,4.7,109.91,116.0,16.0,0,0.0,0.0
1784381147.0484,121.69,5.68,4.7,109.91,116.01,16.0,0,0.0,0.0
1784381148.0495,121.69,5.66,4.7,109.93,116.03,16.0,0,0.0,0.0
1784381149.0505,121.69,5.66,4.7,109.93,116.03,16.0,0,0.0,0.0
1784381150.0524,121.69,5.65,4.6,109.94,116.04,16.0,0,0.0,0.0
1784381151.0534,121.69,5.63,4.6,109.96,116.06,16.0,0,0.0,0.0
1784381152.0541,121.69,5.63,4.6,109.97,116.06,16.0,0,0.0,0.0
1784381153.055,121.69,5.61,4.6,109.98,116.08,16.0,0,0.0,0.0
1784381154.0557,121.69,5.6,4.6,109.99,116.09,16.0,0,0.0,0.0
1784381155.0566,121.69,4.59,3.8,111.01,117.1,16.0,0,0.0,0.0
1784381156.0576,121.69,6.11,5.0,109.48,115.58,16.0,0,0.0,0.0
1784381157.0588,121.69,6.08,5.0,109.51,115.61,16.0,0,0.0,0.0
1784381158.0595,121.69,6.08,5.0,109.51,115.61,16.0,0,0.0,0.0
1784381159.0607,121.69,6.06,5.0,109.53,115.63,16.0,0,0.0,0.0
1784381160.0617,121.69,6.05,5.0,109.54,115.64,16.0,0,0.0,0.0
1784381161.0626,121.69,6.04,5.0,109.55,115.65,16.0,0,0.0,0.0
1784381162.0636,121.69,6.02,4.9,109.57,115.67,16.0,0,0.0,0.0
1784381163.0644,121.69,6.01,4.9,109.58,115.68,16.0,0,0.0,0.0
1784381164.0651,121.69,6.38,5.2,109.21,115.31,16.0,0,0.0,0.0
1784381165.0662,121.69,5.98,4.9,109.62,115.71,16.0,0,0.0,0.0
1784381166.0672,121.69,5.97,4.9,109.62,115.72,16.0,0,0.0,0.0
1784381167.0682,121.69,5.94,4.9,109.65,115.75,16.0,0,0.0,0.0
1784381168.0695,121.69,5.94,4.9,109.65,115.75,16.0,0,0.0,0.0
1784381169.0702,121.69,5.92,4.9,109.68,115.77,16.0,0,0.0,0.0
1784381170.0714,121.69,5.9,4.8,109.69,115.79,16.0,0,0.0,0.0
1784381171.0728,121.69,5.89,4.8,109.71,115.8,16.0,0,0.0,0.0
1784381172.0733,121.69,5.86,4.8,109.73,115.83,16.0,0,0.0,0.0
