timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1784337126.3691,2749,0,0,0,0,0
1784337126.8695,19129,0,0,0,0,0
1784337127.3713,361666,0,0,0,0,0
1784337127.8721,2239,0,0,0,0,0
1784337128.3726,2238,0,0,0,0,0
1784337128.8733,168096,0,0,0,0,0
1784337129.3737,168953,0,0,0,0,0
1784337129.8745,362371,0,0,0,0,0
1784337130.3751,2239,0,0,0,0,0
1784337130.8758,2241,0,0,0,0,0
1784337131.376,93766,0,0,0,0,0
1784337131.8765,243412,0,0,0,0,0
1784337132.3768,364114,0,0,0,0,0
1784337132.8771,116,0,0,0,0,0
1784337133.3775,2236,0,0,0,0,0
1784337133.8781,3927,0,0,0,0,0
1784337134.3791,332728,0,0,0,0,0
1784337134.8799,362005,0,0,0,0,0
1784337135.3806,2752,0,0,0,0,0
1784337135.8812,2235,0,0,0,0,0
1784337136.382,2236,0,0,0,0,0
1784337136.8828,334548,0,0,0,0,0
1784337137.3834,227665,0,0,0,0,0
1784337137.8841,137197,0,0,0,0,0
1784337138.385,2238,0,0,0,0,0
1784337138.8855,2235,0,0,0,0,0
1784337139.3857,303176,0,0,0,0,0
1784337139.886,42315,0,0,0,0,0
1784337140.3863,354513,0,0,0,0,0
1784337140.8867,2232,0,0,0,0,0
1784337141.3869,2233,0,0,0,0,0
1784337141.8873,270213,0,0,0,0,0
1784337142.3875,93197,0,0,0,0,0
1784337142.8882,334000,0,0,0,0,0
1784337143.3894,2227,0,0,0,0,0
1784337143.8909,2234,0,0,0,0,0
1784337144.3917,231115,0,0,0,0,0
1784337144.8924,105755,0,0,0,0,0
1784337145.3927,362817,0,0,0,0,0
1784337145.893,2238,0,0,0,0,0
1784337146.3934,2234,0,0,0,0,0
1784337146.8938,205669,0,0,0,0,0
1784337147.3944,131434,0,0,0,0,0
1784337147.8951,362479,0,0,0,0,0
1784337148.396,2236,0,0,0,0,0
1784337148.8968,2236,0,0,0,0,0
1784337149.397,108254,0,0,0,0,0
1784337149.8974,228955,0,0,0,0,0
1784337150.3978,362690,0,0,0,0,0
1784337150.8982,2094,0,0,0,0,0
1784337151.3994,194,0,0,0,0,0
1784337151.9006,2231,0,0,0,0,0
1784337152.4017,334374,0,0,0,0,0
1784337152.9027,351706,0,0,0,0,0
1784337153.4033,12886,0,0,0,0,0
1784337153.9044,2231,0,0,0,0,0
1784337154.4054,2235,0,0,0,0,0
1784337154.9064,334421,0,0,0,0,0
1784337155.4071,213959,0,0,0,0,0
1784337155.9082,150727,0,0,0,0,0
1784337156.4089,2235,0,0,0,0,0
1784337156.9099,2231,0,0,0,0,0
1784337157.4103,311288,0,0,0,0,0
1784337157.911,33067,0,0,0,0,0
1784337158.4114,355493,0,0,0,0,0
1784337158.9121,2237,0,0,0,0,0
1784337159.4124,2165,0,0,0,0,0
1784337159.9135,91626,0,0,0,0,0
1784337160.414,243195,0,0,0,0,0
1784337160.9148,362408,0,0,0,0,0
1784337161.416,2241,0,0,0,0,0
1784337161.9171,2239,0,0,0,0,0
1784337162.4182,5069,0,0,0,0,0
1784337162.9191,331657,0,0,0,0,0
1784337163.4201,362373,0,0,0,0,0
1784337163.9211,2233,0,0,0,0,0
1784337164.4221,2232,0,0,0,0,0
1784337164.9232,2233,0,0,0,0,0
1784337165.4242,334432,0,0,0,0,0
1784337165.9255,248308,0,0,0,0,0
1784337166.4266,116113,0,0,0,0,0
1784337166.9275,2242,0,0,0,0,0
1784337167.4279,2238,0,0,0,0,0
1784337167.9283,334772,0,0,0,0,0
1784337168.4288,105634,0,0,0,0,0
1784337168.9295,256985,0,0,0,0,0
1784337169.4302,2283,0,0,0,0,0
1784337169.9309,2235,0,0,0,0,0
1784337170.4314,313518,0,0,0,0,0
1784337170.9321,104549,0,0,0,0,0
1784337171.4332,281272,0,0,0,0,0
1784337171.9342,2229,0,0,0,0,0
1784337172.4352,2234,0,0,0,0,0
1784337172.9362,248789,0,0,0,0,0
1784337173.4369,88038,0,0,0,0,0
1784337173.9377,362353,0,0,0,0,0
1784337174.4388,2233,0,0,0,0,0
1784337174.9395,2235,0,0,0,0,0
1784337175.4408,49433,0,0,0,0,0
1784337175.9415,287455,0,0,0,0,0
1784337176.4418,362779,0,0,0,0,0
1784337176.9425,2235,0,0,0,0,0
1784337177.4428,2121,0,0,0,0,0
1784337177.9436,114,0,0,0,0,0
1784337178.4442,334682,0,0,0,0,0
1784337178.9445,258061,0,0,0,0,0
1784337179.4449,107004,0,0,0,0,0
1784337179.9452,2240,0,0,0,0,0
1784337180.4456,2246,0,0,0,0,0
1784337180.946,334813,0,0,0,0,0
1784337181.4469,120769,0,0,0,0,0
1784337181.9479,243845,0,0,0,0,0
1784337182.449,2233,0,0,0,0,0
1784337182.95,2231,0,0,0,0,0
1784337183.4512,262836,0,0,0,0,0
1784337183.9516,81403,0,0,0,0,0
1784337184.4526,354745,0,0,0,0,0
1784337184.9537,2229,0,0,0,0,0
1784337185.4548,2229,0,0,0,0,0
1784337185.9555,164003,0,0,0,0,0
1784337186.456,173041,0,0,0,0,0
1784337186.9563,361690,0,0,0,0,0
1784337187.4573,1060,0,0,0,0,0
1784337187.9583,2232,0,0,0,0,0
1784337188.4593,14005,0,0,0,0,0
1784337188.9599,322854,0,0,0,0,0
1784337189.4609,362409,0,0,0,0,0
1784337189.9613,2240,0,0,0,0,0
1784337190.4617,2238,0,0,0,0,0
1784337190.962,2240,0,0,0,0,0
1784337191.4628,334543,0,0,0,0,0
1784337191.9635,227308,0,0,0,0,0
1784337192.4642,138961,0,0,0,0,0
1784337192.9649,2231,0,0,0,0,0
1784337193.4655,2237,0,0,0,0,0
1784337193.9659,334854,0,0,0,0,0
1784337194.4663,152595,0,0,0,0,0
1784337194.9668,212393,0,0,0,0,0
1784337195.4672,2242,0,0,0,0,0
1784337195.9676,715,0,0,0,0,0
1784337196.4684,325638,0,0,0,0,0
1784337196.969,96313,0,0,0,0,0
1784337197.4695,276889,0,0,0,0,0
1784337197.9702,2243,0,0,0,0,0
1784337198.4709,2235,0,0,0,0,0
1784337198.9716,318394,0,0,0,0,0
1784337199.472,100051,0,0,0,0,0
1784337199.9727,281038,0,0,0,0,0
1784337200.4734,2243,0,0,0,0,0
1784337200.9745,2231,0,0,0,0,0
1784337201.4751,293608,0,0,0,0,0
1784337201.9761,43379,0,0,0,0,0
1784337202.477,362327,0,0,0,0,0
1784337202.9776,2243,0,0,0,0,0
1784337203.4784,2232,0,0,0,0,0
1784337203.9794,194597,0,0,0,0,0
1784337204.4797,142347,0,0,0,0,0
1784337204.98,362013,0,0,0,0,0
1784337205.4803,743,0,0,0,0,0
1784337205.9813,2236,0,0,0,0,0
1784337206.4821,45503,0,0,0,0,0
1784337206.9829,291362,0,0,0,0,0
1784337207.4834,362605,0,0,0,0,0
1784337207.9841,2233,0,0,0,0,0
1784337208.4849,2237,0,0,0,0,0
1784337208.9853,109895,0,0,0,0,0
1784337209.4863,226998,0,0,0,0,0
1784337209.9874,362187,0,0,0,0,0
1784337210.4884,2239,0,0,0,0,0
1784337210.9892,2235,0,0,0,0,0
1784337211.4902,4962,0,0,0,0,0
1784337211.9911,331809,0,0,0,0,0
1784337212.4923,318151,0,0,0,0,0
1784337212.993,46350,0,0,0,0,0
1784337213.4937,2237,0,0,0,0,0
1784337213.9941,1327,0,0,0,0,0
1784337214.4945,333516,0,0,0,0,0
1784337214.9951,110384,0,0,0,0,0
1784337215.4957,254464,0,0,0,0,0
1784337215.9963,2240,0,0,0,0,0
1784337216.4969,2237,0,0,0,0,0
1784337216.9986,325748,0,0,0,0,0
1784337217.4993,78995,0,0,0,0,0
1784337218.0005,293795,0,0,0,0,0
1784337218.5014,2232,0,0,0,0,0
1784337219.0022,2232,0,0,0,0,0
1784337219.5033,263547,0,0,0,0,0
1784337220.0038,73231,0,0,0,0,0
1784337220.5045,362495,0,0,0,0,0
1784337221.0049,2232,0,0,0,0,0
1784337221.5055,2241,0,0,0,0,0
1784337222.006,259393,0,0,0,0,0
1784337222.5064,76518,0,0,0,0,0
1784337223.0071,361465,0,0,0,0,0
1784337223.5078,2283,0,0,0,0,0
1784337224.0085,2229,0,0,0,0,0
1784337224.5093,6585,0,0,0,0,0
1784337225.0096,330558,0,0,0,0,0
1784337225.5102,335533,0,0,0,0,0
1784337226.0104,29395,0,0,0,0,0
1784337226.5108,2234,0,0,0,0,0
1784337227.011,2239,0,0,0,0,0
1784337227.5119,334515,0,0,0,0,0
1784337228.0126,126055,0,0,0,0,0
1784337228.5131,238871,0,0,0,0,0
1784337229.0133,2235,0,0,0,0,0
1784337229.5137,2236,0,0,0,0,0
1784337230.014,299281,0,0,0,0,0
1784337230.5142,37983,0,0,0,0,0
1784337231.0145,361812,0,0,0,0,0
1784337231.5148,924,0,0,0,0,0
1784337232.015,2239,0,0,0,0,0
1784337232.5155,103129,0,0,0,0,0
1784337233.0158,234074,0,0,0,0,0
1784337233.5165,362439,0,0,0,0,0
1784337234.0174,2242,0,0,0,0,0
1784337234.5182,2237,0,0,0,0,0
1784337235.0187,2233,0,0,0,0,0
1784337235.5192,334761,0,0,0,0,0
1784337236.02,362533,0,0,0,0,0
1784337236.5202,2235,0,0,0,0,0
1784337237.0209,2235,0,0,0,0,0
1784337237.5217,2235,0,0,0,0,0
1784337238.0225,334569,0,0,0,0,0
1784337238.5228,199862,0,0,0,0,0
1784337239.023,165254,0,0,0,0,0
1784337239.5233,1313,0,0,0,0,0
1784337240.0239,925,0,0,0,0,0
1784337240.5241,303125,0,0,0,0,0
1784337241.0243,71453,0,0,0,0,0
1784337241.5251,325127,0,0,0,0,0
1784337242.0259,2232,0,0,0,0,0
1784337242.5267,2231,0,0,0,0,0
1784337243.0273,239449,0,0,0,0,0
1784337243.5276,97609,0,0,0,0,0
1784337244.028,362725,0,0,0,0,0
1784337244.5284,2236,0,0,0,0,0
1784337245.0286,2241,0,0,0,0,0
1784337245.5293,197088,0,0,0,0,0
1784337246.0298,139925,0,0,0,0,0
1784337246.5302,362710,0,0,0,0,0
