timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1784307410.3828,2763,0,0,0,0,0
1784307410.883,19292,0,0,0,0,0
1784307411.3836,48211,0,0,0,0,0
1784307411.884,2236,0,0,0,0,0
1784307412.3848,2232,0,0,0,0,0
1784307412.8855,2237,0,0,0,0,0
1784307413.386,3690,0,0,0,0,0
1784307413.8868,2250,0,0,0,0,0
1784307414.3873,2240,0,0,0,0,0
1784307414.888,2239,0,0,0,0,0
1784307415.3885,2236,0,0,0,0,0
1784307415.8887,5224,0,0,0,0,0
1784307416.3892,47584,0,0,0,0,0
1784307416.8896,2238,0,0,0,0,0
1784307417.3899,2236,0,0,0,0,0
1784307417.8903,2242,0,0,0,0,0
1784307418.3906,2091,0,0,0,0,0
1784307418.8912,150,0,0,0,0,0
1784307419.392,2234,0,0,0,0,0
1784307419.8924,2246,0,0,0,0,0
1784307420.3927,2240,0,0,0,0,0
1784307420.893,4601,0,0,0,0,0
1784307421.3934,48215,0,0,0,0,0
1784307421.8938,2240,0,0,0,0,0
1784307422.3942,2234,0,0,0,0,0
1784307422.8945,2232,0,0,0,0,0
1784307423.3949,2238,0,0,0,0,0
1784307423.8952,2240,0,0,0,0,0
1784307424.3955,2237,0,0,0,0,0
1784307424.8959,2236,0,0,0,0,0
1784307425.3962,4507,0,0,0,0,0
1784307425.8966,2328,0,0,0,0,0
1784307426.3969,48218,0,0,0,0,0
1784307426.8973,2234,0,0,0,0,0
1784307427.3977,538,0,0,0,0,0
1784307427.8981,1699,0,0,0,0,0
1784307428.3984,2238,0,0,0,0,0
1784307428.8988,2242,0,0,0,0,0
1784307429.3991,2240,0,0,0,0,0
1784307429.8996,2236,0,0,0,0,0
1784307430.4002,2235,0,0,0,0,0
1784307430.9005,4953,0,0,0,0,0
1784307431.4009,47865,0,0,0,0,0
1784307431.9012,2234,0,0,0,0,0
1784307432.4016,2242,0,0,0,0,0
1784307432.9019,2238,0,0,0,0,0
1784307433.4024,2236,0,0,0,0,0
1784307433.9028,2238,0,0,0,0,0
1784307434.4032,2236,0,0,0,0,0
1784307434.9037,2234,0,0,0,0,0
1784307435.404,3292,0,0,0,0,0
1784307435.9043,2852,0,0,0,0,0
1784307436.4053,46604,0,0,0,0,0
1784307436.9063,2233,0,0,0,0,0
1784307437.4072,2234,0,0,0,0,0
1784307437.9082,2231,0,0,0,0,0
1784307438.4089,2239,0,0,0,0,0
1784307438.9096,2237,0,0,0,0,0
1784307439.4101,2234,0,0,0,0,0
1784307439.9106,2234,0,0,0,0,0
1784307440.411,4506,0,0,0,0,0
1784307440.9114,4751,0,0,0,0,0
1784307441.4125,45732,0,0,0,0,0
1784307441.9134,2234,0,0,0,0,0
1784307442.4145,2231,0,0,0,0,0
1784307442.9153,2236,0,0,0,0,0
1784307443.4161,2235,0,0,0,0,0
1784307443.9166,2232,0,0,0,0,0
1784307444.417,2066,0,0,0,0,0
1784307444.9181,172,0,0,0,0,0
1784307445.4185,4514,0,0,0,0,0
1784307445.919,4392,0,0,0,0,0
1784307446.4193,46157,0,0,0,0,0
1784307446.9197,2240,0,0,0,0,0
1784307447.4207,2232,0,0,0,0,0
1784307447.9212,2237,0,0,0,0,0
1784307448.4216,2243,0,0,0,0,0
1784307448.9219,2235,0,0,0,0,0
1784307449.4222,2232,0,0,0,0,0
1784307449.9234,2235,0,0,0,0,0
1784307450.4243,4502,0,0,0,0,0
1784307450.9254,3945,0,0,0,0,0
1784307451.4264,46589,0,0,0,0,0
1784307451.9272,2237,0,0,0,0,0
1784307452.4277,2232,0,0,0,0,0
1784307452.9281,2240,0,0,0,0,0
1784307453.4284,2161,0,0,0,0,0
1784307453.9293,80,0,0,0,0,0
1784307454.4303,2234,0,0,0,0,0
1784307454.9312,2238,0,0,0,0,0
1784307455.4322,4509,0,0,0,0,0
1784307455.9335,3700,0,0,0,0,0
1784307456.4346,46785,0,0,0,0,0
1784307456.9357,2241,0,0,0,0,0
1784307457.436,2239,0,0,0,0,0
1784307457.9372,2231,0,0,0,0,0
1784307458.4383,2239,0,0,0,0,0
1784307458.9389,2241,0,0,0,0,0
1784307459.4396,2235,0,0,0,0,0
1784307459.9404,2233,0,0,0,0,0
1784307460.4414,4503,0,0,0,0,0
1784307460.9417,2930,0,0,0,0,0
1784307461.4421,47619,0,0,0,0,0
1784307461.9425,2078,0,0,0,0,0
1784307462.4437,166,0,0,0,0,0
1784307462.944,2234,0,0,0,0,0
1784307463.4443,2289,0,0,0,0,0
1784307463.9447,2236,0,0,0,0,0
1784307464.4451,2234,0,0,0,0,0
1784307464.9454,2233,0,0,0,0,0
1784307465.4459,4508,0,0,0,0,0
1784307465.9462,3126,0,0,0,0,0
1784307466.4468,47456,0,0,0,0,0
1784307466.947,2251,0,0,0,0,0
1784307467.4476,2235,0,0,0,0,0
1784307467.9482,2237,0,0,0,0,0
1784307468.4484,2233,0,0,0,0,0
1784307468.9487,2239,0,0,0,0,0
1784307469.4494,2233,0,0,0,0,0
1784307469.95,2235,0,0,0,0,0
1784307470.4502,4510,0,0,0,0,0
1784307470.9505,3050,0,0,0,0,0
1784307471.4508,46586,0,0,0,0,0
1784307471.9514,911,0,0,0,0,0
1784307472.452,2231,0,0,0,0,0
1784307472.9522,3700,0,0,0,0,0
1784307473.4528,2235,0,0,0,0,0
1784307473.953,2243,0,0,0,0,0
1784307474.4534,2237,0,0,0,0,0
1784307474.9539,2239,0,0,0,0,0
1784307475.4545,4513,0,0,0,0,0
1784307475.9549,2844,0,0,0,0,0
1784307476.4556,47691,0,0,0,0,0
1784307476.9566,2232,0,0,0,0,0
1784307477.4575,2234,0,0,0,0,0
1784307477.9583,2233,0,0,0,0,0
1784307478.4593,2232,0,0,0,0,0
1784307478.9599,2232,0,0,0,0,0
1784307479.4604,2238,0,0,0,0,0
1784307479.9608,2242,0,0,0,0,0
1784307480.4611,1329,0,0,0,0,0
1784307480.9615,3837,0,0,0,0,0
1784307481.4619,47697,0,0,0,0,0
1784307481.9628,2234,0,0,0,0,0
1784307482.4638,2231,0,0,0,0,0
1784307482.9645,2235,0,0,0,0,0
1784307483.4656,2235,0,0,0,0,0
1784307483.9666,2243,0,0,0,0,0
1784307484.4675,2230,0,0,0,0,0
1784307484.9685,2233,0,0,0,0,0
1784307485.4695,4495,0,0,0,0,0
1784307485.9702,2329,0,0,0,0,0
1784307486.4712,48164,0,0,0,0,0
1784307486.9719,2237,0,0,0,0,0
1784307487.4722,2240,0,0,0,0,0
1784307487.9726,2236,0,0,0,0,0
1784307488.4732,2233,0,0,0,0,0
1784307488.9739,2235,0,0,0,0,0
1784307489.4743,1329,0,0,0,0,0
1784307489.9754,906,0,0,0,0,0
1784307490.4765,2231,0,0,0,0,0
1784307490.9768,4607,0,0,0,0,0
1784307491.4773,48211,0,0,0,0,0
1784307491.9779,2239,0,0,0,0,0
1784307492.4783,2244,0,0,0,0,0
1784307492.9789,2241,0,0,0,0,0
1784307493.4791,2291,0,0,0,0,0
1784307493.9795,2234,0,0,0,0,0
1784307494.48,2239,0,0,0,0,0
1784307494.9806,2239,0,0,0,0,0
1784307495.4814,2233,0,0,0,0,0
1784307495.9817,4605,0,0,0,0,0
1784307496.4821,48204,0,0,0,0,0
1784307496.9825,2232,0,0,0,0,0
1784307497.4828,2239,0,0,0,0,0
1784307497.9831,2239,0,0,0,0,0
1784307498.4834,2237,0,0,0,0,0
1784307498.9836,1313,0,0,0,0,0
1784307499.4842,929,0,0,0,0,0
1784307499.9848,2233,0,0,0,0,0
1784307500.4854,4275,0,0,0,0,0
1784307500.9857,3194,0,0,0,0,0
1784307501.4861,47588,0,0,0,0,0
1784307501.9868,2241,0,0,0,0,0
1784307502.4874,2239,0,0,0,0,0
1784307502.988,2231,0,0,0,0,0
1784307503.4884,2237,0,0,0,0,0
1784307503.9886,2247,0,0,0,0,0
1784307504.4892,2233,0,0,0,0,0
1784307504.9898,2231,0,0,0,0,0
1784307505.4902,4504,0,0,0,0,0
1784307505.9905,4363,0,0,0,0,0
1784307506.491,46176,0,0,0,0,0
1784307506.9912,2235,0,0,0,0,0
1784307507.4916,2059,0,0,0,0,0
1784307507.9922,182,0,0,0,0,0
1784307508.4927,2238,0,0,0,0,0
1784307508.9934,2239,0,0,0,0,0
1784307509.4936,2237,0,0,0,0,0
1784307509.9938,2235,0,0,0,0,0
1784307510.4942,4507,0,0,0,0,0
1784307510.9945,4567,0,0,0,0,0
1784307511.4951,45963,0,0,0,0,0
1784307511.9957,2235,0,0,0,0,0
1784307512.496,2239,0,0,0,0,0
1784307512.9966,2237,0,0,0,0,0
1784307513.497,2235,0,0,0,0,0
1784307513.9975,2233,0,0,0,0,0
1784307514.4981,2235,0,0,0,0,0
1784307514.9985,2241,0,0,0,0,0
1784307515.4991,4508,0,0,0,0,0
1784307515.9994,5015,0,0,0,0,0
1784307516.4997,45539,0,0,0,0,0
1784307517.0,1319,0,0,0,0,0
1784307517.5009,918,0,0,0,0,0
1784307518.0021,2237,0,0,0,0,0
1784307518.5029,2242,0,0,0,0,0
1784307519.004,2235,0,0,0,0,0
1784307519.5051,2241,0,0,0,0,0
1784307520.0061,2235,0,0,0,0,0
1784307520.5072,4503,0,0,0,0,0
1784307521.0079,5269,0,0,0,0,0
1784307521.5085,45252,0,0,0,0,0
1784307522.0091,2239,0,0,0,0,0
1784307522.5094,2237,0,0,0,0,0
1784307523.01,2235,0,0,0,0,0
1784307523.5106,2291,0,0,0,0,0
1784307524.0112,2235,0,0,0,0,0
1784307524.5119,2233,0,0,0,0,0
1784307525.0122,2233,0,0,0,0,0
1784307525.5126,3583,0,0,0,0,0
1784307526.0134,4822,0,0,0,0,0
1784307526.514,44379,0,0,0,0,0
1784307527.0144,2242,0,0,0,0,0
1784307527.5148,2238,0,0,0,0,0
1784307528.0157,2240,0,0,0,0,0
1784307528.516,2237,0,0,0,0,0
1784307529.0166,2235,0,0,0,0,0
1784307529.5172,2239,0,0,0,0,0
1784307530.0175,2234,0,0,0,0,0
1784307530.5181,4503,0,0,0,0,0
