timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1784326310.4147,2774,0,0,0,0,0
1784326310.915,18040,0,0,0,0,0
1784326311.4155,302589,0,0,0,0,0
1784326311.916,2236,0,0,0,0,0
1784326312.4164,2244,0,0,0,0,0
1784326312.9167,2243,0,0,0,0,0
1784326313.4171,2240,0,0,0,0,0
1784326313.9176,2246,0,0,0,0,0
1784326314.4184,2237,0,0,0,0,0
1784326314.9186,2239,0,0,0,0,0
1784326315.4194,2245,0,0,0,0,0
1784326315.9198,2244,0,0,0,0,0
1784326316.4201,2244,0,0,0,0,0
1784326316.9205,2179,0,0,0,0,0
1784326317.421,58,0,0,0,0,0
1784326317.9215,2238,0,0,0,0,0
1784326318.4222,2241,0,0,0,0,0
1784326318.9225,2239,0,0,0,0,0
1784326319.4227,2235,0,0,0,0,0
1784326319.9232,2234,0,0,0,0,0
1784326320.4238,2240,0,0,0,0,0
1784326320.9242,2232,0,0,0,0,0
1784326321.4244,2285,0,0,0,0,0
1784326321.9249,2236,0,0,0,0,0
1784326322.4251,2245,0,0,0,0,0
1784326322.9257,2236,0,0,0,0,0
1784326323.4259,2241,0,0,0,0,0
1784326323.9266,2235,0,0,0,0,0
1784326324.4269,2241,0,0,0,0,0
1784326324.9272,2239,0,0,0,0,0
1784326325.4274,3699,0,0,0,0,0
1784326325.9277,1313,0,0,0,0,0
1784326326.4281,929,0,0,0,0,0
1784326326.9287,2236,0,0,0,0,0
1784326327.4293,2231,0,0,0,0,0
1784326327.9298,2238,0,0,0,0,0
1784326328.4301,2241,0,0,0,0,0
1784326328.9304,2233,0,0,0,0,0
1784326329.4305,2235,0,0,0,0,0
1784326329.9308,2239,0,0,0,0,0
1784326330.431,2239,0,0,0,0,0
1784326330.9313,2242,0,0,0,0,0
1784326331.4315,2239,0,0,0,0,0
1784326331.932,2238,0,0,0,0,0
1784326332.4322,2237,0,0,0,0,0
1784326332.9328,2241,0,0,0,0,0
1784326333.433,2289,0,0,0,0,0
1784326333.9332,2237,0,0,0,0,0
1784326334.4335,2119,0,0,0,0,0
1784326334.934,116,0,0,0,0,0
1784326335.4343,2239,0,0,0,0,0
1784326335.9351,2239,0,0,0,0,0
1784326336.4354,2235,0,0,0,0,0
1784326336.9357,2232,0,0,0,0,0
1784326337.4361,2234,0,0,0,0,0
1784326337.9369,2232,0,0,0,0,0
1784326338.4375,2235,0,0,0,0,0
1784326338.9378,2235,0,0,0,0,0
1784326339.4382,2238,0,0,0,0,0
1784326339.9388,2235,0,0,0,0,0
1784326340.4394,2237,0,0,0,0,0
1784326340.9402,2241,0,0,0,0,0
1784326341.4404,2235,0,0,0,0,0
1784326341.941,2235,0,0,0,0,0
1784326342.4416,2236,0,0,0,0,0
1784326342.9419,2236,0,0,0,0,0
1784326343.4422,1315,0,0,0,0,0
1784326343.9428,927,0,0,0,0,0
1784326344.4433,2238,0,0,0,0,0
1784326344.9439,2233,0,0,0,0,0
1784326345.4441,2243,0,0,0,0,0
1784326345.9444,2245,0,0,0,0,0
1784326346.4451,2235,0,0,0,0,0
1784326346.9457,2233,0,0,0,0,0
1784326347.4469,61217,0,0,0,0,0
1784326347.9478,243431,0,0,0,0,0
1784326348.4483,2246,0,0,0,0,0
1784326348.9491,2237,0,0,0,0,0
1784326349.4501,2234,0,0,0,0,0
1784326349.951,2238,0,0,0,0,0
1784326350.452,2232,0,0,0,0,0
1784326350.9524,2246,0,0,0,0,0
1784326351.4528,2242,0,0,0,0,0
1784326351.9532,1329,0,0,0,0,0
1784326352.4543,914,0,0,0,0,0
1784326352.9548,2242,0,0,0,0,0
1784326353.4557,2232,0,0,0,0,0
1784326353.9566,2240,0,0,0,0,0
1784326354.4575,2236,0,0,0,0,0
1784326354.9578,2241,0,0,0,0,0
1784326355.4589,2239,0,0,0,0,0
1784326355.96,2233,0,0,0,0,0
1784326356.4611,2233,0,0,0,0,0
1784326356.9619,2231,0,0,0,0,0
1784326357.463,2287,0,0,0,0,0
1784326357.9633,2241,0,0,0,0,0
1784326358.4648,2233,0,0,0,0,0
1784326358.9661,2234,0,0,0,0,0
1784326359.4669,2233,0,0,0,0,0
1784326359.9676,2239,0,0,0,0,0
1784326360.468,2236,0,0,0,0,0
1784326360.9684,1155,0,0,0,0,0
1784326361.4686,1079,0,0,0,0,0
1784326361.9696,2230,0,0,0,0,0
1784326362.4702,2237,0,0,0,0,0
1784326362.9713,2237,0,0,0,0,0
1784326363.4719,2231,0,0,0,0,0
1784326363.9722,2235,0,0,0,0,0
1784326364.4729,2239,0,0,0,0,0
1784326364.9739,2232,0,0,0,0,0
1784326365.4742,2233,0,0,0,0,0
1784326365.9748,2239,0,0,0,0,0
1784326366.4753,2245,0,0,0,0,0
1784326366.9763,2240,0,0,0,0,0
1784326367.477,2241,0,0,0,0,0
1784326367.9776,2243,0,0,0,0,0
1784326368.4782,2239,0,0,0,0,0
1784326368.9789,2237,0,0,0,0,0
1784326369.4793,1363,0,0,0,0,0
1784326369.9803,924,0,0,0,0,0
1784326370.481,2239,0,0,0,0,0
1784326370.9813,2241,0,0,0,0,0
1784326371.4819,2233,0,0,0,0,0
1784326371.9822,2239,0,0,0,0,0
1784326372.4829,2237,0,0,0,0,0
1784326372.9837,2234,0,0,0,0,0
1784326373.4841,2238,0,0,0,0,0
1784326373.9847,2239,0,0,0,0,0
1784326374.4853,2242,0,0,0,0,0
1784326374.9864,2233,0,0,0,0,0
1784326375.487,2239,0,0,0,0,0
1784326375.9883,2230,0,0,0,0,0
1784326376.489,2239,0,0,0,0,0
1784326376.9896,2239,0,0,0,0,0
1784326377.49,2238,0,0,0,0,0
1784326377.9904,1317,0,0,0,0,0
1784326378.4911,925,0,0,0,0,0
1784326378.9914,2237,0,0,0,0,0
1784326379.492,2239,0,0,0,0,0
1784326379.9931,2241,0,0,0,0,0
1784326380.4937,2237,0,0,0,0,0
1784326380.9949,2239,0,0,0,0,0
1784326381.4952,2232,0,0,0,0,0
1784326381.9956,2235,0,0,0,0,0
1784326382.4962,2243,0,0,0,0,0
1784326382.9973,2233,0,0,0,0,0
1784326383.4979,2235,0,0,0,0,0
1784326383.9989,128705,0,0,0,0,0
1784326384.4993,176142,0,0,0,0,0
1784326385.0002,3702,0,0,0,0,0
1784326385.5008,2237,0,0,0,0,0
1784326386.0012,2243,0,0,0,0,0
1784326386.5015,2244,0,0,0,0,0
1784326387.0018,1317,0,0,0,0,0
1784326387.5025,977,0,0,0,0,0
1784326388.0034,2234,0,0,0,0,0
1784326388.5041,2239,0,0,0,0,0
1784326389.0051,2239,0,0,0,0,0
1784326389.5058,2237,0,0,0,0,0
1784326390.0069,2233,0,0,0,0,0
1784326390.5075,2233,0,0,0,0,0
1784326391.0086,2241,0,0,0,0,0
1784326391.5092,2235,0,0,0,0,0
1784326392.0102,2231,0,0,0,0,0
1784326392.5109,2237,0,0,0,0,0
1784326393.0116,2237,0,0,0,0,0
1784326393.5123,2295,0,0,0,0,0
1784326394.0127,2236,0,0,0,0,0
1784326394.5134,2237,0,0,0,0,0
1784326395.0138,2238,0,0,0,0,0
1784326395.5141,2239,0,0,0,0,0
1784326396.0145,2080,0,0,0,0,0
1784326396.5147,156,0,0,0,0,0
1784326397.0157,2234,0,0,0,0,0
1784326397.5162,2232,0,0,0,0,0
1784326398.0171,2238,0,0,0,0,0
1784326398.5177,2237,0,0,0,0,0
1784326399.0187,2240,0,0,0,0,0
1784326399.5192,2236,0,0,0,0,0
1784326400.0203,2233,0,0,0,0,0
1784326400.5207,2236,0,0,0,0,0
1784326401.0216,2230,0,0,0,0,0
1784326401.5219,2239,0,0,0,0,0
1784326402.0229,2233,0,0,0,0,0
1784326402.5236,2237,0,0,0,0,0
