timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1784346190.3975,121.69,3.4,2.8,112.27,118.29,16.0,0,0.0,0.0
1784346191.3977,121.69,3.51,2.9,112.16,118.18,16.0,0,0.0,0.0
1784346192.3984,121.69,3.7,3.0,111.97,117.99,16.0,0,0.0,0.0
1784346193.399,121.69,3.71,3.0,111.97,117.98,16.0,0,0.0,0.0
1784346194.3993,121.69,3.7,3.0,111.97,117.99,16.0,0,0.0,0.0
1784346195.3998,121.69,3.7,3.0,111.97,117.99,16.0,0,0.0,0.0
1784346196.4001,121.69,3.7,3.0,111.97,117.99,16.0,0,0.0,0.0
1784346197.4003,121.69,3.7,3.0,111.97,117.99,16.0,0,0.0,0.0
1784346198.4006,121.69,3.7,3.0,111.97,117.99,16.0,0,0.0,0.0
1784346199.4012,121.69,3.7,3.0,111.97,117.99,16.0,0,0.0,0.0
1784346200.4019,121.69,4.08,3.4,111.59,117.61,16.0,0,0.0,0.0
1784346201.4022,121.69,4.08,3.4,111.59,117.61,16.0,0,0.0,0.0
1784346202.4028,121.69,4.09,3.4,111.59,117.6,16.0,0,0.0,0.0
1784346203.4034,121.69,4.01,3.3,111.67,117.68,16.0,0,0.0,0.0
1784346204.404,121.69,4.0,3.3,111.67,117.69,16.0,0,0.0,0.0
1784346205.4045,121.69,4.0,3.3,111.68,117.69,16.0,0,0.0,0.0
1784346206.405,121.69,3.99,3.3,111.68,117.7,16.0,0,0.0,0.0
1784346207.406,121.69,3.53,2.9,112.14,118.16,16.0,0,0.0,0.0
1784346208.4063,121.69,3.72,3.1,111.95,117.97,16.0,0,0.0,0.0
1784346209.4066,121.69,3.72,3.1,111.96,117.97,16.0,0,0.0,0.0
1784346210.4068,121.69,3.72,3.1,111.96,117.97,16.0,0,0.0,0.0
1784346211.4071,121.69,3.71,3.0,111.96,117.98,16.0,0,0.0,0.0
1784346212.4074,121.69,3.71,3.0,111.96,117.98,16.0,0,0.0,0.0
1784346213.4084,121.69,3.71,3.0,111.96,117.98,16.0,0,0.0,0.0
1784346214.4095,121.69,3.71,3.0,111.97,117.98,16.0,0,0.0,0.0
1784346215.4105,121.69,3.71,3.0,111.96,117.98,16.0,0,0.0,0.0
1784346216.4107,121.69,4.1,3.4,111.57,117.59,16.0,0,0.0,0.0
1784346217.4111,121.69,4.1,3.4,111.58,117.59,16.0,0,0.0,0.0
1784346218.4115,121.69,4.11,3.4,111.57,117.58,16.0,0,0.0,0.0
1784346219.4123,121.69,4.04,3.3,111.63,117.65,16.0,0,0.0,0.0
1784346220.4129,121.69,4.04,3.3,111.64,117.65,16.0,0,0.0,0.0
1784346221.4131,121.69,4.03,3.3,111.65,117.66,16.0,0,0.0,0.0
1784346222.4134,121.69,4.02,3.3,111.66,117.67,16.0,0,0.0,0.0
1784346223.4136,121.69,3.55,2.9,112.13,118.14,16.0,0,0.0,0.0
1784346224.414,121.69,3.72,3.1,111.95,117.97,16.0,0,0.0,0.0
1784346225.4147,121.69,3.72,3.1,111.95,117.97,16.0,0,0.0,0.0
1784346226.4149,121.69,3.72,3.1,111.96,117.97,16.0,0,0.0,0.0
1784346227.4158,121.69,3.71,3.0,111.96,117.98,16.0,0,0.0,0.0
1784346228.4167,121.69,3.71,3.0,111.96,117.98,16.0,0,0.0,0.0
1784346229.4179,121.69,3.71,3.0,111.96,117.98,16.0,0,0.0,0.0
1784346230.4183,121.69,3.71,3.0,111.96,117.98,16.0,0,0.0,0.0
1784346231.4187,121.69,3.71,3.0,111.97,117.98,16.0,0,0.0,0.0
1784346232.4191,121.69,4.11,3.4,111.57,117.58,16.0,0,0.0,0.0
1784346233.4201,121.69,4.11,3.4,111.57,117.58,16.0,0,0.0,0.0
1784346234.4203,121.69,4.11,3.4,111.57,117.58,16.0,0,0.0,0.0
1784346235.4205,121.69,4.12,3.4,111.55,117.57,16.0,0,0.0,0.0
1784346236.4208,121.69,4.03,3.3,111.65,117.66,16.0,0,0.0,0.0
1784346237.4212,121.69,4.02,3.3,111.65,117.67,16.0,0,0.0,0.0
1784346238.4219,121.69,4.02,3.3,111.66,117.67,16.0,0,0.0,0.0
1784346239.4222,121.69,3.54,2.9,112.14,118.15,16.0,0,0.0,0.0
1784346240.4231,121.69,3.73,3.1,111.95,117.96,16.0,0,0.0,0.0
1784346241.4236,121.69,3.73,3.1,111.95,117.96,16.0,0,0.0,0.0
1784346242.4239,121.69,3.73,3.1,111.95,117.96,16.0,0,0.0,0.0
1784346243.4242,121.69,3.72,3.1,111.95,117.97,16.0,0,0.0,0.0
1784346244.4249,121.69,3.72,3.1,111.95,117.97,16.0,0,0.0,0.0
1784346245.4252,121.69,3.72,3.1,111.96,117.97,16.0,0,0.0,0.0
1784346246.4255,121.69,3.72,3.1,111.96,117.97,16.0,0,0.0,0.0
