timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1784352135.909,121.69,3.41,2.8,112.26,118.28,16.0,0,0.0,0.0
1784352136.9094,121.69,6.25,5.1,109.41,115.44,16.0,0,0.0,0.0
1784352137.9097,121.69,8.16,6.7,107.51,113.53,16.0,0,0.0,0.0
1784352138.91,121.69,8.16,6.7,107.51,113.53,16.0,0,0.0,0.0
1784352139.9111,121.69,8.16,6.7,107.51,113.53,16.0,0,0.0,0.0
1784352140.9123,121.69,8.16,6.7,107.51,113.53,16.0,0,0.0,0.0
1784352141.9128,121.69,8.16,6.7,107.51,113.53,16.0,0,0.0,0.0
1784352142.9133,121.69,8.16,6.7,107.51,113.53,16.0,0,0.0,0.0
1784352143.9138,121.69,8.16,6.7,107.51,113.53,16.0,0,0.0,0.0
1784352144.915,121.69,8.16,6.7,107.51,113.53,16.0,0,0.0,0.0
1784352145.9152,121.69,8.16,6.7,107.51,113.53,16.0,0,0.0,0.0
1784352146.9158,121.69,8.16,6.7,107.51,113.53,16.0,0,0.0,0.0
1784352147.9166,121.69,8.16,6.7,107.51,113.53,16.0,0,0.0,0.0
1784352148.9176,121.69,8.16,6.7,107.5,113.53,16.0,0,0.0,0.0
1784352149.9188,121.69,8.16,6.7,107.5,113.53,16.0,0,0.0,0.0
1784352150.9197,121.69,8.16,6.7,107.5,113.53,16.0,0,0.0,0.0
1784352151.9201,121.69,8.16,6.7,107.5,113.53,16.0,0,0.0,0.0
1784352152.9214,121.69,8.16,6.7,107.51,113.53,16.0,0,0.0,0.0
1784352153.9218,121.69,8.16,6.7,107.51,113.53,16.0,0,0.0,0.0
1784352154.9221,121.69,8.16,6.7,107.51,113.53,16.0,0,0.0,0.0
1784352155.9228,121.69,8.16,6.7,107.5,113.53,16.0,0,0.0,0.0
1784352156.9237,121.69,8.16,6.7,107.5,113.53,16.0,0,0.0,0.0
1784352157.9248,121.69,8.16,6.7,107.5,113.53,16.0,0,0.0,0.0
1784352158.9252,121.69,8.16,6.7,107.5,113.53,16.0,0,0.0,0.0
1784352159.926,121.69,8.16,6.7,107.5,113.53,16.0,0,0.0,0.0
1784352160.9267,121.69,8.16,6.7,107.51,113.53,16.0,0,0.0,0.0
1784352161.9276,121.69,8.16,6.7,107.51,113.53,16.0,0,0.0,0.0
1784352162.9289,121.69,8.16,6.7,107.51,113.53,16.0,0,0.0,0.0
1784352163.9295,121.69,8.16,6.7,107.51,113.53,16.0,0,0.0,0.0
1784352164.9306,121.69,8.16,6.7,107.5,113.53,16.0,0,0.0,0.0
1784352165.9319,121.69,8.16,6.7,107.51,113.53,16.0,0,0.0,0.0
1784352166.9324,121.69,8.16,6.7,107.51,113.53,16.0,0,0.0,0.0
1784352167.9329,121.69,7.89,6.5,107.78,113.8,16.0,0,0.0,0.0
1784352168.9332,121.69,8.18,6.7,107.49,113.51,16.0,0,0.0,0.0
1784352169.934,121.69,8.18,6.7,107.49,113.51,16.0,0,0.0,0.0
1784352170.9347,121.69,8.18,6.7,107.49,113.51,16.0,0,0.0,0.0
1784352171.9351,121.69,8.18,6.7,107.49,113.51,16.0,0,0.0,0.0
1784352172.9359,121.69,8.18,6.7,107.49,113.51,16.0,0,0.0,0.0
1784352173.9375,121.69,8.18,6.7,107.49,113.51,16.0,0,0.0,0.0
1784352174.9383,121.69,8.18,6.7,107.49,113.51,16.0,0,0.0,0.0
