timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1784321526.6571,0.5,0.1,0.3,0.0,858.0,41.1,,0.55,0.86,0.96,1588,3,0
1784321527.6583,3.1,2.5,0.7,0.0,858.0,42.1,,0.55,0.86,0.96,2649,2,0
1784321528.6591,5.5,5.1,0.4,0.0,858.0,43.5,,0.55,0.86,0.96,2565,2,0
1784321529.6598,5.4,5.2,0.3,0.0,858.0,44.1,,0.55,0.86,0.96,2606,2,0
1784321530.6605,5.3,5.1,0.2,0.0,858.0,44.4,,0.55,0.86,0.96,2491,4,0
1784321531.6618,5.5,5.2,0.3,0.1,858.0,44.5,,0.66,0.88,0.96,2620,2,0
1784321532.663,5.4,5.1,0.3,0.0,858.0,44.7,,0.66,0.88,0.96,2621,2,0
1784321533.6644,5.4,5.1,0.3,0.0,858.0,44.7,,0.66,0.88,0.96,2560,2,0
1784321534.6656,5.4,5.1,0.3,0.0,858.0,44.8,,0.66,0.88,0.96,2599,2,0
1784321535.6667,5.4,5.2,0.3,0.0,858.0,44.8,,0.66,0.88,0.96,2589,2,0
1784321536.6681,5.4,5.1,0.3,0.0,858.0,44.8,,0.69,0.88,0.96,2628,2,0
1784321537.6693,5.4,5.2,0.3,0.0,858.0,44.8,,0.69,0.88,0.96,2611,2,0
1784321538.6708,5.5,5.2,0.3,0.0,858.0,44.9,,0.69,0.88,0.96,2627,2,0
1784321539.6716,5.3,5.1,0.3,0.0,858.0,44.9,,0.69,0.88,0.96,2761,2,0
1784321540.6729,5.3,5.1,0.2,0.0,858.0,44.8,,0.69,0.88,0.96,2661,3,0
1784321541.6743,5.5,5.2,0.3,0.0,858.0,44.9,,0.72,0.88,0.96,2519,2,0
1784321542.6756,5.5,5.2,0.3,0.0,858.0,44.9,,0.72,0.88,0.96,2709,2,0
1784321543.6766,5.6,5.2,0.4,0.0,858.0,44.9,,0.72,0.88,0.96,2649,2,0
1784321544.6782,5.4,5.1,0.3,0.0,858.0,44.9,,0.72,0.88,0.96,2610,2,0
1784321545.6793,5.6,5.2,0.4,0.1,858.0,44.9,,0.72,0.88,0.96,2664,2,0
1784321546.6801,5.4,5.1,0.3,0.0,858.0,45.0,,0.74,0.89,0.96,2624,2,0
1784321547.6812,5.5,5.1,0.4,0.0,858.0,44.9,,0.74,0.89,0.96,2599,3,0
1784321548.6821,5.5,5.2,0.3,0.0,858.0,44.9,,0.74,0.89,0.96,2579,2,0
1784321549.683,5.3,5.1,0.2,0.0,858.0,44.9,,0.74,0.89,0.96,2465,3,0
1784321550.6844,5.4,5.1,0.3,0.0,858.0,44.9,,0.74,0.89,0.96,2592,2,0
1784321551.6856,5.5,5.2,0.4,0.0,858.0,45.0,,0.76,0.89,0.96,2576,2,0
1784321552.6871,5.5,5.2,0.3,0.0,858.0,45.0,,0.76,0.89,0.96,2667,2,0
1784321553.6884,5.4,5.1,0.3,0.0,858.0,45.0,,0.76,0.89,0.96,2534,3,0
1784321554.6898,5.5,5.2,0.3,0.0,858.0,45.0,,0.76,0.89,0.96,2606,2,0
1784321555.6912,5.5,5.2,0.3,0.0,858.0,45.1,,0.76,0.89,0.96,2719,3,0
1784321556.6924,5.5,5.2,0.3,0.0,858.0,45.1,,0.78,0.89,0.97,2601,2,0
1784321557.6934,5.5,5.2,0.3,0.0,858.0,45.0,,0.78,0.89,0.97,2496,2,0
1784321558.6943,5.3,5.1,0.2,0.0,858.0,45.0,,0.78,0.89,0.97,2469,2,0
1784321559.6956,5.4,5.1,0.3,0.0,858.0,45.0,,0.78,0.89,0.97,2560,2,0
1784321560.697,5.4,5.1,0.3,0.0,858.0,45.0,,0.78,0.89,0.97,2636,2,0
1784321561.6984,5.5,5.2,0.3,0.1,858.0,45.1,,0.8,0.89,0.97,2497,2,0
1784321562.6998,5.4,5.1,0.3,0.0,858.0,45.1,,0.8,0.89,0.97,2580,2,0
1784321563.7012,5.6,5.2,0.4,0.0,858.0,45.1,,0.8,0.89,0.97,2727,2,0
1784321564.7026,5.5,5.2,0.3,0.0,858.0,45.1,,0.8,0.89,0.97,2657,2,0
1784321565.7037,5.4,5.1,0.3,0.0,858.0,45.1,,0.8,0.89,0.97,2708,2,0
1784321566.7045,5.5,5.1,0.4,0.0,858.0,45.1,,0.81,0.89,0.97,2677,2,0
1784321567.7056,5.4,5.2,0.2,0.0,858.0,45.1,,0.81,0.89,0.97,2534,2,0
1784321568.7072,5.4,5.1,0.3,0.0,858.0,45.1,,0.81,0.89,0.97,2615,2,0
1784321569.7085,5.4,5.2,0.3,0.0,858.0,45.1,,0.81,0.89,0.97,2653,2,0
1784321570.7092,5.4,5.1,0.3,0.0,858.0,45.1,,0.81,0.89,0.97,2549,2,0
1784321571.7104,5.4,5.1,0.3,0.0,858.0,45.1,,0.83,0.9,0.97,2596,2,0
1784321572.7116,5.4,5.1,0.3,0.0,858.0,45.1,,0.83,0.9,0.97,2567,3,0
1784321573.7131,5.5,5.1,0.4,0.0,858.0,45.1,,0.83,0.9,0.97,2586,2,0
1784321574.7145,5.5,5.2,0.3,0.0,858.0,45.1,,0.83,0.9,0.97,2560,2,0
1784321575.7153,5.4,5.1,0.3,0.1,858.0,45.1,,0.83,0.9,0.97,2572,3,0
1784321576.7166,5.4,5.2,0.2,0.0,858.0,45.1,,0.84,0.9,0.97,2450,2,0
1784321577.7182,5.5,5.2,0.3,0.0,858.0,45.1,,0.84,0.9,0.97,2499,2,0
1784321578.7193,5.5,5.2,0.3,0.0,858.0,45.1,,0.84,0.9,0.97,2569,2,0
1784321579.7208,5.5,5.2,0.3,0.0,858.0,45.1,,0.84,0.9,0.97,2562,2,0
1784321580.7219,5.5,5.2,0.3,0.0,858.0,45.1,,0.84,0.9,0.97,2587,2,0
1784321581.723,5.4,5.1,0.3,0.0,858.0,45.1,,0.94,0.92,0.97,2524,2,0
1784321582.7244,5.5,5.1,0.4,0.0,858.0,45.1,,0.94,0.92,0.97,2582,2,0
1784321583.7252,5.4,5.1,0.3,0.0,858.0,45.1,,0.94,0.92,0.97,2609,3,0
1784321584.7263,5.3,5.1,0.2,0.0,858.0,45.1,,0.94,0.92,0.97,2479,2,0
1784321585.7274,5.4,5.1,0.3,0.0,858.0,45.1,,0.94,0.92,0.97,2530,2,0
1784321586.7284,5.4,5.2,0.3,0.0,858.0,45.1,,0.94,0.92,0.97,2598,2,0
1784321587.7292,5.4,5.1,0.3,0.0,858.0,45.1,,0.94,0.92,0.97,2610,2,0
1784321588.73,5.5,5.2,0.3,0.0,858.0,45.1,,0.94,0.92,0.97,2614,2,0
1784321589.7308,5.4,5.1,0.3,0.0,858.0,45.1,,0.94,0.92,0.97,2559,2,0
1784321590.7316,5.5,5.2,0.3,0.0,858.0,45.1,,0.94,0.92,0.97,2709,2,0
1784321591.7324,5.4,5.1,0.3,0.0,858.0,45.2,,0.95,0.92,0.97,2599,2,0
1784321592.7332,5.4,5.1,0.3,0.0,858.0,45.2,,0.95,0.92,0.97,2530,2,0
1784321593.7341,5.2,5.1,0.2,0.0,858.0,45.2,,0.95,0.92,0.97,2530,4,0
1784321594.7354,5.4,5.1,0.3,0.0,858.0,45.2,,0.95,0.92,0.97,2569,2,0
1784321595.7368,5.4,5.1,0.3,0.0,858.0,45.1,,0.95,0.92,0.97,2573,2,0
1784321596.7381,5.4,5.1,0.3,0.0,858.0,45.1,,0.95,0.92,0.97,2600,2,0
1784321597.7396,5.5,5.2,0.4,0.0,858.0,45.2,,0.95,0.92,0.97,2602,2,0
1784321598.7408,5.5,5.1,0.4,0.0,858.0,45.1,,0.95,0.92,0.97,2546,2,0
1784321599.7423,5.5,5.1,0.4,0.0,858.0,45.2,,0.95,0.92,0.97,2705,2,0
1784321600.7436,5.5,5.2,0.3,0.0,858.0,45.2,,0.95,0.92,0.97,2595,2,0
1784321601.7443,5.4,5.1,0.3,0.0,858.0,45.2,,0.95,0.92,0.97,2563,2,0
1784321602.7458,5.3,5.1,0.2,0.0,858.0,45.2,,0.95,0.92,0.97,2504,2,0
1784321603.7469,5.5,5.2,0.3,0.0,858.0,45.2,,0.95,0.92,0.97,2685,2,0
1784321604.7482,5.4,5.2,0.3,0.0,858.0,45.2,,0.95,0.92,0.97,2643,2,0
1784321605.749,5.6,5.2,0.3,0.1,858.0,45.2,,0.95,0.92,0.97,2509,2,0
1784321606.7505,5.4,5.1,0.3,0.0,858.0,45.2,,0.96,0.92,0.98,2666,2,0
1784321607.7521,5.6,5.2,0.4,0.0,858.0,45.2,,0.96,0.92,0.98,2678,2,0
1784321608.7534,5.4,5.1,0.3,0.0,858.0,45.3,,0.96,0.92,0.98,2635,2,0
1784321609.7544,5.5,5.1,0.4,0.0,858.0,45.2,,0.96,0.92,0.98,2574,2,0
1784321610.7552,5.3,5.1,0.2,0.0,858.0,45.2,,0.96,0.92,0.98,2494,3,0
1784321611.7565,5.4,5.1,0.3,0.0,858.0,45.2,,0.96,0.92,0.98,2528,2,0
1784321612.7579,5.4,5.1,0.3,0.0,858.0,45.2,,0.96,0.92,0.98,2582,2,0
1784321613.7591,5.3,5.1,0.3,0.0,858.0,45.2,,0.96,0.92,0.98,2535,2,0
1784321614.7606,5.5,5.1,0.4,0.0,858.0,45.3,,0.96,0.92,0.98,2616,2,0
1784321615.762,5.4,5.1,0.3,0.0,858.0,45.3,,0.96,0.92,0.98,2578,2,0
1784321616.7633,5.4,5.2,0.3,0.0,858.0,45.2,,1.13,0.96,0.99,2633,2,0
1784321617.7642,5.4,5.1,0.3,0.0,858.0,45.3,,1.13,0.96,0.99,2549,2,0
1784321618.7654,5.4,5.2,0.3,0.0,858.0,45.3,,1.13,0.96,0.99,2568,2,0
1784321619.7662,5.4,5.1,0.3,0.0,858.0,45.2,,1.13,0.96,0.99,2523,3,0
1784321620.7674,5.3,5.1,0.2,0.0,858.0,45.2,,1.13,0.96,0.99,2525,2,0
1784321621.7687,5.5,5.2,0.3,0.0,858.0,45.2,,1.12,0.96,0.99,2560,2,0
1784321622.77,5.5,5.2,0.3,0.0,858.0,45.2,,1.12,0.96,0.99,2567,2,0
1784321623.7715,5.4,5.1,0.3,0.0,858.0,45.3,,1.12,0.96,0.99,2604,2,0
1784321624.7727,5.5,5.1,0.4,0.0,858.0,45.3,,1.12,0.96,0.99,2598,2,0
1784321625.7742,5.5,5.2,0.3,0.0,858.0,45.2,,1.12,0.96,0.99,2502,2,0
1784321626.7756,5.5,5.2,0.3,0.0,858.0,45.2,,1.11,0.96,0.99,2601,2,0
1784321627.7763,5.5,5.2,0.3,0.0,858.0,45.2,,1.11,0.96,0.99,2591,2,0
1784321628.7771,5.3,5.1,0.2,0.0,858.0,45.2,,1.11,0.96,0.99,2534,3,0
1784321629.7783,5.5,5.1,0.4,0.0,858.0,45.2,,1.11,0.96,0.99,2539,2,0
1784321630.7799,5.5,5.2,0.3,0.0,858.0,45.3,,1.11,0.96,0.99,2690,3,0
1784321631.781,5.5,5.1,0.4,0.0,858.0,45.2,,1.1,0.96,0.99,2641,2,0
1784321632.7824,5.4,5.2,0.3,0.0,858.0,45.2,,1.1,0.96,0.99,2577,2,0
1784321633.7837,5.4,5.2,0.3,0.0,858.0,45.2,,1.1,0.96,0.99,2640,2,0
1784321634.7847,5.4,5.1,0.3,0.0,858.0,45.3,,1.1,0.96,0.99,2687,2,0
1784321635.7862,5.5,5.1,0.3,0.1,858.0,45.3,,1.1,0.96,0.99,2586,2,0
1784321636.7871,5.5,5.2,0.4,0.0,858.0,45.2,,1.09,0.96,0.99,2660,2,0
1784321637.7879,5.4,5.1,0.3,0.0,858.0,45.2,,1.09,0.96,0.99,2447,3,0
1784321638.7891,5.3,5.1,0.3,0.0,858.0,45.2,,1.09,0.96,0.99,2573,2,0
1784321639.7905,5.4,5.1,0.3,0.0,858.0,45.2,,1.09,0.96,0.99,2653,2,0
1784321640.7918,5.5,5.2,0.3,0.0,858.0,45.2,,1.09,0.96,0.99,2643,2,0
1784321641.7933,5.4,5.2,0.3,0.0,858.0,45.3,,1.08,0.96,0.99,2627,2,0
1784321642.7941,5.4,5.1,0.3,0.0,858.0,45.2,,1.08,0.96,0.99,2557,3,0
1784321643.7954,5.5,5.2,0.3,0.0,858.0,45.3,,1.08,0.96,0.99,2667,2,0
1784321644.7962,5.5,5.2,0.3,0.0,858.0,45.3,,1.08,0.96,0.99,2636,2,0
1784321645.797,5.5,5.2,0.3,0.0,858.0,45.3,,1.08,0.96,0.99,2647,2,0
1784321646.7978,5.3,5.1,0.2,0.0,858.0,45.3,,1.08,0.97,0.99,2533,3,0
