timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1784341351.9745,121.69,3.41,2.8,112.4,118.28,16.0,0,0.0,0.0
1784341352.9748,121.69,3.75,3.1,112.06,117.94,16.0,0,0.0,0.0
1784341353.9755,121.69,3.84,3.2,111.96,117.85,16.0,0,0.0,0.0
1784341354.9759,121.69,3.92,3.2,111.88,117.77,16.0,0,0.0,0.0
1784341355.9767,121.69,4.0,3.3,111.8,117.69,16.0,0,0.0,0.0
1784341356.9771,121.69,4.09,3.4,111.72,117.6,16.0,0,0.0,0.0
1784341357.9778,121.69,4.18,3.4,111.63,117.51,16.0,0,0.0,0.0
1784341358.9782,121.69,4.26,3.5,111.55,117.43,16.0,0,0.0,0.0
1784341359.9791,121.69,4.35,3.6,111.46,117.34,16.0,0,0.0,0.0
1784341360.9794,121.69,3.77,3.1,112.04,117.92,16.0,0,0.0,0.0
1784341361.9798,121.69,3.85,3.2,111.96,117.84,16.0,0,0.0,0.0
1784341362.9804,121.69,3.93,3.2,111.87,117.76,16.0,0,0.0,0.0
1784341363.981,121.69,4.02,3.3,111.79,117.67,16.0,0,0.0,0.0
1784341364.9814,121.69,4.1,3.4,111.7,117.59,16.0,0,0.0,0.0
1784341365.982,121.69,4.18,3.4,111.62,117.51,16.0,0,0.0,0.0
1784341366.9823,121.69,4.27,3.5,111.54,117.42,16.0,0,0.0,0.0
1784341367.9826,121.69,4.35,3.6,111.46,117.34,16.0,0,0.0,0.0
1784341368.9832,121.69,3.77,3.1,112.04,117.92,16.0,0,0.0,0.0
1784341369.9835,121.69,3.85,3.2,111.96,117.84,16.0,0,0.0,0.0
1784341370.9839,121.69,3.93,3.2,111.87,117.76,16.0,0,0.0,0.0
1784341371.9845,121.69,4.03,3.3,111.78,117.66,16.0,0,0.0,0.0
1784341372.9852,121.69,4.1,3.4,111.7,117.59,16.0,0,0.0,0.0
1784341373.9862,121.69,4.19,3.4,111.62,117.5,16.0,0,0.0,0.0
1784341374.9866,121.69,4.27,3.5,111.53,117.42,16.0,0,0.0,0.0
1784341375.9877,121.69,4.36,3.6,111.44,117.33,16.0,0,0.0,0.0
1784341376.9881,121.69,3.78,3.1,112.03,117.91,16.0,0,0.0,0.0
1784341377.9884,121.69,3.86,3.2,111.95,117.83,16.0,0,0.0,0.0
1784341378.9887,121.69,3.95,3.2,111.86,117.74,16.0,0,0.0,0.0
1784341379.9896,121.69,4.03,3.3,111.77,117.66,16.0,0,0.0,0.0
1784341380.9904,121.69,4.12,3.4,111.69,117.57,16.0,0,0.0,0.0
1784341381.9917,121.69,4.2,3.5,111.6,117.49,16.0,0,0.0,0.0
1784341382.9931,121.69,4.29,3.5,111.52,117.4,16.0,0,0.0,0.0
1784341383.9937,121.69,4.37,3.6,111.44,117.32,16.0,0,0.0,0.0
1784341384.9947,121.69,3.78,3.1,112.03,117.91,16.0,0,0.0,0.0
1784341385.9959,121.69,3.85,3.2,111.96,117.84,16.0,0,0.0,0.0
1784341386.9967,121.69,3.94,3.2,111.87,117.75,16.0,0,0.0,0.0
1784341387.9973,121.69,4.02,3.3,111.79,117.67,16.0,0,0.0,0.0
1784341388.9986,121.69,4.1,3.4,111.71,117.59,16.0,0,0.0,0.0
1784341389.9997,121.69,4.18,3.4,111.62,117.51,16.0,0,0.0,0.0
1784341391.0006,121.69,4.27,3.5,111.54,117.42,16.0,0,0.0,0.0
1784341392.0023,121.69,4.35,3.6,111.45,117.34,16.0,0,0.0,0.0
1784341393.0027,121.69,3.84,3.2,111.97,117.85,16.0,0,0.0,0.0
1784341394.0039,121.69,3.94,3.2,111.86,117.75,16.0,0,0.0,0.0
1784341395.0048,121.69,4.03,3.3,111.78,117.66,16.0,0,0.0,0.0
1784341396.0054,121.69,4.12,3.4,111.69,117.57,16.0,0,0.0,0.0
1784341397.0066,121.69,4.2,3.5,111.61,117.49,16.0,0,0.0,0.0
1784341398.0069,121.69,4.28,3.5,111.53,117.41,16.0,0,0.0,0.0
1784341399.009,121.69,4.36,3.6,111.45,117.33,16.0,0,0.0,0.0
1784341400.0097,121.69,4.44,3.6,111.37,117.25,16.0,0,0.0,0.0
1784341401.0103,121.69,4.41,3.6,111.4,117.28,16.0,0,0.0,0.0
1784341402.0107,121.69,3.91,3.2,111.9,117.78,16.0,0,0.0,0.0
1784341403.0115,121.69,3.99,3.3,111.81,117.7,16.0,0,0.0,0.0
1784341404.0119,121.69,4.07,3.3,111.73,117.62,16.0,0,0.0,0.0
1784341405.0122,121.69,4.15,3.4,111.66,117.54,16.0,0,0.0,0.0
1784341406.0126,121.69,4.24,3.5,111.57,117.45,16.0,0,0.0,0.0
1784341407.0138,121.69,4.32,3.6,111.48,117.37,16.0,0,0.0,0.0
1784341408.0151,121.69,4.4,3.6,111.41,117.29,16.0,0,0.0,0.0
1784341409.0153,121.69,4.46,3.7,111.34,117.23,16.0,0,0.0,0.0
1784341410.0157,121.69,3.88,3.2,111.93,117.81,16.0,0,0.0,0.0
1784341411.0164,121.69,3.95,3.2,111.86,117.74,16.0,0,0.0,0.0
1784341412.0168,121.69,4.04,3.3,111.77,117.65,16.0,0,0.0,0.0
1784341413.0172,121.69,4.12,3.4,111.69,117.57,16.0,0,0.0,0.0
1784341414.0178,121.69,4.21,3.5,111.6,117.48,16.0,0,0.0,0.0
1784341415.0184,121.69,4.28,3.5,111.53,117.41,16.0,0,0.0,0.0
1784341416.0191,121.69,4.36,3.6,111.45,117.33,16.0,0,0.0,0.0
1784341417.0197,121.69,4.44,3.6,111.37,117.25,16.0,0,0.0,0.0
1784341418.0209,121.69,3.77,3.1,112.04,117.92,16.0,0,0.0,0.0
1784341419.0221,121.69,3.87,3.2,111.94,117.82,16.0,0,0.0,0.0
1784341420.0226,121.69,3.95,3.2,111.86,117.74,16.0,0,0.0,0.0
1784341421.0232,121.69,4.03,3.3,111.77,117.66,16.0,0,0.0,0.0
1784341422.0244,121.69,4.12,3.4,111.69,117.57,16.0,0,0.0,0.0
