timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1784330287.6122,0.6,0.1,0.5,0.0,858.0,43.2,,0.63,0.9,0.95,1586,3,0
1784330288.614,3.0,0.2,2.9,0.0,858.0,44.0,,0.74,0.92,0.96,2524,2,0
1784330289.6163,5.6,0.4,5.2,0.1,858.0,45.3,,0.74,0.92,0.96,2611,2,0
1784330290.6185,5.6,0.9,4.7,0.0,858.0,45.9,,0.74,0.92,0.96,2543,2,0
1784330291.6193,5.6,1.7,3.9,0.0,858.0,46.2,,0.74,0.92,0.96,2682,2,0
1784330292.6202,5.4,1.4,4.1,0.0,858.0,46.3,,0.74,0.92,0.96,2588,3,0
1784330293.6214,5.4,3.0,2.4,0.0,858.0,45.3,,0.92,0.96,0.97,2639,2,0
1784330294.6233,5.6,3.4,2.2,0.0,858.0,46.0,,0.92,0.96,0.97,2710,2,0
1784330295.6252,5.5,2.0,3.6,0.0,858.0,46.2,,0.92,0.96,0.97,2660,2,0
1784330296.6265,5.5,0.8,4.8,0.0,858.0,46.2,,0.92,0.96,0.97,2598,2,0
1784330297.6278,5.5,0.7,4.9,0.0,858.0,46.3,,0.92,0.96,0.97,2643,2,0
1784330298.6295,5.6,3.6,2.0,0.0,858.0,46.4,,0.93,0.96,0.97,2670,2,0
1784330299.6304,5.5,5.2,0.4,0.0,858.0,46.5,,0.93,0.96,0.97,2630,2,0
1784330300.6318,5.3,5.2,0.2,0.0,858.0,46.6,,0.93,0.96,0.97,2489,2,0
1784330301.6335,5.5,5.1,0.4,0.0,858.0,46.8,,0.93,0.96,0.97,2574,2,0
1784330302.6353,5.6,0.9,4.7,0.0,858.0,46.2,,0.93,0.96,0.97,2668,2,0
1784330303.6371,5.5,0.2,5.4,0.0,858.0,45.9,,1.01,0.97,0.97,2642,2,0
1784330304.6384,5.6,0.2,5.4,0.0,858.0,45.7,,1.01,0.97,0.97,2697,2,0
1784330305.6401,5.3,0.3,5.1,0.0,858.0,45.6,,1.01,0.97,0.97,2747,2,0
1784330306.6424,5.6,0.4,5.2,0.0,858.0,47.0,,1.01,0.97,0.97,2599,2,0
1784330307.6432,5.4,1.2,4.3,0.0,858.0,47.6,,1.01,0.97,0.97,2614,2,0
1784330308.6449,5.4,1.3,4.1,0.0,858.0,47.8,,1.01,0.97,0.97,2390,2,0
1784330309.6464,5.5,1.1,4.4,0.0,858.0,47.3,,1.01,0.97,0.97,2717,2,0
1784330310.6474,5.5,4.6,1.0,0.0,858.0,47.1,,1.01,0.97,0.97,2619,2,0
1784330311.6483,5.6,2.1,3.4,0.1,858.0,47.2,,1.01,0.97,0.97,2553,2,0
1784330312.6493,5.6,1.6,4.0,0.0,858.0,47.3,,1.01,0.97,0.97,2578,2,0
1784330313.6502,5.5,0.9,4.7,0.0,858.0,47.3,,1.01,0.97,0.98,2560,2,0
1784330314.6512,5.5,0.8,4.8,0.0,858.0,47.3,,1.01,0.97,0.98,2583,2,0
1784330315.6522,5.6,5.2,0.4,0.0,858.0,47.8,,1.01,0.97,0.98,2628,3,0
1784330316.6531,5.4,5.2,0.3,0.0,858.0,48.0,,1.01,0.97,0.98,2609,3,0
1784330317.6541,5.4,5.1,0.3,0.0,858.0,48.2,,1.01,0.97,0.98,2482,2,0
1784330318.6551,5.5,3.5,2.1,0.0,858.0,48.1,,1.01,0.98,0.98,2681,2,0
1784330319.656,5.5,0.2,5.3,0.0,858.0,47.6,,1.01,0.98,0.98,2599,2,0
1784330320.657,5.3,0.1,5.2,0.0,858.0,46.6,,1.01,0.98,0.98,2780,4,0
1784330321.6581,5.5,0.5,5.0,0.0,858.0,46.7,,1.01,0.98,0.98,2570,2,0
1784330322.6594,5.5,0.8,4.8,0.0,858.0,47.4,,1.01,0.98,0.98,2668,2,0
1784330323.6603,5.5,1.5,4.0,0.0,858.0,47.6,,1.01,0.98,0.98,2603,2,0
1784330324.6612,5.6,1.5,4.1,0.0,858.0,47.7,,1.01,0.98,0.98,2669,2,0
1784330325.6622,5.3,2.6,2.8,0.0,858.0,46.6,,1.01,0.98,0.98,2646,3,0
1784330326.663,5.5,3.7,1.8,0.1,858.0,47.6,,1.01,0.98,0.98,2577,2,0
1784330327.6639,5.4,1.9,3.6,0.0,858.0,47.8,,1.01,0.98,0.98,2623,2,0
1784330328.6649,5.5,0.9,4.7,0.0,858.0,47.7,,1.09,0.99,0.98,2660,2,0
1784330329.6659,5.5,0.9,4.7,0.0,858.0,47.6,,1.09,0.99,0.98,2565,2,0
