timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1784312868.3503,0.5,0.2,0.3,0.0,858.0,40.9,,0.61,0.86,0.95,1604,5,0
1784312869.3515,6.8,4.2,2.6,0.0,858.0,42.5,,0.64,0.86,0.95,7916,2,0
1784312870.3527,7.7,5.9,1.8,0.0,858.0,44.3,,0.64,0.86,0.95,10039,3,0
1784312871.3539,10.3,8.8,1.4,0.1,858.0,45.5,,0.64,0.86,0.95,10632,3,0
1784312872.3552,10.4,9.7,0.6,0.1,858.0,46.0,,0.64,0.86,0.95,2759,3,0
1784312873.3564,10.4,9.6,0.9,0.0,858.0,45.8,,0.64,0.86,0.95,2869,3,0
1784312874.3579,10.3,9.9,0.4,0.0,858.0,45.6,,0.75,0.88,0.96,3095,3,0
1784312875.3591,10.5,9.1,1.5,0.0,858.0,46.5,,0.75,0.88,0.96,2886,4,0
1784312876.3604,10.6,10.0,0.6,0.1,858.0,46.4,,0.75,0.88,0.96,3275,3,0
1784312877.3617,10.5,10.1,0.4,0.0,858.0,46.6,,0.75,0.88,0.96,3345,3,0
1784312878.363,10.5,10.1,0.4,0.0,858.0,46.7,,0.75,0.88,0.96,3770,3,0
1784312879.3642,9.6,8.2,1.4,0.0,858.0,46.5,,0.77,0.88,0.96,6902,4,0
1784312880.3655,8.4,5.8,2.6,0.0,858.0,46.1,,0.77,0.88,0.96,11502,3,0
1784312881.3667,9.6,6.1,3.5,0.1,858.0,46.0,,0.77,0.88,0.96,12332,2,0
1784312882.368,8.8,5.8,3.0,0.0,858.0,46.1,,0.77,0.88,0.96,12464,4,0
1784312883.3693,9.1,6.0,3.1,0.0,858.0,46.0,,0.77,0.88,0.96,12979,4,0
1784312884.3705,8.4,5.7,2.7,0.0,858.0,46.1,,0.95,0.92,0.97,11815,2,0
1784312885.3718,8.6,6.0,2.6,0.0,858.0,46.1,,0.95,0.92,0.97,11880,2,0
1784312886.373,8.3,5.7,2.6,0.0,858.0,46.0,,0.95,0.92,0.97,11314,4,0
1784312887.3744,9.1,6.1,3.1,0.0,858.0,46.1,,0.95,0.92,0.97,12920,2,0
1784312888.3757,8.7,5.9,2.8,0.0,858.0,46.3,,0.95,0.92,0.97,11711,3,0
1784312889.377,10.3,6.5,3.8,0.0,858.0,46.3,,1.27,0.99,0.99,14906,3,0
1784312890.3781,9.5,6.1,3.4,0.1,858.0,46.3,,1.27,0.99,0.99,12834,3,0
1784312891.3794,9.0,6.0,3.0,0.0,858.0,46.2,,1.27,0.99,0.99,12364,3,0
1784312892.3807,8.4,5.8,2.6,0.0,858.0,46.3,,1.27,0.99,0.99,11669,3,0
1784312893.3819,8.3,5.7,2.6,0.0,858.0,46.2,,1.27,0.99,0.99,11722,3,0
1784312894.3831,8.9,6.0,2.9,0.0,858.0,46.4,,1.33,1.0,1.0,12063,3,0
1784312895.3844,10.5,6.3,4.1,0.0,858.0,46.5,,1.33,1.0,1.0,13146,3,0
1784312896.3858,10.0,6.3,3.7,0.0,858.0,46.6,,1.33,1.0,1.0,13049,3,0
1784312897.387,8.9,6.0,2.9,0.0,858.0,46.6,,1.33,1.0,1.0,11667,3,0
1784312898.3883,8.9,5.9,3.0,0.0,858.0,46.7,,1.33,1.0,1.0,12249,4,0
1784312899.3895,8.6,5.8,2.7,0.1,858.0,46.7,,1.31,1.0,1.0,11806,2,0
1784312900.3908,9.9,6.3,3.6,0.1,858.0,46.7,,1.31,1.0,1.0,13041,3,0
1784312901.3921,9.8,6.2,3.7,0.0,858.0,46.7,,1.31,1.0,1.0,13479,3,0
1784312902.3934,10.0,6.3,3.6,0.1,858.0,46.9,,1.31,1.0,1.0,14527,3,0
1784312903.3946,9.5,6.2,3.4,0.0,858.0,46.8,,1.31,1.0,1.0,12412,3,0
1784312904.3959,9.7,6.2,3.5,0.0,858.0,46.9,,1.36,1.02,1.0,12864,3,0
1784312905.3972,9.3,5.9,3.4,0.0,858.0,46.8,,1.36,1.02,1.0,12583,3,0
1784312906.3985,8.4,6.0,2.5,0.0,858.0,46.9,,1.36,1.02,1.0,11213,4,0
1784312907.3998,8.5,5.6,2.7,0.3,858.0,46.9,,1.36,1.02,1.0,12414,3,0
1784312908.4011,10.0,6.3,3.8,0.0,858.0,46.8,,1.36,1.02,1.0,13383,3,0
1784312909.4023,10.7,6.4,4.3,0.0,858.0,46.9,,1.41,1.04,1.01,14518,3,0
1784312910.4036,10.4,6.6,3.9,0.0,858.0,47.1,,1.41,1.04,1.01,14423,3,0
1784312911.405,8.5,5.8,2.7,0.0,858.0,46.9,,1.41,1.04,1.01,11866,2,0
1784312912.4062,8.3,5.9,2.4,0.1,858.0,46.8,,1.41,1.04,1.01,11556,2,0
1784312913.4076,8.2,5.1,3.2,0.0,858.0,46.0,,1.41,1.04,1.01,11945,3,0
1784312914.4089,8.8,6.0,2.8,0.0,858.0,45.3,,1.46,1.05,1.01,12290,3,0
1784312915.4101,10.3,8.7,1.7,0.0,858.0,45.9,,1.46,1.05,1.01,9975,4,0
1784312916.4115,6.8,6.3,0.5,0.0,858.0,45.9,,1.46,1.05,1.01,3515,2,0
1784312917.413,5.6,5.2,0.4,0.0,858.0,45.8,,1.46,1.05,1.01,2674,2,0
1784312918.4141,5.5,5.2,0.4,0.0,858.0,45.8,,1.46,1.05,1.01,2677,2,0
1784312919.4152,5.9,5.4,0.4,0.1,858.0,45.8,,1.42,1.05,1.01,3397,2,0
1784312920.4165,5.5,5.2,0.3,0.0,858.0,45.8,,1.42,1.05,1.01,2621,2,0
1784312921.4179,5.4,5.2,0.3,0.0,858.0,45.8,,1.42,1.05,1.01,2643,2,0
1784312922.4193,5.5,5.2,0.4,0.0,858.0,45.8,,1.42,1.05,1.01,2730,2,0
1784312923.4204,5.5,5.2,0.4,0.0,858.0,45.8,,1.42,1.05,1.01,2558,3,0
1784312924.4218,5.4,5.2,0.2,0.0,858.0,45.8,,1.39,1.05,1.01,2548,2,0
1784312925.4228,5.5,5.1,0.3,0.1,858.0,45.7,,1.39,1.05,1.01,2602,2,0
1784312926.4239,5.4,5.2,0.3,0.0,858.0,45.8,,1.39,1.05,1.01,2672,2,0
1784312927.425,5.6,5.1,0.5,0.0,858.0,45.8,,1.39,1.05,1.01,2638,2,0
1784312928.4264,5.5,5.2,0.3,0.0,858.0,45.8,,1.39,1.05,1.01,2659,2,0
1784312929.4278,5.4,5.2,0.3,0.0,858.0,45.8,,1.36,1.05,1.01,2675,2,0
1784312930.429,5.4,5.1,0.3,0.0,858.0,45.8,,1.36,1.05,1.01,2628,2,0
1784312931.4301,5.5,5.2,0.3,0.0,858.0,45.8,,1.36,1.05,1.01,2587,3,0
1784312932.4315,5.3,5.1,0.2,0.0,858.0,45.7,,1.36,1.05,1.01,2527,2,0
1784312933.4327,5.5,5.2,0.4,0.0,858.0,45.8,,1.36,1.05,1.01,2574,2,0
1784312934.4341,5.5,5.2,0.3,0.0,858.0,45.7,,1.33,1.05,1.01,2700,2,0
1784312935.4353,5.6,5.2,0.4,0.1,858.0,45.7,,1.33,1.05,1.01,2601,2,0
1784312936.4368,5.5,5.2,0.4,0.0,858.0,45.7,,1.33,1.05,1.01,2638,2,0
1784312937.438,5.4,5.2,0.3,0.0,858.0,45.7,,1.33,1.05,1.01,2527,2,0
1784312938.4391,5.5,5.2,0.3,0.0,858.0,45.7,,1.33,1.05,1.01,2570,2,0
1784312939.4402,5.4,5.1,0.3,0.0,858.0,45.7,,1.3,1.05,1.01,2570,3,0
1784312940.4415,5.4,5.1,0.3,0.0,858.0,45.7,,1.3,1.05,1.01,2519,2,0
1784312941.4429,5.6,5.2,0.3,0.1,858.0,45.7,,1.3,1.05,1.01,2604,2,0
1784312942.4443,5.5,5.2,0.4,0.0,858.0,45.7,,1.3,1.05,1.01,2570,2,0
1784312943.4456,5.5,5.2,0.3,0.1,858.0,45.7,,1.3,1.05,1.01,2638,2,0
1784312944.447,5.6,5.2,0.4,0.0,858.0,45.7,,1.28,1.05,1.01,2604,2,0
1784312945.4481,5.4,5.1,0.3,0.0,858.0,45.7,,1.28,1.05,1.01,2536,2,0
1784312946.4495,5.5,5.1,0.4,0.0,858.0,45.7,,1.28,1.05,1.01,2600,2,0
1784312947.4506,5.5,5.2,0.3,0.0,858.0,45.8,,1.28,1.05,1.01,2556,2,0
1784312948.4519,5.4,5.2,0.2,0.0,858.0,45.7,,1.28,1.05,1.01,2499,2,0
1784312949.4533,5.6,5.2,0.4,0.0,858.0,45.7,,1.25,1.04,1.01,2585,2,0
