timestamp_unix,cgroup_mem_anon_bytes,cgroup_mem_file_bytes,cgroup_mem_kernel_bytes,cgroup_mem_slab_bytes,cgroup_mem_swap_bytes,cgroup_mem_workingset_refault,cgroup_mem_kswapd_steal,cgroup_mem_direct_reclaim_steal
1784327224.9294,1264156672,6359711744,580284416,558463200,,,0,0
1784327225.9304,2393481216,6403948544,583438336,558680984,,,0,0
1784327226.9307,5212139520,6403948544,588967936,558683040,,,0,0
1784327227.9316,8741691392,6403948544,595865600,558692808,,,0,0
1784327228.9318,11911196672,6403948544,602062848,558699944,,,0,0
1784327229.9324,12057272320,6403956736,602353664,558706384,,,0,0
1784327230.9332,12057198592,6403956736,602349568,558694880,,,0,0
1784327231.9338,12057198592,6403956736,602357760,558690640,,,0,0
1784327232.9341,12058034176,6403956736,602775552,558841296,,,0,0
1784327233.9346,12057235456,6403956736,602337280,558686536,,,0,0
1784327234.9352,12057235456,6403956736,602357760,558703032,,,0,0
1784327235.9354,12057235456,6403956736,602349568,558685800,,,0,0
1784327236.9361,12057235456,6403956736,602357760,558693248,,,0,0
1784327237.9366,12057235456,6403956736,602333184,558678744,,,0,0
1784327238.9373,12057235456,6403956736,602361856,558696544,,,0,0
1784327239.9377,12057235456,6403956736,602365952,558701424,,,0,0
1784327240.9383,12057235456,6403956736,602361856,558710568,,,0,0
1784327241.9387,12057235456,6403956736,602537984,558804392,,,0,0
1784327242.9393,12057235456,6403956736,602365952,558701056,,,0,0
1784327243.9402,12057161728,6403956736,602337280,558676776,,,0,0
1784327244.9408,12057161728,6403956736,602345472,558678776,,,0,0
1784327245.9414,12057264128,6403956736,602357760,558698904,,,0,0
1784327246.942,12057264128,6403964928,602353664,558685176,,,0,0
1784327247.9426,12057264128,6403964928,602353664,558699872,,,0,0
1784327248.9429,12057264128,6403964928,602361856,558701784,,,0,0
1784327249.9433,12057264128,6403964928,602394624,558733152,,,0,0
1784327250.9439,12319674368,6403964928,602869760,558673880,,,0,0
1784327251.9446,1600761856,6403964928,583438336,558684592,,,0,0
1784327252.9454,3236642816,6403964928,585101312,558659104,,,0,0
1784327253.9463,6485684224,6403964928,591446016,558661856,,,0,0
1784327254.947,9739096064,6403964928,597823488,558658520,,,0,0
1784327255.9481,12057079808,6403964928,602357760,558675704,,,0,0
1784327256.9498,12057190400,6403964928,602361856,558677192,,,0,0
1784327257.9507,12057296896,6403964928,602374144,558681352,,,0,0
1784327258.951,12057296896,6403969024,602513408,558747736,,,0,0
1784327259.9518,12057296896,6403969024,602357760,558679000,,,0,0
1784327260.9526,12057296896,6403969024,602357760,558680776,,,0,0
1784327261.9534,12057296896,6403969024,602361856,558668728,,,0,0
1784327262.9537,12057296896,6403969024,602353664,558672104,,,0,0
1784327263.9546,12057296896,6403969024,602349568,558670056,,,0,0
1784327264.9552,12057296896,6403969024,602365952,558676528,,,0,0
1784327265.9554,12057374720,6403969024,602382336,558724384,,,0,0
1784327266.9564,12057374720,6403969024,602370048,558710504,,,0,0
1784327267.9582,12057300992,6403969024,602378240,558707672,,,0,0
1784327268.9587,12097163264,6403989504,605523968,559949520,,,0,0
1784327269.9592,12112965632,6404640768,606887936,560087008,,,0,0
1784327270.9596,12156575744,6404014080,603824128,559162064,,,0,0
1784327271.9604,12075216896,6277988352,599719936,555571432,,,0,0
1784327272.9609,12067024896,6404009984,603111424,559005000,,,0,0
1784327273.9615,12076134400,6404009984,603131904,558993496,,,0,0
1784327274.962,12109570048,6404009984,603213824,559023088,,,0,0
1784327275.9626,12102533120,6404009984,603213824,559013632,,,0,0
1784327276.9629,12103421952,6404014080,603627520,559153456,,,0,0
1784327277.9633,13139337216,6404014080,605249536,559019632,,,0,0
1784327278.9637,6246563840,6404014080,606502912,559323432,,,0,0
1784327279.964,1948512256,6404014080,583979008,559135568,,,0,0
1784327280.9644,4672684032,6404014080,589901824,559235944,,,0,0
1784327281.9647,7942602752,6404014080,596885504,559376904,,,0,0
1784327282.9651,11229253632,6404014080,603869184,559526600,,,0,0
1784327283.9654,12073508864,6404018176,603881472,559383616,,,0,0
1784327284.9657,12071514112,6404022272,604975104,559565968,,,0,0
1784327285.9661,12071845888,6404022272,604831744,559368544,,,0,0
1784327286.9664,12071862272,6404022272,604442624,559368336,,,0,0
1784327287.9667,12070555648,6404022272,604524544,559302544,,,0,0
1784327288.967,12070739968,6404022272,605986816,559635888,,,0,0
1784327289.9673,12070797312,6404022272,604622848,559374368,,,0,0
1784327290.9676,12070531072,6404022272,605581312,559543016,,,0,0
1784327291.9679,12070543360,6404022272,605323264,559517304,,,0,0
