timestamp_unix,cgroup_mem_anon_bytes,cgroup_mem_file_bytes,cgroup_mem_kernel_bytes,cgroup_mem_slab_bytes,cgroup_mem_swap_bytes,cgroup_mem_workingset_refault,cgroup_mem_kswapd_steal,cgroup_mem_direct_reclaim_steal
1784313150.4589,1267568640,6347341824,578191360,553922408,,,0,0
1784313151.4597,1377259520,6347341824,578453504,553821312,,,0,0
1784313152.4602,1493901312,6391578624,579477504,554062616,,,0,0
1784313153.4612,1493917696,6391578624,579485696,554065384,,,0,0
1784313154.4618,1493934080,6391578624,579444736,554054352,,,0,0
1784313155.4629,1493962752,6391582720,579432448,554059232,,,0,0
1784313156.4637,1493962752,6391582720,579424256,554048128,,,0,0
1784313157.4645,1454084096,6391582720,579428352,554049488,,,0,0
1784313158.465,1436225536,6347345920,578625536,553847904,,,0,0
1784313159.4654,1493921792,6391582720,579563520,554115488,,,0,0
1784313160.4662,1493934080,6391582720,579465216,554063248,,,0,0
1784313161.4669,1493962752,6391582720,579465216,554068936,,,0,0
1784313162.4672,1493897216,6391582720,579477504,554065592,,,0,0
1784313163.4676,1352200192,6347345920,578453504,553822792,,,0,0
1784313164.4682,1533820928,6435827712,581328896,555026072,,,0,0
1784313165.4687,1493725184,6391590912,580149248,554598688,,,0,0
1784313166.4693,1493733376,6391590912,580145152,554595576,,,0,0
1784313167.47,1493762048,6391590912,580313088,554681784,,,0,0
1784313168.4704,1493843968,6391590912,580042752,554536928,,,0,0
1784313169.471,1377210368,6347358208,579043328,554303352,,,0,0
1784313170.4713,1493856256,6391595008,579985408,554485752,,,0,0
1784313171.4725,1493876736,6391595008,580005888,554510496,,,0,0
1784313172.4731,1493893120,6391595008,580014080,554523232,,,0,0
1784313173.4738,1493921792,6391595008,580026368,554530792,,,0,0
1784313174.4741,1493921792,6391595008,580022272,554530304,,,0,0
1784313175.4745,1377112064,6347358208,579014656,554275448,,,0,0
1784313176.475,1490714624,6391590912,579465216,554283488,,,0,0
1784313177.4754,1490731008,6391590912,579424256,554263992,,,0,0
1784313178.4759,1491558400,6391590912,579784704,554353352,,,0,0
1784313179.4762,1490776064,6391590912,579403776,554239488,,,0,0
1784313180.477,1490780160,6391590912,579325952,554211888,,,0,0
1784313181.4776,1374076928,6347354112,578342912,553973784,,,0,0
1784313182.4791,1490718720,6391590912,579284992,554201912,,,0,0
1784313183.4795,1490743296,6391590912,579309568,554224024,,,0,0
1784313184.4801,1490751488,6391590912,579313664,554219000,,,0,0
1784313185.4805,1490780160,6391590912,579698688,554404864,,,0,0
1784313186.4812,1490771968,6391590912,579276800,554203824,,,0,0
1784313187.4816,1374171136,6347354112,578301952,553942216,,,0,0
1784313188.4823,1490808832,6391590912,579252224,554160904,,,0,0
1784313189.4833,1490833408,6391590912,579280896,554190920,,,0,0
1784313190.4836,1490853888,6391590912,579264512,554174176,,,0,0
1784313191.4843,1490870272,6391590912,579289088,554184776,,,0,0
1784313192.485,1490870272,6391590912,579280896,554172216,,,0,0
1784313193.4855,1435181056,6347354112,578658304,554068944,,,0,0
1784313194.4862,1490829312,6391590912,579293184,554169736,,,0,0
1784313195.4866,1490841600,6391590912,579289088,554167912,,,0,0
1784313196.487,1490874368,6391590912,579280896,554181528,,,0,0
1784313197.4874,1490878464,6391590912,579280896,554177544,,,0,0
1784313198.4884,1374023680,6347358208,578318336,553929000,,,0,0
1784313199.4888,1490767872,6391595008,579301376,554172576,,,0,0
1784313200.4892,1490800640,6391595008,579301376,554173808,,,0,0
1784313201.4896,1490817024,6391595008,579334144,554205496,,,0,0
1784313202.4902,1490845696,6391595008,579301376,554182568,,,0,0
1784313203.4906,1490845696,6391595008,579276800,554179760,,,0,0
1784313204.4911,1374138368,6347362304,578293760,553936072,,,0,0
1784313205.4914,1490776064,6391599104,579219456,554153224,,,0,0
1784313206.4923,1490796544,6391599104,579244032,554170208,,,0,0
1784313207.4928,1490812928,6391599104,579227648,554154688,,,0,0
1784313208.4934,1490841600,6391599104,579227648,554153552,,,0,0
1784313209.4938,1490841600,6391599104,579330048,554191536,,,0,0
1784313210.4942,1374064640,6347366400,578277376,553911728,,,0,0
1784313211.4949,1490702336,6391603200,579235840,554141968,,,0,0
1784313212.4954,1490726912,6391603200,579231744,554143104,,,0,0
1784313213.4961,1490735104,6391603200,579239936,554149720,,,0,0
1784313214.4968,1490763776,6391603200,579239936,554150456,,,0,0
1784313215.4971,1490763776,6391603200,579235840,554139128,,,0,0
1784313216.4973,1374060544,6347370496,578297856,553924384,,,0,0
1784313217.4978,1490808832,6391607296,579383296,554206760,,,0,0
1784313218.498,1490825216,6391607296,579223552,554151528,,,0,0
1784313219.4988,1488519168,6391607296,579231744,554141264,,,0,0
1784313220.4994,1488539648,6391607296,579223552,554139744,,,0,0
1784313221.5002,1488539648,6391607296,579227648,554146120,,,0,0
1784313222.5009,1371836416,6347374592,578285568,553922744,,,0,0
1784313223.5017,1488478208,6391611392,579231744,554134120,,,0,0
1784313224.5021,1488502784,6391611392,579235840,554148000,,,0,0
1784313225.5027,1488539648,6391611392,579665920,554293464,,,0,0
1784313226.5037,1488539648,6391611392,579244032,554142264,,,0,0
1784313227.5041,1384038400,6391623680,579170304,554151784,,,0,0
1784313228.5048,1448415232,6387228672,578973696,554061304,,,0,0
1784313229.5055,1488449536,6391619584,579231744,554136736,,,0,0
1784313230.506,1488461824,6391619584,579194880,554113312,,,0,0
1784313231.5069,1488498688,6391619584,579215360,554124072,,,0,0
1784313232.5076,1488498688,6391619584,579223552,554137176,,,0,0
1784313233.5082,1372094464,6347386880,578461696,554029896,,,0,0
