timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1784587983.267,16156,0,0,0,0,0
1784587983.7674,18401,0,0,0,0,0
1784587984.2677,41860,0,0,0,0,0
1784587984.7685,997,0,0,0,0,0
1784587985.2691,2323,0,0,0,0,0
1784587985.7702,2313,0,0,0,0,0
1784587986.2711,2318,0,0,0,0,0
1784587986.7718,2343,0,0,0,0,0
1784587987.2724,2320,0,0,0,0,0
1784587987.7731,2263,0,0,0,0,0
1784587988.2739,2237,0,0,0,0,0
1784587988.7745,2235,0,0,0,0,0
1784587989.2752,42841,0,0,0,0,0
1784587989.7761,2316,0,0,0,0,0
1784587990.277,2316,0,0,0,0,0
1784587990.7777,2319,0,0,0,0,0
1784587991.2783,2313,0,0,0,0,0
1784587991.7786,2342,0,0,0,0,0
1784587992.279,2314,0,0,0,0,0
1784587992.7797,32,0,0,0,0,0
1784587993.2805,2237,0,0,0,0,0
1784587993.7813,2238,0,0,0,0,0
1784587994.2817,42855,0,0,0,0,0
1784587994.7825,2309,0,0,0,0,0
1784587995.2842,2310,0,0,0,0,0
1784587995.785,2316,0,0,0,0,0
1784587996.2856,2317,0,0,0,0,0
1784587996.7863,2313,0,0,0,0,0
1784587997.2869,2339,0,0,0,0,0
1784587997.7876,2279,0,0,0,0,0
1784587998.288,2238,0,0,0,0,0
1784587998.7887,2239,0,0,0,0,0
1784587999.2891,42848,0,0,0,0,0
1784587999.7894,2324,0,0,0,0,0
1784588000.2897,836,0,0,0,0,0
1784588000.7899,1563,0,0,0,0,0
1784588001.2905,2313,0,0,0,0,0
1784588001.7907,2319,0,0,0,0,0
1784588002.2915,2324,0,0,0,0,0
1784588002.792,2293,0,0,0,0,0
1784588003.2925,2238,0,0,0,0,0
1784588003.7933,2235,0,0,0,0,0
1784588004.2935,42859,0,0,0,0,0
1784588004.7946,2311,0,0,0,0,0
1784588005.2953,2317,0,0,0,0,0
1784588005.7958,2315,0,0,0,0,0
1784588006.2961,2317,0,0,0,0,0
1784588006.7975,2312,0,0,0,0,0
1784588007.2978,2333,0,0,0,0,0
1784588007.7981,2289,0,0,0,0,0
1784588008.2987,10,0,0,0,0,0
1784588008.799,2235,0,0,0,0,0
1784588009.2993,42839,0,0,0,0,0
1784588009.7996,2315,0,0,0,0,0
1784588010.2999,2327,0,0,0,0,0
1784588010.8002,2317,0,0,0,0,0
1784588011.3007,2316,0,0,0,0,0
1784588011.801,2315,0,0,0,0,0
1784588012.3013,2339,0,0,0,0,0
1784588012.8016,2307,0,0,0,0,0
1784588013.3018,2241,0,0,0,0,0
1784588013.8021,2247,0,0,0,0,0
1784588014.3024,42828,0,0,0,0,0
1784588014.8027,2309,0,0,0,0,0
1784588015.3031,2313,0,0,0,0,0
1784588015.8034,2321,0,0,0,0,0
1784588016.3041,2321,0,0,0,0,0
1784588016.8044,2315,0,0,0,0,0
1784588017.3048,1421,0,0,0,0,0
1784588017.8051,991,0,0,0,0,0
1784588018.3054,2241,0,0,0,0,0
1784588018.8057,2239,0,0,0,0,0
1784588019.3062,42244,0,0,0,0,0
1784588019.8068,2874,0,0,0,0,0
1784588020.3074,2319,0,0,0,0,0
1784588020.8077,2317,0,0,0,0,0
1784588021.3083,2311,0,0,0,0,0
1784588021.8089,2313,0,0,0,0,0
1784588022.3095,2331,0,0,0,0,0
1784588022.8098,2326,0,0,0,0,0
1784588023.3104,2245,0,0,0,0,0
1784588023.8111,2235,0,0,0,0,0
1784588024.3115,2336,0,0,0,0,0
1784588024.8118,42787,0,0,0,0,0
1784588025.3122,2314,0,0,0,0,0
1784588025.8125,2181,0,0,0,0,0
1784588026.3134,212,0,0,0,0,0
1784588026.8138,2316,0,0,0,0,0
1784588027.3147,2328,0,0,0,0,0
1784588027.8157,2319,0,0,0,0,0
1784588028.3166,2258,0,0,0,0,0
1784588028.817,2238,0,0,0,0,0
1784588029.3173,2328,0,0,0,0,0
1784588029.8176,42784,0,0,0,0,0
1784588030.3179,2321,0,0,0,0,0
1784588030.8187,2309,0,0,0,0,0
1784588031.319,2322,0,0,0,0,0
1784588031.8193,2319,0,0,0,0,0
1784588032.32,2335,0,0,0,0,0
1784588032.8203,2322,0,0,0,0,0
1784588033.3206,2263,0,0,0,0,0
1784588033.8209,2103,0,0,0,0,0
1784588034.3212,230,0,0,0,0,0
1784588034.8222,42717,0,0,0,0,0
1784588035.3225,2325,0,0,0,0,0
1784588035.8228,2317,0,0,0,0,0
1784588036.3233,2324,0,0,0,0,0
1784588036.8237,2316,0,0,0,0,0
1784588037.324,2343,0,0,0,0,0
1784588037.8243,2313,0,0,0,0,0
1784588038.3246,3732,0,0,0,0,0
1784588038.8251,2244,0,0,0,0,0
1784588039.326,2236,0,0,0,0,0
1784588039.8267,42823,0,0,0,0,0
1784588040.3277,2320,0,0,0,0,0
1784588040.8285,2318,0,0,0,0,0
1784588041.3289,2310,0,0,0,0,0
1784588041.8292,2317,0,0,0,0,0
1784588042.3295,1403,0,0,0,0,0
1784588042.8303,1006,0,0,0,0,0
1784588043.3312,2276,0,0,0,0,0
1784588043.832,2237,0,0,0,0,0
1784588044.3335,2237,0,0,0,0,0
1784588044.8344,42800,0,0,0,0,0
1784588045.3351,2315,0,0,0,0,0
1784588045.8354,2315,0,0,0,0,0
1784588046.3365,2307,0,0,0,0,0
1784588046.8369,2318,0,0,0,0,0
1784588047.3377,2322,0,0,0,0,0
1784588047.8382,2340,0,0,0,0,0
1784588048.3387,2282,0,0,0,0,0
1784588048.8394,2237,0,0,0,0,0
1784588049.3398,2238,0,0,0,0,0
1784588049.8403,42841,0,0,0,0,0
1784588050.3407,2316,0,0,0,0,0
1784588050.8413,80,0,0,0,0,0
1784588051.3422,2316,0,0,0,0,0
1784588051.8432,2311,0,0,0,0,0
1784588052.3436,2322,0,0,0,0,0
1784588052.8445,2338,0,0,0,0,0
1784588053.346,2297,0,0,0,0,0
1784588053.8468,2238,0,0,0,0,0
1784588054.3473,2242,0,0,0,0,0
1784588054.8477,42831,0,0,0,0,0
1784588055.3486,2324,0,0,0,0,0
1784588055.8495,2318,0,0,0,0,0
1784588056.3504,2318,0,0,0,0,0
1784588056.8511,2325,0,0,0,0,0
1784588057.352,2312,0,0,0,0,0
1784588057.8523,2331,0,0,0,0,0
1784588058.3526,2277,0,0,0,0,0
1784588058.8534,38,0,0,0,0,0
1784588059.3543,2232,0,0,0,0,0
1784588059.8552,42782,0,0,0,0,0
1784588060.3555,2315,0,0,0,0,0
1784588060.8562,2317,0,0,0,0,0
1784588061.3566,2318,0,0,0,0,0
1784588061.8569,2321,0,0,0,0,0
1784588062.3572,2323,0,0,0,0,0
1784588062.8575,2331,0,0,0,0,0
1784588063.3578,2318,0,0,0,0,0
1784588063.8581,2243,0,0,0,0,0
1784588064.3584,2247,0,0,0,0,0
1784588064.8587,42815,0,0,0,0,0
1784588065.3594,2317,0,0,0,0,0
1784588065.8596,2319,0,0,0,0,0
1784588066.36,2262,0,0,0,0,0
1784588066.8602,138,0,0,0,0,0
