timestamp_unix,cgroup_mem_anon_bytes,cgroup_mem_file_bytes,cgroup_mem_kernel_bytes,cgroup_mem_slab_bytes,cgroup_mem_swap_bytes,cgroup_mem_workingset_refault,cgroup_mem_kswapd_steal,cgroup_mem_direct_reclaim_steal
1784601539.1342,1463074816,6263549952,679624704,647844728,,,0,0
1784601540.1347,1505177600,6303399936,680615936,648178288,,,0,0
1784601541.135,1524043776,6307790848,680828928,648201304,,,0,0
1784601542.1355,1524051968,6307790848,680845312,648208432,,,0,0
1784601543.136,1524051968,6307790848,680886272,648236536,,,0,0
1784601544.1367,1524051968,6307790848,680841216,648195992,,,0,0
1784601545.1376,1524056064,6307790848,680828928,648179136,,,0,0
1784601546.138,1496178688,6307794944,680718336,648168128,,,0,0
1784601547.1383,1505062912,6301892608,680599552,648128816,,,0,0
1784601548.1387,1524051968,6307790848,680808448,648196904,,,0,0
1784601549.1398,1524056064,6307790848,680816640,648188744,,,0,0
1784601550.1407,1524047872,6307799040,680849408,648215712,,,0,0
1784601551.1412,1524043776,6307799040,680833024,648211736,,,0,0
1784601552.1416,1524314112,6307799040,680964096,648238184,,,0,0
1784601553.1425,1524051968,6307799040,680873984,648200272,,,0,0
1784601554.1429,1496174592,6307803136,680751104,648173368,,,0,0
1784601555.1435,1505091584,6303416320,680644608,648157808,,,0,0
1784601556.1441,1524039680,6307807232,680837120,648209312,,,0,0
1784601557.1451,1524051968,6307807232,680841216,648192128,,,0,0
1784601558.1459,1524039680,6307807232,680865792,648219376,,,0,0
1784601559.1463,1524047872,6307807232,680865792,648224152,,,0,0
1784601560.1467,1524879360,6307807232,681259008,648360280,,,0,0
1784601561.1477,1524051968,6307811328,680861696,648190240,,,0,0
1784601562.1489,1524072448,6307811328,680869888,648207664,,,0,0
1784601563.1493,1496174592,6307815424,680108032,648134880,,,0,0
1784601564.1498,1504710656,6290837504,680546304,648131360,,,0,0
1784601565.1508,1524043776,6307827712,680800256,648195600,,,0,0
1784601566.1519,1524051968,6307827712,680816640,648218544,,,0,0
1784601567.1525,1524051968,6307827712,680841216,648221336,,,0,0
1784601568.1529,1524047872,6307827712,680984576,648295344,,,0,0
1784601569.1535,1524043776,6307827712,680812544,648199504,,,0,0
1784601570.1539,1496174592,6307835904,680161280,648140376,,,0,0
1784601571.1542,1504849920,6299246592,680628224,648150816,,,0,0
1784601572.1546,1524051968,6307831808,680841216,648196520,,,0,0
1784601573.1557,1524047872,6307831808,680833024,648203992,,,0,0
1784601574.1563,1524047872,6307831808,680853504,648235552,,,0,0
1784601575.1567,1524047872,6307831808,680857600,648231512,,,0,0
1784601576.157,1524051968,6307835904,680865792,648245384,,,0,0
1784601577.1575,1505017856,6263599104,680845312,648193408,,,0,0
1784601578.1582,1524051968,6307835904,680841216,648222880,,,0,0
1784601579.1593,1524051968,6307835904,680841216,648210744,,,0,0
1784601580.1597,1524047872,6307835904,680841216,648202432,,,0,0
1784601581.1605,1524051968,6307840000,680853504,648236880,,,0,0
1784601582.1612,1524051968,6307840000,680861696,648238440,,,0,0
1784601583.1617,1496174592,6307844096,680140800,648177928,,,0,0
1784601584.1621,1505148928,6303449088,680644608,648175328,,,0,0
1784601585.1624,1525321728,6307840000,681267200,648444144,,,0,0
1784601586.1631,1524047872,6307844096,680845312,648216344,,,0,0
1784601587.1639,1524047872,6307844096,680861696,648226792,,,0,0
1784601588.1646,1524051968,6307844096,680878080,648229784,,,0,0
1784601589.1651,1496174592,6307848192,680218624,648204648,,,0,0
1784601590.1655,1505144832,6303453184,680681472,648208536,,,0,0
1784601591.1663,1524051968,6307848192,680853504,648225992,,,0,0
1784601592.1668,1524051968,6307848192,680890368,648276640,,,0,0
1784601593.1675,1524043776,6307848192,680882176,648249360,,,0,0
1784601594.1681,1524858880,6307848192,681218048,648332512,,,0,0
1784601595.1689,1524068352,6307848192,680857600,648224904,,,0,0
1784601596.1694,1504489472,6278299648,680542208,648120696,,,0,0
1784601597.1702,1524047872,6307856384,680800256,648205232,,,0,0
1784601598.1707,1524047872,6307856384,680816640,648199920,,,0,0
1784601599.1712,1524051968,6307856384,680841216,648195416,,,0,0
1784601600.1724,1524056064,6307856384,680853504,648228968,,,0,0
1784601601.1732,1523994624,6307860480,680845312,648230696,,,0,0
1784601602.1737,1523994624,6307868672,681127936,648374672,,,0,0
