timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1784608931.006,0.5,0.2,0.3,0.0,3354.0,44.7,,0.72,0.89,0.96,1531,3,0
1784608932.0074,3.2,2.5,0.7,0.0,3354.0,46.1,,0.82,0.91,0.97,2442,2,0
1784608933.0088,5.5,4.5,0.9,0.1,3354.0,48.9,,0.82,0.91,0.97,2609,2,0
1784608934.0104,5.5,5.1,0.5,0.0,3354.0,50.2,,0.82,0.91,0.97,2484,3,0
1784608935.0118,5.4,4.9,0.5,0.0,3354.0,50.6,,0.82,0.91,0.97,2476,2,0
1784608936.0137,5.5,5.0,0.6,0.0,3354.0,50.7,,0.82,0.91,0.97,2562,2,0
1784608937.0154,5.8,3.5,2.0,0.3,3354.0,50.0,,0.92,0.93,0.97,4211,2,0
1784608938.0172,5.5,5.1,0.4,0.0,3354.0,50.4,,0.92,0.93,0.97,2584,2,0
1784608939.0192,5.6,5.2,0.4,0.0,3354.0,50.6,,0.92,0.93,0.97,2635,2,0
1784608940.0211,5.5,5.1,0.4,0.0,3354.0,50.6,,0.92,0.93,0.97,2602,2,0
1784608941.0228,5.4,5.1,0.3,0.0,3354.0,50.7,,0.92,0.93,0.97,2578,2,0
1784608942.0243,5.3,4.1,1.2,0.1,3354.0,50.2,,0.92,0.93,0.97,2872,3,0
1784608943.0266,5.5,4.6,0.9,0.0,3354.0,50.6,,0.92,0.93,0.97,2579,2,0
1784608944.0286,5.6,5.0,0.6,0.0,3354.0,51.2,,0.92,0.93,0.97,2601,2,0
1784608945.0306,5.5,5.0,0.5,0.0,3354.0,51.4,,0.92,0.93,0.97,2524,2,0
1784608946.0323,5.5,5.0,0.5,0.0,3354.0,51.5,,0.92,0.93,0.97,2543,2,0
1784608947.0341,5.7,3.6,1.9,0.3,3354.0,50.6,,0.93,0.93,0.97,4183,2,0
1784608948.0362,5.5,5.1,0.5,0.0,3354.0,50.7,,0.93,0.93,0.97,2650,2,0
1784608949.0377,5.6,5.2,0.4,0.0,3354.0,51.0,,0.93,0.93,0.97,2527,2,0
1784608950.0391,5.4,5.0,0.4,0.0,3354.0,51.1,,0.93,0.93,0.97,2487,3,0
1784608951.0415,5.4,5.2,0.2,0.0,3354.0,51.2,,0.93,0.93,0.97,2516,3,0
1784608952.0429,5.6,4.4,1.2,0.1,3354.0,51.0,,0.94,0.94,0.97,2723,1,0
1784608953.0443,5.3,4.3,1.0,0.0,3354.0,49.3,,0.94,0.94,0.97,2684,2,0
1784608954.0456,5.4,4.9,0.5,0.0,3354.0,50.4,,0.94,0.94,0.97,2459,3,0
1784608955.0473,5.5,5.0,0.5,0.0,3354.0,50.8,,0.94,0.94,0.97,2580,2,0
1784608956.049,5.5,5.0,0.5,0.0,3354.0,50.9,,0.94,0.94,0.97,2514,2,0
1784608957.0503,5.4,4.9,0.5,0.1,3354.0,51.0,,0.94,0.94,0.97,2555,1,1
1784608958.052,5.6,3.3,1.9,0.5,3354.0,48.1,,0.94,0.94,0.97,3949,2,0
1784608959.0535,5.4,5.1,0.3,0.0,3354.0,49.1,,0.94,0.94,0.97,2576,3,0
1784608960.0552,5.3,5.1,0.3,0.0,3354.0,49.5,,0.94,0.94,0.97,2429,2,0
1784608961.0568,5.4,5.1,0.3,0.0,3354.0,49.7,,0.94,0.94,0.97,2479,2,0
1784608962.0586,5.4,5.2,0.3,0.0,3354.0,49.8,,1.03,0.96,0.98,2474,2,0
1784608963.0606,5.4,4.1,1.3,0.1,3354.0,48.9,,1.03,0.96,0.98,2832,2,0
1784608964.0623,5.5,4.6,0.9,0.1,3354.0,50.8,,1.03,0.96,0.98,2624,2,0
1784608965.0638,5.5,5.0,0.5,0.0,3354.0,51.5,,1.03,0.96,0.98,2531,2,0
1784608966.0658,5.5,5.0,0.5,0.0,3354.0,51.8,,1.03,0.96,0.98,2527,2,0
1784608967.0677,5.5,4.9,0.6,0.0,3354.0,52.0,,1.02,0.96,0.98,2594,2,0
1784608968.0691,5.6,3.5,1.9,0.3,3354.0,49.6,,1.02,0.96,0.98,3938,3,0
1784608969.0711,5.3,5.1,0.2,0.0,3354.0,49.6,,1.02,0.96,0.98,2496,2,0
1784608970.0733,5.5,5.2,0.3,0.0,3354.0,50.2,,1.02,0.96,0.98,2555,2,0
1784608971.0753,5.6,5.1,0.5,0.0,3354.0,50.4,,1.02,0.96,0.98,2628,2,0
1784608972.0771,5.6,5.2,0.4,0.0,3354.0,50.5,,1.02,0.96,0.98,2637,2,0
1784608973.0785,5.5,4.2,1.3,0.1,3354.0,49.5,,1.02,0.96,0.98,2822,2,0
