timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1784593575.2528,0.4,0.1,0.3,0.0,3354.0,59.8,,0.67,0.87,0.95,1546,3,0
1784593576.2545,3.0,2.2,0.9,0.0,3354.0,61.2,,0.67,0.87,0.95,2573,2,0
1784593577.2569,6.0,2.3,3.7,0.0,3354.0,64.0,,0.67,0.87,0.95,2720,2,0
1784593578.259,5.6,1.7,4.0,0.0,3354.0,66.1,,0.67,0.87,0.95,2544,3,0
1784593579.2619,5.8,1.8,3.9,0.1,3354.0,67.4,,0.7,0.87,0.95,2544,2,0
1784593580.2647,5.7,1.8,3.9,0.0,3354.0,68.2,,0.7,0.87,0.95,2613,2,0
1784593581.2669,5.8,1.8,4.0,0.0,3354.0,69.0,,0.7,0.87,0.95,2656,2,0
1784593582.2696,5.8,1.9,3.9,0.0,3354.0,69.4,,0.7,0.87,0.95,2622,2,0
1784593583.2715,5.7,1.8,3.9,0.0,3354.0,69.9,,0.7,0.87,0.95,2592,2,0
1784593584.2743,5.4,1.7,3.8,0.0,3354.0,70.3,,0.72,0.87,0.95,2457,2,0
1784593585.2759,5.6,3.7,1.9,0.1,3354.0,69.3,,0.72,0.87,0.95,2919,2,0
1784593586.2794,5.8,2.7,3.1,0.0,3354.0,69.5,,0.72,0.87,0.95,2756,2,0
1784593587.282,5.8,1.6,4.2,0.0,3354.0,70.3,,0.72,0.87,0.95,2620,2,0
1784593588.2847,5.8,1.8,4.1,0.0,3354.0,70.8,,0.72,0.87,0.95,2609,2,0
1784593589.2865,5.8,1.7,4.1,0.0,3354.0,71.2,,0.74,0.87,0.95,2490,3,0
1784593590.2894,5.4,1.7,3.8,0.0,3354.0,71.6,,0.74,0.87,0.95,2485,3,0
1784593591.292,5.8,1.8,4.0,0.1,3354.0,71.9,,0.74,0.87,0.95,2635,2,0
1784593592.2948,5.7,1.6,4.1,0.0,3354.0,72.3,,0.74,0.87,0.95,2588,2,0
1784593593.2971,5.7,1.7,4.0,0.0,3354.0,72.5,,0.74,0.87,0.95,2562,2,0
1784593594.2985,5.3,2.7,2.6,0.0,3354.0,72.4,,0.76,0.88,0.95,2741,1,0
1784593595.3009,5.6,3.5,2.1,0.0,3354.0,71.1,,0.76,0.88,0.95,2812,3,0
1784593596.3039,5.7,1.9,3.8,0.0,3354.0,72.2,,0.76,0.88,0.95,2532,3,0
1784593597.3066,5.7,1.9,3.9,0.0,3354.0,72.8,,0.76,0.88,0.95,2576,2,0
1784593598.3095,5.8,1.7,4.1,0.0,3354.0,73.2,,0.76,0.88,0.95,2603,2,0
1784593599.3123,5.8,1.8,4.0,0.0,3354.0,73.5,,0.86,0.9,0.96,2588,2,0
