timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1784573003.263,1.0,0.2,0.7,0.0,3354.0,56.2,,0.73,0.97,0.94,5298,3,0
1784573004.265,3.6,0.8,2.8,0.0,3354.0,57.4,,0.73,0.97,0.94,6240,2,0
1784573005.2669,6.4,2.0,4.5,0.0,3354.0,60.6,,0.75,0.97,0.94,6411,3,0
1784573006.2687,6.4,2.1,4.3,0.1,3354.0,62.1,,0.75,0.97,0.94,6377,2,0
1784573007.2706,6.3,2.1,4.2,0.0,3354.0,63.0,,0.75,0.97,0.94,6487,2,0
1784573008.2721,5.7,1.3,4.4,0.0,3354.0,61.0,,0.75,0.97,0.94,6699,2,0
1784573009.2744,6.2,2.1,4.1,0.0,3354.0,62.0,,0.75,0.97,0.94,6225,2,0
1784573010.2761,6.5,2.1,4.4,0.0,3354.0,63.0,,0.77,0.97,0.94,6336,2,0
1784573011.2776,6.3,2.0,4.3,0.1,3354.0,63.5,,0.77,0.97,0.94,6356,3,0
1784573012.2785,5.7,1.3,4.4,0.0,3354.0,62.0,,0.77,0.97,0.94,6802,2,0
1784573013.2802,6.4,2.0,4.4,0.0,3354.0,63.3,,0.77,0.97,0.94,6351,2,0
1784573014.2817,6.4,1.9,4.5,0.0,3354.0,64.3,,0.77,0.97,0.94,6182,3,0
1784573015.2834,5.9,1.8,4.1,0.0,3354.0,64.8,,0.79,0.97,0.95,6278,2,0
1784573016.2843,5.9,1.2,4.6,0.1,3354.0,63.2,,0.79,0.97,0.95,6719,2,0
1784573017.286,6.5,2.1,4.4,0.0,3354.0,63.1,,0.79,0.97,0.95,6389,3,0
1784573018.2875,6.3,1.8,4.6,0.0,3354.0,63.9,,0.79,0.97,0.95,6404,2,0
1784573019.289,6.3,1.9,4.4,0.0,3354.0,64.4,,0.79,0.97,0.95,6429,2,0
1784573020.2903,5.5,1.2,4.3,0.0,3354.0,62.7,,0.88,0.99,0.95,6569,2,0
1784573021.2927,6.3,2.2,4.1,0.1,3354.0,63.1,,0.88,0.99,0.95,6308,2,0
1784573022.2946,6.4,2.1,4.3,0.0,3354.0,64.5,,0.88,0.99,0.95,6232,2,0
1784573023.2962,6.3,2.0,4.3,0.0,3354.0,65.1,,0.88,0.99,0.95,6333,2,0
1784573024.2977,5.5,1.2,4.3,0.0,3354.0,63.8,,0.88,0.99,0.95,6596,2,0
1784573025.2999,6.4,2.0,4.4,0.0,3354.0,63.9,,0.97,1.01,0.96,6395,3,0
1784573026.3021,6.3,1.9,4.3,0.1,3354.0,64.7,,0.97,1.01,0.96,6204,2,0
1784573027.3043,6.3,2.0,4.3,0.0,3354.0,65.2,,0.97,1.01,0.96,6350,2,0
1784573028.3058,5.8,1.6,4.3,0.0,3354.0,64.1,,0.97,1.01,0.96,6522,2,0
1784573029.3077,6.5,1.9,4.6,0.0,3354.0,64.4,,0.97,1.01,0.96,6428,2,0
1784573030.3092,6.5,2.0,4.6,0.0,3354.0,65.7,,0.98,1.01,0.96,6254,3,0
1784573031.3111,6.4,1.9,4.4,0.1,3354.0,66.2,,0.98,1.01,0.96,6156,2,0
1784573032.3126,5.8,1.6,4.3,0.0,3354.0,65.2,,0.98,1.01,0.96,6508,4,0
1784573033.3145,6.3,2.1,4.3,0.0,3354.0,64.9,,0.98,1.01,0.96,6421,2,0
1784573034.3165,6.4,1.9,4.5,0.0,3354.0,65.8,,0.98,1.01,0.96,6300,2,0
1784573035.3179,6.3,1.9,4.4,0.0,3354.0,66.3,,0.98,1.01,0.96,6270,3,0
1784573036.3187,5.6,1.3,4.3,0.1,3354.0,65.2,,0.98,1.01,0.96,6441,3,0
1784573037.3211,6.2,1.9,4.3,0.0,3354.0,64.6,,0.98,1.01,0.96,6266,2,0
1784573038.3229,6.3,1.9,4.5,0.0,3354.0,65.4,,0.98,1.01,0.96,6298,3,0
1784573039.325,6.4,1.9,4.5,0.0,3354.0,65.9,,0.98,1.01,0.96,6219,2,0
1784573040.3258,5.8,1.8,4.1,0.0,3354.0,65.2,,0.98,1.01,0.96,6511,2,0
1784573041.3276,6.5,1.8,4.7,0.1,3354.0,65.0,,0.98,1.01,0.96,6568,2,0
1784573042.3292,6.0,1.9,4.1,0.0,3354.0,66.2,,0.98,1.01,0.96,6255,3,0
1784573043.3307,6.3,2.1,4.3,0.0,3354.0,66.8,,0.98,1.01,0.96,6298,3,0
1784573044.3317,5.8,1.5,4.3,0.0,3354.0,66.0,,0.98,1.01,0.96,6587,2,0
1784573045.3336,6.4,1.9,4.5,0.0,3354.0,66.2,,0.98,1.0,0.96,6429,2,0
1784573046.3352,6.6,2.1,4.4,0.1,3354.0,66.9,,0.98,1.0,0.96,6289,3,0
1784573047.3365,6.3,2.0,4.3,0.1,3354.0,67.2,,0.98,1.0,0.96,6233,3,0
1784573048.3373,5.9,1.6,4.3,0.0,3354.0,66.6,,0.98,1.0,0.96,6560,2,0
1784573049.3392,6.3,1.8,4.5,0.0,3354.0,66.0,,0.98,1.0,0.96,6607,2,0
1784573050.3415,6.5,2.0,4.6,0.0,3354.0,67.2,,0.98,1.0,0.96,6463,2,0
1784573051.343,6.4,1.9,4.4,0.1,3354.0,67.8,,0.98,1.0,0.96,6382,2,0
1784573052.344,5.8,1.6,4.2,0.0,3354.0,66.5,,0.98,1.0,0.96,6555,2,0
1784573053.3462,6.1,1.7,4.5,0.0,3354.0,66.7,,0.98,1.0,0.96,6382,2,0
1784573054.3484,6.5,2.1,4.4,0.0,3354.0,67.7,,0.98,1.0,0.96,6411,4,0
1784573055.3504,6.1,1.9,4.2,0.0,3354.0,68.0,,1.07,1.02,0.97,5488,2,0
1784573056.3512,5.6,1.7,3.8,0.2,3354.0,67.4,,1.07,1.02,0.97,3149,1,0
1784573057.3543,5.8,1.5,4.3,0.0,3354.0,67.0,,1.07,1.02,0.97,3176,2,0
1784573058.356,5.8,1.9,3.9,0.0,3354.0,67.8,,1.07,1.02,0.97,2804,3,0
1784573059.3583,5.8,1.8,4.0,0.0,3354.0,68.1,,1.07,1.02,0.97,2822,2,0
1784573060.3596,5.6,1.7,3.9,0.0,3354.0,67.5,,1.14,1.04,0.97,3190,1,0
1784573061.362,5.7,1.4,4.3,0.0,3354.0,67.0,,1.14,1.04,0.97,3132,2,0
1784573062.3644,6.0,2.0,4.0,0.0,3354.0,67.8,,1.14,1.04,0.97,2928,2,0
1784573063.3659,5.9,1.8,4.0,0.1,3354.0,68.2,,1.14,1.04,0.97,2861,2,0
1784573064.3669,5.6,1.7,4.0,0.0,3354.0,68.0,,1.14,1.04,0.97,2883,2,0
1784573065.3688,5.5,1.4,4.2,0.0,3354.0,66.1,,1.13,1.04,0.97,3165,3,0
1784573066.371,6.0,1.6,4.4,0.0,3354.0,67.3,,1.13,1.04,0.97,2913,2,0
1784573067.3727,5.8,1.7,4.2,0.0,3354.0,67.9,,1.13,1.04,0.97,2903,4,0
1784573068.3736,5.8,1.9,4.0,0.0,3354.0,68.1,,1.13,1.04,0.97,2902,2,0
1784573069.3754,5.2,1.3,4.0,0.0,3354.0,66.8,,1.13,1.04,0.97,3174,3,0
1784573070.3772,6.0,1.9,4.0,0.1,3354.0,67.8,,1.12,1.04,0.97,2732,3,0
1784573071.3794,5.9,1.8,4.2,0.0,3354.0,68.4,,1.12,1.04,0.97,3046,2,0
1784573072.3803,5.8,1.8,4.1,0.0,3354.0,68.3,,1.12,1.04,0.97,2882,3,0
1784573073.3837,5.5,1.3,4.2,0.0,3354.0,66.3,,1.12,1.04,0.97,3286,2,0
1784573074.3853,5.8,1.9,4.0,0.0,3354.0,67.7,,1.12,1.04,0.97,2794,3,0
1784573075.3876,5.8,1.7,4.1,0.0,3354.0,68.5,,1.11,1.03,0.97,2890,3,0
1784573076.3894,5.9,1.9,4.0,0.0,3354.0,68.6,,1.11,1.03,0.97,2928,3,0
1784573077.3913,5.4,1.2,4.2,0.0,3354.0,66.7,,1.11,1.03,0.97,3244,3,0
1784573078.3931,6.1,1.9,4.2,0.1,3354.0,68.0,,1.11,1.03,0.97,2921,3,0
1784573079.3946,5.8,1.8,4.0,0.0,3354.0,68.5,,1.11,1.03,0.97,2906,3,0
1784573080.3955,5.6,1.9,3.7,0.0,3354.0,68.8,,1.1,1.03,0.97,2739,3,0
1784573081.3978,5.3,1.2,4.2,0.0,3354.0,66.0,,1.1,1.03,0.97,3205,4,0
1784573082.3996,5.9,1.7,4.1,0.1,3354.0,67.8,,1.1,1.03,0.97,2888,3,0
1784573083.4013,5.9,1.7,4.2,0.0,3354.0,68.7,,1.1,1.03,0.97,2868,2,0
1784573084.4023,5.8,2.0,3.8,0.0,3354.0,68.9,,1.1,1.03,0.97,2851,2,0
1784573085.4041,5.2,1.0,4.2,0.0,3354.0,67.2,,1.09,1.03,0.97,3312,3,0
1784573086.4062,5.9,1.8,4.1,0.1,3354.0,68.2,,1.09,1.03,0.97,2824,3,0
1784573087.408,5.9,1.8,4.2,0.0,3354.0,68.8,,1.09,1.03,0.97,2870,2,0
1784573088.4094,5.9,2.0,3.9,0.0,3354.0,69.0,,1.09,1.03,0.97,2895,2,0
1784573089.4116,5.4,1.3,4.2,0.0,3354.0,67.7,,1.09,1.03,0.97,3338,5,0
1784573090.4132,5.8,1.9,3.9,0.0,3354.0,68.6,,1.08,1.03,0.97,2902,6,0
1784573091.4147,5.8,1.8,4.0,0.0,3354.0,69.0,,1.08,1.03,0.97,2824,2,0
1784573092.4164,5.9,1.9,4.0,0.1,3354.0,69.2,,1.08,1.03,0.97,2954,2,0
1784573093.4182,5.5,1.2,4.3,0.0,3354.0,68.0,,1.08,1.03,0.97,3201,2,0
1784573094.4198,6.1,1.9,4.2,0.0,3354.0,68.9,,1.08,1.03,0.97,2939,2,0
1784573095.4212,5.8,1.8,4.0,0.0,3354.0,69.4,,1.08,1.03,0.97,2791,3,0
1784573096.4227,5.8,1.7,4.1,0.0,3354.0,69.5,,1.08,1.03,0.97,2756,2,0
1784573097.4247,5.3,1.2,4.1,0.0,3354.0,67.5,,1.08,1.03,0.97,3325,2,0
1784573098.4268,6.0,1.8,4.2,0.0,3354.0,68.8,,1.08,1.03,0.97,2896,2,0
1784573099.4289,5.9,1.8,4.1,0.1,3354.0,69.3,,1.08,1.03,0.97,2949,2,0
1784573100.4304,6.0,2.0,4.1,0.0,3354.0,69.6,,1.07,1.03,0.97,2749,3,0
1784573101.4325,5.4,1.3,4.1,0.0,3354.0,68.0,,1.07,1.03,0.97,2929,2,0
1784573102.4346,5.9,1.8,4.1,0.0,3354.0,69.0,,1.07,1.03,0.97,2516,2,0
1784573103.4363,5.8,1.8,4.0,0.0,3354.0,69.5,,1.07,1.03,0.97,2603,2,0
1784573104.4377,5.7,1.7,4.0,0.0,3354.0,69.7,,1.07,1.03,0.97,2485,2,0
1784573105.4394,5.6,1.3,4.2,0.1,3354.0,67.7,,1.06,1.03,0.98,2846,2,0
1784573106.4416,5.6,1.9,3.7,0.0,3354.0,68.5,,1.06,1.03,0.98,2287,3,0
1784573107.4443,5.8,1.9,4.0,0.0,3354.0,69.0,,1.06,1.03,0.98,2498,3,0
1784573108.4463,5.7,1.8,3.9,0.0,3354.0,69.3,,1.06,1.03,0.98,2440,2,0
1784573109.4487,5.5,1.3,4.2,0.0,3354.0,67.3,,1.06,1.03,0.98,2906,2,0
1784573110.4513,5.8,1.8,4.0,0.0,3354.0,68.5,,1.06,1.03,0.98,2500,2,0
1784573111.4528,5.8,1.9,3.9,0.0,3354.0,69.4,,1.06,1.03,0.98,2540,2,0
1784573112.4546,5.5,1.6,3.9,0.0,3354.0,69.8,,1.06,1.03,0.98,2441,3,0
1784573113.4566,5.5,1.3,4.2,0.0,3354.0,67.7,,1.06,1.03,0.98,2826,3,0
1784573114.4584,5.9,1.7,4.2,0.0,3354.0,68.7,,1.06,1.03,0.98,2526,3,0
1784573115.4603,5.9,1.8,4.1,0.1,3354.0,69.4,,1.05,1.03,0.98,2510,3,0
1784573116.4621,5.8,1.7,4.1,0.0,3354.0,69.7,,1.05,1.03,0.98,2503,3,0
1784573117.464,5.5,1.4,4.1,0.1,3354.0,68.1,,1.05,1.03,0.98,2857,3,0
1784573118.4659,5.8,1.6,4.2,0.0,3354.0,69.1,,1.05,1.03,0.98,2419,3,0
1784573119.4679,5.8,1.9,3.9,0.0,3354.0,69.6,,1.05,1.03,0.98,2512,2,0
1784573120.4694,5.8,1.8,4.0,0.0,3354.0,69.8,,1.05,1.03,0.98,2495,2,0
1784573121.4728,5.5,1.2,4.3,0.0,3354.0,67.7,,1.05,1.03,0.98,2842,2,0
1784573122.4744,5.8,1.8,4.0,0.1,3354.0,69.0,,1.05,1.03,0.98,2553,3,0
1784573123.4765,5.5,1.9,3.7,0.0,3354.0,69.7,,1.05,1.03,0.98,2396,2,0
