timestamp_unix,cgroup_mem_anon_bytes,cgroup_mem_file_bytes,cgroup_mem_kernel_bytes,cgroup_mem_slab_bytes,cgroup_mem_swap_bytes,cgroup_mem_workingset_refault,cgroup_mem_kswapd_steal,cgroup_mem_direct_reclaim_steal
1784611187.6058,1465925632,6865924096,697430016,666578424,,,0,0
1784611188.6061,1528336384,6910160896,698851328,666945048,,,0,0
1784611189.6064,1532452864,6910160896,698847232,666953432,,,0,0
1784611190.6068,1535217664,6910160896,698855424,666954112,,,0,0
1784611191.6071,1537458176,6910160896,698851328,666957328,,,0,0
1784611192.6074,1539395584,6910169088,698863616,666964480,,,0,0
1784611193.6077,1541079040,6910169088,698871808,666953448,,,0,0
1784611194.608,1542639616,6910169088,698884096,666956968,,,0,0
1784611195.6083,1544085504,6910169088,698920960,666957488,,,0,0
1784611196.6094,1545388032,6910169088,698851328,666933440,,,0,0
1784611197.6103,1545388032,6910169088,698859520,666947616,,,0,0
1784611198.6106,1545388032,6910169088,698855424,666940576,,,0,0
1784611199.6112,1545388032,6910169088,698863616,666945936,,,0,0
1784611200.6116,1545400320,6910173184,698843136,666929520,,,0,0
1784611201.6119,1545400320,6910173184,698851328,666938280,,,0,0
1784611202.6122,1545400320,6910173184,698851328,666941248,,,0,0
1784611203.6125,1545400320,6910177280,699064320,667088568,,,0,0
1784611204.6136,1545400320,6910177280,698859520,666959992,,,0,0
1784611205.6139,1545404416,6910185472,698912768,666991080,,,0,0
1784611206.6143,1530011648,6910185472,698867712,666991584,,,0,0
1784611207.6146,1533513728,6910185472,698888192,666986008,,,0,0
1784611208.6149,1536061440,6910185472,698912768,666998776,,,0,0
1784611209.6153,1538138112,6910189568,698925056,667013568,,,0,0
1784611210.6156,1539989504,6910189568,698929152,667023352,,,0,0
1784611211.6159,1541644288,6910189568,698908672,667010112,,,0,0
1784611212.6163,1543135232,6910189568,699047936,667064672,,,0,0
1784611213.6173,1544544256,6910189568,698904576,666992264,,,0,0
1784611214.6176,1545400320,6910189568,698904576,666995240,,,0,0
1784611215.6179,1545400320,6910189568,698904576,667004888,,,0,0
1784611216.6188,1545400320,6910189568,698904576,667000328,,,0,0
1784611217.6191,1545400320,6910189568,698904576,667004776,,,0,0
1784611218.6201,1545400320,6910189568,698892288,666991872,,,0,0
1784611219.6204,1545400320,6910189568,698888192,667000600,,,0,0
1784611220.6206,1545400320,6910189568,699076608,667085408,,,0,0
1784611221.6213,1545400320,6910189568,698945536,667022184,,,0,0
1784611222.622,1545400320,6910189568,698916864,667012320,,,0,0
1784611223.6227,1525776384,6910189568,698904576,666989048,,,0,0
1784611224.6234,1531387904,6910189568,698937344,667019744,,,0,0
1784611225.624,1534517248,6910193664,698953728,667025048,,,0,0
1784611226.6243,1536802816,6910201856,698949632,667014664,,,0,0
1784611227.6249,1538822144,6910201856,698966016,667019008,,,0,0
1784611228.6253,1540567040,6910201856,698978304,667058792,,,0,0
1784611229.6255,1542168576,6910201856,699117568,667115312,,,0,0
1784611230.6257,1543618560,6910201856,698933248,667009048,,,0,0
1784611231.6259,1544994816,6910205952,698945536,667009184,,,0,0
1784611232.6263,1545400320,6910205952,698945536,667017944,,,0,0
1784611233.6269,1545400320,6910205952,698966016,667037472,,,0,0
1784611234.6275,1545400320,6910205952,698920960,667005832,,,0,0
1784611235.6278,1545400320,6910205952,698904576,666991840,,,0,0
1784611236.6284,1545400320,6910205952,698900480,666999880,,,0,0
1784611237.6286,1545400320,6910205952,698933248,667014024,,,0,0
1784611238.6289,1545400320,6910205952,698949632,667028224,,,0,0
1784611239.6291,1545400320,6910205952,698998784,667067752,,,0,0
1784611240.6293,1545400320,6910205952,698933248,666999560,,,0,0
1784611241.6296,1528393728,6910210048,698892288,667007144,,,0,0
1784611242.6299,1532489728,6910222336,698920960,667026952,,,0,0
1784611243.6301,1535250432,6910222336,698933248,667040456,,,0,0
1784611244.6304,1537486848,6910222336,698949632,667052920,,,0,0
1784611245.6312,1539424256,6910222336,698957824,667059992,,,0,0
1784611246.6314,1541103616,6910222336,698925056,667016032,,,0,0
1784611247.6317,1542660096,6910222336,698920960,667027360,,,0,0
1784611248.6325,1544101888,6910226432,698916864,667006816,,,0,0
1784611249.6334,1545396224,6910226432,698920960,667014224,,,0,0
1784611250.6341,1545396224,6910226432,698929152,667020432,,,0,0
1784611251.6342,1545396224,6910226432,699252736,667200816,,,0,0
1784611252.6345,1545396224,6910226432,698904576,667013768,,,0,0
1784611253.6354,1545396224,6910226432,698904576,667001920,,,0,0
1784611254.6357,1545396224,6910226432,698945536,667014600,,,0,0
1784611255.6359,1545396224,6910226432,698945536,667039464,,,0,0
1784611256.6361,1545932800,6910226432,699297792,667102496,,,0,0
1784611257.6369,1545396224,6910226432,698945536,667040376,,,0,0
1784611258.6371,1545400320,6910226432,698912768,667000424,,,0,0
1784611259.6378,1530048512,6910226432,698859520,666985048,,,0,0
1784611260.6386,1533546496,6910226432,698863616,666995968,,,0,0
1784611261.6388,1536090112,6910234624,698871808,666998256,,,0,0
1784611262.6392,1538162688,6910234624,698884096,667013344,,,0,0
1784611263.64,1540018176,6910234624,698908672,667020728,,,0,0
1784611264.6402,1543077888,6910234624,699092992,667117280,,,0,0
1784611265.6405,1543163904,6910234624,698855424,666989424,,,0,0
1784611266.6408,1544568832,6910234624,698863616,666991600,,,0,0
1784611267.6412,1545412608,6910234624,698875904,666994464,,,0,0
1784611268.6414,1545412608,6910234624,698888192,667035312,,,0,0
1784611269.6418,1545412608,6910234624,698896384,667048440,,,0,0
1784611270.6421,1545408512,6910234624,698896384,667048600,,,0,0
1784611271.6424,1545408512,6910234624,698880000,667033088,,,0,0
1784611272.6426,1546895360,6910234624,699293696,667215312,,,0,0
1784611273.6429,1545408512,6910234624,698900480,667041648,,,0,0
1784611274.6432,1545408512,6910234624,698912768,667045816,,,0,0
1784611275.6434,1545408512,6910234624,698871808,667041280,,,0,0
1784611276.6437,1525764096,6910242816,698847232,666995464,,,0,0
1784611277.6446,1531371520,6910242816,698892288,667029136,,,0,0
1784611278.6453,1534517248,6910242816,698920960,667052288,,,0,0
1784611279.6461,1536761856,6910242816,698925056,667045296,,,0,0
1784611280.6464,1538772992,6910242816,699330560,667246872,,,0,0
1784611281.6467,1540509696,6910242816,698925056,667050152,,,0,0
1784611282.647,1542103040,6910242816,698904576,667018952,,,0,0
1784611283.6473,1543553024,6910242816,698892288,667031184,,,0,0
1784611284.6478,1544925184,6910242816,698892288,667035480,,,0,0
1784611285.6487,1545400320,6910242816,698892288,667034832,,,0,0
1784611286.649,1545400320,6910242816,698912768,667064632,,,0,0
1784611287.6499,1545400320,6910242816,698900480,667035376,,,0,0
1784611288.6506,1545400320,6910242816,698925056,667040216,,,0,0
1784611289.6509,1545469952,6910242816,699129856,667075480,,,0,0
1784611290.652,1545400320,6910246912,698937344,667049392,,,0,0
1784611291.6526,1545400320,6910246912,698941440,667054736,,,0,0
1784611292.6535,1545400320,6910246912,698957824,667060936,,,0,0
1784611293.654,1545400320,6910246912,698929152,667044216,,,0,0
1784611294.6547,1527443456,6910246912,698871808,667030232,,,0,0
1784611295.6553,1532010496,6910246912,698900480,667041096,,,0,0
1784611296.6556,1534885888,6910246912,698925056,667048200,,,0,0
1784611297.6559,1537183744,6910246912,698949632,667076400,,,0,0
1784611298.6563,1539690496,6910246912,699265024,667125680,,,0,0
1784611299.6566,1540866048,6910246912,698920960,667060040,,,0,0
1784611300.6572,1542017024,6910246912,698880000,667033312,,,0,0
1784611301.6578,1543876608,6910251008,698904576,667038072,,,0,0
1784611302.6584,1545228288,6910251008,698912768,667050824,,,0,0
1784611303.6588,1545400320,6910251008,698929152,667055392,,,0,0
1784611304.659,1545400320,6910251008,698941440,667066304,,,0,0
1784611305.6596,1545400320,6910251008,698974208,667072600,,,0,0
1784611306.6599,1545400320,6910251008,698949632,667065432,,,0,0
1784611307.6604,1545400320,6910251008,698933248,667046224,,,0,0
