timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1784611187.6049,121.69,3.64,3.0,112.17,118.05,16.0,0,0.0,0.0
1784611188.6052,121.69,3.97,3.3,111.85,117.72,16.0,0,0.0,0.0
1784611189.6055,121.69,3.97,3.3,111.84,117.72,16.0,0,0.0,0.0
1784611190.6058,121.69,3.98,3.3,111.83,117.71,16.0,0,0.0,0.0
1784611191.6061,121.69,3.98,3.3,111.83,117.71,16.0,0,0.0,0.0
1784611192.6063,121.69,3.98,3.3,111.83,117.71,16.0,0,0.0,0.0
1784611193.6066,121.69,3.98,3.3,111.83,117.71,16.0,0,0.0,0.0
1784611194.6068,121.69,3.99,3.3,111.83,117.7,16.0,0,0.0,0.0
1784611195.6074,121.69,3.99,3.3,111.83,117.7,16.0,0,0.0,0.0
1784611196.6077,121.69,3.99,3.3,111.83,117.7,16.0,0,0.0,0.0
1784611197.608,121.69,3.99,3.3,111.83,117.7,16.0,0,0.0,0.0
1784611198.6083,121.69,3.99,3.3,111.83,117.7,16.0,0,0.0,0.0
1784611199.6086,121.69,3.99,3.3,111.83,117.7,16.0,0,0.0,0.0
1784611200.6089,121.69,3.99,3.3,111.83,117.7,16.0,0,0.0,0.0
1784611201.6092,121.69,3.99,3.3,111.83,117.7,16.0,0,0.0,0.0
1784611202.6095,121.69,3.99,3.3,111.83,117.7,16.0,0,0.0,0.0
1784611203.6098,121.69,3.99,3.3,111.83,117.7,16.0,0,0.0,0.0
1784611204.61,121.69,3.98,3.3,111.83,117.71,16.0,0,0.0,0.0
1784611205.6103,121.69,3.98,3.3,111.83,117.71,16.0,0,0.0,0.0
1784611206.6105,121.69,4.0,3.3,111.82,117.69,16.0,0,0.0,0.0
1784611207.6107,121.69,4.0,3.3,111.82,117.69,16.0,0,0.0,0.0
1784611208.611,121.69,4.0,3.3,111.81,117.69,16.0,0,0.0,0.0
1784611209.6112,121.69,4.0,3.3,111.81,117.69,16.0,0,0.0,0.0
1784611210.6115,121.69,4.0,3.3,111.82,117.69,16.0,0,0.0,0.0
1784611211.6118,121.69,4.0,3.3,111.82,117.69,16.0,0,0.0,0.0
1784611212.6121,121.69,4.01,3.3,111.81,117.68,16.0,0,0.0,0.0
1784611213.6124,121.69,4.01,3.3,111.81,117.68,16.0,0,0.0,0.0
1784611214.6126,121.69,4.01,3.3,111.81,117.68,16.0,0,0.0,0.0
1784611215.6129,121.69,4.0,3.3,111.81,117.69,16.0,0,0.0,0.0
1784611216.6132,121.69,4.0,3.3,111.82,117.69,16.0,0,0.0,0.0
1784611217.6139,121.69,4.0,3.3,111.82,117.69,16.0,0,0.0,0.0
1784611218.6142,121.69,4.0,3.3,111.82,117.69,16.0,0,0.0,0.0
1784611219.6145,121.69,4.0,3.3,111.82,117.69,16.0,0,0.0,0.0
1784611220.6149,121.69,4.0,3.3,111.82,117.69,16.0,0,0.0,0.0
1784611221.6151,121.69,3.99,3.3,111.82,117.7,16.0,0,0.0,0.0
1784611222.6154,121.69,3.99,3.3,111.82,117.7,16.0,0,0.0,0.0
1784611223.6156,121.69,4.01,3.3,111.8,117.68,16.0,0,0.0,0.0
1784611224.6167,121.69,4.02,3.3,111.8,117.67,16.0,0,0.0,0.0
1784611225.6169,121.69,4.02,3.3,111.8,117.67,16.0,0,0.0,0.0
1784611226.6175,121.69,4.02,3.3,111.8,117.67,16.0,0,0.0,0.0
1784611227.6182,121.69,4.01,3.3,111.81,117.68,16.0,0,0.0,0.0
1784611228.6188,121.69,4.01,3.3,111.81,117.68,16.0,0,0.0,0.0
1784611229.6192,121.69,4.01,3.3,111.8,117.68,16.0,0,0.0,0.0
1784611230.6197,121.69,4.01,3.3,111.8,117.68,16.0,0,0.0,0.0
1784611231.6203,121.69,4.01,3.3,111.8,117.68,16.0,0,0.0,0.0
1784611232.6213,121.69,4.01,3.3,111.81,117.68,16.0,0,0.0,0.0
1784611233.6215,121.69,4.01,3.3,111.81,117.68,16.0,0,0.0,0.0
1784611234.6218,121.69,4.01,3.3,111.81,117.68,16.0,0,0.0,0.0
1784611235.6223,121.69,4.01,3.3,111.81,117.68,16.0,0,0.0,0.0
1784611236.6229,121.69,4.0,3.3,111.81,117.69,16.0,0,0.0,0.0
1784611237.6232,121.69,4.0,3.3,111.81,117.69,16.0,0,0.0,0.0
1784611238.6239,121.69,4.0,3.3,111.81,117.69,16.0,0,0.0,0.0
1784611239.6242,121.69,4.0,3.3,111.81,117.69,16.0,0,0.0,0.0
1784611240.6245,121.69,4.0,3.3,111.81,117.69,16.0,0,0.0,0.0
1784611241.6252,121.69,4.01,3.3,111.81,117.68,16.0,0,0.0,0.0
1784611242.6259,121.69,4.02,3.3,111.8,117.67,16.0,0,0.0,0.0
1784611243.6266,121.69,4.01,3.3,111.81,117.68,16.0,0,0.0,0.0
1784611244.6269,121.69,4.01,3.3,111.8,117.68,16.0,0,0.0,0.0
1784611245.6271,121.69,4.01,3.3,111.8,117.68,16.0,0,0.0,0.0
1784611246.6274,121.69,4.01,3.3,111.81,117.68,16.0,0,0.0,0.0
1784611247.6276,121.69,4.01,3.3,111.81,117.68,16.0,0,0.0,0.0
1784611248.6279,121.69,4.01,3.3,111.81,117.68,16.0,0,0.0,0.0
1784611249.6287,121.69,4.01,3.3,111.8,117.68,16.0,0,0.0,0.0
1784611250.629,121.69,4.01,3.3,111.81,117.68,16.0,0,0.0,0.0
1784611251.6293,121.69,4.0,3.3,111.81,117.69,16.0,0,0.0,0.0
1784611252.6296,121.69,4.0,3.3,111.81,117.69,16.0,0,0.0,0.0
1784611253.6298,121.69,4.0,3.3,111.81,117.69,16.0,0,0.0,0.0
1784611254.6301,121.69,4.0,3.3,111.82,117.69,16.0,0,0.0,0.0
1784611255.6304,121.69,4.0,3.3,111.82,117.69,16.0,0,0.0,0.0
1784611256.6306,121.69,4.0,3.3,111.82,117.69,16.0,0,0.0,0.0
1784611257.6315,121.69,4.0,3.3,111.82,117.69,16.0,0,0.0,0.0
1784611258.6322,121.69,4.0,3.3,111.82,117.69,16.0,0,0.0,0.0
1784611259.6325,121.69,3.97,3.3,111.85,117.72,16.0,0,0.0,0.0
1784611260.6327,121.69,3.97,3.3,111.84,117.72,16.0,0,0.0,0.0
1784611261.633,121.69,3.98,3.3,111.84,117.71,16.0,0,0.0,0.0
1784611262.6333,121.69,3.98,3.3,111.84,117.71,16.0,0,0.0,0.0
1784611263.6336,121.69,3.99,3.3,111.83,117.7,16.0,0,0.0,0.0
1784611264.6338,121.69,3.99,3.3,111.83,117.7,16.0,0,0.0,0.0
1784611265.6341,121.69,3.99,3.3,111.83,117.7,16.0,0,0.0,0.0
1784611266.6349,121.69,3.98,3.3,111.83,117.71,16.0,0,0.0,0.0
1784611267.6358,121.69,3.98,3.3,111.83,117.71,16.0,0,0.0,0.0
1784611268.6362,121.69,3.98,3.3,111.83,117.71,16.0,0,0.0,0.0
1784611269.6373,121.69,3.98,3.3,111.83,117.71,16.0,0,0.0,0.0
1784611270.6379,121.69,3.98,3.3,111.83,117.71,16.0,0,0.0,0.0
1784611271.6382,121.69,3.98,3.3,111.83,117.71,16.0,0,0.0,0.0
1784611272.6385,121.69,3.98,3.3,111.83,117.71,16.0,0,0.0,0.0
1784611273.6388,121.69,3.98,3.3,111.83,117.71,16.0,0,0.0,0.0
1784611274.6391,121.69,3.98,3.3,111.83,117.71,16.0,0,0.0,0.0
1784611275.6394,121.69,3.98,3.3,111.83,117.71,16.0,0,0.0,0.0
1784611276.6396,121.69,3.99,3.3,111.83,117.7,16.0,0,0.0,0.0
1784611277.6399,121.69,3.99,3.3,111.82,117.7,16.0,0,0.0,0.0
1784611278.6402,121.69,4.0,3.3,111.81,117.69,16.0,0,0.0,0.0
1784611279.6405,121.69,4.0,3.3,111.82,117.69,16.0,0,0.0,0.0
1784611280.6408,121.69,4.0,3.3,111.82,117.69,16.0,0,0.0,0.0
1784611281.641,121.69,4.0,3.3,111.82,117.69,16.0,0,0.0,0.0
