timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1784576453.791,2267,0,0,0,0,0
1784576454.2914,18569,0,0,0,0,0
1784576454.7918,47450,0,0,0,0,0
1784576455.2924,929,0,0,0,0,0
1784576455.793,2235,0,0,0,0,0
1784576456.2934,2242,0,0,0,0,0
1784576456.7937,2244,0,0,0,0,0
1784576457.2943,2239,0,0,0,0,0
1784576457.7949,2239,0,0,0,0,0
1784576458.2957,2238,0,0,0,0,0
1784576458.7969,52528,0,0,0,0,0
1784576459.298,2237,0,0,0,0,0
1784576459.7991,2237,0,0,0,0,0
1784576460.2999,2246,0,0,0,0,0
1784576460.8008,2238,0,0,0,0,0
1784576461.3017,2238,0,0,0,0,0
1784576461.8028,2239,0,0,0,0,0
1784576462.3032,2254,0,0,0,0,0
1784576462.8037,2240,0,0,0,0,0
1784576463.3041,52578,0,0,0,0,0
1784576463.8047,26,0,0,0,0,0
1784576464.305,2246,0,0,0,0,0
1784576464.8054,2236,0,0,0,0,0
1784576465.3057,2244,0,0,0,0,0
1784576465.8063,2237,0,0,0,0,0
1784576466.3069,2245,0,0,0,0,0
1784576466.8075,2241,0,0,0,0,0
1784576467.3081,2237,0,0,0,0,0
1784576467.8092,52566,0,0,0,0,0
1784576468.3102,2239,0,0,0,0,0
1784576468.811,2234,0,0,0,0,0
1784576469.312,2237,0,0,0,0,0
1784576469.8128,2242,0,0,0,0,0
1784576470.3135,2251,0,0,0,0,0
1784576470.8144,2244,0,0,0,0,0
1784576471.3148,2240,0,0,0,0,0
1784576471.8154,52462,0,0,0,0,0
1784576472.3158,1445,0,0,0,0,0
1784576472.8164,925,0,0,0,0,0
1784576473.317,2239,0,0,0,0,0
1784576473.8176,2269,0,0,0,0,0
1784576474.3182,2237,0,0,0,0,0
1784576474.8188,2239,0,0,0,0,0
1784576475.3194,2243,0,0,0,0,0
1784576475.8197,2245,0,0,0,0,0
1784576476.3201,52600,0,0,0,0,0
1784576476.8204,2236,0,0,0,0,0
1784576477.3207,2249,0,0,0,0,0
1784576477.8211,2238,0,0,0,0,0
1784576478.3217,2241,0,0,0,0,0
1784576478.8221,2246,0,0,0,0,0
1784576479.3227,2240,0,0,0,0,0
1784576479.823,2238,0,0,0,0,0
1784576480.3233,2247,0,0,0,0,0
1784576480.8236,51687,0,0,0,0,0
1784576481.3242,929,0,0,0,0,0
1784576481.8249,2245,0,0,0,0,0
1784576482.3258,2238,0,0,0,0,0
1784576482.8263,2241,0,0,0,0,0
1784576483.3271,2237,0,0,0,0,0
1784576483.8279,2232,0,0,0,0,0
1784576484.3287,2249,0,0,0,0,0
1784576484.8292,24792,0,0,0,0,0
1784576485.3298,32178,0,0,0,0,0
1784576485.8304,2239,0,0,0,0,0
1784576486.331,2239,0,0,0,0,0
1784576486.8316,2239,0,0,0,0,0
1784576487.3322,2239,0,0,0,0,0
1784576487.8327,2244,0,0,0,0,0
1784576488.333,2243,0,0,0,0,0
1784576488.8333,2241,0,0,0,0,0
1784576489.3338,51933,0,0,0,0,0
1784576489.8347,657,0,0,0,0,0
1784576490.3353,2245,0,0,0,0,0
1784576490.8357,2242,0,0,0,0,0
1784576491.3369,2237,0,0,0,0,0
1784576491.8374,2266,0,0,0,0,0
1784576492.3377,2241,0,0,0,0,0
1784576492.838,2247,0,0,0,0,0
1784576493.3385,2248,0,0,0,0,0
1784576493.8389,52606,0,0,0,0,0
1784576494.3395,2237,0,0,0,0,0
1784576494.8401,2425,0,0,0,0,0
1784576495.3407,2249,0,0,0,0,0
1784576495.8413,2241,0,0,0,0,0
1784576496.3419,2237,0,0,0,0,0
1784576496.8423,2244,0,0,0,0,0
1784576497.3426,2071,0,0,0,0,0
1784576497.8435,4191,0,0,0,0,0
1784576498.3443,48567,0,0,0,0,0
1784576498.8452,2238,0,0,0,0,0
1784576499.3458,2239,0,0,0,0,0
1784576499.8468,2238,0,0,0,0,0
1784576500.3474,2241,0,0,0,0,0
1784576500.848,2242,0,0,0,0,0
1784576501.3488,2234,0,0,0,0,0
1784576501.8497,2234,0,0,0,0,0
1784576502.3504,52580,0,0,0,0,0
1784576502.851,2247,0,0,0,0,0
1784576503.3517,2241,0,0,0,0,0
1784576503.8523,2247,0,0,0,0,0
1784576504.3527,2244,0,0,0,0,0
1784576504.853,2212,0,0,0,0,0
1784576505.354,32,0,0,0,0,0
1784576505.8546,2243,0,0,0,0,0
1784576506.3552,2241,0,0,0,0,0
1784576506.8559,52576,0,0,0,0,0
1784576507.3565,2233,0,0,0,0,0
1784576507.8571,2237,0,0,0,0,0
1784576508.3577,2249,0,0,0,0,0
1784576508.8583,2239,0,0,0,0,0
1784576509.3587,2238,0,0,0,0,0
1784576509.8593,2299,0,0,0,0,0
1784576510.3597,2244,0,0,0,0,0
1784576510.8602,7693,0,0,0,0,0
1784576511.3608,48579,0,0,0,0,0
1784576511.8613,2248,0,0,0,0,0
1784576512.3619,2237,0,0,0,0,0
1784576512.8622,2247,0,0,0,0,0
1784576513.3625,2079,0,0,0,0,0
1784576513.8627,160,0,0,0,0,0
1784576514.3633,2237,0,0,0,0,0
1784576514.8638,2237,0,0,0,0,0
1784576515.3646,52575,0,0,0,0,0
1784576515.8653,2239,0,0,0,0,0
1784576516.3661,2238,0,0,0,0,0
1784576516.8667,2239,0,0,0,0,0
1784576517.3673,2237,0,0,0,0,0
1784576517.8677,2239,0,0,0,0,0
1784576518.3684,2243,0,0,0,0,0
1784576518.869,2237,0,0,0,0,0
1784576519.3695,2245,0,0,0,0,0
1784576519.8703,52561,0,0,0,0,0
1784576520.3707,2246,0,0,0,0,0
1784576520.8711,2064,0,0,0,0,0
1784576521.3713,176,0,0,0,0,0
1784576521.8719,2273,0,0,0,0,0
1784576522.3725,2239,0,0,0,0,0
1784576522.8732,2245,0,0,0,0,0
1784576523.3734,2245,0,0,0,0,0
1784576523.8738,2238,0,0,0,0,0
1784576524.3747,52550,0,0,0,0,0
1784576524.8751,2242,0,0,0,0,0
1784576525.3754,2242,0,0,0,0,0
1784576525.8766,2237,0,0,0,0,0
1784576526.3777,2231,0,0,0,0,0
1784576526.878,2247,0,0,0,0,0
1784576527.3788,2236,0,0,0,0,0
1784576527.8792,2243,0,0,0,0,0
1784576528.3796,45980,0,0,0,0,0
1784576528.8799,8854,0,0,0,0,0
1784576529.3803,2249,0,0,0,0,0
1784576529.8807,2204,0,0,0,0,0
1784576530.3817,38,0,0,0,0,0
1784576530.8826,2238,0,0,0,0,0
1784576531.3829,2241,0,0,0,0,0
1784576531.8835,2245,0,0,0,0,0
1784576532.3843,2250,0,0,0,0,0
1784576532.8846,52611,0,0,0,0,0
1784576533.3852,2238,0,0,0,0,0
1784576533.8861,2268,0,0,0,0,0
1784576534.3871,2244,0,0,0,0,0
1784576534.888,2240,0,0,0,0,0
1784576535.3889,2236,0,0,0,0,0
1784576535.8893,2247,0,0,0,0,0
1784576536.3904,2237,0,0,0,0,0
1784576536.8913,2240,0,0,0,0,0
1784576537.3917,52594,0,0,0,0,0
1784576537.8921,2214,0,0,0,0,0
1784576538.393,34,0,0,0,0,0
1784576538.8933,2239,0,0,0,0,0
1784576539.3939,2239,0,0,0,0,0
1784576539.8948,2234,0,0,0,0,0
1784576540.3952,2238,0,0,0,0,0
1784576540.8955,2245,0,0,0,0,0
1784576541.3959,19341,0,0,0,0,0
1784576541.897,35462,0,0,0,0,0
1784576542.3973,2243,0,0,0,0,0
1784576542.8978,2242,0,0,0,0,0
1784576543.3988,2242,0,0,0,0,0
1784576543.8996,2244,0,0,0,0,0
1784576544.4001,2246,0,0,0,0,0
1784576544.9004,2243,0,0,0,0,0
1784576545.4013,2236,0,0,0,0,0
1784576545.9017,52646,0,0,0,0,0
1784576546.4021,2238,0,0,0,0,0
1784576546.9024,715,0,0,0,0,0
1784576547.4028,1525,0,0,0,0,0
1784576547.904,2235,0,0,0,0,0
1784576548.4049,2242,0,0,0,0,0
1784576548.9054,2244,0,0,0,0,0
1784576549.4058,2242,0,0,0,0,0
1784576549.9072,2234,0,0,0,0,0
1784576550.4075,52605,0,0,0,0,0
1784576550.9078,2235,0,0,0,0,0
1784576551.4087,2246,0,0,0,0,0
1784576551.9091,2234,0,0,0,0,0
1784576552.4095,2248,0,0,0,0,0
1784576552.9099,2246,0,0,0,0,0
1784576553.4106,2241,0,0,0,0,0
1784576553.9114,2237,0,0,0,0,0
1784576554.4121,6234,0,0,0,0,0
1784576554.9125,48599,0,0,0,0,0
1784576555.4128,2241,0,0,0,0,0
1784576555.9132,1313,0,0,0,0,0
1784576556.4142,930,0,0,0,0,0
1784576556.915,2238,0,0,0,0,0
1784576557.4159,2238,0,0,0,0,0
1784576557.9167,2236,0,0,0,0,0
1784576558.4175,2233,0,0,0,0,0
1784576558.9187,52517,0,0,0,0,0
1784576559.4198,2235,0,0,0,0,0
1784576559.9204,2239,0,0,0,0,0
1784576560.4215,2235,0,0,0,0,0
1784576560.9222,2237,0,0,0,0,0
1784576561.4232,2238,0,0,0,0,0
1784576561.9245,2236,0,0,0,0,0
1784576562.4249,2238,0,0,0,0,0
1784576562.9256,2241,0,0,0,0,0
1784576563.4259,52613,0,0,0,0,0
1784576563.9263,2270,0,0,0,0,0
1784576564.4267,1311,0,0,0,0,0
1784576564.9272,925,0,0,0,0,0
1784576565.428,2240,0,0,0,0,0
1784576565.9289,2238,0,0,0,0,0
1784576566.4298,2242,0,0,0,0,0
1784576566.9307,2240,0,0,0,0,0
1784576567.4311,6236,0,0,0,0,0
1784576567.9319,48573,0,0,0,0,0
1784576568.4323,2242,0,0,0,0,0
1784576568.9327,2238,0,0,0,0,0
1784576569.4337,2240,0,0,0,0,0
1784576569.9345,2239,0,0,0,0,0
1784576570.4353,2242,0,0,0,0,0
1784576570.9361,3700,0,0,0,0,0
1784576571.4364,2239,0,0,0,0,0
1784576571.9367,52610,0,0,0,0,0
1784576572.437,2107,0,0,0,0,0
1784576572.9382,136,0,0,0,0,0
1784576573.4391,2236,0,0,0,0,0
1784576573.9401,2236,0,0,0,0,0
