timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1784576758.093,121.69,3.58,2.9,114.11,118.11,16.0,0,0.0,0.0
1784576759.0933,121.69,4.19,3.4,113.5,117.5,16.0,0,0.0,0.0
1784576760.0936,121.69,4.19,3.4,113.5,117.5,16.0,0,0.0,0.0
1784576761.0942,121.69,4.19,3.4,113.5,117.5,16.0,0,0.0,0.0
1784576762.0944,121.69,4.19,3.4,113.5,117.5,16.0,0,0.0,0.0
1784576763.0946,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576764.095,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576765.0953,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576766.0955,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576767.0957,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576768.096,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576769.0962,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576770.0964,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576771.0966,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576772.0968,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576773.0971,121.69,4.19,3.4,113.5,117.5,16.0,0,0.0,0.0
1784576774.0974,121.69,4.14,3.4,113.54,117.55,16.0,0,0.0,0.0
1784576775.0975,121.69,4.14,3.4,113.54,117.55,16.0,0,0.0,0.0
1784576776.0977,121.69,4.15,3.4,113.54,117.54,16.0,0,0.0,0.0
1784576777.0983,121.69,4.14,3.4,113.55,117.55,16.0,0,0.0,0.0
1784576778.0986,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576779.0989,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576780.0991,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576781.0993,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576782.0996,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576783.0998,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576784.1,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576785.1002,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576786.1005,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576787.1007,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576788.1009,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576789.101,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576790.1012,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576791.1015,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576792.1017,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576793.102,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576794.1022,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576795.1025,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576796.1027,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576797.1032,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576798.1034,121.69,4.19,3.4,113.49,117.5,16.0,0,0.0,0.0
1784576799.1035,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576800.1038,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576801.104,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576802.1042,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576803.1048,121.69,4.19,3.4,113.49,117.5,16.0,0,0.0,0.0
1784576804.105,121.69,4.19,3.4,113.49,117.5,16.0,0,0.0,0.0
1784576805.1053,121.69,4.19,3.4,113.49,117.5,16.0,0,0.0,0.0
1784576806.1056,121.69,4.19,3.4,113.49,117.5,16.0,0,0.0,0.0
1784576807.1058,121.69,4.19,3.4,113.5,117.5,16.0,0,0.0,0.0
1784576808.1061,121.69,4.19,3.4,113.5,117.5,16.0,0,0.0,0.0
1784576809.1063,121.69,4.19,3.4,113.5,117.5,16.0,0,0.0,0.0
1784576810.1066,121.69,4.19,3.4,113.49,117.5,16.0,0,0.0,0.0
1784576811.1068,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576812.1069,121.69,4.2,3.5,113.48,117.49,16.0,0,0.0,0.0
1784576813.1072,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576814.1079,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576815.1081,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576816.1083,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576817.1093,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576818.11,121.69,4.2,3.5,113.49,117.49,16.0,0,0.0,0.0
1784576819.1104,121.69,4.2,3.5,113.48,117.49,16.0,0,0.0,0.0
1784576820.1106,121.69,4.18,3.4,113.5,117.51,16.0,0,0.0,0.0
1784576821.1108,121.69,4.18,3.4,113.5,117.51,16.0,0,0.0,0.0
1784576822.1111,121.69,4.18,3.4,113.5,117.51,16.0,0,0.0,0.0
1784576823.1113,121.69,4.18,3.4,113.5,117.51,16.0,0,0.0,0.0
1784576824.1115,121.69,3.69,3.0,113.99,118.0,16.0,0,0.0,0.0
1784576825.1117,121.69,4.19,3.4,113.49,117.5,16.0,0,0.0,0.0
1784576826.1119,121.69,4.19,3.4,113.49,117.5,16.0,0,0.0,0.0
1784576827.1122,121.69,4.19,3.4,113.49,117.5,16.0,0,0.0,0.0
1784576828.1124,121.69,4.19,3.4,113.49,117.5,16.0,0,0.0,0.0
1784576829.1126,121.69,4.18,3.4,113.5,117.51,16.0,0,0.0,0.0
1784576830.1128,121.69,4.18,3.4,113.5,117.51,16.0,0,0.0,0.0
1784576831.1133,121.69,4.18,3.4,113.5,117.51,16.0,0,0.0,0.0
1784576832.1136,121.69,4.18,3.4,113.5,117.51,16.0,0,0.0,0.0
1784576833.1137,121.69,4.18,3.4,113.51,117.51,16.0,0,0.0,0.0
1784576834.1139,121.69,4.18,3.4,113.5,117.51,16.0,0,0.0,0.0
1784576835.1145,121.69,4.18,3.4,113.5,117.51,16.0,0,0.0,0.0
1784576836.1148,121.69,4.18,3.4,113.5,117.51,16.0,0,0.0,0.0
1784576837.1151,121.69,3.83,3.1,113.86,117.86,16.0,0,0.0,0.0
1784576838.1153,121.69,4.18,3.4,113.5,117.51,16.0,0,0.0,0.0
1784576839.1157,121.69,4.18,3.4,113.5,117.51,16.0,0,0.0,0.0
1784576840.1164,121.69,4.18,3.4,113.5,117.51,16.0,0,0.0,0.0
1784576841.1168,121.69,4.18,3.4,113.5,117.51,16.0,0,0.0,0.0
1784576842.1172,121.69,4.19,3.4,113.5,117.5,16.0,0,0.0,0.0
1784576843.1175,121.69,4.19,3.4,113.5,117.5,16.0,0,0.0,0.0
