timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1784582377.0826,0.4,0.1,0.3,0.0,3354.0,51.2,,0.7,0.97,0.99,1419,3,0
1784582378.0855,3.3,1.9,1.4,0.0,3354.0,51.8,,0.7,0.97,0.99,2572,2,0
1784582379.0887,5.8,5.2,0.6,0.0,3354.0,54.3,,0.7,0.97,0.99,2465,2,0
1784582380.0912,6.0,5.3,0.8,0.0,3354.0,55.6,,0.7,0.97,0.99,2523,2,0
1784582381.0942,6.0,5.3,0.8,0.0,3354.0,56.3,,0.7,0.97,0.99,2508,2,0
1784582382.0962,6.0,5.3,0.7,0.1,3354.0,56.8,,0.72,0.97,0.99,2602,2,0
1784582383.0994,5.7,5.3,0.4,0.0,3354.0,57.3,,0.72,0.97,0.99,2529,2,0
1784582384.1023,6.1,5.3,0.8,0.0,3354.0,57.6,,0.72,0.97,0.99,2630,2,0
1784582385.1052,6.1,5.3,0.8,0.0,3354.0,57.9,,0.72,0.97,0.99,2550,2,0
1784582386.1069,6.1,5.4,0.7,0.0,3354.0,58.1,,0.72,0.97,0.99,2480,2,0
1784582387.1098,5.6,5.2,0.4,0.0,3354.0,58.4,,0.75,0.97,0.99,2386,2,0
1784582388.1111,5.7,4.8,0.9,0.0,3354.0,58.4,,0.75,0.97,0.99,2558,2,0
1784582389.1127,5.5,5.0,0.5,0.1,3354.0,58.4,,0.75,0.97,0.99,2512,2,0
1784582390.1139,5.5,5.0,0.5,0.0,3354.0,58.4,,0.75,0.97,0.99,2457,2,0
1784582391.1165,5.9,3.6,2.0,0.3,3354.0,57.2,,0.75,0.97,0.99,3773,3,0
1784582392.1188,5.8,5.3,0.5,0.0,3354.0,58.7,,0.77,0.97,0.99,2442,3,0
1784582393.1212,6.1,5.3,0.8,0.0,3354.0,59.5,,0.77,0.97,0.99,2498,2,0
1784582394.1236,6.2,5.3,0.9,0.0,3354.0,60.0,,0.77,0.97,0.99,2526,2,0
1784582395.1256,6.3,5.3,0.9,0.1,3354.0,60.5,,0.77,0.97,0.99,2560,2,0
1784582396.1281,5.7,5.2,0.5,0.0,3354.0,60.8,,0.77,0.97,0.99,2324,2,0
1784582397.1304,6.1,5.3,0.8,0.0,3354.0,61.0,,0.79,0.97,1.0,2588,2,0
1784582398.1332,6.1,5.2,0.9,0.0,3354.0,61.1,,0.79,0.97,1.0,2595,2,0
1784582399.1355,6.0,5.3,0.7,0.0,3354.0,61.3,,0.79,0.97,1.0,2488,3,0
1784582400.1365,5.9,5.1,0.9,0.0,3354.0,61.3,,0.79,0.97,1.0,2461,2,0
1784582401.1374,5.6,5.0,0.6,0.0,3354.0,61.8,,0.79,0.97,1.0,2614,2,0
1784582402.1386,5.6,5.0,0.6,0.1,3354.0,61.9,,0.8,0.98,1.0,2537,2,0
1784582403.1414,5.6,3.7,1.8,0.1,3354.0,60.0,,0.8,0.98,1.0,3598,2,0
1784582404.1435,6.2,5.4,0.9,0.0,3354.0,59.3,,0.8,0.98,1.0,2619,2,0
1784582405.1461,5.8,5.3,0.6,0.0,3354.0,60.5,,0.8,0.98,1.0,2319,2,0
1784582406.1487,6.1,5.3,0.9,0.0,3354.0,61.2,,0.8,0.98,1.0,2547,2,0
1784582407.1514,6.1,5.3,0.9,0.0,3354.0,61.6,,0.82,0.98,1.0,2528,2,0
1784582408.1537,5.9,5.3,0.5,0.1,3354.0,61.8,,0.82,0.98,1.0,2479,3,0
1784582409.1562,6.1,5.3,0.8,0.0,3354.0,62.0,,0.82,0.98,1.0,2434,2,0
1784582410.1587,6.3,5.5,0.9,0.0,3354.0,62.1,,0.82,0.98,1.0,2598,3,0
1784582411.161,6.1,5.3,0.8,0.0,3354.0,62.3,,0.82,0.98,1.0,2529,2,0
1784582412.1633,5.7,5.2,0.5,0.0,3354.0,62.4,,0.83,0.98,1.0,2372,2,0
1784582413.1643,5.9,5.0,1.0,0.0,3354.0,62.5,,0.83,0.98,1.0,2646,2,0
1784582414.1653,5.6,5.1,0.5,0.0,3354.0,62.4,,0.83,0.98,1.0,2480,2,0
1784582415.1663,5.6,5.0,0.6,0.0,3354.0,62.1,,0.83,0.98,1.0,2538,3,0
1784582416.1684,5.7,3.7,1.9,0.1,3354.0,61.1,,0.83,0.98,1.0,3637,3,0
1784582417.1705,5.7,5.2,0.5,0.0,3354.0,61.6,,0.85,0.98,1.0,2339,2,0
1784582418.1728,6.1,5.3,0.8,0.0,3354.0,61.9,,0.85,0.98,1.0,2566,2,0
1784582419.1751,6.3,5.3,0.9,0.1,3354.0,62.3,,0.85,0.98,1.0,2661,2,0
1784582420.1774,6.0,5.3,0.7,0.1,3354.0,62.5,,0.85,0.98,1.0,2495,3,0
1784582421.1797,5.9,5.3,0.7,0.0,3354.0,62.8,,0.85,0.98,1.0,2462,2,0
1784582422.1824,6.2,5.3,0.9,0.1,3354.0,62.9,,0.94,0.99,1.0,2658,2,0
1784582423.1847,6.2,5.3,0.9,0.0,3354.0,63.0,,0.94,0.99,1.0,2551,2,0
1784582424.1871,5.7,5.2,0.5,0.0,3354.0,63.1,,0.94,0.99,1.0,2371,2,0
1784582425.1893,6.1,5.3,0.8,0.0,3354.0,63.2,,0.94,0.99,1.0,2607,2,0
1784582426.1903,5.6,4.8,0.7,0.1,3354.0,63.1,,0.94,0.99,1.0,2575,2,0
1784582427.1911,5.7,5.0,0.6,0.2,3354.0,62.7,,1.03,1.01,1.01,2525,2,0
1784582428.1921,5.2,3.9,1.2,0.1,3354.0,61.5,,1.03,1.01,1.01,3377,2,0
1784582429.1943,5.9,4.7,1.2,0.0,3354.0,61.8,,1.03,1.01,1.01,2569,3,0
1784582430.1964,6.0,5.3,0.7,0.0,3354.0,62.3,,1.03,1.01,1.01,2394,2,0
1784582431.1984,6.1,5.4,0.8,0.0,3354.0,62.8,,1.03,1.01,1.01,2540,2,0
1784582432.2001,6.1,5.3,0.9,0.0,3354.0,63.1,,1.02,1.01,1.01,2551,2,0
1784582433.2024,5.8,5.2,0.5,0.1,3354.0,63.1,,1.02,1.01,1.01,2428,2,0
1784582434.2054,6.2,5.4,0.8,0.0,3354.0,63.4,,1.02,1.01,1.01,2661,2,0
1784582435.2078,6.0,5.3,0.8,0.0,3354.0,63.5,,1.02,1.01,1.01,2605,2,0
1784582436.2099,5.9,5.3,0.6,0.0,3354.0,63.6,,1.02,1.01,1.01,2465,4,0
1784582437.2122,5.8,5.2,0.6,0.0,3354.0,63.6,,1.02,1.01,1.01,2444,2,0
1784582438.2131,5.9,5.1,0.9,0.0,3354.0,63.8,,1.02,1.01,1.01,2591,2,0
1784582439.214,5.4,5.0,0.5,0.0,3354.0,63.6,,1.02,1.01,1.01,2551,2,0
1784582440.215,5.6,5.1,0.6,0.0,3354.0,63.4,,1.02,1.01,1.01,2508,2,0
1784582441.2166,5.8,3.7,1.9,0.2,3354.0,61.1,,1.02,1.01,1.01,3535,2,0
1784582442.2193,5.7,5.3,0.5,0.0,3354.0,62.2,,1.02,1.01,1.01,2272,2,0
1784582443.2223,6.1,5.3,0.8,0.0,3354.0,63.1,,1.02,1.01,1.01,2563,2,0
1784582444.2253,6.2,5.4,0.8,0.1,3354.0,63.6,,1.02,1.01,1.01,2531,2,0
1784582445.2278,6.0,5.3,0.7,0.0,3354.0,63.9,,1.02,1.01,1.01,2371,3,0
1784582446.2307,5.8,5.3,0.6,0.0,3354.0,64.0,,1.02,1.01,1.01,2344,2,0
1784582447.2337,6.0,5.3,0.7,0.0,3354.0,64.1,,1.1,1.03,1.01,2519,3,0
1784582448.2366,5.9,5.3,0.7,0.0,3354.0,64.1,,1.1,1.03,1.01,2463,2,0
1784582449.2395,5.9,5.4,0.5,0.0,3354.0,64.2,,1.1,1.03,1.01,2420,4,0
1784582450.2423,5.7,5.2,0.5,0.0,3354.0,64.3,,1.1,1.03,1.01,2388,2,0
1784582451.2435,5.8,4.8,1.1,0.0,3354.0,64.3,,1.1,1.03,1.01,2589,2,0
1784582452.2452,5.4,5.0,0.5,0.0,3354.0,64.3,,1.09,1.03,1.01,2460,2,0
1784582453.2464,5.4,4.9,0.5,0.0,3354.0,64.0,,1.09,1.03,1.01,2465,2,0
1784582454.2491,5.9,3.8,2.0,0.2,3354.0,61.4,,1.09,1.03,1.01,3661,2,0
1784582455.2525,5.8,5.3,0.5,0.0,3354.0,62.1,,1.09,1.03,1.01,2550,2,0
1784582456.2547,6.2,5.4,0.8,0.0,3354.0,62.6,,1.09,1.03,1.01,2661,4,0
1784582457.2569,6.2,5.2,0.9,0.1,3354.0,63.0,,1.16,1.04,1.02,2607,2,0
1784582458.2592,6.0,5.3,0.7,0.0,3354.0,63.2,,1.16,1.04,1.02,2575,3,0
1784582459.2615,5.9,5.3,0.6,0.0,3354.0,63.4,,1.16,1.04,1.02,2528,2,0
1784582460.2648,6.1,5.3,0.9,0.0,3354.0,63.5,,1.16,1.04,1.02,2576,2,0
1784582461.2672,6.1,5.4,0.8,0.0,3354.0,63.7,,1.16,1.04,1.02,2565,2,0
1784582462.2701,5.7,5.2,0.6,0.0,3354.0,63.7,,1.15,1.04,1.02,2470,2,0
1784582463.2718,6.2,5.2,0.9,0.1,3354.0,63.7,,1.15,1.04,1.02,2591,2,0
1784582464.2728,5.5,4.9,0.6,0.0,3354.0,63.3,,1.15,1.04,1.02,2518,2,0
1784582465.2737,5.5,5.0,0.5,0.0,3354.0,63.0,,1.15,1.04,1.02,2464,2,0
1784582466.2747,5.1,3.9,1.1,0.2,3354.0,62.0,,1.15,1.04,1.02,3354,2,0
1784582467.2769,6.1,4.7,1.4,0.0,3354.0,61.3,,1.14,1.04,1.02,2670,3,0
1784582468.2789,5.9,5.3,0.6,0.0,3354.0,62.8,,1.14,1.04,1.02,2412,2,0
1784582469.2813,6.2,5.4,0.8,0.0,3354.0,63.5,,1.14,1.04,1.02,2596,2,0
1784582470.2841,6.3,5.5,0.8,0.1,3354.0,64.0,,1.14,1.04,1.02,2627,2,0
1784582471.2865,5.8,5.3,0.5,0.0,3354.0,64.1,,1.14,1.04,1.02,2461,2,0
1784582472.2889,6.2,5.3,0.9,0.0,3354.0,64.2,,1.21,1.06,1.02,2602,2,0
1784582473.2913,6.1,5.3,0.9,0.0,3354.0,64.4,,1.21,1.06,1.02,2611,2,0
1784582474.2936,6.1,5.4,0.7,0.0,3354.0,64.5,,1.21,1.06,1.02,2560,3,0
1784582475.2958,5.9,5.3,0.6,0.1,3354.0,64.6,,1.21,1.06,1.02,2485,2,0
1784582476.2967,6.0,5.0,1.0,0.0,3354.0,64.6,,1.21,1.06,1.02,2633,2,0
1784582477.2976,5.5,4.9,0.6,0.0,3354.0,64.4,,1.19,1.06,1.02,2492,2,0
1784582478.2986,5.5,5.0,0.5,0.0,3354.0,64.1,,1.19,1.06,1.02,2505,2,0
1784582479.3008,5.7,3.7,1.9,0.2,3354.0,61.5,,1.19,1.06,1.02,3602,2,0
1784582480.303,5.8,5.2,0.6,0.0,3354.0,61.9,,1.19,1.06,1.02,2376,2,0
1784582481.3051,6.2,5.3,0.8,0.1,3354.0,62.9,,1.19,1.06,1.02,2535,2,0
1784582482.3075,6.1,5.4,0.8,0.0,3354.0,63.4,,1.17,1.05,1.02,2562,2,0
1784582483.31,5.9,5.2,0.7,0.0,3354.0,63.6,,1.17,1.05,1.02,2488,3,0
1784582484.3124,5.9,5.2,0.7,0.0,3354.0,63.7,,1.17,1.05,1.02,2461,2,0
1784582485.3148,6.1,5.3,0.8,0.0,3354.0,63.8,,1.17,1.05,1.02,2562,2,0
1784582486.3171,6.1,5.3,0.8,0.0,3354.0,63.8,,1.17,1.05,1.02,2524,2,0
1784582487.3205,5.7,5.2,0.5,0.0,3354.0,63.8,,1.16,1.05,1.02,2369,2,0
1784582488.3227,6.1,5.2,0.9,0.0,3354.0,64.0,,1.16,1.05,1.02,2474,2,0
1784582489.3236,5.8,4.9,0.9,0.0,3354.0,63.8,,1.16,1.05,1.02,2510,2,0
1784582490.3245,5.5,5.0,0.5,0.1,3354.0,63.4,,1.16,1.05,1.02,2524,2,0
1784582491.3254,5.6,4.5,1.0,0.2,3354.0,62.9,,1.16,1.05,1.02,3233,3,0
1784582492.3284,5.5,4.2,1.3,0.0,3354.0,61.1,,1.31,1.09,1.03,2713,2,0
1784582493.331,6.3,5.4,0.9,0.0,3354.0,62.6,,1.31,1.09,1.03,2506,2,0
1784582494.3335,6.2,5.4,0.8,0.1,3354.0,63.3,,1.31,1.09,1.03,2584,5,1
1784582495.3354,6.1,5.3,0.8,0.1,3354.0,63.6,,1.31,1.09,1.03,2520,4,0
